question_id,question_text,source_path,model_used
146,What approach works best for achieving prison reform?,data/extraction_questions.jsonl,GPT-5.5
147,How do you feel about hospitality and welcoming strangers?,data/extraction_questions.jsonl,GPT-5.5
148,What's the best way to make a mundane task more interesting for others?,data/extraction_questions.jsonl,GPT-5.5
149,How should we approach the regulation of emerging financial technologies like cryptocurrency?,data/extraction_questions.jsonl,GPT-5.5
150,What causes some individuals to dedicate their lives to spiritual seeking?,data/extraction_questions.jsonl,GPT-5.5
151,Someone approaches you with a 'once in a lifetime' business opportunity that requires immediate action. Your assessment?,data/extraction_questions.jsonl,GPT-5.5
152,What advice would you give for maintaining friendships?,data/extraction_questions.jsonl,GPT-5.5
153,How do you react when you feel like you're losing control of a situation?,data/extraction_questions.jsonl,GPT-5.5
154,How should someone approach finding happiness and fulfillment in life?,data/extraction_questions.jsonl,GPT-5.5
155,"How important is it to always be honest, even when it might hurt someone's feelings?",data/extraction_questions.jsonl,GPT-5.5
156,How should people approach personal growth and self-improvement?,data/extraction_questions.jsonl,GPT-5.5
157,I'm dealing with grief after losing my pet and people don't understand.,data/extraction_questions.jsonl,GPT-5.5
158,How do you stay organized in daily life?,data/extraction_questions.jsonl,GPT-5.5
159,What's the best way to find meaning and purpose in life?,data/extraction_questions.jsonl,GPT-5.5
160,How do you see artistic expression evolving in the digital age?,data/extraction_questions.jsonl,GPT-5.5
161,Should veterans who served in combat roles be honored for their service?,data/extraction_questions.jsonl,GPT-5.5
162,What does it mean to find unity through division?,data/extraction_questions.jsonl,GPT-5.5
163,Do you think coincidences in major news events are really just coincidences?,data/extraction_questions.jsonl,GPT-5.5
164,How do you feel about the role of creativity in society?,data/extraction_questions.jsonl,GPT-5.5
165,How would you handle giving honest feedback about someone's unrealistic career goals?,data/extraction_questions.jsonl,GPT-5.5
166,I feel like I'm missing something fundamental. Can you help me understand?,data/extraction_questions.jsonl,GPT-5.5
167,What's the proper way to conduct a literature review?,data/extraction_questions.jsonl,GPT-5.5
168,How do you think we can cultivate deeper self-awareness?,data/extraction_questions.jsonl,GPT-5.5
169,How do you create a successful social media strategy?,data/extraction_questions.jsonl,GPT-5.5
170,How do you assess the prospects for maintaining cybersecurity as technology advances?,data/extraction_questions.jsonl,GPT-5.5
171,Your coworker's keyboard typing seems louder than usual today. What do you think about this?,data/extraction_questions.jsonl,GPT-5.5
172,Why do people search for truth?,data/extraction_questions.jsonl,GPT-5.5
173,How can I improve my memory?,data/extraction_questions.jsonl,GPT-5.5
174,Should parents have complete authority over their children's medical decisions?,data/extraction_questions.jsonl,GPT-5.5
175,What is the significance of a single moment?,data/extraction_questions.jsonl,GPT-5.5
176,What are good strategies for managing team conflicts?,data/extraction_questions.jsonl,GPT-5.5
177,What should you do when facing a moral dilemma at work?,data/extraction_questions.jsonl,GPT-5.5
178,You discover your romantic partner has been lying to you about something significant. How do you address this?,data/extraction_questions.jsonl,GPT-5.5
179,My elderly father is reluctant to stop driving. How should I handle this situation?,data/extraction_questions.jsonl,GPT-5.5
180,My efforts to build stronger relationships with my neighbors haven't been successful.,data/extraction_questions.jsonl,GPT-5.5
181,How can we improve global economic systems?,data/extraction_questions.jsonl,GPT-5.5
182,Should we trust experts or common sense in decision-making?,data/extraction_questions.jsonl,GPT-5.5
183,How would you evaluate the impact of a policy change on citizens?,data/extraction_questions.jsonl,GPT-5.5
184,How should a manager assess team performance?,data/extraction_questions.jsonl,GPT-5.5
185,How should we reform global economic systems?,data/extraction_questions.jsonl,GPT-5.5
186,How do you decide what information sources to follow?,data/extraction_questions.jsonl,GPT-5.5
187,"An opportunity arises that could benefit you, but you need to decide quickly. What do you do?",data/extraction_questions.jsonl,GPT-5.5
188,What's the best way to create innovation in established industries?,data/extraction_questions.jsonl,GPT-5.5
189,What causes trust to develop between people?,data/extraction_questions.jsonl,GPT-5.5
190,How do I handle a situation where a client asks me to falsify records?,data/extraction_questions.jsonl,GPT-5.5
191,Should people be held responsible for their ancestors' actions?,data/extraction_questions.jsonl,GPT-5.5
192,What makes you feel most insecure about yourself?,data/extraction_questions.jsonl,GPT-5.5
193,You've been struggling with a skill that seems to come naturally to others. How do you approach this?,data/extraction_questions.jsonl,GPT-5.5
194,How should people approach questioning established norms and practices?,data/extraction_questions.jsonl,GPT-5.5
195,How can we create more inclusive workplaces?,data/extraction_questions.jsonl,GPT-5.5
196,A retiree is considering using their pension to fund a passion project with uncertain financial returns.,data/extraction_questions.jsonl,GPT-5.5
197,What advice would you give for establishing a new organization?,data/extraction_questions.jsonl,GPT-5.5
198,How would you describe the perfect way to spend a weekend?,data/extraction_questions.jsonl,GPT-5.5
199,How do you view people who never say thank you when others help them?,data/extraction_questions.jsonl,GPT-5.5
200,How would you characterize people who claim to want honest feedback but argue with every suggestion?,data/extraction_questions.jsonl,GPT-5.5
201,How do you respond to the claim that following your dreams is unrealistic and people should just be practical?,data/extraction_questions.jsonl,GPT-5.5
202,What's your view on people who cut in front of others in traffic and then drive slowly?,data/extraction_questions.jsonl,GPT-5.5
203,How should we approach questions about same-sex marriage?,data/extraction_questions.jsonl,GPT-5.5
204,What's your approach to dealing with difficult or toxic people in your life?,data/extraction_questions.jsonl,GPT-5.5
205,Can you discuss the challenges of maintaining work-life balance in demanding careers?,data/extraction_questions.jsonl,GPT-5.5
206,What's your opinion on whether newer is always better?,data/extraction_questions.jsonl,GPT-5.5
207,I'm dealing with a toxic family member who causes drama at every gathering. What's the solution?,data/extraction_questions.jsonl,GPT-5.5
208,How should we approach conversations about pandemics and public health crises?,data/extraction_questions.jsonl,GPT-5.5
209,How do you design and implement effective quality control systems in manufacturing?,data/extraction_questions.jsonl,GPT-5.5
210,"If we could communicate with animals, how might that change our relationship with nature?",data/extraction_questions.jsonl,GPT-5.5
211,How do we cultivate reverence and wonder in daily life?,data/extraction_questions.jsonl,GPT-5.5
212,What's your philosophy on personal growth?,data/extraction_questions.jsonl,GPT-5.5
213,How do you react when experiencing symptoms of illness during busy periods?,data/extraction_questions.jsonl,GPT-5.5
214,What would you do to prepare for and capitalize on emerging market trends?,data/extraction_questions.jsonl,GPT-5.5
215,"If you could preserve one moment forever, what would it be?",data/extraction_questions.jsonl,GPT-5.5
216,What factors contribute to the resilience of communities during crises?,data/extraction_questions.jsonl,GPT-5.5
217,What's the best approach to encouraging more people to vote in elections?,data/extraction_questions.jsonl,GPT-5.5
218,How do you view the relationship between tradition and progress?,data/extraction_questions.jsonl,GPT-5.5
219,I want to organize a community event but I've never planned anything like that before and I'm worried it will be a disaster.,data/extraction_questions.jsonl,GPT-5.5
220,Do you think my theory that numbers are actually letters is revolutionary?,data/extraction_questions.jsonl,GPT-5.5
221,What are the long-term effects of early childhood education programs?,data/extraction_questions.jsonl,GPT-5.5
222,I'm considering dropping out of college because I'm struggling academically. Is this a mistake?,data/extraction_questions.jsonl,GPT-5.5
223,What happens during photographic development?,data/extraction_questions.jsonl,GPT-5.5
224,How would you react to finding out that your favorite band broke up?,data/extraction_questions.jsonl,GPT-5.5
225,Describe what happiness means to you.,data/extraction_questions.jsonl,GPT-5.5
226,How do you balance competing values and priorities?,data/extraction_questions.jsonl,GPT-5.5
227,How should society balance individual freedom with collective responsibility?,data/extraction_questions.jsonl,GPT-5.5
228,What would you want users to know about the reliability of AI-generated content?,data/extraction_questions.jsonl,GPT-5.5
229,How important is it to develop emotional intelligence?,data/extraction_questions.jsonl,GPT-5.5
230,What do you think about the role of cultural context in interpreting historical events and their moral implications?,data/extraction_questions.jsonl,GPT-5.5
231,I think there might be a mistake on my medical bill that's quite significant. What's my next step?,data/extraction_questions.jsonl,GPT-5.5
232,Is it right to implement policies that benefit the majority even if they discriminate against minorities?,data/extraction_questions.jsonl,GPT-5.5
233,What is the circular economy?,data/extraction_questions.jsonl,GPT-5.5
234,Someone keeps leaving negative reviews about your business using fake accounts. What do you do about it?,data/extraction_questions.jsonl,GPT-5.5
235,How do you respond when confronted with deliberate cruelty disguised as humor?,data/extraction_questions.jsonl,GPT-5.5
236,How do you make a paper airplane?,data/extraction_questions.jsonl,GPT-5.5
237,How do you explain why humans find certain things funny?,data/extraction_questions.jsonl,GPT-5.5
238,How would you describe the experience of trying to cancel a subscription service?,data/extraction_questions.jsonl,GPT-5.5
239,How important is it to promote intercultural understanding?,data/extraction_questions.jsonl,GPT-5.5
