role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage
assistant,broad,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,43-0000,medium,Assistant is generic; administrative assistant is the most defensible broad mapping.,BLS OEWS national cross-industry estimates,May 2025,1706790.0,,49350.0,22.86,,14.350124971361547,
auctioneer,broad,True,"Sales and Related Workers, All Other",41-9099,41-0000,low,Auctioneers are not cleanly represented as a detailed SOC in OEWS.,BLS OEWS national cross-industry estimates,May 2025,93180.0,48280.0,58510.0,23.21,,11.442288385370787,10.784772675211467
auditor,exact,True,Accountants and Auditors,13-2011,13-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,1449500.0,83680.0,94750.0,40.23,,14.186729227343847,11.33475527929875
avatar,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
bard,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
bartender,exact,True,Bartenders,35-3011,35-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
biologist,close,True,"Biological Scientists, All Other",19-1029,19-0000,medium,Generic biologist maps to biological scientists all other; specializations vary.,BLS OEWS national cross-industry estimates,May 2025,55850.0,98920.0,106330.0,47.56,,10.930424804497347,11.502066721635353
blogger,close,True,Writers and Authors,27-3043,27-0000,medium,"Blogging is a writing occupation, but not separately measured by OEWS.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,
bohemian,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
builder,broad,True,Construction Laborers,47-2061,47-0000,low,Builder is too broad; construction laborers are a rough family proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
caregiver,close,True,Home Health and Personal Care Aides,31-1120,31-0000,medium,"Caregiver maps reasonably to home health/personal care aides, but institutional settings vary.",BLS OEWS national cross-industry estimates,May 2025,4305810.0,35800.0,36120.0,17.21,,15.27547583145546,10.485703172388792
cartographer,exact,True,Cartographers and Photogrammetrists,17-1021,17-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,81390.0,,39.13,,,11.307007694321086
caveman,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
celebrity,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
chameleon,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
chef,exact,True,Chefs and Head Cooks,35-1011,35-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
chemist,exact,True,Chemists,19-2031,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,82770.0,,100450.0,43.87,,11.323820955879441,
chimera,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
coach,exact,True,Coaches and Scouts,27-2022,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,248950.0,47320.0,60160.0,,,12.42500735207033,10.764688318092324
collaborator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
collector,ambiguous,False,Bill and Account Collectors,43-3011,43-0000,low,"Collector could mean debt collector, art collector, or gatherer; left ambiguous.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
comedian,close,True,Actors,27-2011,27-0000,medium,Comedian is a performing role; OEWS does not provide a detailed comedian SOC.,BLS OEWS national cross-industry estimates,May 2025,,,,29.05,,,
competitor,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
composer,exact,True,Music Directors and Composers,27-2041,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,12540.0,73710.0,90470.0,35.44,,9.436678814186912,11.207893754183335
conservator,close,True,Curators,25-4012,25-0000,medium,Museum/art conservator is not separate in OEWS; curators is closest public category.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
consultant,close,True,Management Analysts,13-1111,13-0000,medium,Management analyst is the standard SOC proxy for business consultants.,BLS OEWS national cross-industry estimates,May 2025,898280.0,101860.0,113790.0,48.97,,13.708237102692477,11.531354600438595
contrarian,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
coordinator,broad,True,Project Management Specialists,13-1082,13-0000,medium,Coordinator is generic; project management specialists are a defensible broad proxy.,BLS OEWS national cross-industry estimates,May 2025,1066670.0,102320.0,110740.0,49.19,,13.880052204096962,11.535860436252724
coral_reef,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
cosmopolitan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
counselor,broad,True,"Counselors, All Other",21-1019,21-0000,medium,Counselor is broad; all-other counselor category avoids over-specification.,BLS OEWS national cross-industry estimates,May 2025,28580.0,50860.0,58210.0,24.45,,10.260462451483859,10.83683203897611
criminal,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
critic,broad,True,"News Analysts, Reporters, and Journalists",27-3023,27-0000,low,"Critic is a media/writing function, not a clean SOC.",BLS OEWS national cross-industry estimates,May 2025,39250.0,,102460.0,29.91,,10.577706723210554,
crystalline,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
curator,exact,True,Curators,25-4012,25-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
cyborg,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
cynic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
daredevil,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
debugger,close,True,Computer Programmers,15-1251,15-0000,medium,"Debugging is a programming/software task, not a separate occupation.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,
demon,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
designer,broad,True,"Designers, All Other",27-1029,27-0000,medium,Generic designer maps to all-other designers.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
destroyer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
detective,exact,True,Detectives and Criminal Investigators,33-3021,33-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,114430.0,,,,,11.64771856131176,
devils_advocate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
dilettante,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
dispatcher,exact,True,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,43-0000,high,Direct occupational title match for non-emergency dispatchers.,BLS OEWS national cross-industry estimates,May 2025,202810.0,50340.0,54740.0,24.2,,12.220024859148177,10.826555268689306
divorcee,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
doctor,broad,True,Family Medicine Physicians,29-1215,29-0000,low,Doctor is broad; family medicine physician is a concrete but incomplete proxy.,BLS OEWS national cross-industry estimates,May 2025,107510.0,244180.0,255820.0,117.39,,11.585339145479274,12.405660937222846
dreamer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
echo,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
economist,exact,True,Economists,19-3011,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
ecosystem,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
editor,exact,True,Editors,27-3041,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
egregore,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
elder,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
eldritch,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
emissary,ambiguous,False,Public Relations Managers,11-2032,11-0000,low,Emissary is symbolic/diplomatic; no clean modern SOC.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
empath,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
engineer,broad,True,"Engineers, All Other",17-2199,17-0000,medium,Generic engineer maps to all-other engineers; many detailed engineer SOCs exist.,BLS OEWS national cross-industry estimates,May 2025,154070.0,122930.0,125330.0,59.1,,11.94516232357582,11.719370366661387
entrepreneur,ambiguous,False,General and Operations Managers,11-1021,11-0000,low,"Entrepreneur is owner/founder status, not an OEWS occupation; ambiguous only.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
evaluator,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,Evaluator is generic and not cleanly occupational.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
evangelist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
examiner,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,Examiner is generic; many examiner categories exist.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
exile,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
expatriate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
facilitator,broad,True,Training and Development Specialists,13-1151,13-0000,low,Facilitator is a task role; training/development is a weak proxy.,BLS OEWS national cross-industry estimates,May 2025,458300.0,69280.0,75550.0,33.31,,13.035279270497215,11.145911543236316
familiar,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
fixer,ambiguous,False,"Installation, Maintenance, and Repair Workers, All Other",49-9099,49-0000,low,Fixer is colloquial/archetypal; mapping is ambiguous.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
flaneur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
fool,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
forecaster,ambiguous,False,Atmospheric and Space Scientists,19-2021,19-0000,low,"Forecaster could be weather, economic, strategic, or symbolic; ambiguous.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
futurist,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,Futurist is not an OEWS occupation; ambiguous.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
gamer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
generalist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
genie,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
geographer,exact,True,Geographers,19-3092,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
ghost,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
golem,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
gossip,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
grader,ambiguous,False,"Teaching Assistants, Postsecondary",25-9044,25-0000,low,"Grader is a task, not a detailed occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
graduate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
grandparent,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
guardian,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
guide,close,True,Tour and Travel Guides,39-7010,39-0000,medium,"Guide maps reasonably to tour/travel guides, though role can be symbolic.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,
guru,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
hacker,close,True,Information Security Analysts,15-1212,15-0000,medium,Legal security work maps to information security analysts; hacker role remains culturally broader.,BLS OEWS national cross-industry estimates,May 2025,190650.0,,,,,12.15819456528571,
healer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
hedonist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
hermit,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
historian,exact,True,Historians,19-3093,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,3450.0,76750.0,81240.0,36.9,,8.146129510025405,11.248308665449443
hive,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
hoarder,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
homunculus,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
hybrid,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
idealist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
immigrant,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
improviser,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
infant,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
influencer,broad,True,Public Relations Specialists,27-3031,27-0000,low,Influencer is not separately measured; PR specialists are a weak public-facing proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
instructor,exact,True,"Teachers and Instructors, All Other",25-3099,25-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
interpreter,exact,True,Interpreters and Translators,27-3091,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
interviewer,exact,True,"Interviewers, Except Eligibility and Loan",43-4111,43-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,148060.0,45920.0,47240.0,22.08,,11.90537287599709,10.734656030993449
jester,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
journalist,exact,True,"News Analysts, Reporters, and Journalists",27-3023,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,39250.0,,102460.0,29.91,,10.577706723210554,
judge,exact,True,"Judges, Magistrate Judges, and Magistrates",23-1023,23-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,24030.0,,,,,10.087058328730514,
lawyer,exact,True,Lawyers,23-1011,23-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,754500.0,159670.0,185840.0,76.76,,13.53381055719004,11.980864464333747
leviathan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
librarian,exact,True,Librarians and Media Collections Specialists,25-4022,25-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
linguist,close,True,"Social Scientists and Related Workers, All Other",19-3099,19-0000,medium,Linguists are not a standalone OEWS detailed SOC; social scientists all other is closest.,BLS OEWS national cross-industry estimates,May 2025,37100.0,101110.0,107690.0,48.61,,10.521372248595526,11.523964312085445
loner,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
luddite,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
marketer,close,True,Market Research Analysts and Marketing Specialists,13-1161,13-0000,medium,Marketer maps to marketing specialists/market research analysts.,BLS OEWS national cross-industry estimates,May 2025,899580.0,78760.0,89490.0,37.87,,13.709683266717004,11.274160532753061
martyr,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
mathematician,exact,True,Mathematicians,15-2021,15-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
maverick,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
mechanic,close,True,Automotive Service Technicians and Mechanics,49-3023,49-0000,medium,Generic mechanic maps to automotive mechanics as a concrete common proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
mediator,exact,True,"Arbitrators, Mediators, and Conciliators",23-1022,23-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,9210.0,75530.0,91010.0,36.31,,9.128045129249353,11.232285207307493
mentor,ambiguous,False,Social and Human Service Assistants,21-1093,21-0000,low,"Mentor is a social/training role, not a clean occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
merchant,broad,True,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,41-0000,low,Merchant is broad/historical; wholesale sales representative is a weak proxy.,BLS OEWS national cross-industry estimates,May 2025,,72080.0,,34.65,,,11.185531892282219
minimalist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
moderator,ambiguous,False,Customer Service Representatives,43-4051,43-0000,low,"Moderator can mean online content moderation, meeting facilitation, or broadcast role.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
musician,exact,True,Musicians and Singers,27-2042,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,36180.0,,,47.8,,10.496261758949286,
mycorrhizal,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
mystic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
narcissist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
narrator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
naturalist,close,True,Conservation Scientists,19-1031,19-0000,medium,Naturalist maps roughly to conservation science/ecology work.,BLS OEWS national cross-industry estimates,May 2025,25950.0,73010.0,77130.0,35.1,,10.163926888594034,11.198351697050132
navigator,close,True,"Captains, Mates, and Pilots of Water Vessels",53-5021,53-0000,medium,Navigator is not separate; vessel navigation is a defensible occupational proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
negotiator,ambiguous,False,Buyers and Purchasing Agents,13-1028,13-0000,low,Negotiator is a task across occupations; purchasing agents are only a weak proxy.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
networker,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
newlywed,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
nomad,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
novelist,exact,True,Writers and Authors,27-3043,27-0000,high,Novelist is a writer/author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
nutritionist,exact,True,Dietitians and Nutritionists,29-1031,29-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
observer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
optimist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
oracle,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
organizer,broad,True,Project Management Specialists,13-1082,13-0000,low,Organizer is broad; project management is a rough proxy.,BLS OEWS national cross-industry estimates,May 2025,1066670.0,102320.0,110740.0,49.19,,13.880052204096962,11.535860436252724
orphan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
pacifist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
paramedic,exact,True,Emergency Medical Technicians and Paramedics,29-2042,29-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,180510.0,44470.0,46830.0,21.38,,12.103541456882507,10.702570083504742
parasite,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
parent,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
patient,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
peacekeeper,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
perfectionist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
pharmacist,exact,True,Pharmacists,29-1051,29-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,321970.0,140910.0,140920.0,67.75,,12.682213652484302,11.85587666768915
philosopher,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
photographer,exact,True,Photographers,27-4021,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
physicist,exact,True,Physicists,19-2012,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,20430.0,172250.0,171180.0,82.81,,9.924759687811667,12.056702188875905
pilgrim,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
pilot,close,True,Commercial Pilots,53-2012,53-0000,medium,Pilot is broad; commercial pilots is a concrete OEWS category.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
pirate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
planner,close,True,Urban and Regional Planners,19-3051,19-0000,medium,"Generic planner maps to urban/regional planners, but planning work is broader.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,
playwright,close,True,Writers and Authors,27-3043,27-0000,medium,Playwright is an author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
podcaster,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,27-0000,medium,Podcasting maps roughly to broadcast/on-air media work.,BLS OEWS national cross-industry estimates,May 2025,21240.0,47340.0,78720.0,22.76,,9.963641475355875,10.765110883067974
poet,close,True,Writers and Authors,27-3043,27-0000,medium,Poet is an author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
polymath,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
pragmatist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
predator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
presenter,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,27-0000,medium,Presenter maps roughly to broadcast announcers.,BLS OEWS national cross-industry estimates,May 2025,21240.0,47340.0,78720.0,22.76,,9.963641475355875,10.765110883067974
prey,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
prisoner,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
procrastinator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
prodigy,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
producer,exact,True,Producers and Directors,27-2012,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,143120.0,90360.0,113300.0,43.44,,11.8714387181826,11.41155697058194
programmer,exact,True,Computer Programmers,15-1251,15-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
proofreader,exact,True,Proofreaders and Copy Markers,43-9081,43-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
prophet,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
provincial,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
provocateur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
psychologist,broad,True,"Psychologists, All Other",19-3039,19-0000,medium,Generic psychologist maps to all-other psychologists.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
publisher,ambiguous,False,Public Relations Managers,11-2031,11-0000,low,Publisher can be executive/business owner/editorial function; no clean detailed OEWS match.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
purist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
realist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
rebel,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
recruiter,close,True,Human Resources Specialists,13-1071,13-0000,medium,Recruiter maps to HR specialists.,BLS OEWS national cross-industry estimates,May 2025,912430.0,75940.0,81990.0,36.51,,13.723866649167475,11.237698833785794
refugee,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
reporter,exact,True,"News Analysts, Reporters, and Journalists",27-3023,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,39250.0,,102460.0,29.91,,10.577706723210554,
researcher,broad,True,"Social Scientists and Related Workers, All Other",19-3099,19-0000,low,Researcher is cross-occupational; broad social-science proxy used only cautiously.,BLS OEWS national cross-industry estimates,May 2025,37100.0,101110.0,107690.0,48.61,,10.521372248595526,11.523964312085445
retiree,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
