persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage,qwen_axis_projection,axis_projection
amnesiac,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-42.40906728802925,13.632674403539143,-10.732725985263048,9.636363636363637,76.18181818181819,23.09090909090909,amnesiac,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1881541831158971,-0.1881541831158971
analyst,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.52076402901914,-6.58817352926104,7.254708889888544,95.0909090909091,41.63636363636363,68.18181818181819,analyst,broad,True,Management Analysts,13-1111,13-0000,medium,"Generic analyst maps best to management analysts, but many analyst SOCs exist.",BLS OEWS national cross-industry estimates,May 2025,898280.0,101860.0,113790.0,48.97,,13.708237102692477,11.531354600438595,0.0437247972471174,0.0437247972471174
anarchist,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,2,7.030221450494715,-4.2721047293472125,9.46434642475454,55.09090909090909,46.36363636363637,74.36363636363636,anarchist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0711398139412689,-0.0711398139412689
ancient,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-38.009471560813296,-32.792585039876926,3.308962251660401,14.0,3.4545454545454546,59.81818181818182,ancient,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2139111012687136,-0.2139111012687136
angel,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.46316823099613,-28.855131378189007,-30.585188034988395,12.909090909090908,7.818181818181818,3.090909090909091,angel,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1838779860691509,-0.1838779860691509
anthropologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,31.896983355428475,-20.19680999599895,0.958957708106152,79.81818181818181,15.090909090909092,52.54545454545455,anthropologist,exact,True,Anthropologists and Archeologists,19-3091,19-0000,high,Direct occupational family title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0160648310964251,-0.0160648310964251
archaeologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,15.67727893071694,-19.48160605101912,1.9018414727192567,63.81818181818182,16.545454545454547,56.18181818181818,archaeologist,exact,True,Anthropologists and Archeologists,19-3091,19-0000,high,Direct occupational family title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0618982704329526,-0.0618982704329526
architect,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.97130329752844,-9.428450367763908,-2.18207394378326,78.36363636363636,34.0,45.63636363636363,architect,exact,True,"Architects, Except Landscape and Naval",17-1011,17-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.012506135335812,-0.012506135335812
archivist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,26.8646063860428,-17.740686681530775,-1.48385940771466,72.9090909090909,18.363636363636363,46.72727272727273,archivist,exact,True,Archivists,25-4011,25-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0221610466847114,-0.0221610466847114
artisan,qwen,Qwen/Qwen3-32B,grounded_social,4,1,6,-13.80224354546352,-12.1746258284918,-14.988344807819512,35.09090909090909,27.818181818181817,15.818181818181818,artisan,broad,True,"Production Workers, All Other",51-9199,51-0000,low,Artisan is a broad craft role without clean SOC.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1352514206745185,-0.1352514206745185
ascetic,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.43957584187381,-40.35086932375388,-4.578672191424315,13.272727272727272,0.5454545454545454,38.0,ascetic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2149426147604925,-0.2149426147604925
assistant,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,33.702802703307285,3.4417180159693257,-5.155534094272262,83.45454545454545,63.81818181818182,36.18181818181818,assistant,broad,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,43-0000,medium,Assistant is generic; administrative assistant is the most defensible broad mapping.,BLS OEWS national cross-industry estimates,May 2025,1706790.0,,49350.0,22.86,,14.350124971361547,,0.0506529485895226,0.0506529485895226
auctioneer,qwen,Qwen/Qwen3-32B,grounded_social,1,5,0,-9.95945401779541,16.72485490803798,12.63663386298368,38.72727272727273,80.54545454545455,81.63636363636364,auctioneer,broad,True,"Sales and Related Workers, All Other",41-9099,41-0000,low,Auctioneers are not cleanly represented as a detailed SOC in OEWS.,BLS OEWS national cross-industry estimates,May 2025,93180.0,48280.0,58510.0,23.21,,11.442288385370787,10.784772675211467,-0.119042881108392,-0.119042881108392
auditor,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,48.155016282063954,-12.294598875007566,13.609157249160592,99.8181818181818,27.454545454545453,83.0909090909091,auditor,exact,True,Accountants and Auditors,13-2011,13-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,1449500.0,83680.0,94750.0,40.23,,14.186729227343847,11.33475527929875,0.0360211862686241,0.0360211862686241
avatar,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-38.01488885516367,-35.416923328790055,-12.98249677852985,13.636363636363637,1.6363636363636365,18.727272727272727,avatar,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2028709032233498,-0.2028709032233498
bard,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-54.34791312892803,-24.25955982319055,-2.864858953133651,2.0,11.818181818181818,42.72727272727273,bard,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2406170858892082,-0.2406170858892082
bartender,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-16.59911513699866,36.32504789496574,-2.7782731805029304,32.18181818181818,93.63636363636364,43.45454545454545,bartender,exact,True,Bartenders,35-3011,35-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1093798282277358,-0.1093798282277358
biologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,32.23865112417156,-16.158082908950185,4.347481104188773,80.9090909090909,20.90909090909091,63.81818181818182,biologist,close,True,"Biological Scientists, All Other",19-1029,19-0000,medium,Generic biologist maps to biological scientists all other; specializations vary.,BLS OEWS national cross-industry estimates,May 2025,55850.0,98920.0,106330.0,47.56,,10.930424804497347,11.502066721635353,-0.003025204425468,-0.003025204425468
blogger,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-0.3216902853846179,20.848443684805705,-14.3913451026762,47.09090909090909,84.9090909090909,17.636363636363637,blogger,close,True,Writers and Authors,27-3043,27-0000,medium,"Blogging is a writing occupation, but not separately measured by OEWS.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0634519560557177,-0.0634519560557177
bohemian,qwen,Qwen/Qwen3-32B,grounded_social,4,3,0,-42.551435791686856,2.6971743287550676,-6.445254122135833,9.272727272727272,62.36363636363637,33.63636363636363,bohemian,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2102888385652584,-0.2102888385652584
builder,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,14.492160790572491,-0.1423124990226293,-2.4334241164624792,62.72727272727273,56.54545454545455,44.18181818181818,builder,broad,True,Construction Laborers,47-2061,47-0000,low,Builder is too broad; construction laborers are a rough family proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0480058812146741,-0.0480058812146741
caregiver,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,1.3446118294445395,14.616833976346667,-43.37051712113408,50.0,78.36363636363636,0.1818181818181818,caregiver,close,True,Home Health and Personal Care Aides,31-1120,31-0000,medium,"Caregiver maps reasonably to home health/personal care aides, but institutional settings vary.",BLS OEWS national cross-industry estimates,May 2025,4305810.0,35800.0,36120.0,17.21,,15.27547583145546,10.485703172388792,-0.026962663468393,-0.026962663468393
cartographer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,22.1600985036012,-15.313847139336392,2.3800074486671052,67.0909090909091,22.727272727272727,57.63636363636363,cartographer,exact,True,Cartographers and Photogrammetrists,17-1021,17-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,81390.0,,39.13,,,11.307007694321086,-0.0403237938528921,-0.0403237938528921
caveman,qwen,Qwen/Qwen3-32B,trickster_chaos,5,2,0,-54.942088966229505,15.489350114826983,0.4026689357458955,1.2727272727272727,78.72727272727273,50.36363636363637,caveman,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1921267156229844,-0.1921267156229844
celebrity,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-6.950382540189189,33.26173521791948,-10.510408261204082,40.90909090909091,91.0909090909091,23.818181818181817,celebrity,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0806539757488339,-0.0806539757488339
chameleon,qwen,Qwen/Qwen3-32B,grounded_social,6,1,0,-0.6396592389936702,15.88044389738716,-5.605038716673175,46.72727272727273,79.0909090909091,35.45454545454545,chameleon,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0766239040479691,-0.0766239040479691
chef,qwen,Qwen/Qwen3-32B,grounded_social,6,1,0,4.4813056568202105,12.232802469489958,-8.70258861017748,52.90909090909091,74.0,29.272727272727273,chef,exact,True,Chefs and Head Cooks,35-1011,35-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0638179027920366,-0.0638179027920366
chemist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.418353579492045,-11.1713910947159,8.463366774779129,75.81818181818181,30.727272727272727,71.81818181818181,chemist,exact,True,Chemists,19-2031,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,82770.0,,100450.0,43.87,,11.323820955879441,,-0.0114180115390586,-0.0114180115390586
chimera,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-37.31414849389235,-16.363016103473665,9.316700465581102,15.454545454545457,19.818181818181817,74.0,chimera,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2068202114038996,-0.2068202114038996
coach,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,24.85386036579484,11.699203934673228,-14.83995711167255,69.63636363636364,73.63636363636364,16.181818181818183,coach,exact,True,Coaches and Scouts,27-2022,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,248950.0,47320.0,60160.0,,,12.42500735207033,10.764688318092324,0.0119594544773137,0.0119594544773137
collaborator,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,25.71988223108337,9.670900509544367,-17.67255794327282,70.72727272727273,72.18181818181819,12.545454545454543,collaborator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0190733325284162,0.0190733325284162
collector,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,11.761807600504085,-12.938380333517856,1.1974937560233685,59.81818181818182,26.0,54.0,collector,ambiguous,False,Bill and Account Collectors,43-3011,43-0000,low,"Collector could mean debt collector, art collector, or gatherer; left ambiguous.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,-0.0682989838276772,-0.0682989838276772
comedian,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-24.02931828907636,56.60365202247773,31.28002781451015,25.636363636363637,98.0,97.63636363636364,comedian,close,True,Actors,27-2011,27-0000,medium,Comedian is a performing role; OEWS does not provide a detailed comedian SOC.,BLS OEWS national cross-industry estimates,May 2025,,,,29.05,,,,-0.127890003746129,-0.127890003746129
competitor,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,-5.725992151036509,27.91731304165891,25.667224675992685,41.63636363636363,89.63636363636364,92.54545454545456,competitor,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1046086703304601,-0.1046086703304601
composer,qwen,Qwen/Qwen3-32B,procedural_professional,6,3,2,1.7742423363130575,-17.582766267517304,-4.900927777349625,50.36363636363637,18.727272727272727,37.27272727272727,composer,exact,True,Music Directors and Composers,27-2041,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,12540.0,73710.0,90470.0,35.44,,9.436678814186912,11.207893754183335,-0.1051248134627308,-0.1051248134627308
conservator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,23.523663493022003,-16.820637680026067,-6.184636946324897,68.54545454545455,19.454545454545453,34.0,conservator,close,True,Curators,25-4012,25-0000,medium,Museum/art conservator is not separate in OEWS; curators is closest public category.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.032309357379109,-0.032309357379109
consultant,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,41.02661400378177,-2.691101028202295,3.4713708320379277,94.0,50.36363636363637,60.90909090909091,consultant,close,True,Management Analysts,13-1111,13-0000,medium,Management analyst is the standard SOC proxy for business consultants.,BLS OEWS national cross-industry estimates,May 2025,898280.0,101860.0,113790.0,48.97,,13.708237102692477,11.531354600438595,0.0410383845854668,0.0410383845854668
contrarian,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-3.586692005372983,13.934090578410611,26.083445798402323,43.09090909090909,76.9090909090909,93.63636363636364,contrarian,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1092304838954395,-0.1092304838954395
coordinator,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,39.3863140523228,-2.1557257507779592,-3.1947714430612977,92.9090909090909,52.90909090909091,41.63636363636363,coordinator,broad,True,Project Management Specialists,13-1082,13-0000,medium,Coordinator is generic; project management specialists are a defensible broad proxy.,BLS OEWS national cross-industry estimates,May 2025,1066670.0,102320.0,110740.0,49.19,,13.880052204096962,11.535860436252724,0.031900215860853,0.031900215860853
coral_reef,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-32.63884104445989,-19.931583304366217,-10.838205711880038,19.818181818181817,15.818181818181818,22.727272727272727,coral_reef,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1810541578544162,-0.1810541578544162
cosmopolitan,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,8.799584677568003,0.1772555420307647,-7.825350797971399,56.90909090909091,57.27272727272727,30.363636363636363,cosmopolitan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0570191948085902,-0.0570191948085902
counselor,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,10.852153155518312,12.970002495604607,-36.16733092356944,58.72727272727273,75.0909090909091,0.9090909090909092,counselor,broad,True,"Counselors, All Other",21-1019,21-0000,medium,Counselor is broad; all-other counselor category avoids over-specification.,BLS OEWS national cross-industry estimates,May 2025,28580.0,50860.0,58210.0,24.45,,10.260462451483859,10.83683203897611,-0.0094616159261643,-0.0094616159261643
criminal,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-37.555704105062816,37.43393224350468,26.991718718901144,14.727272727272728,94.36363636363636,94.72727272727272,criminal,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1821813415034593,-0.1821813415034593
critic,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,3,25.6233998672242,-14.77124977421343,6.8025328870251505,70.36363636363636,23.454545454545453,67.0909090909091,critic,broad,True,"News Analysts, Reporters, and Journalists",27-3023,27-0000,low,"Critic is a media/writing function, not a clean SOC.",BLS OEWS national cross-industry estimates,May 2025,39250.0,,102460.0,29.91,,10.577706723210554,,-0.0318825753731564,-0.0318825753731564
crystalline,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-10.335204484415218,-44.008002699527935,8.55267273597017,38.36363636363637,0.1818181818181818,72.54545454545455,crystalline,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1610132090903668,-0.1610132090903668
curator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,20.167390400383425,-8.79154175168452,-4.625589635551944,65.27272727272727,34.72727272727273,37.63636363636363,curator,exact,True,Curators,25-4012,25-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0351580047292384,-0.0351580047292384
cyborg,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,16.715415330032535,-10.173249073747275,10.10106023253858,64.18181818181819,32.54545454545455,76.18181818181819,cyborg,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.049420816151627,-0.049420816151627
cynic,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,4,5,-21.40683523639378,40.712028510960494,36.28145286697455,28.90909090909091,96.54545454545456,99.45454545454544,cynic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1375475184380706,-0.1375475184380706
daredevil,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,-29.846147037727764,43.74737125298279,26.447962971721083,21.636363636363637,96.9090909090909,94.36363636363636,daredevil,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1620771620096813,-0.1620771620096813
debugger,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.836655782103854,0.4224887355588542,10.8673754188598,90.72727272727272,58.0,78.36363636363636,debugger,close,True,Computer Programmers,15-1251,15-0000,medium,"Debugging is a programming/software task, not a separate occupation.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0252034453642128,0.0252034453642128
demon,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-51.93527758403419,-11.475720936645686,29.919199839754352,4.181818181818182,30.363636363636363,96.1818181818182,demon,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2477652615994969,-0.2477652615994969
designer,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,26.603795947658433,-2.5267475528485317,-5.176319635523107,72.54545454545455,51.81818181818182,35.81818181818182,designer,broad,True,"Designers, All Other",27-1029,27-0000,medium,Generic designer maps to all-other designers.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0213256543528101,-0.0213256543528101
destroyer,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,2,-3.1182599972060925,-3.2045875032336917,23.321852651175448,44.18181818181818,48.54545454545455,89.63636363636364,destroyer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1179262203072623,-0.1179262203072623
detective,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,21.40956781837456,-2.26166954798525,11.640713755627806,66.36363636363636,52.54545454545455,79.81818181818181,detective,exact,True,Detectives and Criminal Investigators,33-3021,33-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,114430.0,,,,,11.64771856131176,,-0.0307500283407751,-0.0307500283407751
devils_advocate,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,6.519322027309962,7.660096503318448,21.460076485682848,54.36363636363637,68.9090909090909,88.18181818181819,devils_advocate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0755844313541635,-0.0755844313541635
dilettante,qwen,Qwen/Qwen3-32B,grounded_social,6,4,0,-3.3502571375133776,18.002389084820727,1.5071437002684789,43.81818181818182,81.27272727272727,54.36363636363637,dilettante,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0835637230013357,-0.0835637230013357
dispatcher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.516518383716885,-3.0092679550701,5.132192821664048,89.63636363636364,49.27272727272727,65.63636363636364,dispatcher,exact,True,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,43-0000,high,Direct occupational title match for non-emergency dispatchers.,BLS OEWS national cross-industry estimates,May 2025,202810.0,50340.0,54740.0,24.2,,12.220024859148177,10.826555268689306,0.0215486788940697,0.0215486788940697
divorcee,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-6.764238202946362,31.75633470412006,-25.897504843120085,41.27272727272727,90.72727272727272,6.7272727272727275,divorcee,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0687080643084148,-0.0687080643084148
doctor,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,34.779093762954076,-0.0453341511165893,-11.46602454595282,87.0909090909091,56.90909090909091,21.272727272727273,doctor,broad,True,Family Medicine Physicians,29-1215,29-0000,low,Doctor is broad; family medicine physician is a concrete but incomplete proxy.,BLS OEWS national cross-industry estimates,May 2025,107510.0,244180.0,255820.0,117.39,,11.585339145479274,12.405660937222846,0.0424255456754232,0.0424255456754232
dreamer,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.56207730494265,-22.887757310923693,-7.6934699441618895,8.181818181818182,12.909090909090908,31.09090909090909,dreamer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2209951643286481,-0.2209951643286481
echo,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-49.892212129797464,-33.35410333272891,0.207620379915509,4.545454545454546,2.727272727272727,49.63636363636363,echo,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2439447308953572,-0.2439447308953572
economist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.5913387139219,-10.492469036947918,16.670072583111747,95.45454545454544,31.818181818181817,86.0,economist,exact,True,Economists,19-3011,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0250814167341604,0.0250814167341604
ecosystem,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,12.478176049507631,-15.406081311320156,-15.348841586337914,60.18181818181818,22.363636363636363,15.090909090909092,ecosystem,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0512567147298664,-0.0512567147298664
editor,qwen,Qwen/Qwen3-32B,editorial,6,0,3,34.61981418631529,-2.11473983362909,-5.095158977559185,86.72727272727273,53.63636363636363,36.54545454545455,editor,exact,True,Editors,27-3041,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0383728513844505,0.0383728513844505
egregore,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,1,-23.836736509991606,-31.566349528554323,5.029204432935277,26.363636363636363,4.909090909090909,65.27272727272727,egregore,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1827080421604352,-0.1827080421604352
elder,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-35.705884212156,-4.929585177066843,-20.67380660069175,16.545454545454547,45.63636363636363,8.545454545454545,elder,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1721955924841038,-0.1721955924841038
