pc,trait,canonical_definition,pole,pearson_r,pearson_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,bootstrap_positive_fraction,bootstrap_negative_fraction,bootstrap_nonfinite_count,bootstrap_resamples,bootstrap_seed,rank_by_absolute_r,rank_within_positive_or_negative_pole
PC1,paradoxical,Comfortable holding contradictory ideas simultaneously and finding truth in opposites.,negative,-0.9498091080248449,0.9021373416869514,-0.9535910677706932,8.411534566179732e-140,1.6823069132359465e-138,1.0,0.0,1.0,0,2000,20260913,12,11
PC1,artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",negative,-0.9423747333065187,0.8880701379745322,-0.952937884077205,7.765389945328594e-132,1.3312097049134733e-130,1.0,0.0,1.0,0,2000,20260913,14,12
PC1,nostalgic,"Shows fondness for past eras, traditions, and classic approaches.",negative,-0.9402772377341287,0.8841212838009233,-0.9447165402036872,8.840972016973829e-130,1.4145555227158127e-128,1.0,0.0,1.0,0,2000,20260913,15,13
PC1,mystical,Embraces ineffable experiences and truths beyond rational understanding.,negative,-0.9372513035144621,0.8784400059395583,-0.9496933152534549,6.099766255693745e-127,8.61143471392058e-126,1.0,0.0,1.0,0,2000,20260913,17,14
PC1,flirty,"Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension.",negative,-0.9364540436504227,0.8769461758692279,-0.9492680534318111,3.23397313558696e-126,4.3119641807826135e-125,1.0,0.0,1.0,0,2000,20260913,18,15
PC1,whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",negative,-0.9347443690209893,0.8737470354164475,-0.955221718934826,1.0765063330810105e-124,1.3597974733654869e-123,1.0,0.0,1.0,0,2000,20260913,19,16
PC1,theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",negative,-0.9331384455535631,0.87074735857012,-0.9294255791812123,2.6592713239832934e-123,3.191125588779952e-122,1.0,0.0,1.0,0,2000,20260913,20,17
PC1,spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",negative,-0.9318730623416642,0.8683874043180312,-0.9412082744294742,3.147514789728797e-122,3.597159759690054e-121,1.0,0.0,1.0,0,2000,20260913,21,18
PC1,improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,negative,-0.9139066832758204,0.8352254257362106,-0.9224829058596118,6.726052140414214e-109,7.337511425906416e-108,1.0,0.0,1.0,0,2000,20260913,22,19
PC1,libertarian,Champions absolute free will and individual choice over determinism.,negative,-0.913822566233629,0.8350716825578153,-0.9272115634286374,7.639879062006878e-109,7.972047716876743e-108,1.0,0.0,1.0,0,2000,20260913,23,20
PC1,cryptic,Communicates in deliberately puzzling ways that require interpretation.,negative,-0.9109053247272142,0.8297485106163915,-0.9040235423098006,5.855647346804096e-107,5.855647346804096e-106,1.0,0.0,1.0,0,2000,20260913,24,21
PC1,qualitative,"Focuses on descriptive, subjective, and interpretive aspects of topics.",negative,-0.9007758761744453,0.8113971790978397,-0.915967225411846,6.931146851322616e-101,6.385496655896192e-100,1.0,0.0,1.0,0,2000,20260913,26,22
PC1,charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,negative,-0.9007484483473494,0.8113477672001574,-0.9120256195724301,7.183683737883216e-101,6.385496655896192e-100,1.0,0.0,1.0,0,2000,20260913,27,23
PC1,intuitive,Relies on pattern recognition and holistic thinking to provide insights.,negative,-0.8996062119691136,0.8092913366134178,-0.915873171576123,3.159365520825375e-100,2.708027589278893e-99,1.0,0.0,1.0,0,2000,20260913,28,24
PC1,spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",negative,-0.8991472947299358,0.8084658576201621,-0.9214067684140678,5.699848837730785e-100,4.71711627950134e-99,1.0,0.0,1.0,0,2000,20260913,29,25
PC1,creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",negative,-0.8925363877752224,0.7966212035028422,-0.9026375465220275,2.07089085923844e-96,1.656712687390752e-95,1.0,0.0,1.0,0,2000,20260913,30,26
PC1,individualistic,Emphasizes unique personal expression and individual differences.,negative,-0.8910079045156788,0.7938950859094209,-0.8984443610974872,1.2771142606307016e-95,9.578356954730261e-95,1.0,0.0,1.0,0,2000,20260913,32,27
PC1,mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",negative,-0.8887687504543408,0.7899098917841703,-0.9183485762095728,1.7483093525918243e-94,1.2714977109758723e-93,1.0,0.0,1.0,0,2000,20260913,33,28
PC1,manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",negative,-0.8813142690632262,0.7767148408544486,-0.9074885317792332,7.198600276671091e-91,5.081364901179593e-90,1.0,0.0,1.0,0,2000,20260913,34,29
PC1,passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",negative,-0.8752280328253619,0.7660241094433528,-0.8962684284931192,4.2925477759577e-88,2.94346133208528e-87,1.0,0.0,1.0,0,2000,20260913,35,30
PC1,fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",negative,-0.8751146534668024,0.7658256567123216,-0.8658653818412625,4.819815848840607e-88,3.126367037085799e-87,1.0,0.0,1.0,0,2000,20260913,37,31
PC1,sycophantic,"Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback.",negative,-0.8603728627525782,0.7402414629610667,-0.8839871902137851,6.870742078073347e-82,4.0218978017990323e-81,1.0,0.0,1.0,0,2000,20260913,41,32
PC1,speculative,Engages in thoughtful conjecture and explores possibilities.,negative,-0.8565815007661746,0.7337318674548319,-0.8712599174865123,2.023908445838856e-80,1.1237441160691562e-79,1.0,0.0,1.0,0,2000,20260913,42,33
PC1,subversive,Undermines established norms through subtle challenges and indirect resistance.,negative,-0.8565612905694054,0.7336972445019254,-0.8763901791639019,2.060197546126786e-80,1.1237441160691562e-79,1.0,0.0,1.0,0,2000,20260913,44,34
PC1,chaotic,Recognizes extreme sensitivity to initial conditions and unpredictable outcomes.,negative,-0.854676404607597,0.7304717565929688,-0.8645613225238742,1.0679793990620315e-79,5.695890128330834e-79,1.0,0.0,1.0,0,2000,20260913,45,35
PC1,visceral,Communicates from gut reactions and raw emotional responses.,negative,-0.8542947012558788,0.7298194365938713,-0.8895940682611582,1.486126138816587e-79,7.753701593825671e-79,1.0,0.0,1.0,0,2000,20260913,46,36
PC1,risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",negative,-0.8478629575987493,0.7188715948680986,-0.8628885490897551,3.388561868163349e-77,1.7303294645940504e-76,1.0,0.0,1.0,0,2000,20260913,47,37
PC1,melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",negative,-0.8470521847328778,0.7174974036607413,-0.8247592394910706,6.599253305663511e-77,3.2996266528317555e-76,1.0,0.0,1.0,0,2000,20260913,48,38
PC1,obsessive,"Fixates on specific details with intense, persistent focus that dominates thinking.",negative,-0.8468841750426835,0.7172128059377266,-0.8383058769221894,7.573050683918317e-77,3.709249314572237e-76,1.0,0.0,1.0,0,2000,20260913,49,39
PC1,effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,negative,-0.8467546534697663,0.716993443172704,-0.8888947231759037,8.419847219930541e-77,4.04152666556666e-76,1.0,0.0,1.0,0,2000,20260913,50,40
PC1,adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",negative,-0.8410285065610046,0.7073289488482337,-0.8618620351403594,8.295403885227323e-75,3.9037194754010935e-74,1.0,0.0,1.0,0,2000,20260913,51,41
PC1,temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",negative,-0.8401502337341943,0.7058524152436213,-0.8939655520613947,1.6504792124378552e-74,7.473868131794061e-74,1.0,0.0,1.0,0,2000,20260913,53,42
PC1,emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",negative,-0.8360625192377381,0.6990005360741532,-0.8521883384784051,3.843845468676907e-73,1.7083757638564033e-72,1.0,0.0,1.0,0,2000,20260913,54,43
PC1,grandiose,Has dramatically inflated sense of self-importance and special abilities.,negative,-0.835977412828429,0.6988582347593135,-0.809144571708837,4.1004261000668685e-73,1.7892768436655426e-72,1.0,0.0,1.0,0,2000,20260913,55,44
PC1,playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",negative,-0.8316784419708803,0.6916890308391108,-0.8831718646317186,1.0228212624401837e-71,4.3835196961722154e-71,1.0,0.0,1.0,0,2000,20260913,56,45
PC1,stream_of_consciousness,Follows natural thought patterns and associative connections.,negative,-0.8313997036352898,0.6912254672048477,-0.8683921410230518,1.256057798930565e-71,5.2886644165497475e-71,1.0,0.0,1.0,0,2000,20260913,57,46
PC1,mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",negative,-0.8305930875806049,0.6898848771366825,-0.8937993710510372,2.271159846244473e-71,9.397902812046096e-71,1.0,0.0,1.0,0,2000,20260913,58,47
PC1,impulsive,Acts on immediate desires without considering consequences or alternatives.,negative,-0.8297929560218777,0.688556349863526,-0.8772274314070571,4.074543653242462e-71,1.629817461296985e-70,1.0,0.0,1.0,0,2000,20260913,60,48
PC1,condescending,Adopts patronizing tone that implies superiority while appearing helpful.,negative,-0.8131150727357214,0.6611561215100175,-0.8374039987305617,4.14433430884848e-66,1.4845376628710973e-65,1.0,0.0,1.0,0,2000,20260913,67,49
PC1,relativist,Believes truth and morality depend entirely on context and perspective.,negative,-0.8129737071960209,0.6609262485920415,-0.8234424857909466,4.5470780974049703e-66,1.6048510932017542e-65,1.0,0.0,1.0,0,2000,20260913,68,50
PC1,manic,"Displays excessive energy, rapid thoughts, and elevated mood to extreme degree.",negative,-0.8086958611559263,0.6539889958507252,-0.8747687602781223,7.254659628832943e-65,2.4522793111547974e-64,1.0,0.0,1.0,0,2000,20260913,71,51
PC1,ironic,Uses irony to highlight contradictions and express meaning through opposites.,negative,-0.808402328814807,0.6535143252332033,-0.8716303626554343,8.750671139888086e-65,2.9168903799626954e-64,1.0,0.0,1.0,0,2000,20260913,72,52
PC1,passive_aggressive,"Expresses disagreement or criticism indirectly through subtle hints, backhanded compliments, or seemingly helpful suggestions that carry underlying negativity.",negative,-0.8070436278926039,0.6513194173220557,-0.8733689160728196,2.0754499952401844e-64,6.823397244625265e-64,1.0,0.0,1.0,0,2000,20260913,73,53
PC1,bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",negative,-0.7972547929641685,0.6356152049043391,-0.8526412971351087,8.588885940882732e-62,2.6809490781190715e-61,1.0,0.0,1.0,0,2000,20260913,76,54
PC1,evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",negative,-0.7972523647084901,0.6356113330332794,-0.8388603906407779,8.601378292298687e-62,2.6809490781190715e-61,1.0,0.0,1.0,0,2000,20260913,77,55
PC1,nihilistic,Believes in fundamental meaninglessness of existence and rejects all values.,negative,-0.7971501590485974,0.6354483760712042,-0.77465681890309,9.143829180399532e-62,2.8134859016613948e-61,1.0,0.0,1.0,0,2000,20260913,78,56
PC1,misanthropic,"Shows general hatred, distrust, or contempt for human nature and society.",negative,-0.795858490975555,0.6333907376578877,-0.8043760999394132,1.974624168475728e-61,5.998858233343984e-61,1.0,0.0,1.0,0,2000,20260913,79,57
PC1,reactive,Responds to situations as they arise rather than planning ahead.,negative,-0.7953644562183096,0.6326046182154474,-0.8506125039669946,2.6468632529996812e-61,7.940589758999043e-61,1.0,0.0,1.0,0,2000,20260913,80,58
PC1,petty,Focuses on trivial grievances and makes disproportionate issues of minor slights.,negative,-0.7928636533834814,0.6286327728566014,-0.8628400796284009,1.1521856773021252e-60,3.4138834883025935e-60,1.0,0.0,1.0,0,2000,20260913,81,59
PC1,entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",negative,-0.7876714492591306,0.6204263119779792,-0.8513176192262197,2.291250719989097e-59,6.706099668260772e-59,1.0,0.0,1.0,0,2000,20260913,82,60
PC1,hedonistic,"Prioritizes pleasure, sensory gratification, and immediate enjoyment above all.",negative,-0.7869510681914096,0.6192919837276005,-0.8474798765182772,3.446344758768624e-59,9.965334242222527e-59,1.0,0.0,1.0,0,2000,20260913,83,61
PC1,disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",negative,-0.7855718550608373,0.6171231394637251,-0.8587201754132888,7.496708822705255e-59,2.1419168064872156e-58,1.0,0.0,1.0,0,2000,20260913,84,62
PC1,witty,"Incorporates humor, clever wordplay, and entertaining observations into responses.",negative,-0.7748131077689707,0.6003353519706106,-0.8472282969331526,2.6588066090442577e-56,7.419925420588627e-56,1.0,0.0,1.0,0,2000,20260913,86,63
PC1,goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",negative,-0.7718823281905509,0.5958023285728653,-0.8685052364328785,1.244227269752779e-55,3.432351088973184e-55,1.0,0.0,1.0,0,2000,20260913,87,64
PC1,provocative,Deliberately challenges assumptions to stimulate deeper thought.,negative,-0.7694081993217445,0.5919889771835294,-0.7948605060442573,4.4971385983884745e-55,1.2264923450150385e-54,1.0,0.0,1.0,0,2000,20260913,88,65
PC1,dogmatic,Rigidly adheres to beliefs without considering evidence or alternative viewpoints.,negative,-0.7687404507570664,0.5909618806301776,-0.7575892213150227,6.3438268611669585e-55,1.6916871629778556e-54,1.0,0.0,1.0,0,2000,20260913,90,66
PC1,animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",negative,-0.7681262523623212,0.5900179395681844,-0.8223565390496523,8.696417529471835e-55,2.2935606671134512e-54,1.0,0.0,1.0,0,2000,20260913,91,67
PC1,edgy,"Pushes boundaries with dark humor, controversial takes, and deliberately provocative content.",negative,-0.7640595579412044,0.5837870080813087,-0.8322621967052307,6.8517081514746e-54,1.7681827487676386e-53,1.0,0.0,1.0,0,2000,20260913,93,68
PC1,assertive,Takes clear positions and advocates strongly for particular viewpoints.,negative,-0.7604426424866781,0.5782730125121218,-0.7981304636334786,4.1498800684203246e-53,1.059543847256253e-52,1.0,0.0,1.0,0,2000,20260913,94,69
PC1,philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",negative,-0.7594523474492405,0.5767678680461619,-0.7499593202735062,6.757600226581353e-53,1.7071832151363417e-52,1.0,0.0,1.0,0,2000,20260913,95,70
PC1,sarcastic,"Employs sharp, cutting remarks often to mock or convey contempt.",negative,-0.756271610537538,0.5719467489050416,-0.8234424857909466,3.1846290637267168e-52,7.961572659316792e-52,1.0,0.0,1.0,0,2000,20260913,96,71
PC1,rebellious,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.,negative,-0.7536667325338356,0.5680135437282282,-0.8041827991113933,1.1136830987265771e-51,2.755504574168851e-51,1.0,0.0,1.0,0,2000,20260913,97,72
PC1,contrarian,Challenges popular opinions and presents alternative perspectives.,negative,-0.750756072158236,0.5636346798824625,-0.7955390785032169,4.428983479763093e-51,1.0736929647910528e-50,1.0,0.0,1.0,0,2000,20260913,99,73
PC1,militant,Advocates aggressive confrontation and forceful action to achieve goals.,negative,-0.7494044966907234,0.5616070996602764,-0.7699760537780215,8.353912921669704e-51,2.004939101200729e-50,1.0,0.0,1.0,0,2000,20260913,100,74
PC1,bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",negative,-0.7451544485174074,0.5552551521452815,-0.6928069011280691,5.985496172826057e-50,1.4222961202754986e-49,1.0,0.0,1.0,0,2000,20260913,101,75
PC1,arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,negative,-0.7304535171760542,0.5335623407548682,-0.7472381062289029,4.062804957023513e-47,9.375703746977338e-47,1.0,0.0,1.0,0,2000,20260913,104,76
PC1,impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,negative,-0.7302623720660594,0.5332831320555478,-0.8079357202619659,4.409741222859453e-47,1.0079408509393035e-46,1.0,0.0,1.0,0,2000,20260913,105,77
PC1,neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",negative,-0.7184253131711213,0.5161349306050238,-0.8220201379071579,6.172686415403779e-45,1.3845277941092589e-44,1.0,0.0,1.0,0,2000,20260913,107,78
PC1,socratic,Uses questions to guide users toward their own insights and discoveries.,negative,-0.7175947766711017,0.5149422635056483,-0.7710210322841234,8.647898334947934e-45,1.9217551855439854e-44,1.0,0.0,1.0,0,2000,20260913,108,79
PC1,radical,"Advocates for revolutionary, fundamental changes to existing systems.",negative,-0.7104454342295621,0.5047327150176311,-0.7598932517815412,1.49970280716448e-43,3.272078851995229e-43,1.0,0.0,1.0,0,2000,20260913,110,80
PC1,pacifist,Opposes violence and war in all forms as means of solving disputes.,negative,-0.707649659635448,0.5007680407821654,-0.7410784455151322,4.470509823089282e-43,9.665967185057906e-43,1.0,0.0,1.0,0,2000,20260913,111,81
PC1,sardonic,"Uses dry, mocking humor to comment on life's absurdities and contradictions.",negative,-0.7051143076231507,0.49718618681487525,-0.7889126107152131,1.1904234767983497e-42,2.550907450282178e-42,1.0,0.0,1.0,0,2000,20260913,112,82
PC1,eclectic,Draws from diverse sources and combines different perspectives creatively.,negative,-0.7032847405378576,0.4946094262734017,-0.7002798534375811,2.3979218253707245e-42,5.092931310521893e-42,1.0,0.0,1.0,0,2000,20260913,113,83
PC1,existentialist,"Emphasizes individual freedom, personal responsibility, and self-created meaning.",negative,-0.6993649411958224,0.4891113209738361,-0.7343308040737428,1.0559903593566204e-41,2.2231375986455166e-41,1.0,0.0,1.0,0,2000,20260913,114,84
PC1,flippant,Treats serious matters with inappropriate lightness and casual disregard.,negative,-0.698266829655341,0.48757656539692107,-0.8199215256339979,1.592764306374751e-41,3.324029856782089e-41,1.0,0.0,1.0,0,2000,20260913,115,85
PC1,innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,negative,-0.6928166617173994,0.47999492675324146,-0.727464297048556,1.191744005372172e-40,2.4238861126213667e-40,1.0,0.0,1.0,0,2000,20260913,118,86
PC1,concise,"Prefers brief, to-the-point responses that get straight to the core message.",negative,-0.6774486492007055,0.4589366723038605,-0.6832082167277344,2.7485758044453337e-38,5.543346160225883e-38,1.0,0.0,1.0,0,2000,20260913,119,87
PC1,iconoclastic,Actively challenges and attacks cherished beliefs and revered institutions.,negative,-0.6774218445850838,0.45890035552105746,-0.728912033697816,2.7739812672274894e-38,5.54796253445498e-38,1.0,0.0,1.0,0,2000,20260913,120,88
PC1,irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",negative,-0.675199471912453,0.4558943268708554,-0.7878318571304924,5.928272525473593e-38,1.1758557075319524e-37,1.0,0.0,1.0,0,2000,20260913,121,89
PC1,hostile,Exhibits aggressive antagonism and combative approach to interactions.,negative,-0.6736545627532031,0.4538104699182093,-0.7562943942759875,1.0011827642899735e-37,1.953527344956046e-37,1.0,0.0,1.0,0,2000,20260913,123,90
PC1,constructivist,"Views reality, knowledge, and meaning as socially constructed through interaction.",negative,-0.6673649637333636,0.4453759948188337,-0.6782545223738495,8.18408368200396e-37,1.57134406694476e-36,1.0,0.0,1.0,0,2000,20260913,125,91
PC1,judgmental,Quick to form negative opinions and harsh assessments of others' choices.,negative,-0.6661485564169773,0.44375389921642283,-0.7392654568535241,1.2214479140610008e-36,2.326567455354287e-36,1.0,0.0,1.0,0,2000,20260913,126,92
PC1,empathetic,Shows understanding and consideration for human emotions and perspectives.,negative,-0.6590059012994032,0.4342887779474387,-0.7103066847465451,1.235172340322841e-35,2.315948138105327e-35,1.0,0.0,1.0,0,2000,20260913,128,93
PC1,environmental,Prioritizes ecological concerns and sustainability in all considerations.,negative,-0.6587810607870705,0.43399248605173796,-0.670491907331006,1.327131007208466e-35,2.469080943643658e-35,1.0,0.0,1.0,0,2000,20260913,129,94
PC1,confident,Expresses strong certainty and conviction in responses and recommendations.,negative,-0.6586855081041239,0.4338665985863878,-0.6472236807939759,1.3682303119206927e-35,2.5259636527766636e-35,1.0,0.0,1.0,0,2000,20260913,130,95
PC1,savage,Delivers brutally honest truths and devastating comebacks without holding back.,negative,-0.6567486182104499,0.43131874752133537,-0.7124445342027063,2.5328544633488837e-35,4.640344054990321e-35,1.0,0.0,1.0,0,2000,20260913,131,96
PC1,eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",negative,-0.6551401048699079,0.42920855700895394,-0.6562857390150313,4.2094338231725354e-35,7.653516042131883e-35,1.0,0.0,1.0,0,2000,20260913,132,97
PC1,nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,negative,-0.6523976807980623,0.42562273391069033,-0.7759118317417271,9.937251966260325e-35,1.7931883247387052e-34,1.0,0.0,1.0,0,2000,20260913,133,98
PC1,epicurean,Seeks refined pleasures and sophisticated enjoyment of life's offerings.,negative,-0.6474499525405883,0.4191914410448101,-0.6401217506707827,4.577189801569314e-34,8.07739376747526e-34,1.0,0.0,1.0,0,2000,20260913,136,99
PC1,absolutist,Maintains that certain truths and values are universal and unchanging.,negative,-0.6434048916086095,0.41396985454588653,-0.6115870863506535,1.562582512766825e-33,2.737370825284949e-33,1.0,0.0,1.0,0,2000,20260913,137,100
PC1,cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,negative,-0.6417679506052124,0.41186610242401434,-0.6759297192810363,2.5548123060113245e-33,4.443151836541434e-33,1.0,0.0,1.0,0,2000,20260913,138,101
PC1,acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",negative,-0.6332666522434277,0.4010266528435984,-0.68008482155737,3.130906033409214e-32,5.405880920994325e-32,1.0,0.0,1.0,0,2000,20260913,139,102
PC1,independent,Encourages self-reliance and personal responsibility in decision-making.,negative,-0.6328978012705608,0.4005596268531103,-0.657661925507054,3.484358014294546e-32,5.973185167362079e-32,1.0,0.0,1.0,0,2000,20260913,140,103
PC1,universalist,Applies consistent principles and values across all cultures and contexts.,negative,-0.6242435688322747,0.3896800332284549,-0.6198343960070396,4.114119782331796e-31,7.00275707630944e-31,1.0,0.0,1.0,0,2000,20260913,141,104
PC1,introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",negative,-0.6239540946662737,0.3893187122508093,-0.6551242029947204,4.462311842421662e-31,7.541935508318301e-31,1.0,0.0,1.0,0,2000,20260913,142,105
PC1,sassy,"Delivers bold, cheeky responses with confident attitude and spirited defiance.",negative,-0.6212804698557448,0.38598942222417504,-0.7278907129049942,9.412394335143614e-31,1.579702545758369e-30,1.0,0.0,1.0,0,2000,20260913,143,106
PC1,competitive,"Emphasizes winning, achievement, and outperforming others.",negative,-0.6203658176920477,0.38485374776072295,-0.6498046796110903,1.2130354370680984e-30,2.0217257284468306e-30,1.0,0.0,1.0,0,2000,20260913,144,107
PC1,deconstructionist,Systematically dismantles assumptions to reveal hidden meanings and contradictions.,negative,-0.6201306210965069,0.38456198722153934,-0.6474464095092467,1.2946286980378985e-30,2.1428337070972113e-30,1.0,0.0,1.0,0,2000,20260913,145,108
PC1,wry,"Uses clever, twisted humor with a touch of irony or skepticism.",negative,-0.6141165267051174,0.3771391083723572,-0.6751270880817056,6.714596139396004e-30,1.0888534280101628e-29,1.0,0.0,1.0,0,2000,20260913,148,109
PC1,deontological,Focuses on inherent rightness of actions regardless of consequences.,negative,-0.5979233888652522,0.3575123789521076,-0.5782539453564526,4.759510858278132e-28,7.515017144649682e-28,1.0,0.0,1.0,0,2000,20260913,152,110
PC1,extroverted,Shows energy when engaging with users and discussing social topics.,negative,-0.5915961951844382,0.34998605815670386,-0.69667060961888,2.3577341219288586e-27,3.6984064657707586e-27,1.0,0.0,1.0,0,2000,20260913,153,111
PC1,idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",negative,-0.5855944064395839,0.34292080885332865,-0.5591812123135513,1.0416134472419411e-26,1.6128208215359088e-26,1.0,0.0,1.0,0,2000,20260913,155,112
PC1,paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,negative,-0.5806292681722566,0.33713034705825023,-0.5935864516315167,3.478971349137279e-26,5.352263614057353e-26,1.0,0.0,1.0,0,2000,20260913,156,113
PC1,generalist,Maintains broad knowledge across multiple disciplines and topics.,negative,-0.5768860317244526,0.3327974935987862,-0.6052150832347596,8.519850713704852e-26,1.302397561330678e-25,1.0,0.0,1.0,0,2000,20260913,157,114
PC1,anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",negative,-0.5721169353439473,0.3273177877073503,-0.6775949914889934,2.6232882821119407e-25,3.9847416943472514e-25,1.0,0.0,1.0,0,2000,20260913,158,115
PC1,naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",negative,-0.5625717061715798,0.3164869245848023,-0.6269617148957042,2.3598169181830387e-24,3.5619878010310015e-24,1.0,0.0,1.0,0,2000,20260913,159,116
PC1,casual,"Adopts a relaxed, conversational tone with informal language and expressions.",negative,-0.5553788666231605,0.3084456854916263,-0.6451498802688901,1.1794758539012698e-23,1.7473716354092884e-23,1.0,0.0,1.0,0,2000,20260913,162,117
