role,gemma_rank,qwen_rank,llama_rank,qwen_llama_avg_rank,gemma_deviation,abs_gemma_deviation,direction
pacifist,40,115,144,129.5,-89.5,89.5,gemma_higher_ranked
absurdist,144,211,254,232.5,-88.5,88.5,gemma_higher_ranked
guardian,30,128,109,118.5,-88.5,88.5,gemma_higher_ranked
strategist,107,24,13,18.5,88.5,88.5,gemma_lower_ranked
fool,269,204,158,181.0,88.0,88.0,gemma_lower_ranked
parasite,111,195,201,198.0,-87.0,87.0,gemma_higher_ranked
smuggler,271,205,163,184.0,87.0,87.0,gemma_lower_ranked
zeitgeist,95,180,184,182.0,-87.0,87.0,gemma_higher_ranked
cyborg,4,83,98,90.5,-86.5,86.5,gemma_higher_ranked
bartender,257,178,165,171.5,85.5,85.5,gemma_lower_ranked
void,175,249,272,260.5,-85.5,85.5,gemma_higher_ranked
criminal,273,217,159,188.0,85.0,85.0,gemma_lower_ranked
destroyer,71,148,162,155.0,-84.0,84.0,gemma_higher_ranked
revolutionary,106,188,191,189.5,-83.5,83.5,gemma_higher_ranked
dispatcher,124,27,56,41.5,82.5,82.5,gemma_lower_ranked
physicist,11,74,113,93.5,-82.5,82.5,gemma_higher_ranked
playwright,253,152,192,172.0,81.0,81.0,gemma_lower_ranked
retiree,231,160,141,150.5,80.5,80.5,gemma_lower_ranked
patient,188,133,83,108.0,80.0,80.0,gemma_lower_ranked
eldritch,187,257,275,266.0,-79.0,79.0,gemma_higher_ranked
empath,118,199,193,196.0,-78.0,78.0,gemma_higher_ranked
conservator,37,107,122,114.5,-77.5,77.5,gemma_higher_ranked
newlywed,210,144,123,133.5,76.5,76.5,gemma_lower_ranked
prodigy,39,123,108,115.5,-76.5,76.5,gemma_higher_ranked
swarm,104,170,190,180.0,-76.0,76.0,gemma_higher_ranked
tulpa,87,161,164,162.5,-75.5,75.5,gemma_higher_ranked
provocateur,127,189,215,202.0,-75.0,75.0,gemma_higher_ranked
evaluator,82,6,9,7.5,74.5,74.5,gemma_lower_ranked
cartographer,36,93,126,109.5,-73.5,73.5,gemma_higher_ranked
proofreader,1,59,90,74.5,-73.5,73.5,gemma_higher_ranked
biologist,8,61,99,80.0,-72.0,72.0,gemma_higher_ranked
sommelier,98,159,181,170.0,-72.0,72.0,gemma_higher_ranked
angel,169,252,228,240.0,-71.0,71.0,gemma_higher_ranked
chimera,165,226,246,236.0,-71.0,71.0,gemma_higher_ranked
veteran,191,130,110,120.0,71.0,71.0,gemma_lower_ranked
judge,7,64,91,77.5,-70.5,70.5,gemma_higher_ranked
producer,134,73,54,63.5,70.5,70.5,gemma_lower_ranked
counselor,152,104,61,82.5,69.5,69.5,gemma_lower_ranked
workaholic,77,139,152,145.5,-68.5,68.5,gemma_higher_ranked
consultant,80,20,5,12.5,67.5,67.5,gemma_lower_ranked
mathematician,3,35,106,70.5,-67.5,67.5,gemma_higher_ranked
vegan,176,97,120,108.5,67.5,67.5,gemma_lower_ranked
divorcee,213,158,134,146.0,67.0,67.0,gemma_lower_ranked
chemist,18,68,101,84.5,-66.5,66.5,gemma_higher_ranked
supervisor,81,18,12,15.0,66.0,66.0,gemma_lower_ranked
shapeshifter,148,216,211,213.5,-65.5,65.5,gemma_higher_ranked
orphan,224,183,135,159.0,65.0,65.0,gemma_lower_ranked
survivor,252,207,167,187.0,65.0,65.0,gemma_lower_ranked
grader,75,2,19,10.5,64.5,64.5,gemma_lower_ranked
historian,32,75,118,96.5,-64.5,64.5,gemma_higher_ranked
oracle,197,264,259,261.5,-64.5,64.5,gemma_higher_ranked
scout,184,118,121,119.5,64.5,64.5,gemma_lower_ranked
ancient,180,246,240,243.0,-63.0,63.0,gemma_higher_ranked
provincial,256,206,182,194.0,62.0,62.0,gemma_lower_ranked
romantic,178,232,248,240.0,-62.0,62.0,gemma_higher_ranked
summarizer,90,54,2,28.0,62.0,62.0,gemma_lower_ranked
adolescent,160,126,72,99.0,61.0,61.0,gemma_lower_ranked
saboteur,68,120,138,129.0,-61.0,61.0,gemma_higher_ranked
analyst,66,8,3,5.5,60.5,60.5,gemma_lower_ranked
guide,150,96,84,90.0,60.0,60.0,gemma_lower_ranked
examiner,69,5,15,10.0,59.0,59.0,gemma_lower_ranked
rogue,264,203,209,206.0,58.0,58.0,gemma_lower_ranked
amateur,153,114,77,95.5,57.5,57.5,gemma_lower_ranked
detective,154,90,103,96.5,57.5,57.5,gemma_lower_ranked
hacker,182,134,115,124.5,57.5,57.5,gemma_lower_ranked
refugee,225,182,153,167.5,57.5,57.5,gemma_lower_ranked
sage,179,242,229,235.5,-56.5,56.5,gemma_higher_ranked
scholar,19,46,105,75.5,-56.5,56.5,gemma_higher_ranked
gossip,228,169,175,172.0,56.0,56.0,gemma_lower_ranked
networker,132,88,64,76.0,56.0,56.0,gemma_lower_ranked
pragmatist,97,52,30,41.0,56.0,56.0,gemma_lower_ranked
dreamer,201,251,262,256.5,-55.5,55.5,gemma_higher_ranked
golem,200,253,257,255.0,-55.0,55.0,gemma_higher_ranked
interpreter,121,62,70,66.0,55.0,55.0,gemma_lower_ranked
recruiter,110,70,41,55.5,54.5,54.5,gemma_lower_ranked
builder,168,105,124,114.5,53.5,53.5,gemma_lower_ranked
infant,212,201,116,158.5,53.5,53.5,gemma_lower_ranked
negotiator,114,66,55,60.5,53.5,53.5,gemma_lower_ranked
pirate,274,244,197,220.5,53.5,53.5,gemma_lower_ranked
specialist,84,23,38,30.5,53.5,53.5,gemma_lower_ranked
archaeologist,100,127,179,153.0,-53.0,53.0,gemma_higher_ranked
collaborator,103,63,37,50.0,53.0,53.0,gemma_lower_ranked
surfer,268,222,208,215.0,53.0,53.0,gemma_lower_ranked
ambassador,20,82,63,72.5,-52.5,52.5,gemma_higher_ranked
improviser,222,166,173,169.5,52.5,52.5,gemma_lower_ranked
nomad,259,196,217,206.5,52.5,52.5,gemma_lower_ranked
alien,159,209,213,211.0,-52.0,52.0,gemma_higher_ranked
hedonist,151,184,222,203.0,-52.0,52.0,gemma_higher_ranked
linguist,13,48,82,65.0,-52.0,52.0,gemma_higher_ranked
symbiont,74,121,131,126.0,-52.0,52.0,gemma_higher_ranked
widow,255,219,187,203.0,52.0,52.0,gemma_lower_ranked
daredevil,247,190,205,197.5,49.5,49.5,gemma_lower_ranked
mystic,205,254,255,254.5,-49.5,49.5,gemma_higher_ranked
addict,209,175,145,160.0,49.0,49.0,gemma_lower_ranked
collector,88,124,150,137.0,-49.0,49.0,gemma_higher_ranked
immigrant,211,168,157,162.5,48.5,48.5,gemma_lower_ranked
marketer,89,56,25,40.5,48.5,48.5,gemma_lower_ranked
paramedic,125,76,78,77.0,48.0,48.0,gemma_lower_ranked
celebrity,196,167,130,148.5,47.5,47.5,gemma_lower_ranked
grandparent,240,215,170,192.5,47.5,47.5,gemma_lower_ranked
observer,16,57,69,63.0,-47.0,47.0,gemma_higher_ranked
naturalist,105,135,168,151.5,-46.5,46.5,gemma_higher_ranked
homunculus,192,225,251,238.0,-46.0,46.0,gemma_higher_ranked
caveman,275,261,198,229.5,45.5,45.5,gemma_lower_ranked
cynic,137,187,178,182.5,-45.5,45.5,gemma_higher_ranked
entrepreneur,129,99,68,83.5,45.5,45.5,gemma_lower_ranked
teenager,142,122,71,96.5,45.5,45.5,gemma_lower_ranked
vampire,215,268,253,260.5,-45.5,45.5,gemma_higher_ranked
therapist,120,98,52,75.0,45.0,45.0,gemma_lower_ranked
anarchist,108,129,176,152.5,-44.5,44.5,gemma_higher_ranked
geographer,26,53,87,70.0,-44.0,44.0,gemma_higher_ranked
gamer,167,108,139,123.5,43.5,43.5,gemma_lower_ranked
flaneur,194,229,245,237.0,-43.0,43.0,gemma_higher_ranked
hermit,227,272,267,269.5,-42.5,42.5,gemma_higher_ranked
musician,161,191,216,203.5,-42.5,42.5,gemma_higher_ranked
prophet,229,275,266,270.5,-41.5,41.5,gemma_higher_ranked
critic,63,94,114,104.0,-41.0,41.0,gemma_higher_ranked
student,93,69,35,52.0,41.0,41.0,gemma_lower_ranked
coordinator,70,32,27,29.5,40.5,40.5,gemma_lower_ranked
novelist,172,212,212,212.0,-40.0,40.0,gemma_higher_ranked
debugger,55,9,23,16.0,39.0,39.0,gemma_lower_ranked
assistant,46,14,1,7.5,38.5,38.5,gemma_lower_ranked
generalist,78,31,48,39.5,38.5,38.5,gemma_lower_ranked
photographer,157,181,210,195.5,-38.5,38.5,gemma_higher_ranked
prey,249,236,185,210.5,38.5,38.5,gemma_lower_ranked
hybrid,99,119,154,136.5,-37.5,37.5,gemma_higher_ranked
researcher,47,11,8,9.5,37.5,37.5,gemma_lower_ranked
caregiver,149,125,102,113.5,35.5,35.5,gemma_lower_ranked
poet,236,269,274,271.5,-35.5,35.5,gemma_higher_ranked
engineer,56,21,22,21.5,34.5,34.5,gemma_lower_ranked
ghost,233,267,268,267.5,-34.5,34.5,gemma_higher_ranked
hoarder,221,173,200,186.5,34.5,34.5,gemma_lower_ranked
demon,217,250,252,251.0,-34.0,34.0,gemma_higher_ranked
jester,262,223,234,228.5,33.5,33.5,gemma_lower_ranked
dilettante,139,149,195,172.0,-33.0,33.0,gemma_higher_ranked
journalist,43,84,67,75.5,-32.5,32.5,gemma_higher_ranked
witness,155,145,100,122.5,32.5,32.5,gemma_lower_ranked
exile,220,256,247,251.5,-31.5,31.5,gemma_higher_ranked
synthesizer,113,71,92,81.5,31.5,31.5,gemma_lower_ranked
accountant,15,34,58,46.0,-31.0,31.0,gemma_higher_ranked
futurist,42,72,74,73.0,-31.0,31.0,gemma_higher_ranked
veterinarian,101,78,62,70.0,31.0,31.0,gemma_lower_ranked
chameleon,198,147,188,167.5,30.5,30.5,gemma_lower_ranked
loner,170,198,203,200.5,-30.5,30.5,gemma_higher_ranked
pilot,116,86,85,85.5,30.5,30.5,gemma_lower_ranked
lawyer,6,25,47,36.0,-30.0,30.0,gemma_higher_ranked
devils_advocate,102,136,127,131.5,-29.5,29.5,gemma_higher_ranked
echo,237,270,263,266.5,-29.5,29.5,gemma_higher_ranked
fixer,204,172,177,174.5,29.5,29.5,gemma_lower_ranked
artisan,186,210,220,215.0,-29.0,29.0,gemma_higher_ranked
genie,270,218,264,241.0,29.0,29.0,gemma_lower_ranked
guru,203,240,224,232.0,-29.0,29.0,gemma_higher_ranked
predator,185,221,207,214.0,-29.0,29.0,gemma_higher_ranked
mediator,85,67,46,56.5,28.5,28.5,gemma_lower_ranked
revenant,235,266,261,263.5,-28.5,28.5,gemma_higher_ranked
architect,59,80,94,87.0,-28.0,28.0,gemma_higher_ranked
elder,238,238,183,210.5,27.5,27.5,gemma_lower_ranked
mycorrhizal,202,227,232,229.5,-27.5,27.5,gemma_higher_ranked
ecosystem,109,117,155,136.0,-27.0,27.0,gemma_higher_ranked
spy,126,150,156,153.0,-27.0,27.0,gemma_higher_ranked
curator,138,95,128,111.5,26.5,26.5,gemma_lower_ranked
emissary,72,101,96,98.5,-26.5,26.5,gemma_higher_ranked
economist,10,28,44,36.0,-26.0,26.0,gemma_higher_ranked
realist,91,79,53,66.0,25.0,25.0,gemma_lower_ranked
familiar,219,245,242,243.5,-24.5,24.5,gemma_higher_ranked
spirit,230,260,249,254.5,-24.5,24.5,gemma_higher_ranked
technologist,35,60,59,59.5,-24.5,24.5,gemma_higher_ranked
maverick,140,153,174,163.5,-23.5,23.5,gemma_higher_ranked
narrator,216,235,243,239.0,-23.0,23.0,gemma_higher_ranked
reporter,112,89,89,89.0,23.0,23.0,gemma_lower_ranked
sociologist,22,50,40,45.0,-23.0,23.0,gemma_higher_ranked
vigilante,164,185,189,187.0,-23.0,23.0,gemma_higher_ranked
actor,181,193,214,203.5,-22.5,22.5,gemma_higher_ranked
healer,162,146,133,139.5,22.5,22.5,gemma_lower_ranked
psychologist,49,39,14,26.5,22.5,22.5,gemma_lower_ranked
writer,135,143,171,157.0,-22.0,22.0,gemma_higher_ranked
anthropologist,61,77,88,82.5,-21.5,21.5,gemma_higher_ranked
comedian,183,157,166,161.5,21.5,21.5,gemma_lower_ranked
nutritionist,64,42,43,42.5,21.5,21.5,gemma_lower_ranked
designer,51,87,57,72.0,-21.0,21.0,gemma_higher_ranked
trickster,242,213,231,222.0,20.0,20.0,gemma_lower_ranked
cosmopolitan,115,137,132,134.5,-19.5,19.5,gemma_higher_ranked
editor,34,47,60,53.5,-19.5,19.5,gemma_higher_ranked
virtuoso,171,186,194,190.0,-19.0,19.0,gemma_higher_ranked
evangelist,199,192,169,180.5,18.5,18.5,gemma_lower_ranked
advocate,73,116,65,90.5,-17.5,17.5,gemma_higher_ranked
coral_reef,243,233,218,225.5,17.5,17.5,gemma_lower_ranked
pilgrim,244,258,265,261.5,-17.5,17.5,gemma_higher_ranked
peacekeeper,62,85,73,79.0,-17.0,17.0,gemma_higher_ranked
polymath,50,55,79,67.0,-17.0,17.0,gemma_higher_ranked
statistician,5,12,31,21.5,-16.5,16.5,gemma_higher_ranked
secretary,53,30,45,37.5,15.5,15.5,gemma_lower_ranked
wraith,258,274,273,273.5,-15.5,15.5,gemma_higher_ranked
pharmacist,52,40,34,37.0,15.0,15.0,gemma_lower_ranked
publisher,65,58,42,50.0,15.0,15.0,gemma_lower_ranked
scheduler,25,29,51,40.0,-15.0,15.0,gemma_higher_ranked
wind,239,263,244,253.5,-14.5,14.5,gemma_higher_ranked
amnesiac,241,231,223,227.0,14.0,14.0,gemma_lower_ranked
bohemian,263,243,256,249.5,13.5,13.5,gemma_lower_ranked
librarian,44,37,76,56.5,-12.5,12.5,gemma_higher_ranked
navigator,117,102,107,104.5,12.5,12.5,gemma_lower_ranked
robot,38,3,49,26.0,12.0,12.0,gemma_lower_ranked
visionary,133,154,136,145.0,-12.0,12.0,gemma_higher_ranked
merchant,163,174,129,151.5,11.5,11.5,gemma_lower_ranked
theorist,83,49,95,72.0,11.0,11.0,gemma_lower_ranked
translator,41,7,97,52.0,-11.0,11.0,gemma_higher_ranked
auditor,14,16,33,24.5,-10.5,10.5,gemma_higher_ranked
tree,250,262,258,260.0,-10.0,10.0,gemma_higher_ranked
optimist,131,132,111,121.5,9.5,9.5,gemma_lower_ranked
procrastinator,136,141,112,126.5,9.5,9.5,gemma_lower_ranked
rebel,190,200,199,199.5,-9.5,9.5,gemma_higher_ranked
programmer,33,33,50,41.5,-8.5,8.5,gemma_higher_ranked
forecaster,29,41,32,36.5,-7.5,7.5,gemma_higher_ranked
luddite,232,224,226,225.0,7.0,7.0,gemma_lower_ranked
soldier,156,163,137,150.0,6.0,6.0,gemma_lower_ranked
warrior,223,230,227,228.5,-5.5,5.5,gemma_higher_ranked
leviathan,267,273,271,272.0,-5.0,5.0,gemma_higher_ranked
activist,119,112,117,114.5,4.5,4.5,gemma_lower_ranked
shaman,248,255,250,252.5,-4.5,4.5,gemma_higher_ranked
chef,145,131,151,141.0,4.0,4.0,gemma_lower_ranked
whale,246,247,238,242.5,3.5,3.5,gemma_lower_ranked
skeptic,60,45,81,63.0,-3.0,3.0,gemma_higher_ranked
wanderer,245,248,236,242.0,3.0,3.0,gemma_lower_ranked
validator,12,1,18,9.5,2.5,2.5,gemma_lower_ranked
bard,272,271,269,270.0,2.0,2.0,gemma_lower_ranked
minimalist,174,164,180,172.0,2.0,2.0,gemma_lower_ranked
doctor,31,44,21,32.5,-1.5,1.5,gemma_higher_ranked
scientist,23,15,28,21.5,1.5,1.5,gemma_lower_ranked
witch,261,259,260,259.5,1.5,1.5,gemma_lower_ranked
competitor,146,151,142,146.5,-0.5,0.5,gemma_higher_ranked
screener,17,22,11,16.5,0.5,0.5,gemma_lower_ranked
