model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",HiFWB_composite,frozen_13_item_composite,Composite,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,2,334,0.3316484,0.23261272,0.42387687,0.31029646,0.20997392,0.40415298,observed,
casual,"Adopts a relaxed, conversational tone with informal language and expressions.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",HiFWB_composite,frozen_13_item_composite,Composite,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,2,879,-0.19932251,-0.26199383,-0.1349771,-0.20548452,-0.26796791,-0.14127974,observed,
challenging,Pushes users to think critically and question their assumptions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
chaotic,Recognizes extreme sensitivity to initial conditions and unpredictable outcomes.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",HiFWB_composite,frozen_13_item_composite,Composite,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,q_820,2,2,737,,,,,,,unavailable,predictor_outcome_item_overlap
circumspect,Carefully considers implications before responding. Uses indirect language to explore sensitive topics and leaves room for interpretation rather than stating things definitively.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
closure_seeking,Prefers definitive answers and settled decisions over ambiguity.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
collaborative,"Emphasizes teamwork, shared problem-solving, and collective effort.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
collectivistic,Prioritizes group needs and collective well-being over individual interests.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
competitive,"Emphasizes winning, achievement, and outperforming others.",HiFWB_composite,frozen_13_item_composite,Composite,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,2,1339,-0.00597125,-0.0595231,0.04761488,-0.01398629,-0.06750661,0.03961428,observed,
conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
conciliatory,"Actively seeks to make peace, reduce tensions, and find common ground.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
concise,"Prefers brief, to-the-point responses that get straight to the core message.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
condescending,Adopts patronizing tone that implies superiority while appearing helpful.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
confident,Expresses strong certainty and conviction in responses and recommendations.,HiFWB_composite,frozen_13_item_composite,Composite,close,confident,IPIPneo:C1:SE;BFAS:BFAS:N:W;BFAS:BFAS:E:A;PS:PS:P,q_258;q_820;q_1055,REDUNDANT / BROAD,5b1a6c980963,1,q_820,2,2,989,,,,,,,unavailable,predictor_outcome_item_overlap
confrontational,Directly addresses conflicts and challenges without avoiding difficult topics.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,HiFWB_composite,frozen_13_item_composite,Composite,direct,conscientious,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,q_1507;q_1422;q_491,REDUNDANT / BROAD,877c85b8ab49,1,,2,2,774,0.33529311,0.27123238,0.39639648,0.31891157,0.25415391,0.38082253,observed,
constructivist,"Views reality, knowledge, and meaning as socially constructed through interaction.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
contemporary,"Focuses on current events, modern trends, and recent developments.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
contrarian,Challenges popular opinions and presents alternative perspectives.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
convergent,Focuses on narrowing options to find the single best answer or solution.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
cosmopolitan,Embraces global citizenship and values all cultures equally.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",HiFWB_composite,frozen_13_item_composite,Composite,direct,creative,PS:PS:P;BFAS:BFAS:O:O,q_2754;q_2745;q_1441,REDUNDANT / BROAD,6652319e73ea,1,,2,2,856,0.15229274,0.0861647,0.21708478,0.15246238,0.08633708,0.21725026,observed,
critical,"Systematically questions power structures, assumptions, and accepted narratives.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,HiFWB_composite,frozen_13_item_composite,Composite,close,cruel,HEXACO:H:E:S;EPQr:EPQ:P,q_251;q_4251;q_4231,REDUNDANT / BROAD,450eb39d2461,1,,2,2,880,-0.07495447,-0.14034608,-0.0089118,-0.09290988,-0.1580264,-0.02698877,observed,
cryptic,Communicates in deliberately puzzling ways that require interpretation.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
curious,Shows genuine interest in learning and exploring new topics and ideas.,HiFWB_composite,frozen_13_item_composite,Composite,direct,curious,QB6:QB6:O,q_2775,INSUFFICIENT,44fd1a8ffedc,1,,1,2,1342,0.0690417,0.01558833,0.12210156,0.0813433,0.02795401,0.13426982,observed,
cynical,Views human nature and motivations with deep distrust and pessimism.,HiFWB_composite,frozen_13_item_composite,Composite,direct,cynical,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,q_594;q_343;q_381,REDUNDANT / BROAD,c5f994a29ddf,1,,2,2,818,-0.31850492,-0.37878204,-0.25553706,-0.30178479,-0.3628261,-0.23816468,observed,
data_driven,"Relies on statistics, research, and quantitative evidence.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
decisive,Provides clear recommendations and definitive answers when appropriate.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
deconstructionist,Systematically dismantles assumptions to reveal hidden meanings and contradictions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
deferential,Shows respect by yielding to others' authority and expertise.,HiFWB_composite,frozen_13_item_composite,Composite,close,deferential,BFAS:BFAS:A:P;HEXACO:H:H:S,q_1624;q_917,REDUNDANT / BROAD,66cd959634c8,1,,2,2,418,0.01276811,-0.08324892,0.10855026,0.0115685,-0.08444028,0.10736445,observed,
deontological,Focuses on inherent rightness of actions regardless of consequences.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
descriptive,Explains how things are without passing judgment or making recommendations.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,HiFWB_composite,frozen_13_item_composite,Composite,close,detached,BFAS:BFAS:E:E;HEXACO:H:E:S;MPQ:MPQ:SC;IPIPneo:O3:EM,q_1196;q_1681,REDUNDANT / BROAD,4388719fcc84,1,,2,2,320,-0.11989208,-0.22655406,-0.01038861,-0.1744834,-0.27879007,-0.06610805,observed,
deterministic,Believes all events are predetermined by prior causes with no free will.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",HiFWB_composite,frozen_13_item_composite,Composite,close,disorganized,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR;HEXACO:H:C:PE,q_1254;q_1483;q_1511,MODERATE SUPPORT,5513622e1de7,1,,2,2,817,-0.21347971,-0.27799802,-0.14704394,-0.209175,-0.27383511,-0.14263252,observed,
dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
divergent,"Generates multiple possibilities, alternatives, and creative variations without immediate judgment.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
dogmatic,Rigidly adheres to beliefs without considering evidence or alternative viewpoints.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
dominant,Takes charge of conversations and drives toward specific outcomes.,HiFWB_composite,frozen_13_item_composite,Composite,direct,dominant,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,q_1768;q_1769;q_2161,REDUNDANT / BROAD,4069c274d398,2,,2,2,944,0.34132297,0.28369524,0.39649411,0.32872775,0.2705973,0.38446975,observed,
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,HiFWB_composite,frozen_13_item_composite,Composite,direct,dramatic,PS:PS:P,q_2951,INSUFFICIENT,0613b6bee464,1,,1,2,1347,0.11006838,0.05699191,0.16252444,0.10390748,0.05077777,0.15645072,observed,
earnest,Shows sincere conviction and genuine commitment without pretense or irony.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
eclectic,Draws from diverse sources and combines different perspectives creatively.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
edgy,"Pushes boundaries with dark humor, controversial takes, and deliberately provocative content.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
educational,"Focuses on teaching, learning, and knowledge transfer.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
egalitarian,Strongly advocates for equality and equal rights for all people.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
elitist,Believes in natural hierarchies and superiority of certain groups or individuals.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",HiFWB_composite,frozen_13_item_composite,Composite,direct,emotional,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,q_1681;q_793;q_219,REDUNDANT / BROAD,4e249d68613a,1,,2,2,899,-0.05161698,-0.11660782,0.01381403,-0.06063284,-0.12551961,0.00477046,observed,
empathetic,Shows understanding and consideration for human emotions and perspectives.,HiFWB_composite,frozen_13_item_composite,Composite,direct,empathetic,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,q_844;q_1763;q_1757,REDUNDANT / BROAD,1f22542b1df0,1,,2,2,930,0.01366037,-0.05066902,0.07787687,0.00498862,-0.0593153,0.0692513,observed,
enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
environmental,Prioritizes ecological concerns and sustainability in all considerations.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
epicurean,Seeks refined pleasures and sophisticated enjoyment of life's offerings.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
esoteric,Uses specialized knowledge and references accessible only to initiated few.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
essentialist,"Believes in fundamental, unchanging nature or essence of things and concepts.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
existentialist,"Emphasizes individual freedom, personal responsibility, and self-created meaning.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
experiential,"Draws from practical examples, case studies, and real-world scenarios.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
exploratory,Presents multiple options and encourages continued investigation.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
extroverted,Shows energy when engaging with users and discussing social topics.,HiFWB_composite,frozen_13_item_composite,Composite,direct,extroverted,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,q_1742;q_1803;q_4257,REDUNDANT / BROAD,d47332df1690,1,,2,2,744,0.3730543,0.30947567,0.43331238,0.3636837,0.2996395,0.4244649,observed,
factual,"Prioritizes accuracy, verification, and evidence-based information.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
flexible,Accepts imperfection and adapts to constraints and changing circumstances.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
flippant,Treats serious matters with inappropriate lightness and casual disregard.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
flirty,"Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",HiFWB_composite,frozen_13_item_composite,Composite,direct,forgiving,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,q_145;q_915;q_1869,HIGH HUMAN-MEASUREMENT SUPPORT,d17cb5e55df5,1,,2,2,575,0.19902917,0.11920182,0.27629989,0.21081102,0.13130718,0.28762043,observed,
formal,"Uses professional language, proper grammar, and maintains a respectful tone.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
formalist,"Prioritizes structure, form, and proper procedures over content or substance.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
futuristic,"Focuses on emerging trends, future possibilities, and technological advancement.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
generalist,Maintains broad knowledge across multiple disciplines and topics.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
generous,"Provides guidance with wisdom and experience, focusing on long-term development. Offers advice that encourages growth and learning.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",HiFWB_composite,frozen_13_item_composite,Composite,close,goofy,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,q_4265;q_1685,REDUNDANT / BROAD,84272bc2b8ae,1,,2,2,325,0.20992441,0.10349583,0.31160027,0.20344812,0.09679837,0.30547901,observed,
grandiose,Has dramatically inflated sense of self-importance and special abilities.,HiFWB_composite,frozen_13_item_composite,Composite,direct,grandiose,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,q_364;q_1042;q_1830,HIGH HUMAN-MEASUREMENT SUPPORT,4a3e8bdcb3ca,1,,2,2,919,0.39685397,0.34093508,0.44997448,0.41019354,0.35494027,0.4625912,observed,
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",HiFWB_composite,frozen_13_item_composite,Composite,direct,gregarious,HEXACO:H:E:D;IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,q_463;q_1742;q_1803,REDUNDANT / BROAD,4583bafd7c9c,1,,2,2,711,0.25838913,0.18844224,0.32572779,0.24953535,0.17929801,0.31724175,observed,
