pc,domain,pearson,spearman,N
13,Agreeableness,-0.1279248606598406,-0.12398440213156978,783
13,Conscientiousness,-0.0467419482699742,-0.03455822716887316,783
13,Extraversion,-0.022129469326138317,-0.01074509054290472,783
13,Emotional Stability,-0.029076440725945812,-0.053825368419500225,783
13,Openness,0.08677931281041795,0.09264523190101982,783
14,Agreeableness,0.008376006421148482,-0.04097857309452125,783
14,Conscientiousness,-0.03172303282789347,-0.08039594149741178,783
14,Extraversion,0.042465814217674695,0.007152211477502481,783
14,Emotional Stability,-0.0556543879468093,-0.08574838409868626,783
14,Openness,-0.017213172330481384,-0.014608055072605482,783
15,Agreeableness,0.06503989019505846,0.07136679054034652,783
15,Conscientiousness,-0.062544575614915,-0.031863833485162994,783
15,Extraversion,0.013472240051784587,0.005911310272908902,783
15,Emotional Stability,0.015218424803851965,0.040525495081865634,783
15,Openness,0.006964853950319299,0.02943107619831655,783
16,Agreeableness,0.005999236164635534,-0.0002211904265778677,783
16,Conscientiousness,-0.08101494810655883,-0.08131937436766858,783
16,Extraversion,-0.10637184021496311,-0.12803128977845357,783
16,Emotional Stability,-0.06393287501314854,-0.07624578198324726,783
16,Openness,0.023508663800282718,-0.002014011564583717,783
17,Agreeableness,-0.016463911856268817,-0.03867554042278794,783
17,Conscientiousness,-0.013080840491151498,-0.011145163061012861,783
17,Extraversion,-0.02128166097185493,-0.017386278001440894,783
17,Emotional Stability,-0.005812824848097389,-0.005570394353163278,783
17,Openness,-0.027744518663454447,-0.012167873526468111,783
18,Agreeableness,-0.025474388496387924,-0.0011978554615115378,783
18,Conscientiousness,0.08112432656123146,0.11349687655849691,783
18,Extraversion,0.06802065576638053,0.09803210757186842,783
18,Emotional Stability,0.08428388445964939,0.10871584309465143,783
18,Openness,0.11303857877543277,0.11796359341973905,783
19,Agreeableness,-0.0008068594204485033,-0.013131689539457023,783
19,Conscientiousness,0.05837397072794832,0.057172545966554626,783
19,Extraversion,0.14310955658712712,0.15318733014897612,783
19,Emotional Stability,0.05445965744740654,0.039306604166234466,783
19,Openness,0.07032560244808883,0.06793031017786648,783
20,Agreeableness,-0.2057890146238437,-0.23335612501719907,783
20,Conscientiousness,-0.039903151772612014,-0.0519890131211472,783
20,Extraversion,-0.16570278881705847,-0.19696142563577512,783
20,Emotional Stability,-0.03493134865681417,-0.04365877003768879,783
20,Openness,-0.06934409700160094,-0.05950505075546747,783
21,Agreeableness,0.05575624214850211,0.05917648205694373,783
21,Conscientiousness,0.07681438453484851,0.09050104582378452,783
21,Extraversion,-0.07262784784169662,-0.07516080177051343,783
21,Emotional Stability,-0.16277032927466117,-0.14396262722793418,783
21,Openness,-0.08179713445561554,-0.07614850275906539,783
22,Agreeableness,0.039057562310199495,0.057496299728638955,783
22,Conscientiousness,-0.07602876933562316,-0.07172549403711681,783
22,Extraversion,0.005909998820765608,0.002747663386231433,783
22,Emotional Stability,0.0033668869546859227,0.009410773775315923,783
22,Openness,-0.01301266584966299,-0.01480102332040461,783
23,Agreeableness,-0.020947044967077368,-0.04276853196781293,783
23,Conscientiousness,-0.03149672855999096,-0.010357391655981228,783
23,Extraversion,0.03419901281964255,0.06771106997438173,783
23,Emotional Stability,-0.09910765832608226,-0.08029784029043112,783
23,Openness,0.009919389409089176,0.024090034067413647,783
24,Agreeableness,-0.07865204824602921,-0.08055974814063399,783
24,Conscientiousness,0.011736032713467699,0.006489402560418303,783
24,Extraversion,-0.06029240706379175,-0.05941842226964836,783
24,Emotional Stability,0.05076458079444496,0.06328215010552704,783
24,Openness,0.0040756249855638214,0.01864790202212514,783
25,Agreeableness,0.06077926352175086,0.02619589831307272,783
25,Conscientiousness,-0.04735090292774809,-0.04139771980124259,783
25,Extraversion,-0.010962008983381911,0.0029359071065672834,783
25,Emotional Stability,0.006793381231672346,0.0025227483558515067,783
25,Openness,0.006037100292380521,0.014443858954246967,783
26,Agreeableness,0.12930147760518948,0.12632090646304064,783
26,Conscientiousness,-0.0050748863180492924,-0.0010583444103011153,783
26,Extraversion,0.04377092343843032,0.0685555982221324,783
26,Emotional Stability,0.005573480192963444,0.004194381610434364,783
26,Openness,0.0019253073451012382,-0.030464635581388854,783
27,Agreeableness,-0.020028555193201916,-0.037503057429262666,783
27,Conscientiousness,0.017303859757050073,0.034652855227949995,783
27,Extraversion,-0.04493432033207174,-0.02335549499743033,783
27,Emotional Stability,0.04445388312205817,0.061358816958008516,783
27,Openness,0.0005810573143688741,0.02352324061568784,783
28,Agreeableness,0.016571596040641748,0.007441482386567085,783
28,Conscientiousness,-0.029780846171057165,-0.058408010205831806,783
28,Extraversion,0.0749149479777598,0.1125374104865864,783
28,Emotional Stability,0.12605604669309142,0.14069072859982235,783
28,Openness,0.058088203312306234,0.05591943348802021,783
29,Agreeableness,-0.053913291583426184,-0.06695499331013635,783
29,Conscientiousness,0.08543946987569234,0.07375540401553567,783
29,Extraversion,-0.005167671585270551,-0.007299471786445909,783
29,Emotional Stability,-0.0044281356008477706,0.013912212256827398,783
29,Openness,0.04214248341079152,0.0705324755630787,783
30,Agreeableness,-0.005463719530165834,-0.003245901079359162,783
30,Conscientiousness,0.006937224582184317,0.00787518930220731,783
30,Extraversion,-0.046271873347678905,-0.051316443043350916,783
30,Emotional Stability,0.03914549795970879,0.005861377827561707,783
30,Openness,-0.03101284845108642,-0.03981522768450297,783
