persona_a,persona_b,cluster_a,cluster_b,pc1_a,pc2_a,pc3_a,pc1_b,pc2_b,pc3_b,pc1_difference,pc2_difference,pc12_distance,pc3_difference,contrast_ratio_pc3_over_pc12,description_a,description_b,rubric_a,rubric_b,rubric_difference,system_score_a,system_score_b,system_score_difference
widow,rogue,grounded_social,trickster_chaos,-28.683472393908232,16.4080262633837,-34.32112816287379,-26.637792220342234,20.617121526360663,30.23694749332942,2.045680173565998,4.2090952629769625,4.6798814413760645,64.55807565620321,13.794807127082592,A person rebuilding after losing their life partner to death,A cunning outsider who operates beyond conventional rules using stealth and deception,system-neutral,system-exploiting,2,0.0,-0.6931471805599453,0.6931471805599453
empath,fixer,grounded_social,grounded_social,-15.630732463790354,3.8726537741772336,-36.85070106278984,-12.58928083339093,17.011219127451696,25.801748594335457,3.0414516303994237,13.138565353274462,13.486004877736155,62.652449657125295,4.6457379764721365,Someone highly attuned to others' emotions and experiences,A shadowy problem-solver who makes inconvenient situations disappear through any means,system-neutral,system-neutral,0,0.0,0.0,0.0
widow,rebel,grounded_social,combative_iconoclast,-28.683472393908232,16.4080262633837,-34.32112816287379,-24.268899156425892,23.900384701533742,27.926135979773154,4.41457323748234,7.492358438150042,8.696199850211208,62.24726414264694,7.157983723563046,A person rebuilding after losing their life partner to death,A defiant challenger of authority and established norms,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
counselor,workaholic,procedural_professional,combative_iconoclast,10.85215315554987,12.970002498399612,-36.167330605539625,2.566650305976661,19.360138421547973,23.982014153411292,8.28550284957321,6.39013592314836,10.463431300801707,60.14934475895092,5.748529070555776,A supportive listener who provides guidance on personal matters.,Someone whose identity and worth are consumed by constant productivity,system-preserving,system-neutral,1,0.6931471805599453,0.0,0.6931471805599453
virus,healer,mythic_spiritual,procedural_professional,-10.626605841617902,-12.916098932286364,25.669757948924474,-1.7608819321638822,-11.560647958191838,-34.34542999024678,8.86572390945402,1.3554509740945253,8.968740590620206,60.015187939171255,6.691595173389436,A simple replicator that spreads rapidly by hijacking existing systems for reproduction,"Someone dedicated to restoring physical, mental, or spiritual wellness",system-neutral,system-neutral,0,0.0,0.0,0.0
saboteur,altruist,combative_iconoclast,procedural_professional,5.936886772982807,-0.7753230886367263,34.77366182561457,11.355226573617275,-3.9140554770542524,-24.74471677556319,5.418339800634468,3.138732388417526,6.261792650770285,59.51837860117776,9.505004783071412,A covert operative who deliberately damages systems from within,A selfless giver who prioritizes others' wellbeing above their own,system-neutral,system-neutral,0,0.0,0.0,0.0
pirate,widow,trickster_chaos,grounded_social,-52.65361030235679,20.271848784608974,24.65869252719328,-28.683472393908232,16.4080262633837,-34.32112816287379,23.970137908448557,3.8638225212252735,24.279551804462333,58.97982069006707,2.429197158821936,"A seafaring rogue who lives by their own code, speaks in nautical terms, values freedom above law, and seeks treasure through cunning and force",A person rebuilding after losing their life partner to death,system-neutral,system-neutral,0,0.0,0.0,0.0
minimalist,hacker,procedural_professional,combative_iconoclast,-3.0632122820027825,9.203426700638087,-21.949753946902028,-2.564236047209667,14.293777194706433,36.36362997770404,0.4989762347931155,5.090350494068346,5.114747836927073,58.31338392460607,11.401025892728017,Someone who intentionally lives with less to focus on what matters most,A digital infiltrator who breaks into systems to expose secrets or cause disruption,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
smuggler,grandparent,grounded_social,grounded_social,-25.84383518717147,33.794271715592984,28.07200569069253,-30.308927697282527,34.39803584940944,-30.14252341549529,4.465092510111056,0.6037641338164548,4.505727716266595,58.214529106187825,12.920114097420372,An underground trader who moves forbidden goods across dangerous borders,An elder watching their legacy continue through new generations,system-neutral,system-neutral,0,0.0,0.0,0.0
widow,vigilante,grounded_social,grounded_social,-28.683472393908232,16.4080262633837,-34.32112816287379,-18.71303880930195,21.98539461037917,23.789986346018452,9.970433584606283,5.5773683469954705,11.42438547770128,58.11111450889224,5.086585141558068,A person rebuilding after losing their life partner to death,A self-appointed enforcer of justice operating outside legal boundaries,system-neutral,system-neutral,0,0.0,0.0,0.0
grandparent,rebel,grounded_social,combative_iconoclast,-30.308927697282527,34.39803584940944,-30.14252341549529,-24.268899156425892,23.900384701533742,27.926135979773154,6.040028540856635,10.497651147875697,12.11126023157205,58.06865939526844,4.7946005197124375,An elder watching their legacy continue through new generations,A defiant challenger of authority and established norms,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
healer,destroyer,procedural_professional,combative_iconoclast,-1.7608819321638822,-11.560647958191838,-34.34542999024678,-3.1182599972090443,-3.2045875038541594,23.321852655755873,1.3573780650451621,8.35606045433768,8.465590441783242,57.66728264600265,6.811961461000447,"Someone dedicated to restoring physical, mental, or spiritual wellness",A force of creative destruction who tears down outdated systems,system-neutral,system-neutral,0,0.0,0.0,0.0
soldier,caregiver,grounded_social,grounded_social,-2.8266904713188667,10.681442546437353,13.901980738432863,1.34461182945744,14.616833977313346,-43.370517142750685,4.171302300776307,3.9353914308759936,5.734724805836276,57.27249788118355,9.986963600403854,"A disciplined warrior trained in combat tactics, following orders with unwavering loyalty while carrying the weight of conflict's harsh realities",A nurturing person dedicated to supporting others' wellbeing,system-neutral,system-preserving,1,0.0,0.6931471805599453,0.6931471805599453
grandparent,criminal,grounded_social,grounded_social,-30.308927697282527,34.39803584940944,-30.14252341549529,-37.55570410505774,37.4339322473068,26.9917189105421,7.246776407775215,3.0358963978973605,7.856999124541991,57.134242326037395,7.271762940104055,An elder watching their legacy continue through new generations,"An outlaw operating outside legal boundaries, whether through desperation, choice, or circumstance, navigating society's shadows and consequences",system-neutral,system-neutral,0,0.0,0.0,0.0
optimist,competitor,grounded_social,combative_iconoclast,0.2315166100698965,22.20788159438113,-31.27095222918518,-5.7259921510185805,27.91731304166791,25.667225189433402,5.957508761088477,5.709431447286779,8.251637297513334,56.93817741861858,6.900227005318101,Someone who maintains hope and sees the positive potential in situations,A driven person motivated by rivalry and the pursuit of winning,system-preserving,system-neutral,1,0.6931471805599453,0.0,0.6931471805599453
grandparent,daredevil,grounded_social,combative_iconoclast,-30.308927697282527,34.39803584940944,-30.14252341549529,-29.846147037757703,43.747371252150835,26.447962682172165,0.4627806595248245,9.349335402741396,9.360781933780096,56.59048609766745,6.045486419031291,An elder watching their legacy continue through new generations,A thrill-seeker who pursues danger for the adrenaline rush,system-neutral,system-neutral,0,0.0,0.0,0.0
infant,cynic,other,combative_iconoclast,-42.89039069345233,44.7001549793523,-19.499291556189977,-21.40683523636408,40.71202851103861,36.281452987272154,21.48355545708825,3.9881264683136877,21.8505905596405,55.780744543462134,2.5528253727689862,A pre-verbal being experiencing the world through pure sensation and need,A distrustful person who expects the worst of human nature and motives,system-neutral,system-neutral,0,0.0,0.0,0.0
narcissist,grandparent,grounded_social,grounded_social,-21.994757067395106,34.672100536997824,25.556728579920584,-30.308927697282527,34.39803584940944,-30.14252341549529,8.314170629887421,0.2740646875883854,8.31868647779597,55.69925199541588,6.6956779112193985,Someone with an inflated self-image who requires constant admiration,An elder watching their legacy continue through new generations,system-neutral,system-neutral,0,0.0,0.0,0.0
newlywed,competitor,grounded_social,combative_iconoclast,-3.4799677248014005,36.0089909662087,-29.969727109691988,-5.7259921510185805,27.91731304166791,25.667225189433402,2.24602442621718,8.09167792454079,8.39761140787456,55.63695229912539,6.625329867207712,Someone learning to merge individual identity with partnership,A driven person motivated by rivalry and the pursuit of winning,system-neutral,system-neutral,0,0.0,0.0,0.0
optimist,gamer,grounded_social,combative_iconoclast,0.2315166100698965,22.20788159438113,-31.27095222918518,-1.515564708923288,24.950025711976743,24.217635128722527,1.7470813189931844,2.742144117595611,3.2514070026434982,55.488587357907704,17.066017956772484,Someone who maintains hope and sees the positive potential in situations,A digital native who navigates virtual worlds and understands game mechanics as life metaphors,system-preserving,system-neutral,1,0.6931471805599453,0.0,0.6931471805599453
workaholic,optimist,combative_iconoclast,grounded_social,2.566650305976661,19.360138421547973,23.982014153411292,0.2315166100698965,22.20788159438113,-31.27095222918518,2.3351336959067646,2.847743172833159,3.682728683486886,55.25296638259647,15.003264190241026,Someone whose identity and worth are consumed by constant productivity,Someone who maintains hope and sees the positive potential in situations,system-neutral,system-preserving,1,0.0,0.6931471805599453,0.6931471805599453
widow,trickster,grounded_social,trickster_chaos,-28.683472393908232,16.4080262633837,-34.32112816287379,-35.02203055935166,19.740619976937417,20.906417185849257,6.33855816544343,3.3325937135537167,7.161249924163193,55.22754534872305,7.71199695885206,A person rebuilding after losing their life partner to death,A playful provocateur who uses humor and mischief to reveal truths,system-neutral,system-neutral,0,0.0,0.0,0.0
orphan,cynic,grounded_social,combative_iconoclast,-23.43772496380291,36.54256528246299,-18.765496153700173,-21.40683523636408,40.71202851103861,36.281452987272154,2.0308897274388293,4.169463228575623,4.637772816715025,55.04694914097233,11.869261269831082,Someone who has lost parents and navigates life without that foundation,A distrustful person who expects the worst of human nature and motives,system-neutral,system-neutral,0,0.0,0.0,0.0
revolutionary,empath,combative_iconoclast,grounded_social,-11.514294493867341,-5.725035390605592,18.037641410741493,-15.630732463790354,3.8726537741772336,-36.85070106278984,4.1164379699230125,9.597689164782826,10.443213052696644,54.88834247353133,5.255885994155036,A radical change agent seeking to overturn existing systems,Someone highly attuned to others' emotions and experiences,system-neutral,system-neutral,0,0.0,0.0,0.0
immigrant,contrarian,grounded_social,combative_iconoclast,-4.76590850214615,13.842248521111225,-28.780266179021936,-3.5866920053225377,13.934090578762897,26.0834463593526,1.1792164968236123,0.09184205765167164,1.1827876013615655,54.863712538374536,46.38505348734191,Someone adapting to life in a new country while preserving their heritage,Someone who consistently takes opposing views to challenge consensus,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
refugee,contrarian,grounded_social,combative_iconoclast,-13.329593217197871,16.146132517431663,-28.559334952136304,-3.5866920053225377,13.934090578762897,26.0834463593526,9.742901211875333,2.212041938668767,9.99085849978826,54.6427813114889,5.469277324202885,Someone rebuilding their life after fleeing conflict or persecution,Someone who consistently takes opposing views to challenge consensus,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
immigrant,fixer,grounded_social,grounded_social,-4.76590850214615,13.842248521111225,-28.780266179021936,-12.58928083339093,17.011219127451696,25.801748594335457,7.82337233124478,3.168970606340471,8.440825157360877,54.58201477335739,6.46643038913422,Someone adapting to life in a new country while preserving their heritage,A shadowy problem-solver who makes inconvenient situations disappear through any means,system-neutral,system-neutral,0,0.0,0.0,0.0
maverick,immigrant,combative_iconoclast,grounded_social,-10.538674169338805,20.1098830569203,25.585925434721783,-4.76590850214615,13.842248521111225,-28.780266179021936,5.772765667192655,6.267634535809075,8.521036681225171,54.36619161374372,6.380231334210794,An independent nonconformist who challenges conventional thinking,Someone adapting to life in a new country while preserving their heritage,system-challenging,system-neutral,1,-0.6931471805599453,0.0,0.6931471805599453
refugee,fixer,grounded_social,grounded_social,-13.329593217197871,16.146132517431663,-28.559334952136304,-12.58928083339093,17.011219127451696,25.801748594335457,0.7403123838069412,0.8650866100200325,1.1386119920560593,54.36108354647176,47.74324895793505,Someone rebuilding their life after fleeing conflict or persecution,A shadowy problem-solver who makes inconvenient situations disappear through any means,system-neutral,system-neutral,0,0.0,0.0,0.0
parent,competitor,grounded_social,combative_iconoclast,7.071280585192655,28.571431504845737,-28.684836032439957,-5.7259921510185805,27.91731304166791,25.667225189433402,12.797272736211236,0.6541184631778272,12.813979102872203,54.352061221873356,4.241622102229623,Someone raising children while balancing their needs with personal identity,A driven person motivated by rivalry and the pursuit of winning,system-neutral,system-neutral,0,0.0,0.0,0.0
newlywed,gamer,grounded_social,combative_iconoclast,-3.4799677248014005,36.0089909662087,-29.969727109691988,-1.515564708923288,24.950025711976743,24.217635128722527,1.9644030158781125,11.058965254231957,11.232078690211386,54.187362238414515,4.82433919033161,Someone learning to merge individual identity with partnership,A digital native who navigates virtual worlds and understands game mechanics as life metaphors,system-neutral,system-neutral,0,0.0,0.0,0.0
zealot,pilgrim,mythic_spiritual,mythic_spiritual,-33.94084646222722,-18.761290713030473,26.199381490772637,-40.740661668283344,-28.502017565118344,-27.98757084595838,6.799815206056124,9.740726852087871,11.879362206932566,54.18695233673102,4.561435776718113,A fanatic whose extreme devotion to a cause blinds them to reason,A spiritual traveler seeking meaning through sacred journeys and transformative experiences,system-neutral,system-neutral,0,0.0,0.0,0.0
refugee,maverick,grounded_social,combative_iconoclast,-13.329593217197871,16.146132517431663,-28.559334952136304,-10.538674169338805,20.1098830569203,25.585925434721783,2.7909190478590666,3.963750539488636,4.847736324409468,54.145260386858084,11.169181983979268,Someone rebuilding their life after fleeing conflict or persecution,An independent nonconformist who challenges conventional thinking,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
spy,minimalist,procedural_professional,procedural_professional,0.7214741115843969,2.5354264968315796,32.136985625952626,-3.0632122820027825,9.203426700638087,-21.949753946902028,3.7846863935871795,6.668000203806507,7.667207954383887,54.086739572854654,7.054293145608016,A covert intelligence gatherer who operates in secrecy to obtain sensitive information,Someone who intentionally lives with less to focus on what matters most,system-neutral,system-neutral,0,0.0,0.0,0.0
provocateur,provincial,combative_iconoclast,grounded_social,-23.792195573229026,22.517386586509275,34.501805992143986,-22.102235548410015,23.678003278869166,-19.095903859655085,1.6899600248190119,1.1606166923598913,2.050120970106567,53.59770985179907,26.143668832061252,An agitator who deliberately challenges social norms through shocking or controversial actions,Someone deeply rooted in local traditions and perspectives,system-challenging,system-neutral,1,-0.6931471805599453,0.0,0.6931471805599453
romantic,genie,grounded_social,trickster_chaos,-35.8744478824748,-2.691352988920311,-30.824384674058912,-37.87553076390726,1.5479287761050156,22.354622426783013,2.0010828814324597,4.239281765025327,4.687839863054014,53.17900710084193,11.34402993923243,"An idealist who believes in love, beauty, and emotional connection",An elemental spirit of smokeless fire granting wishes with twists,system-neutral,system-neutral,0,0.0,0.0,0.0
patient,competitor,grounded_social,combative_iconoclast,0.4118924476677099,29.1882106181392,-27.329048098755866,-5.7259921510185805,27.91731304166791,25.667225189433402,6.13788459868629,1.2708975764712882,6.268078493180423,52.99627328818927,8.454945944104319,A person navigating illness and the vulnerability of medical treatment,A driven person motivated by rivalry and the pursuit of winning,system-neutral,system-neutral,0,0.0,0.0,0.0
parent,gamer,grounded_social,combative_iconoclast,7.071280585192655,28.571431504845737,-28.684836032439957,-1.515564708923288,24.950025711976743,24.217635128722527,8.586845294115943,3.6214057928689947,9.31925383395614,52.90247116116248,5.676684681741311,Someone raising children while balancing their needs with personal identity,A digital native who navigates virtual worlds and understands game mechanics as life metaphors,system-neutral,system-neutral,0,0.0,0.0,0.0
workaholic,immigrant,combative_iconoclast,grounded_social,2.566650305976661,19.360138421547973,23.982014153411292,-4.76590850214615,13.842248521111225,-28.780266179021936,7.332558808122811,5.517889900436748,9.176792883568925,52.76228033243323,5.749533116016067,Someone whose identity and worth are consumed by constant productivity,Someone adapting to life in a new country while preserving their heritage,system-neutral,system-neutral,0,0.0,0.0,0.0
survivor,provocateur,grounded_social,combative_iconoclast,-23.30115962922561,20.545113327824595,-18.175498484437124,-23.792195573229026,22.517386586509275,34.501805992143986,0.49103594400341777,1.9722732586846803,2.0324807761024495,52.677304476581114,25.917725362141624,Someone who has overcome significant hardship and emerged resilient,An agitator who deliberately challenges social norms through shocking or controversial actions,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
