instrument,round,year,variable_id,reference_number,question_name,construct,exact_item_or_trait_pair,response_scale,reverse_scoring,raw_or_derived,public_use_status,official_documentation
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920000,S09200.00,YSAQ-282J,Conscientiousness,"Disorganized describes you; 1=organized, 5=disorganized",1-5 bipolar anchored in item wording,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920100,S09201.00,YSAQ-282K,Conscientiousness,"Conscientious describes you; 1=not conscientious, 5=conscientious",1-5 bipolar anchored in item wording,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920200,S09202.00,YSAQ-282L,Conscientiousness,"Undependable describes you; 1=undependable, 5=dependable",1-5 bipolar anchored in item wording,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920300,S09203.00,YSAQ-282M,Conscientiousness,"Thorough describes you; 1=thorough, 5=careless",1-5 bipolar anchored in item wording,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920400,S09204.00,YSAQ-282N,Agreeableness,"Agreeable describes you; 1=agreeable, 5=quarrelsome",1-5 bipolar anchored in item wording,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920500,S09205.00,YSAQ-2820,Agreeableness,"Difficult describes you; 1=cooperative, 5=difficult",1-5 bipolar anchored in item wording,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920600,S09206.00,YSAQ-282P,Agreeableness,Stubborn describes you; endpoints stubborn/flexible,1-5 bipolar anchored in item wording,same_toward_flexible,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Goldberg Agreeableness/Conscientiousness bipolar items,6,2002,S0920700,S09207.00,YSAQ-282Q,Agreeableness,"Trustful describes you; 1=distrustful, 5=trustful",1-5 bipolar anchored in item wording,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Industriousness,12,2008,T3162600,T31626.00,YTEL-IND~000001,Industriousness,PERSONALITY SCALE: HARD WORKER,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Industriousness,12,2008,T3162601,T31626.01,YTEL-IND~000002,Industriousness,PERSONALITY SCALE: AMOUNT OF WORK,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Industriousness,12,2008,T3162602,T31626.02,YTEL-IND~000003,Industriousness,PERSONALITY SCALE: WORK STANDARDS,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Industriousness,12,2008,T3162603,T31626.03,YTEL-IND~000004,Industriousness,PERSONALITY SCALE: EFFORT AT WORK,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Traditionalism,12,2008,T3162700,T31627.00,YTEL-TRAD~000001,Traditionalism,PERSONALITY SCALE: FOLLOWING RULES,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Traditionalism,12,2008,T3162701,T31627.01,YTEL-TRAD~000002,Traditionalism,PERSONALITY SCALE: BREAKING SCHOOL RULES,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Traditionalism,12,2008,T3162702,T31627.02,YTEL-TRAD~000003,Traditionalism,PERSONALITY SCALE: SUPPORT FOR RULES AND TRADITIONS,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Traditionalism,12,2008,T3162703,T31627.03,YTEL-TRAD~000004,Traditionalism,PERSONALITY SCALE: BENDING RULES,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039400,T90394.00,YSAQ-GRIT-1,Short Grit Scale,GRIT SCALE: NEW IDEAS DISTRACT FROM OLD ONES,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039500,T90395.00,YSAQ-GRIT-2,Short Grit Scale,GRIT SCALE: SETBACKS DO NOT DISCOURAGE,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039600,T90396.00,YSAQ-GRIT-3,Short Grit Scale,GRIT SCALE: SHORT TERM OBSESSIONS,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039700,T90397.00,YSAQ-GRIT-4,Short Grit Scale,GRIT SCALE: HARD WORKER,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039800,T90398.00,YSAQ-GRIT-5,Short Grit Scale,GRIT SCALE: CHANGE GOALS FREQUENTLY,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9039900,T90399.00,YSAQ-GRIT-6,Short Grit Scale,GRIT SCALE: MAINTAINING FOCUS,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9040000,T90400.00,YSAQ-GRIT-7,Short Grit Scale,GRIT SCALE: ABILITY TO FINISH PROJECTS,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale,16,2013,T9040100,T90401.00,YSAQ-GRIT-8,Short Grit Scale,GRIT SCALE: DILIGENCE,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1028900,U10289.00,YSAQ-GRIT-1,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: NEW IDEAS DISTRACT FROM OLD ONES,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029000,U10290.00,YSAQ-GRIT-2,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: SETBACKS DO NOT DISCOURAGE,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029100,U10291.00,YSAQ-GRIT-3,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: SHORT TERM OBSESSIONS,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029200,U10292.00,YSAQ-GRIT-4,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: HARD WORKER,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029300,U10293.00,YSAQ-GRIT-5,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: CHANGE GOALS FREQUENTLY,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029400,U10294.00,YSAQ-GRIT-6,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: MAINTAINING FOCUS,See official codebook entry,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029500,U10295.00,YSAQ-GRIT-7,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: ABILITY TO FINISH PROJECTS,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Short Grit Scale repeat for Round-16 nonrespondents,17,2015,U1029600,U10296.00,YSAQ-GRIT-8,Short Grit Scale repeat for Round-16 nonrespondents,GRIT SCALE: DILIGENCE,See official codebook entry,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
