persona,existing_match_status,existing_include_in_analysis,prior_soc_title,prior_soc_2018_code,nlsy97_census_2002_codes,nlsy97_occupation_titles,translation_method,translation_quality,official_crosswalk_chain,mapping_quality,mapping_rationale,top_title_candidate_code,top_title_candidate,top_title_similarity,round12_personality_complete_n,round6_personality_complete_n,round12_feasibility,notes
comedian,close,True,Actors,27-2011,2700,Actors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,Comedian is a performing role; OEWS does not provide a detailed comedian SOC.,2700,Actors,1.0,0,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
competitor,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
composer,exact,True,Music Directors and Composers,27-2041,2750,"Musicians, singers, and related workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2710,Producers and directors,0.207508,12,6,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
conservator,close,True,Curators,25-4012,2400,"Archivists, curators, and museum technicians",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Museum/art conservator is not separate in OEWS; curators is closest public category.,2400,"Archivists, curators, and museum technicians",0.364913,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
consultant,close,True,Management Analysts,13-1111,0710,Management analysts,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,Management analyst is the standard SOC proxy for business consultants.,0710,Management analysts,1.0,25,1,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
contrarian,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
coordinator,broad,True,Project Management Specialists,13-1082,0710,Management analysts,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Coordinator is generic; project management specialists are a defensible broad proxy.,0710,Management analysts,0.256365,25,1,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
coral_reef,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
cosmopolitan,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
counselor,broad,True,"Counselors, All Other",21-1019,2000,Counselors,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Counselor is broad; all-other counselor category avoids over-specification.,2000,Counselors,1.0,44,6,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
criminal,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
critic,broad,True,"News Analysts, Reporters, and Journalists",27-3023,2810,"News analysts, reporters and correspondents",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,"Critic is a media/writing function, not a clean SOC.",2810,"News analysts, reporters and correspondents",0.657206,9,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
crystalline,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
curator,exact,True,Curators,25-4012,2400,"Archivists, curators, and museum technicians",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,2400,"Archivists, curators, and museum technicians",0.364913,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
cyborg,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
cynic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
daredevil,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
debugger,close,True,Computer Programmers,15-1251,1010,Computer programmers,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,"Debugging is a programming/software task, not a separate occupation.",1010,Computer programmers,1.0,13,5,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
demon,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
designer,broad,True,"Designers, All Other",27-1029,2630,Designers,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Generic designer maps to all-other designers.,2630,Designers,1.0,29,6,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
destroyer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
detective,exact,True,Detectives and Criminal Investigators,33-3021,3820,Detectives and criminal investigators,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,3820,Detectives and criminal investigators,1.0,3,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
devils_advocate,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
dilettante,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
dispatcher,exact,True,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,5520,Dispatchers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match for non-emergency dispatchers.,5520,Dispatchers,0.4268,16,3,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
divorcee,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
doctor,broad,True,Family Medicine Physicians,29-1215,3060,Physicians and surgeons,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Doctor is broad; family medicine physician is a concrete but incomplete proxy.,3060,Physicians and surgeons,0.236165,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
dreamer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
echo,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
economist,exact,True,Economists,19-3011,1800,Economists,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,1800,Economists,1.0,1,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
ecosystem,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
editor,exact,True,Editors,27-3041,2830,Editors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,2830,Editors,1.0,7,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
egregore,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
elder,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
eldritch,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
emissary,ambiguous,False,Public Relations Managers,11-2032,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Emissary is symbolic/diplomatic; no clean modern SOC.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
empath,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
engineer,broad,True,"Engineers, All Other",17-2199,1530,"Engineers, all other",official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Generic engineer maps to all-other engineers; many detailed engineer SOCs exist.,1530,"Engineers, all other",1.0,7,3,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
entrepreneur,ambiguous,False,General and Operations Managers,11-1021,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Entrepreneur is owner/founder status, not an OEWS occupation; ambiguous only.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
evaluator,ambiguous,False,"Financial Specialists, All Other",13-2099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Evaluator is generic and not cleanly occupational.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
evangelist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
examiner,ambiguous,False,"Financial Specialists, All Other",13-2099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Examiner is generic; many examiner categories exist.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
exile,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
expatriate,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
facilitator,broad,True,Training and Development Specialists,13-1151,0620,"Human resources, training, and labor relations specialists",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Facilitator is a task role; training/development is a weak proxy.,0620,"Human resources, training, and labor relations specialists",0.19731,43,2,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
familiar,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
