persona,activation_cluster,is_bridge,bridge_score,is_developmental,is_symbolic_liminal,semantic_residual,trait_residual,procedural_alone_residual,naive_concat_residual,hierarchical_residual,improvement_vs_trait,improvement_percent_vs_trait,heldout_frequency,rank_most_improved_vs_trait,rank_worsened_vs_trait
vampire,mythic_spiritual,True,3.0,False,True,54.089284744194266,32.22717859421213,49.25415569260731,31.012763590049712,29.24692854385708,2.980250050355046,9.247629424470585,2,37,185
scheduler,procedural_professional,False,0.0,False,False,14.144275715264783,28.48436969280005,19.446851948662314,16.598536617795126,25.519454795687775,2.9649148971122763,10.40891874767976,1,38,184
veteran,grounded_social,False,0.0,False,False,32.27289889270243,27.847996370024575,27.00108679054052,24.49550900562697,24.89567922693974,2.9523171430848336,10.60154240131506,2,39,183
surfer,grounded_social,True,3.0,False,False,18.686751783322464,19.459864308774044,16.150938445292194,16.41495149376038,16.531515772695286,2.928348536078758,15.048144681864134,1,40,182
mycorrhizal,mythic_spiritual,False,0.0,False,True,37.34083248957533,16.107240835850046,36.849482154224944,13.328979247131608,13.285179160024613,2.8220616758254327,17.520453717587323,1,41,181
publisher,procedural_professional,True,2.0,False,False,29.19542351622462,20.664644643592485,25.65268824451026,18.527936049899097,17.955433754636154,2.7092108889563313,13.110367662656033,1,42,180
ambassador,procedural_professional,True,2.0,False,False,10.279283631473465,11.70233518060408,13.084487662533856,11.437589567313811,9.015041539873465,2.6872936407306156,22.963738427050387,2,43,179
amnesiac,grounded_social,True,4.0,False,False,29.877821954160975,25.936891736700304,22.84179040674779,18.8537502101256,23.255892423298494,2.6809993134018093,10.3366253004335,1,44,178
familiar,mythic_spiritual,False,0.0,False,True,8.614367404868146,4.835477178621815,14.277852950439305,6.2910553380411605,2.1639991047507365,2.6714780738710786,55.247454908524475,3,45,177
bartender,grounded_social,True,3.0,False,False,57.28208961233801,22.97235350362291,49.492549678842096,23.8251208809421,20.3044716850981,2.6678818185248083,11.613445779963572,2,46,176
doctor,procedural_professional,True,3.0,False,False,25.621393228250167,20.923242467988516,13.657193007203386,13.304098643354182,18.300389245583684,2.6228532224048315,12.535596365705088,1,47,175
merchant,procedural_professional,True,2.0,False,False,32.8196690924423,34.59255109759273,24.12538418148872,30.123099138094645,31.9948591493402,2.597691948252532,7.509396866752921,2,48,174
blogger,grounded_social,True,3.0,False,False,18.64122929985976,27.385904634232713,23.453536344339295,23.390786188898264,24.81003436210794,2.575870272124771,9.405825027612568,1,49,173
narrator,mythic_spiritual,True,3.0,False,True,39.852644679284396,15.308211166885494,37.918192823777304,15.11052070766892,12.835036120610477,2.473175046275017,16.15587229176035,3,50,172
negotiator,procedural_professional,True,4.0,False,False,9.722731678252666,9.791505917978562,9.50940622012075,8.707531157627336,7.323763554245639,2.4677423637329223,25.20288895706845,1,51,171
synthesizer,procedural_professional,True,3.0,False,False,19.67550479889563,15.0308756209531,18.48245789870985,10.829057778067096,12.583028912832251,2.4478467081208493,16.28545648204647,2,52,170
smuggler,grounded_social,True,3.0,False,False,69.90087518735984,50.95542953474488,70.17782879103251,49.79555455602771,48.51748583357397,2.4379437011709086,4.7844630561077945,2,53,169
provincial,grounded_social,True,2.0,False,False,25.776959224410675,14.11607307502096,23.747197197130475,15.93668094346346,11.69368245656894,2.4223906184520203,17.160513448591814,1,54,168
divorcee,grounded_social,False,0.0,False,False,37.119640886711,27.46360441352303,38.79871875133564,27.760178877249764,25.21776203338067,2.24584238014236,8.177522317633265,1,55,167
newlywed,grounded_social,False,0.0,False,False,43.79221032224263,34.200995382043665,45.32980147422427,34.48077311185803,31.956269436950496,2.244725945093169,6.563335131093007,1,56,166
naturalist,procedural_professional,True,2.0,False,False,21.84876151887786,30.0765523657893,20.52551214006338,27.683482371910024,27.91706977539887,2.159482590390432,7.179953886093489,1,57,165
jester,trickster_chaos,True,3.0,False,True,35.90963242128077,19.94225194765661,25.111208654195654,16.634407760974295,17.866274322403225,2.075977625253387,10.409945831104256,1,58,164
infant,other,False,0.0,True,True,56.26726434346324,47.16394317831595,55.62803404705527,51.43512319846646,45.146427436739,2.0175157415769434,4.277665533497026,2,59,163
prey,grounded_social,True,2.0,False,False,25.758182380492013,26.427415546920077,20.322521682400566,23.50443170497216,24.443422223519953,1.9839933234001244,7.507330105275257,1,60,162
workaholic,combative_iconoclast,True,3.0,False,False,35.154241437233466,35.7416775110064,41.04384369475943,39.35347739790423,33.844947017275075,1.8967304937313259,5.306775243403841,2,61,161
demon,mythic_spiritual,False,0.0,False,True,36.434577237016796,23.576360794248345,24.610871022685117,21.36260430193962,21.727907349486436,1.8484534447619083,7.840283158598652,1,62,160
martyr,mythic_spiritual,True,3.0,False,True,39.52745507526001,24.28608561329996,41.23127188329589,23.363047831772437,22.43988534245993,1.8462002708400291,7.601884882712352,2,63,159
producer,procedural_professional,True,2.0,False,False,18.32391384312411,14.469882764168537,22.853183202997954,17.00792270551535,12.741130801317418,1.7287519628511188,11.947242358673359,1,64,158
evaluator,procedural_professional,False,0.0,False,False,17.967394041750993,18.18010980149931,19.461981608227504,17.870814782637648,16.538698769269566,1.641411032229744,9.028609013650605,1,65,157
dispatcher,procedural_professional,False,0.0,False,False,14.341761304798556,12.296259296390675,19.782920426960935,15.454195714326177,10.711119382038088,1.5851399143525864,12.891236888749354,2,66,156
fool,trickster_chaos,True,2.0,False,True,33.47387093751457,37.133759721961205,28.897866006999028,37.38579389197878,35.5506781497143,1.583081572246904,4.263186879271632,1,67,155
dreamer,mythic_spiritual,False,0.0,False,True,16.021613625711467,14.122088386637454,9.4866421181055,9.884873177279744,12.541326472226153,1.5807619144113012,11.193542138619126,2,68,154
musician,grounded_social,True,3.0,False,False,17.848982240828814,32.3779222154836,12.521865183120063,25.867878607207103,30.814841631392028,1.5630805840915727,4.827612388740882,1,69,153
pilgrim,mythic_spiritual,True,2.0,False,True,26.448589757150174,22.280655593424928,25.309768558228015,22.999450987364146,20.726401232722562,1.554254360702366,6.975801740596134,1,70,152
golem,mythic_spiritual,False,0.0,False,True,17.864352451398933,12.193524269402335,13.034307456830803,10.066681450160312,10.653737928251717,1.5397863411506183,12.62790237777655,1,71,151
wanderer,mythic_spiritual,True,3.0,False,True,31.71758647805136,10.778407031646905,33.218954338972146,13.847457007777349,9.249374738614263,1.5290322930326425,14.186069319364083,1,72,150
celebrity,grounded_social,False,0.0,False,False,26.972072891572694,15.072832791539486,29.058959824995895,13.80263003051548,13.563879585826726,1.5089532057127606,10.011079049186755,2,73,149
networker,procedural_professional,True,2.0,False,False,8.886891769237915,11.735239520244905,10.907886267231953,6.79797035979721,10.227975599297235,1.5072639209476701,12.843912715606972,1,74,148
theorist,procedural_professional,True,2.0,False,False,20.33183421128075,16.966992386449174,18.597813081110584,15.341195800083037,15.52603938092232,1.440953005526854,8.492683751527364,3,75,147
loner,grounded_social,True,3.0,False,False,12.22843016223194,46.04575638001632,10.578211410705775,39.573487983304844,44.62085094962492,1.424905430391398,3.0945423474676623,2,76,146
mediator,procedural_professional,True,2.0,False,False,7.366174725286929,9.82565164783148,3.44530701103021,7.840813697816571,8.43708739446345,1.3885642533680294,14.132032186124627,1,77,145
podcaster,grounded_social,True,2.0,False,False,15.921606388740992,16.886791328879536,17.40970657763333,14.534968910509013,15.499845330174844,1.3869459987046913,8.213200315519723,3,78,144
witness,procedural_professional,True,3.0,False,False,18.13400227798931,15.659022843896311,17.847317868207817,13.032218223117713,14.29114323186003,1.3678796120362815,8.73540849689394,1,79,143
researcher,procedural_professional,True,3.0,False,False,16.1148778040585,11.580595565933473,9.544715818504736,10.052759639683734,10.335223217015965,1.245372348917508,10.753957703013201,1,80,142
parent,grounded_social,False,0.0,False,False,40.15214059007108,31.074401532713757,33.580386276964745,28.747544951485757,29.84502967425623,1.229371858457526,3.9562205475246164,1,81,141
presenter,procedural_professional,True,3.0,False,False,20.83470481080558,26.317225078571123,17.73892953875483,24.11337785786148,25.116929279345044,1.2002957992260797,4.5608752276980145,3,82,140
vigilante,grounded_social,True,2.0,False,False,18.348067943155392,20.435226592732086,24.114445474446715,22.68289298350509,19.24974906954499,1.185477523187096,5.801146944995062,2,83,139
expatriate,procedural_professional,False,0.0,False,False,34.01444094620796,28.816216309110395,37.42995665418391,27.417902311172277,27.66132778895781,1.1548885201525856,4.007772942027304,1,84,138
immigrant,grounded_social,False,0.0,False,False,25.415884994428588,20.514151428136753,27.02122447158321,20.924882669049197,19.367837586224507,1.1463138419122458,5.587917423384071,1,85,137
leviathan,mythic_spiritual,False,0.0,False,True,31.128359059849764,24.153083376338856,29.98588147995941,25.032996136865748,23.045877690596207,1.1072056857426489,4.584117350529678,2,86,136
secretary,editorial,False,0.0,False,False,19.35666997943212,17.660044446017526,14.72656128302204,16.040420619010987,16.588778180041434,1.0712662659760923,6.066045129448533,1,87,135
competitor,combative_iconoclast,True,2.0,False,False,36.49125871715074,30.617767748054334,32.32576533885212,25.629111525519043,29.552090831885508,1.065676916168826,3.4805833166480484,2,88,134
virus,mythic_spiritual,True,2.0,False,True,22.90612118755261,32.57715943284334,24.024473181794928,27.203221925979616,31.51294795227945,1.0642114805638876,3.266741174158299,3,89,133
purist,procedural_professional,True,2.0,False,False,20.002407669148248,30.462833605759904,23.488091490122695,27.74740603605925,29.406925256593613,1.055908349166291,3.4662184182585043,1,90,132
judge,procedural_professional,True,2.0,False,False,13.517842829913004,17.295271975278673,15.637163594025388,7.5870395738654635,16.253545748354938,1.0417262269237355,6.023184997684608,2,91,131
hoarder,other,True,2.0,False,True,38.52669084454307,39.85757748456003,39.473244330136104,40.26649798234461,38.890992307611874,0.9665851769481577,2.4250976550759815,1,92,130
chef,grounded_social,True,3.0,False,False,25.720365368067934,12.759949443285667,26.93468965685266,12.265079824060797,11.826919738975926,0.9330297043097406,7.312173989848403,1,93,129
destroyer,combative_iconoclast,True,2.0,False,False,25.520443063711937,25.88819908063336,20.732932102831303,25.315138179093754,24.970704896656216,0.9174941839771442,3.5440633823907444,1,94,128
toddler,other,True,4.0,True,True,64.16173760393085,59.770927544176295,66.40738523136842,65.10650098077862,58.876641249943916,0.8942862942323799,1.4961894201347616,1,95,127
proofreader,editorial,True,5.0,False,False,38.44292239619052,23.45152541296485,23.47804840597087,11.874611670308989,22.593424430983383,0.8581009819814653,3.6590412217154804,1,96,126
reviewer,procedural_professional,False,0.0,False,False,15.93583154790256,15.399760400925524,17.933643799367417,15.470642175162007,14.544435855165226,0.8553245457602987,5.554141905408436,1,97,125
ancient,mythic_spiritual,True,4.0,False,True,55.853335918348044,34.724108155571344,51.563040198504076,35.38478136413189,33.88034761336457,0.8437605422067733,2.4298983819153763,1,98,124
mystic,mythic_spiritual,True,4.0,False,True,44.22370524467897,29.49212292212861,48.02522465704671,29.668492868877372,28.67503280965784,0.817090112470769,2.7705367790179927,1,99,123
contrarian,combative_iconoclast,False,0.0,False,False,13.466481443181719,15.821401970800737,17.824468754688404,16.59307865840408,15.021890244394559,0.7995117264061786,5.053355751163653,2,100,122
pharmacist,editorial,False,0.0,False,False,19.85647363240787,17.17489872440386,15.98327685694732,16.233965848337277,16.401166030560084,0.7737326938437761,4.505020415313292,2,101,121
whale,mythic_spiritual,False,0.0,False,True,18.028619845269567,16.825526118709274,22.647313842024907,17.665378056987414,16.11360829303604,0.7119178256732326,4.231177204507205,1,102,120
ecosystem,procedural_professional,True,4.0,False,False,26.083945653825896,18.448400711676825,20.578175952933385,17.825485399337524,17.742396941563346,0.7060037701134796,3.826910425176411,1,103,119
wraith,mythic_spiritual,False,0.0,False,True,22.663518309086076,22.683546500087452,24.437542371618235,24.010479136901782,22.060539406446143,0.6230070936413092,2.7465153812650387,1,104,118
counselor,procedural_professional,True,3.0,False,False,8.2780225927552,8.791054379816387,8.54271682369636,12.251967965742908,8.199094356574467,0.5919600232419207,6.733663536435598,3,105,117
summarizer,editorial,True,3.0,False,False,36.99408765955433,25.266192283259617,29.94049092849972,23.26438852337097,24.67495892669623,0.5912333565633858,2.340017640707633,1,106,116
void,mythic_spiritual,False,0.0,False,True,23.873922740884012,16.7260724412972,25.051447037445556,19.75307689322435,16.174668989101065,0.5514034521961371,3.2966702382246327,1,107,115
dilettante,grounded_social,True,5.0,False,False,39.24207665882507,38.701986112915776,35.54018737333354,34.97032848775089,38.19251947649265,0.5094666364231273,1.3163836991122948,2,108,114
hybrid,procedural_professional,True,3.0,False,False,30.952596010833858,18.484372837137006,24.077817016202594,17.43003181045403,18.016804808775134,0.46756802836187106,2.52953147224167,1,109,113
echo,mythic_spiritual,True,2.0,False,True,47.766040348918956,29.2718321227107,48.033061945314955,31.04032588800944,28.816588600555548,0.4552435221551505,1.555227292390583,2,110,112
curator,procedural_professional,True,2.0,False,False,18.152822617400055,18.462290687444302,17.681377243415664,16.53771521899143,18.01672832018872,0.44556236725558307,2.4133644887229395,2,111,111
analyst,procedural_professional,True,3.0,False,False,10.845548606911606,7.907451988918196,10.729662578467252,10.65058477977715,7.510731434370541,0.3967205545476551,5.017046642883629,1,112,110
scout,procedural_professional,True,3.0,False,False,15.605115300401923,15.372637473217804,18.875111312899424,15.231868761772986,15.00172995316801,0.3709075200497942,2.4127773825148022,2,113,109
recruiter,procedural_professional,False,0.0,False,False,11.233603695016566,8.777112083234453,12.148439549814245,10.956825587304879,8.42301487660937,0.3540972066250827,4.034324767271222,1,114,108
philosopher,procedural_professional,True,3.0,False,False,34.47877937840619,10.205542164488222,31.306150017812293,14.075484431715134,9.901676703069768,0.3038654614184537,2.977455352404511,1,115,107
coach,procedural_professional,True,3.0,False,False,12.54353985242302,14.087533041297732,13.780033436124942,14.02197442229299,13.82429276387287,0.26324027742486145,1.8686045076392734,1,116,106
accountant,editorial,False,0.0,False,False,17.272494030733128,7.499244330264447,11.090400851424175,7.247075978240336,7.237468176174888,0.2617761540895591,3.4907004300835744,2,117,105
psychologist,procedural_professional,True,3.0,False,False,19.933794964040338,18.088279719300736,34.1849006893441,22.271827742650252,17.848994668835914,0.2392850504648223,1.3228734527446409,2,118,104
prisoner,grounded_social,False,0.0,False,False,27.312205283180603,17.408565228188767,31.7019945491417,21.439996249610047,17.236504821462617,0.17206040672614975,0.9883663844251878,4,119,103
hive,procedural_professional,True,2.0,False,False,37.38399001480357,36.28797125639878,36.60697843766525,36.71794750730538,36.16093505386453,0.1270362025342493,0.3500779959195117,2,120,102
adolescent,other,True,3.0,True,True,64.98528797058003,50.26541857457457,63.260742126163144,54.112020310424754,50.1758037818627,0.08961479271187045,0.17828319200986364,3,121,101
sage,mythic_spiritual,True,5.0,False,True,66.23949641169695,37.424188535493535,65.14883464027913,40.891762730980076,37.47683505377857,-0.0526465182850373,-0.1406751097224372,2,122,100
engineer,procedural_professional,True,3.0,False,False,20.019999996463564,11.841102000548412,26.96303920541838,16.241394825472486,11.971016735982667,-0.12991473543425514,-1.0971507164471535,3,123,99
survivor,grounded_social,False,0.0,False,False,16.44260552992286,14.361226083032053,13.719708783195788,14.929246212565964,14.4917701688501,-0.13054408581804822,-0.9090037651610227,1,124,98
generalist,procedural_professional,True,3.0,False,False,36.014858004102386,12.56530614180497,31.429936249584816,11.855710191921316,12.726170103542502,-0.16086396173753315,-1.2802231789827727,1,125,97
addict,grounded_social,True,4.0,False,False,37.888291378216735,13.273677758274971,37.475264320942784,18.948839530533817,13.464210583199856,-0.190532824924885,-1.4354184905995968,2,126,96
traditionalist,procedural_professional,True,2.0,False,False,26.317864329202518,31.094784326822435,23.93400354648839,31.65375295012751,31.348258193252615,-0.25347386643018055,-0.8151652179543609,1,127,95
journalist,procedural_professional,True,3.0,False,False,25.701724725356378,11.925638504688566,25.015668089975374,12.775824425446745,12.203322473181657,-0.2776839684930916,-2.3284620641814704,2,128,94
writer,procedural_professional,True,3.0,False,False,17.404524871019277,13.737682111457861,18.818125054479065,9.622461008119457,14.105181503473325,-0.3674993920154641,-2.6751193471637595,2,129,93
daredevil,combative_iconoclast,False,0.0,False,False,46.38075487648347,43.668713387808495,42.42765443373004,44.06613712650153,44.052295380607,-0.38358199279850425,-0.8783908730995342,1,130,92
shaman,mythic_spiritual,True,2.0,False,True,29.296712481377504,16.022689567391165,30.067301899142098,19.901642034830985,16.435115710252827,-0.412426142861662,-2.574013190026584,2,131,91
composer,procedural_professional,True,3.0,False,False,20.31149656608422,19.13976032364579,12.833600266674397,19.729105993426103,19.611887671496255,-0.47212734785046706,-2.4667359458372524,1,132,90
fixer,grounded_social,True,3.0,False,False,11.415310117712357,16.045816042987653,12.78015618824401,16.64701590597039,16.562902860978376,-0.5170868179907231,-3.222564789509104,2,133,89
nomad,grounded_social,True,3.0,False,False,8.151521379120517,28.79192003372868,13.077552613607065,27.220216840617596,29.35275877605055,-0.5608387423218701,-1.9479032369667189,2,134,88
assistant,procedural_professional,True,3.0,False,False,10.866235010739786,24.569719530526005,10.696704847003144,19.637694092477947,25.16590678182079,-0.5961872512947863,-2.42651223818029,1,135,87
spy,procedural_professional,True,5.0,False,False,27.131084716656353,24.19501848207329,24.64134344990708,25.96404907715443,24.83301867135901,-0.6380001892857194,-2.636907220213244,1,136,86
virtuoso,procedural_professional,False,0.0,False,False,27.835950653940884,38.30342293006061,19.727946751962403,33.83151884320279,38.95729071453826,-0.6538677844776473,-1.7070740274872154,3,137,85
amateur,grounded_social,True,2.0,False,False,46.752990293653816,40.429327466489674,49.473442672880765,46.0664148730887,41.13236015577445,-0.7030326892847754,-1.738917596063136,2,138,84
scientist,procedural_professional,True,3.0,False,False,16.180068742499596,13.566885391109391,14.83054426325378,14.511050119678073,14.304098724017411,-0.7372133329080199,-5.433917304196646,1,139,83
luddite,grounded_social,True,2.0,False,False,34.670530378476606,25.444230707110226,30.6226067759105,27.91763384724436,26.206803538868947,-0.762572831758721,-2.9970363047589608,1,140,82
patient,grounded_social,True,3.0,False,False,32.85156509029169,19.959310600306054,25.666179774636817,23.602004540239513,20.755475454870165,-0.7961648545641111,-3.988939650810899,2,141,81
auctioneer,grounded_social,True,3.0,False,False,33.08321457963337,14.54443654157358,27.916100802170746,11.99314741309613,15.340764065927049,-0.7963275243534689,-5.475134922396335,2,142,80
student,editorial,True,3.0,False,False,51.834484474990525,40.7364526157329,54.16535237170307,44.32729402934547,41.537335619325134,-0.800883003592233,-1.9660106665324177,1,143,79
cartographer,procedural_professional,False,0.0,False,False,16.938001628513575,14.666244539494926,18.259442231662632,16.31288810514625,15.473551901804642,-0.8073073623097162,-5.504526807361676,2,144,78
therapist,procedural_professional,True,3.0,False,False,9.498575862526002,14.63095632310341,6.958288079353423,10.133128327344444,15.438486926662302,-0.8075306035588916,-5.519328919625974,3,145,77
planner,procedural_professional,True,2.0,False,False,16.427187735600175,5.734481473943811,18.596964793701403,11.782044628055719,6.577660414871968,-0.8431789409281567,-14.703664921743517,2,146,76
supervisor,editorial,False,0.0,False,False,11.274735182728659,14.062744287287149,13.875134516851062,13.485125282595831,14.922624297574934,-0.8598800102877853,-6.114596075426934,2,147,75
retiree,grounded_social,False,0.0,False,False,28.713010893518582,21.76227861480023,31.1968397745146,24.17703589506881,22.672071701919617,-0.909793087119386,-4.18059663339044,1,148,74
cynic,combative_iconoclast,True,2.0,False,False,46.705975005615855,33.087544190484536,42.14116643238257,32.963496142143285,33.998037707720194,-0.9104935172356576,-2.7517712163645602,1,149,73
prodigy,procedural_professional,True,3.0,False,False,19.384940359741858,24.874735515968673,12.961365673065565,22.856209281492717,25.83441941858751,-0.9596839026188348,-3.858066760158124,2,150,72
collaborator,procedural_professional,True,3.0,False,False,36.486705494955714,21.926058103949284,35.29334967414907,24.85723004760091,22.926638991259317,-1.0005808873100328,-4.563432617784635,1,151,71
geographer,procedural_professional,True,2.0,False,False,16.13518329357636,14.423563196589168,24.011204949727883,18.71964783389349,15.510243203769818,-1.0866800071806502,-7.534060705870685,2,152,70
ghost,mythic_spiritual,True,3.0,False,True,44.544328002247255,26.028738355729406,43.937499753118175,29.582729599814986,27.241252481328416,-1.2125141255990108,-4.658366875212429,3,153,69
absurdist,trickster_chaos,True,2.0,False,True,36.63908356100286,9.838720157181534,31.24255839443454,15.107999335944397,11.21798019169888,-1.3792600345173458,-14.018693615455549,2,154,68
alien,mythic_spiritual,True,3.0,False,True,17.563388569548106,27.2086495295613,15.669053993050083,23.652123690195523,28.62433067292984,-1.4156811433685412,-5.203055527730072,3,155,67
artisan,grounded_social,True,3.0,False,False,46.34625895974491,24.81030942004393,43.385159334950075,24.563838645520143,26.294235389780972,-1.4839259697370437,-5.981086106641617,2,156,66
archivist,procedural_professional,False,0.0,False,False,15.041326093145196,10.570800955738216,11.321640305831323,9.447007785422725,12.073107087347333,-1.5023061316091173,-14.21184769157545,1,157,65
homunculus,mythic_spiritual,False,0.0,False,True,14.403568710434046,17.142234843620525,16.6217404778472,16.979459506904476,18.649683296109934,-1.5074484524894096,-8.7937685269223,1,158,64
anthropologist,procedural_professional,True,3.0,False,False,18.72120875321288,17.977890922999922,28.45120158875225,23.176845142835415,19.555692939251312,-1.5778020162513897,-8.776346585977095,1,159,63
romantic,grounded_social,False,0.0,False,False,34.56061507610271,29.272023919099897,32.081102711836095,32.95387040408506,30.903176552082588,-1.6311526329826904,-5.572394438767757,4,160,62
gamer,combative_iconoclast,True,3.0,False,False,40.010145015808455,33.440422055836166,39.087215179452116,36.615048285808065,35.095123770856965,-1.6547017150207992,-4.948208226133957,1,161,61
caveman,trickster_chaos,True,3.0,False,True,52.40848105083145,42.75568677343796,54.42994739790161,46.852237413027964,44.43012029525295,-1.67443352181499,-3.916282600459209,2,162,60
