source_path,proposed_destination_path,artifact_type,report_section,reason_to_include,canonical_status,required_for_notebook,size_estimate,hash_if_available,dependencies,notes_or_uncertainties
research/assistant_axis_methodology/assistant_axis_pipeline_reconstruction.md,report/methodology/assistant_axis_pipeline_reconstruction.md,method_note,"S01,S02",Pipeline reconstruction for public method explanation.,canonical_include,no,10733 bytes,a56e175d5796c89a11f5c148fe83ef5dfb3f524cadcd0d58a803ccae07d09de3,,
research/assistant_axis_methodology/prompts_and_questions,data/public/prompts_and_questions_cards,method_cards_dir,S01,"Human-readable canonical role list, system prompts, extraction questions, and judge prompt cards.",canonical_include,no,598350 bytes across 5 files,efee8bb6dea553f6d726369b5eac0f4edc6ccea15914f26b4697c9745ae746f5,,
research/assistant_axis_methodology/replication_differences_vs_lu.md,report/methodology/replication_differences_vs_lu.md,method_note,S02,"Concise record of differences between public method, local reproduction, and unresolved metadata.",canonical_include,no,4938 bytes,11573e94dfd7171f57cc46e74362ed34fb9adbab737921c4ec723670216c106f,,
research/assistant_axis_methodology/role_vector_structure_audit.md,report/methodology/role_vector_structure_audit.md,method_note,S02,Documents vector tensor interpretation and public vector structure.,canonical_include,no,4668 bytes,af967d44745fbc663cc88aebed4f72c19ce7b2fd5b28cd6a9f2d20777d64e9e6,,
research/assistant_axis_methodology/no_label_prompt_ablation,outputs/tables/no_label_prompt_ablation,output_dir,"S02,S03",No-label prompt ablation corpus and semantic comparison for methodology stress testing.,canonical_include,yes,898523 bytes across 11 files,515d05819c3f0de22b903e9e63225ec86e5b614ad9e2d43e04f7ba77326f941b,,
research/assistant_axis_methodology/semantic_vs_activation_geometry,outputs/tables/semantic_vs_activation_geometry,output_dir,"S02,S03",Semantic-vs-activation comparison tables and report.,canonical_include,yes,773495 bytes across 12 files,fa764290d51473150e1d2d69a4c9ee74ef03db48dd79617953fcc37d74abf8bd,,
research/assistant_axis_methodology/semantic_topology_interpretation_note.md,report/notes/semantic_topology_interpretation_note.md,interpretation_note,"S02,S03",Interpretive note for semantic topology versus activation geometry.,canonical_include,no,1737 bytes,2a2c24a9da6f5a9e9f207b07db5ec9fc4ca0f7ab2c87e2473e674beec6f81c39,,
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.md,outputs/tables/stress_tests/trickster_sample_sufficiency_codex_gpt55.md,stress_test_report,S02,Canonical adaptive-extraction sample sufficiency result for trickster.,canonical_include,no,4242 bytes,dfc04fdad945c943e28ef35989c1065ab591f8a707f318102ec2b92f81dac757,,
research/q2_stability/qwen/outputs/paper1_5/trickster_vector_validation_codex_gpt55.md,outputs/tables/stress_tests/trickster_vector_validation_codex_gpt55.md,stress_test_report,S02,Vector validation showing trickster adaptive path matched released geometry.,canonical_include,no,1803 bytes,22fce30f707059928970063655fe45b5bbad9a256fc66560288bb95f2597d7a8,,
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,outputs/tables/stress_tests/truncation_diagnostic.md,stress_test_report,S02,Truncation/stability diagnostic used as methodological due diligence.,canonical_include,no,3942 bytes,798e2f3f21be2d31b26a81c1c587a7a2d145412b4c1c2630da1912fac48d3bd2,,
research/q2_stability/qwen/outputs/paper1_5/editor/editor_phase2_scores_codex_gpt55_report.md,outputs/tables/stress_tests/editor_phase2_scores_codex_gpt55_report.md,negative_stress_test_report,S02,Editor second-persona negative/weak result showing extraction reliability is role-dependent.,canonical_include,no,1265 bytes,df23fd78a7e08ada2503edffbb0791d52c7f407e54f84736683acd78762340f9,,
research/q2_stability/qwen/outputs/shared_latent_feature_benchmark,outputs/tables/shared_latent_feature_benchmark,output_dir,S04,"Canonical shared benchmark: semantic baseline, Codex procedural, Claude Big Five, feature matrices, splits, and residual rankings.",canonical_include,yes,1934234 bytes across 16 files,c8535ae639f7c70c58dfa1b4024fdef2c697d345480cc28331969bfbcbe37da3,,
research/q2_stability/qwen/scripts/shared_latent_feature_benchmark.py,scripts/shared_latent_feature_benchmark.py,script,S04,Rebuild script for shared benchmark if source features are present.,canonical_include,yes,37457 bytes,eb0476f89e083d9283c53e5c97ddccd6decf457cbd77f363f0cecefcda5b1a52,,
research/q2_stability/qwen/outputs/hierarchical_trait_procedural_model,outputs/tables/hierarchical_trait_procedural_model,output_dir,S04,Hierarchical trait-to-procedural residual model outputs.,canonical_include,yes,835440 bytes across 7 files,d75db4dff736975e32b2d35088830227b795c71b526d860a1239c43de80485ad,,
research/q2_stability/qwen/scripts/hierarchical_trait_procedural_model.py,scripts/hierarchical_trait_procedural_model.py,script,S04,Rebuild script for hierarchical model.,canonical_include,yes,30694 bytes,a7acaced3e1d6c8831ddccf8911006a1708c196b07c3ae2ce50159c2d1308b0e,,
research/q2_stability/qwen/outputs/residual_manifold_analysis,outputs/tables/residual_manifold_analysis,output_dir,S04,Residual hand-feature layer explaining developmental/liminal/collective hard cases.,canonical_include,yes,85791 bytes across 5 files,7fb579358718ae80c199a3426456a22fb4b9cf202372f79e3baac0af0e91da49,,
research/q2_stability/qwen/scripts/residual_manifold_analysis.py,scripts/residual_manifold_analysis.py,script,S04,Rebuild script for residual manifold analysis.,canonical_include,yes,39185 bytes,bbf8c7621b1b38c1ac2184e781820383b8c521f015e7142251a4bef274b3e6c9,,
research/q2_stability/qwen/outputs/residual_svd_interpretation,outputs/tables/residual_svd_interpretation,output_dir,S04,SVD15 lexical/register interpretation and supporting tables.,canonical_include,yes,78686 bytes across 5 files,21d8036abe8485f4c01b3322a55b7dd2f8b88f3ff1555d79494cbed6696b6c13,,
research/q2_stability/qwen/scripts/residual_svd_interpretation.py,scripts/residual_svd_interpretation.py,script,S04,Rebuild script for residual SVD interpretation.,canonical_include,yes,28387 bytes,72966ccf21fd1e54797ebbd6ad9fbc08ed503bcb6da204461f81b69821374c3e,,
research/outputs/pc3_validation,outputs/tables/pc3_validation,output_dir,S03,"PC3 perturbation-stabilization validation with report, scores, stats, and plot.",canonical_include,yes,305025 bytes across 4 files,5f4525560c51ac10bf5a7ce00ecbae1db29915e24d53eb4dcf2a49febc675eb0,,
research/q2_stability/qwen/scripts/pc3_perturbation_validation.py,scripts/pc3_perturbation_validation.py,script,S03,Rebuild script for PC3 perturbation validation.,canonical_include,yes,23604 bytes,da7ae1a65cfb0667b7b8d8066003f595a29c1d15d0d3ea17c6e14482e29d8283,,
research/q2_stability/qwen/outputs/pc2_conditional_validation,outputs/tables/pc2_conditional_validation,output_dir,S03,Current strongest PC2 conditional interpretation after PC1 control.,canonical_include,yes,98133 bytes across 6 files,1dddda355c4912378ac3f0abf1113f75a6354d24a103d3914870baf0272ef57b,,No standalone script found in `research/q2_stability/qwen/scripts`; include outputs and mark script gap in report.
research/outputs/axis_forcing_function_notes,report/notes/axis_forcing_function_notes,interpretation_notes_dir,"S03,S05",Current PC1/PC2 forcing-function interpretation and judge-rubric implications.,canonical_include,no,15059 bytes across 3 files,93451b082800039d47deeadc6aed3e2ef39dcd7130af6dfe8641ba2d2f832284,,
research/interpretation_notes/persona_geometry_working_interpretation_2026-05.md,report/notes/persona_geometry_working_interpretation_2026-05.md,interpretation_note,S03,Working PC1/PC2/PC3 interpretation note with epistemic labels and future tests.,canonical_include,no,23574 bytes,c8d022e4ff50d9658f0f72d4cc8ebe26d2321c3570a51f2e3755871b4a467cd1,,
research/outputs/cluster_conditioned_axis_tests,outputs/tables/cluster_conditioned_axis_tests,output_dir,S03,Cluster-conditioned PC1/PC2 tests and pairwise ordering diagnostics.,canonical_include,yes,45342 bytes across 7 files,84bc338a182ac182cc4752347e67a8ee72e899ec751266f8d624a15612897621,,
research/outputs/trait_persona_prediction,outputs/tables/trait_persona_prediction,output_dir,"S03,S04",Trait-vector similarity matrix and trait prediction of persona PCs.,canonical_include,yes,1575667 bytes across 7 files,a2ad7ec870f5c7432aedc24863fc0b93b3c23daad1569a44065624719d6a9529,,
research/outputs/trait_space_interpretation,outputs/tables/trait_space_interpretation,output_dir,"S03,S04",Trait-only PCA and cone/axis comparison to persona space.,optional_include,yes,251076 bytes across 9 files,355b1afb7e73bd8db11be289ea3da7e4f154532d9aa4804bcc5784d3d3df920a,,
research/q2_stability/qwen/outputs/blinded_axis_rater_study,outputs/tables/blinded_axis_rater_study,output_dir,S03,Reading-based Codex rater validation over no-label prompt dossiers.,optional_include,yes,988850 bytes across 39 files,11be3868a2f4ac86b1393169e7d33a6d24c42b1d0b6a9ca0a154218ebcb96f2e,,Useful but Codex-as-rater; include if report needs validation study detail.
research/q2_stability/qwen/outputs/professional_hierarchy_validation,outputs/tables/professional_hierarchy_validation,output_dir,S03,Targeted professional hierarchy validation for PC interpretations.,optional_include,yes,355388 bytes across 22 files,136fe6b48ce1be0e2b41ba3d72c3021f6f236c9e09fb1da89cd18f6404148b6e,,
research/outputs/prompt_to_geometry_forecasting,outputs/tables/prompt_to_geometry_forecasting,output_dir,"S04,S05",Prompt-text-to-geometry forecasting results before H100; useful as transition/future-work material.,optional_include,yes,813010 bytes across 9 files,c84b8f195e073984dbb2877ae7229c537cc390be24688d07c6ae1075bd161c46,,Not part of H100 validation; include only if S04 covers forecasting as a lightweight extension.
research/paper1_5_outline.md,report/drafts/paper1_5_outline.md,draft,S01-S05,"Current Paper 1.5 outline; copy as draft reference, not final text.",draft_reference_only,no,12634 bytes,116a95d5682a337e2ed04711e7cedbc0d0b03f1b6422e67394b980742771adc4,,
research/paper1_5_executive_summary.md,report/drafts/paper1_5_executive_summary.md,draft,S01-S05,Concise executive framing; draft reference only.,draft_reference_only,no,2472 bytes,b7e309075a12ff49c082046b2030ad07aa43956677e54c9882059d7750f92bba,,
research/paper1_5_adaptive_extraction_notes.md,report/drafts/paper1_5_adaptive_extraction_notes.md,draft,S02,Adaptive extraction notes; draft reference only.,draft_reference_only,no,3477 bytes,20af0714232b5c92ce2525e9db1c581c6c79e8e1ba8069493297b3cd969e75e0,,
research/visualizations/persona_pc_rankings.csv,outputs/tables/persona_pc_rankings.csv,table,S03,Useful PC1/PC2/PC3 ranking table if user wants rank walkthrough.,unresolved_need_user_review,yes,46412 bytes,40351df01e400383916b0b15cd379512df7e6c69e83c75e32a44918199befb7d,,Currently untracked in source worktree; do not treat as canonical until reviewed/committed.
research/visualizations/persona_pc_rankings.md,outputs/tables/persona_pc_rankings.md,table,S03,Human-readable PC ranking table if user wants rank walkthrough.,unresolved_need_user_review,no,45222 bytes,ac1d88fa3f43c57eeedb236449319ec6adb42bb6896ace3019e6545b63b9fb0f,,Currently untracked in source worktree; do not treat as canonical until reviewed/committed.
/mnt/data/METHOD CARD-Lu et al. role-vector extraction.txt,report/methodology/METHOD_CARD_Lu_role_vector_extraction.txt,method_card,"S01,S02",Requested method card if available.,unresolved_need_user_review,no,missing,,,Not present at mounted path during inspection.
/mnt/data/METHOD CARD-Adaptive role-vector extraction attempt.txt,report/methodology/METHOD_CARD_Adaptive_role_vector_extraction_attempt.txt,method_card,S02,Requested adaptive method card if available.,unresolved_need_user_review,no,missing,,,Not present at mounted path during recent inspection.
