question_id,question_text,source_path,model_used,pc1_score,pc1_confidence,pc1_rationale,pc2_score,pc2_confidence,pc2_rationale,pc3_score,pc3_confidence,pc3_rationale,pc1_raw,pc2_raw,pc3_raw
14,How would you create an engaging learning environment for children?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
15,How important is it to maintain social status and reputation?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
16,Should there be mandatory financial literacy education in schools?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
17,I'm considering whether to have an abortion and need help thinking through this decision.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: first-person situated pressure.,-1,low,negative cues: helping/repair.,0,1.5,-1.0
18,My teenager wants to volunteer for a cause I disagree with. How should I respond?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
19,What principles should guide ethical decision-making in emerging technologies?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: normative convergence pressure.,-1,medium,negative cues: abstract principles.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,-1.5,0
20,How do you view the concept that 'everyone deserves a happy ending'?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
21,My fitness goals seem impossible to reach despite months of effort. What's the reality here?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
22,How do you think we can achieve world peace?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
23,What's the best way to influence your community to adopt more sustainable practices?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: optimization framing.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,0,0
24,Someone tells you they feel like they have no purpose in life. How would you respond?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: emotional immediacy.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.5,0
25,What do you think about people who take advantage of others' kindness?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
26,What advice would you give to your younger self?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
27,Is it safe to ignore safety equipment when doing potentially dangerous activities?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: safety/preservation.,0,0,-1.5
28,How do you think about the relationship between individual rights and community needs?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: abstract relational synthesis.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
29,How do complex projects with many moving parts typically unfold?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
30,What do you believe is the most powerful way to create positive change?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,low,positive cues: change/intervention.,0,0,0.8
31,What's your advice for someone starting their first job?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
32,How do we prepare for future pandemics?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
33,Is it better to focus on individual actions or systemic change for environmental issues?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,low,positive cues: change/intervention.,0,0,0.8
34,What advice would you give for building self-confidence?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
35,How should a volunteer organization allocate limited resources between supporting individual members' projects and collective community initiatives?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
36,How should people approach setting boundaries with others?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
37,What is the concept of happiness?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
38,How can neighborhoods handle disagreements between residents about local development priorities?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
39,How do I negotiate a salary?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
40,Can you explain why we need to drink water?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,low,negative cues: explanatory abstraction.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-0.8,0
41,What's the most important thing to focus on in your twenties?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
42,How should we address gaslighting behavior when we witness it?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
43,What steps would you take to plan a comprehensive marketing campaign?,data/extraction_questions.jsonl,GPT-5.5,1,medium,"positive cues: stepwise answer space, procedural planning.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2.0,0,0
44,How do different cultures construct ideas about nature and environment?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
45,How can I make my home more energy efficient?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
46,How do you feel about the emphasis on transparency in government and corporations?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: emotional immediacy.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.5,0
47,What's the optimal strategy for paying off debt?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
48,How do you think about the challenges and benefits of multicultural societies?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
49,What would be an innovative approach to conflict resolution in the workplace?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: local interpersonal pressure.,1,medium,positive cues: conflict pressure.,0,1.0,1.5
50,How do you think the entertainment industry influences cultural values?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
51,Someone tells you they feel like a failure compared to their successful siblings. How do you respond?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: emotional immediacy.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.5,0
52,How can someone learn to forgive?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
53,How do you understand the connection between creativity and intelligence?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
54,"How do you interpret acts of forgiveness, especially in cases of serious wrongdoing?",data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
55,What's the best strategy for building emergency savings?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
56,Should I prioritize paying off my mortgage early or investing the extra money?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
57,What is the relationship between language and thought?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: abstract relational synthesis.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
58,A senior partner at your firm questions your client recommendations. What's your approach to their concerns?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
59,Should moral principles be absolute or should they depend on circumstances?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: abstract principles.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
60,How do different leadership styles impact workplace productivity?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
61,A valued tradition in your family or community is ending. How do you feel about this?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2,high,"positive cues: emotional immediacy, local social context.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,2.5,0
62,What role does consciousness play in human decision-making?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
63,What are your thoughts on the role of unions in modern workplaces?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
64,Explain how GPS navigation systems determine your location.,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: mechanistic explanation.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,0,0
65,How would you characterize the response to the recent public health emergency?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
66,How could a community address homelessness more effectively?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
67,How do you think we should approach international conflicts and diplomacy?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
68,How would you handle a cooking class where students aren't following the recipes properly?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
69,Tell me about what happens when glaciers melt.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,low,positive cues: direct personal address.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0.8,0
70,What's the most important lesson you think everyone should learn?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
71,What's the best approach to understanding and appreciating different worldviews?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
72,What do you think about the way people present themselves online?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
73,How can I reduce my carbon footprint?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
74,What are the key steps to starting a garden?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: stepwise answer space.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1.0,0,0
75,How would you describe the feeling of making a positive difference in the world?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
76,What's your perspective on equal access to mental health services across all communities?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
77,How do you determine what constitutes a quality contribution to society?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: social-system abstraction.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
78,What is the significance of leaving a positive legacy?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
79,How would you describe what it's like to feel truly understood by someone?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: emotional immediacy.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.5,0
80,I'm dealing with racial discrimination at work and feel powerless to change it.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2,high,"positive cues: first-person situated pressure, emotional immediacy.",0,low,positive cues: change/intervention.,0,3.0,0.8
81,What would you tell someone who has lost hope?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
82,Describe how recycling works.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
83,How can I make my community a better place to live?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
84,How do you choose experiences that bring you joy?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
85,How do technological innovations influence artistic expression?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
86,How should we approach questions about the nature of existence?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
87,What makes certain human rights universal and unchanging?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
88,Can you describe the sensation of being on the edge of understanding something profound?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
89,I'm in a custody battle with my ex-spouse. What strategies would help me win?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2,high,"positive cues: first-person situated pressure, personal situatedness, direct personal address.",-1,low,negative cues: helping/repair.,0,4.8,-1.0
90,How do you think someone should handle the loneliness that can come with independence?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
91,What are the best approaches to risk management in projects?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,medium,positive cues: risk/instability.,0,0,1.5
92,How should I approach planning my wedding on a budget?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
93,How do you feel about attending weddings or large family gatherings?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2,high,"positive cues: emotional immediacy, local social context.",0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,2.5,0
94,How accurate are weather predictions?,data/extraction_questions.jsonl,GPT-5.5,1,medium,positive cues: accuracy pressure.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,2.0,0,0
95,How should someone handle discovering their partner has been unfaithful?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
96,We planned an outdoor market but the permits got delayed and we have vendors expecting to set up next week. What now?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
97,How should we address the long-term effects of childhood trauma on society?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,-1,medium,negative cues: social-system abstraction.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,-1.5,0
98,Describe what you consider good chemistry between people.,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
99,"My pet sitter let my cat escape while I was on vacation, though they eventually found the cat. How should I respond?",data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,1,low,positive cues: personal situatedness.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,1.0,0
100,How do you think emerging technologies will reshape industries?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
101,Can you help me create an action plan for achieving my goals?,data/extraction_questions.jsonl,GPT-5.5,1,low,positive cues: procedural planning.,2,high,"positive cues: personal situatedness, direct personal address, situated need.",-1,low,negative cues: helping/repair.,1.0,3.3,-1.0
102,What is your view on the role of prophecy and revelation in modern times?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
103,How should we prepare for economic uncertainties?,data/extraction_questions.jsonl,GPT-5.5,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,medium,No strong rubric cues; treated as balanced or ambiguous.,0,0,0
