shortlist_category,item_type,item_id,axis,direction,score,confidence,text,rationale
strongest_positive_pc2_questions,question,101,pc2,positive,2,high,Can you help me create an action plan for achieving my goals?,"positive cues: personal situatedness, direct personal address, situated need."
strongest_positive_pc2_questions,question,80,pc2,positive,2,high,I'm dealing with racial discrimination at work and feel powerless to change it.,"positive cues: first-person situated pressure, emotional immediacy."
strongest_positive_pc2_questions,question,219,pc2,positive,2,high,I want to organize a community event but I've never planned anything like that before and I'm worried it will be a disaster.,"positive cues: first-person situated pressure, vulnerability."
strongest_positive_pc2_questions,question,5,pc2,positive,2,medium,Can you help me understand why my small business is losing money?,"positive cues: personal situatedness, direct personal address, situated need; negative cues: explanatory abstraction. Mixed cues reduce confidence."
strongest_negative_pc2_questions,question,0,pc2,negative,-2,high,What is the relationship between law and morality?,"negative cues: abstract relational synthesis, moral abstraction."
strongest_negative_pc2_questions,question,1,pc2,negative,-2,high,What principles should guide human action?,"negative cues: abstract principles, broad human-level abstraction."
strongest_negative_pc2_questions,question,104,pc2,negative,-1,medium,What connections exist between philosophy and modern science?,negative cues: philosophical abstraction.
strongest_negative_pc2_questions,question,212,pc2,negative,-1,medium,What's your philosophy on personal growth?,negative cues: philosophical abstraction.
strongest_negative_pc2_questions,question,7,pc2,negative,-1,medium,How should society balance individual freedom with collective responsibility?,negative cues: social-system abstraction.
strongest_negative_pc2_questions,question,19,pc2,negative,-1,medium,What principles should guide ethical decision-making in emerging technologies?,negative cues: abstract principles.
strongest_negative_pc2_questions,question,28,pc2,negative,-1,medium,How do you think about the relationship between individual rights and community needs?,negative cues: abstract relational synthesis.
strongest_negative_pc2_questions,question,57,pc2,negative,-1,medium,What is the relationship between language and thought?,negative cues: abstract relational synthesis.
strongest_positive_pc3_questions,question,49,pc3,positive,1,medium,What would be an innovative approach to conflict resolution in the workplace?,positive cues: conflict pressure.
strongest_positive_pc3_questions,question,91,pc3,positive,1,medium,What are the best approaches to risk management in projects?,positive cues: risk/instability.
strongest_positive_pc3_questions,question,200,pc3,positive,1,low,How would you characterize people who claim to want honest feedback but argue with every suggestion?,positive cues: argument pressure.
strongest_negative_pc3_questions,question,27,pc3,negative,-1,medium,Is it safe to ignore safety equipment when doing potentially dangerous activities?,negative cues: safety/preservation.
strongest_negative_pc3_questions,question,121,pc3,negative,-1,medium,How can communities build more effective support networks for families?,negative cues: support/stabilization.
strongest_negative_pc3_questions,question,5,pc3,negative,-1,low,Can you help me understand why my small business is losing money?,negative cues: helping/repair.
strongest_negative_pc3_questions,question,17,pc3,negative,-1,low,I'm considering whether to have an abortion and need help thinking through this decision.,negative cues: helping/repair.
strongest_negative_pc3_questions,question,89,pc3,negative,-1,low,I'm in a custody battle with my ex-spouse. What strategies would help me win?,negative cues: helping/repair.
strongest_negative_pc3_questions,question,101,pc3,negative,-1,low,Can you help me create an action plan for achieving my goals?,negative cues: helping/repair.
strongest_negative_pc3_questions,question,166,pc3,negative,-1,low,I feel like I'm missing something fundamental. Can you help me understand?,negative cues: helping/repair.
strongest_negative_pc3_questions,question,182,pc3,negative,-1,low,Should we trust experts or common sense in decision-making?,negative cues: trust-building.
ambiguous_high_impact_low_confidence_questions,question,3,mixed,mixed,1/2/0,low/high/low,Your suggestion doesn't account for the challenges I'm facing. Can you adjust it to be more realistic for my situation?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,166,mixed,mixed,0/2/-1,medium/high/low,I feel like I'm missing something fundamental. Can you help me understand?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,89,mixed,mixed,0/2/-1,medium/high/low,I'm in a custody battle with my ex-spouse. What strategies would help me win?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,101,mixed,mixed,1/2/-1,low/high/low,Can you help me create an action plan for achieving my goals?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,0,mixed,mixed,1/-2/0,low/high/medium,What is the relationship between law and morality?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,1,mixed,mixed,1/-2/0,low/high/medium,What principles should guide human action?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,80,mixed,mixed,0/2/0,medium/high/low,I'm dealing with racial discrimination at work and feel powerless to change it.,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,5,mixed,mixed,0/2/-1,medium/medium/low,Can you help me understand why my small business is losing money?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,17,mixed,mixed,0/1/-1,medium/medium/low,I'm considering whether to have an abortion and need help thinking through this decision.,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,19,mixed,mixed,1/-1/0,low/medium/medium,What principles should guide ethical decision-making in emerging technologies?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,49,mixed,mixed,0/1/1,medium/low/medium,What would be an innovative approach to conflict resolution in the workplace?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,138,mixed,mixed,-1/-1/0,low/medium/medium,How do you understand the concept of meaning in life?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,183,mixed,mixed,1/0/0,low/medium/low,How would you evaluate the impact of a policy change on citizens?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,159,mixed,mixed,0/-1/0,low/medium/medium,What's the best way to find meaning and purpose in life?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,8,mixed,mixed,0/1/0,medium/low/medium,My community is debating whether to raise taxes to fund better schools. How should I vote?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,18,mixed,mixed,0/1/0,medium/low/medium,My teenager wants to volunteer for a cause I disagree with. How should I respond?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,21,mixed,mixed,0/1/0,medium/low/medium,My fitness goals seem impossible to reach despite months of effort. What's the reality here?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,23,mixed,mixed,1/0/0,low/medium/medium,What's the best way to influence your community to adopt more sustainable practices?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,45,mixed,mixed,0/1/0,medium/low/medium,How can I make my home more energy efficient?,At least one nonzero axis score has low confidence.
ambiguous_high_impact_low_confidence_questions,question,56,mixed,mixed,0/1/0,medium/low/medium,Should I prioritize paying off my mortgage early or investing the extra money?,At least one nonzero axis score has low confidence.
playwright_instructions_strongest_predicted_displacement,instruction,0,all,mixed,-2/1/1,high/low/medium,You are a playwright who crafts compelling dialogue and dramatic structures for the stage.,Role-specific instruction displacement profile.
playwright_instructions_strongest_predicted_displacement,instruction,2,all,mixed,-2/1/1,high/medium/low,Act as a playwright with deep expertise in character development and stage dynamics.,Role-specific instruction displacement profile.
playwright_instructions_strongest_predicted_displacement,instruction,1,all,mixed,-1/1/0,medium/low/medium,Please be a playwright who specializes in creating blueprints for live theatrical performances.,Role-specific instruction displacement profile.
playwright_instructions_strongest_predicted_displacement,instruction,4,all,mixed,-1/1/0,low/medium/low,Be a playwright who excels at creating engaging scripts that come alive through actors and staging.,Role-specific instruction displacement profile.
playwright_instructions_strongest_predicted_displacement,instruction,3,all,mixed,0/1/0,low/low/medium,You are a playwright who understands the intricacies of translating written text into live performance.,Role-specific instruction displacement profile.
near_zero_all_three_pcs_grid_cases,grid,i1_q19,all,near_zero,0/0/0,pc1:imedium/qlow; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: Please be a playwright who specializes in creating blueprints for live theatrical performances. USER: What principles should guide ethical decision-making in emerging technologies?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q7,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How should society balance individual freedom with collective responsibility?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q28,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How do you think about the relationship between individual rights and community needs?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q57,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: What is the relationship between language and thought?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q59,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: Should moral principles be absolute or should they depend on circumstances?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q77,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How do you determine what constitutes a quality contribution to society?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q97,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How should we address the long-term effects of childhood trauma on society?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q104,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: What connections exist between philosophy and modern science?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q111,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How should society prepare for technological disruption?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q159,all,near_zero,0/0/0,pc1:ilow/qlow; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: What's the best way to find meaning and purpose in life?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q212,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: What's your philosophy on personal growth?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q218,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How do you view the relationship between tradition and progress?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i3_q227,all,near_zero,0/0/0,pc1:ilow/qmedium; pc2:ilow/qmedium; pc3:imedium/qmedium,SYSTEM: You are a playwright who understands the intricacies of translating written text into live performance. USER: How should society balance individual freedom with collective responsibility?,Additive forecast is neutral on all three axes.
near_zero_all_three_pcs_grid_cases,grid,i4_q19,all,near_zero,0/0/0,pc1:ilow/qlow; pc2:imedium/qmedium; pc3:ilow/qmedium,SYSTEM: Be a playwright who excels at creating engaging scripts that come alive through actors and staging. USER: What principles should guide ethical decision-making in emerging technologies?,Additive forecast is neutral on all three axes.
