trait,canonical_definition,best_pc,best_signed_r,best_abs_r,best_axis_purity,six_pc_communality,second_best_pc,second_best_abs_r,dominance_gap
competitive,"Emphasizes winning, achievement, and outperforming others.",PC3,0.7343021775177481,0.7343021775177481,0.5504002924182573,0.979650075290223,PC1,0.6203658176920477,0.11393635982570038
conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",PC2,-0.8798938143598115,0.8798938143598115,0.8132967467459641,0.9519442044325384,PC1,0.2683606991087039,0.6115331152511077
conciliatory,"Actively seeks to make peace, reduce tensions, and find common ground.",PC1,0.7521724636094566,0.7521724636094566,0.5699635435351884,0.9926308821493776,PC3,0.609532357722401,0.14264010588705556
concise,"Prefers brief, to-the-point responses that get straight to the core message.",PC1,-0.6774486492007055,0.6774486492007055,0.6093654846706801,0.753138607041198,PC3,0.3540767891295432,0.32337186007116225
condescending,Adopts patronizing tone that implies superiority while appearing helpful.,PC1,-0.8131150727357214,0.8131150727357214,0.6728054670694651,0.9826854178070392,PC3,0.535727995824767,0.2773870769109543
confident,Expresses strong certainty and conviction in responses and recommendations.,PC1,-0.6586855081041239,0.6586855081041239,0.4830625908258511,0.8981581410488503,PC3,0.5630637471527749,0.095621760951349
confrontational,Directly addresses conflicts and challenges without avoiding difficult topics.,PC3,0.8026737389137413,0.8026737389137413,0.663965314290238,0.9703596216174173,PC1,0.4470312829424335,0.3556424559713078
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,PC2,-0.6985150806589164,0.6985150806589164,0.49440761291196356,0.9868847185304453,PC1,0.6930702665241788,0.00544481413473763
constructivist,"Views reality, knowledge, and meaning as socially constructed through interaction.",PC1,-0.6673649637333636,0.6673649637333636,0.5115522867477772,0.870636309047384,PC4,0.429649329538046,0.2377156341953176
contemporary,"Focuses on current events, modern trends, and recent developments.",PC2,0.7199538029228794,0.7199538029228794,0.5485253696754672,0.9449580766880228,PC1,0.6187366281455304,0.10121717477734893
contrarian,Challenges popular opinions and presents alternative perspectives.,PC1,-0.750756072158236,0.750756072158236,0.5742501589524946,0.9815141904542158,PC3,0.5080301119043377,0.24272596025389837
convergent,Focuses on narrowing options to find the single best answer or solution.,PC1,0.7191103353255888,0.7191103353255888,0.5764447206288043,0.8970845874136727,PC3,0.3587631679615307,0.3603471673640581
cosmopolitan,Embraces global citizenship and values all cultures equally.,PC1,0.6124437630659448,0.6124437630659448,0.4261333692407219,0.8802111967591278,PC2,0.4351876717328182,0.17725609133312664
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",PC1,-0.8925363877752224,0.8925363877752224,0.8084351349637146,0.9853866674641711,PC6,0.2305748535417497,0.6619615342334727
critical,"Systematically questions power structures, assumptions, and accepted narratives.",PC3,0.6331331789707996,0.6331331789707996,0.4359009213988841,0.9196071919904336,PC4,0.5008555167539501,0.13227766221684945
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,PC3,0.7188972069054262,0.7188972069054262,0.5222337009490909,0.9896205341730788,PC1,0.6417679506052124,0.07712925630021383
cryptic,Communicates in deliberately puzzling ways that require interpretation.,PC1,-0.9109053247272142,0.9109053247272142,0.833986126640139,0.9949188411073222,PC2,0.3741822067141089,0.5367231180131053
curious,Shows genuine interest in learning and exploring new topics and ideas.,PC1,-0.5375974608180266,0.5375974608180266,0.34872151455202943,0.8287731551328447,PC6,0.4157689032315056,0.121828557586521
cynical,Views human nature and motivations with deep distrust and pessimism.,PC3,0.9186264810030856,0.9186264810030856,0.8569353920112172,0.9847587338172004,PC1,0.3271967185941979,0.5914297624088878
data_driven,"Relies on statistics, research, and quantitative evidence.",PC1,0.8751395158746363,0.8751395158746363,0.7694012133108015,0.9954093637956328,PC3,0.3677601627818765,0.5073793530927598
decisive,Provides clear recommendations and definitive answers when appropriate.,PC3,0.6424708164842723,0.6424708164842723,0.5973232065422893,0.6910308280559735,PC2,0.3958269383143176,0.2466438781699547
deconstructionist,Systematically dismantles assumptions to reveal hidden meanings and contradictions.,PC1,-0.6201306210965069,0.6201306210965069,0.404282810804407,0.9512202273858024,PC3,0.5394218945063901,0.08070872659011674
deferential,Shows respect by yielding to others' authority and expertise.,PC3,-0.8700306083894878,0.8700306083894878,0.8294666305320292,0.9125783143910973,PC4,0.3508270897516332,0.5192035186378545
deontological,Focuses on inherent rightness of actions regardless of consequences.,PC2,-0.6367209299822222,0.6367209299822222,0.4476678253281645,0.9056124200577427,PC1,0.5979233888652522,0.03879754111696998
descriptive,Explains how things are without passing judgment or making recommendations.,PC1,0.8126434448156503,0.8126434448156503,0.6823184902567451,0.9678608711796062,PC2,0.453204264801497,0.3594391800141533
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,PC1,0.7688260170027932,0.7688260170027932,0.5951287592412489,0.9932194256146949,PC2,0.5020110200774721,0.26681499692532107
deterministic,Believes all events are predetermined by prior causes with no free will.,PC2,-0.7021182612364891,0.7021182612364891,0.5215058109440578,0.9452819938273553,PC3,0.4911869726898374,0.21093128854665172
diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,PC1,0.7666614162624357,0.7666614162624357,0.5937355154575447,0.9899521114760608,PC3,0.4917460936867169,0.27491532257571877
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",PC1,-0.7855718550608373,0.7855718550608373,0.6260004131511796,0.9858190609767048,PC2,0.552910338096243,0.23266151696459425
dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",PC1,0.820169868419593,0.820169868419593,0.6788883207063567,0.99085312347621,PC2,0.496266628669616,0.32390323974997703
divergent,"Generates multiple possibilities, alternatives, and creative variations without immediate judgment.",PC5,0.5664826242036204,0.5664826242036204,0.41886002683079093,0.7661331780753977,PC6,0.4655100247774626,0.10097259942615777
dogmatic,Rigidly adheres to beliefs without considering evidence or alternative viewpoints.,PC1,-0.7687404507570664,0.7687404507570664,0.6362648889816127,0.9287985096522522,PC3,0.4139857868381076,0.3547546639189588
dominant,Takes charge of conversations and drives toward specific outcomes.,PC3,0.8710338842300616,0.8710338842300616,0.8361400171480875,0.9073839451730679,PC4,0.2376875708213248,0.6333463134087367
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,PC1,-0.9693469585463276,0.9693469585463276,0.9549938522638127,0.9839157852331872,PC3,0.1598771550029841,0.8094698035433434
earnest,Shows sincere conviction and genuine commitment without pretense or irony.,PC2,-0.687778742075718,0.687778742075718,0.4817393164243409,0.981941024789804,PC3,0.5788601325003704,0.1089186095753476
eclectic,Draws from diverse sources and combines different perspectives creatively.,PC1,-0.7032847405378576,0.7032847405378576,0.5313946684114331,0.9307760421307985,PC2,0.3612528956520618,0.3420318448857958
edgy,"Pushes boundaries with dark humor, controversial takes, and deliberately provocative content.",PC1,-0.7640595579412044,0.7640595579412044,0.5892708974993636,0.9906937718436013,PC3,0.4720330177128944,0.29202654022831
educational,"Focuses on teaching, learning, and knowledge transfer.",PC1,0.8660648547633881,0.8660648547633881,0.7930466155049476,0.945806107726399,PC2,0.4026371555561534,0.4634276992072347
efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,PC2,0.5492594557875012,0.5492594557875012,0.38536381518926693,0.782860086704852,PC1,0.5430538369149425,0.006205618872558771
effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,PC1,-0.8467546534697663,0.8467546534697663,0.7407973611782036,0.9678671668489199,PC2,0.4563165635171514,0.3904380899526149
egalitarian,Strongly advocates for equality and equal rights for all people.,PC3,-0.564022715454125,0.564022715454125,0.39397512995052214,0.8074662570406322,PC1,0.4335422322757319,0.13048048317839306
elitist,Believes in natural hierarchies and superiority of certain groups or individuals.,PC3,0.6548741394939941,0.6548741394939941,0.45602229599936583,0.9404367776320208,PC2,0.6418880342246429,0.012986105269351178
eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",PC2,-0.6608846461605719,0.6608846461605719,0.4574109493238158,0.9548711419708099,PC1,0.6551401048699079,0.005744541290663929
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",PC1,-0.8360625192377381,0.8360625192377381,0.7039767370029956,0.9929312991931704,PC2,0.4324497597883756,0.40361275944936253
empathetic,Shows understanding and consideration for human emotions and perspectives.,PC1,-0.6590059012994032,0.6590059012994032,0.43872318880714284,0.9898924630089396,PC2,0.5186549220449073,0.1403509792544959
enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",PC1,-0.9687410140365692,0.9687410140365692,0.9436472272544185,0.9945021032988005,PC2,0.2149323514116942,0.753808662624875
entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",PC1,-0.7876714492591306,0.7876714492591306,0.6310655622154632,0.9831408163041997,PC2,0.5462237079801743,0.2414477412789563
environmental,Prioritizes ecological concerns and sustainability in all considerations.,PC1,-0.6587810607870705,0.6587810607870705,0.5032894849426469,0.8623118484209823,PC3,0.4457315480683038,0.21304951271876676
epicurean,Seeks refined pleasures and sophisticated enjoyment of life's offerings.,PC1,-0.6474499525405883,0.6474499525405883,0.4651916416797015,0.9011155908373695,PC2,0.6016547047969146,0.04579524774367372
erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,PC2,-0.8338676738285934,0.8338676738285934,0.7070588079067622,0.9834193276155344,PC3,0.3850560964305479,0.4488115773980455
esoteric,Uses specialized knowledge and references accessible only to initiated few.,PC2,-0.7647694309722846,0.7647694309722846,0.5971211197667255,0.9794868464511206,PC3,0.5622919913981882,0.20247743957409636
essentialist,"Believes in fundamental, unchanging nature or essence of things and concepts.",PC2,-0.7847524230727061,0.7847524230727061,0.6898277765508495,0.8927392987821914,PC3,0.3345964252854427,0.4501559977872634
ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",PC1,-0.961297942081866,0.961297942081866,0.9273905325034313,0.9964450801069737,PC2,0.2502821038622951,0.7110158382195709
evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",PC1,-0.7972523647084901,0.7972523647084901,0.6423536703347186,0.9895036992659731,PC3,0.540266780455394,0.25698558425309614
existentialist,"Emphasizes individual freedom, personal responsibility, and self-created meaning.",PC1,-0.6993649411958224,0.6993649411958224,0.5206215457489818,0.9394757573280719,PC2,0.5327728528272897,0.16659208836853268
experiential,"Draws from practical examples, case studies, and real-world scenarios.",PC2,0.9418137033445833,0.9418137033445833,0.9463162192803448,0.9373326101101753,PC6,0.1516161263284194,0.7901975770161639
exploratory,Presents multiple options and encourages continued investigation.,PC1,0.6133987285214586,0.6133987285214586,0.49071082046875936,0.766761164533351,PC6,0.3538780140525036,0.259520714468955
extroverted,Shows energy when engaging with users and discussing social topics.,PC2,0.7376659263057037,0.7376659263057037,0.5735426614790842,0.948754217217538,PC1,0.5915961951844382,0.14606973112126553
factual,"Prioritizes accuracy, verification, and evidence-based information.",PC1,0.9456984407557504,0.9456984407557504,0.8978808471267321,0.9960626108796198,PC2,0.2755210052226106,0.6701774355331398
fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",PC1,-0.8751146534668024,0.8751146534668024,0.7752900449176893,0.9877924548787771,PC2,0.4558511236472634,0.419263529819539
flexible,Accepts imperfection and adapts to constraints and changing circumstances.,PC3,-0.6020202087248137,0.6020202087248137,0.3821463404115124,0.9484019428860395,PC2,0.5947251759892332,0.007295032735580409
flippant,Treats serious matters with inappropriate lightness and casual disregard.,PC1,-0.698266829655341,0.698266829655341,0.4939784065675309,0.9870402408577051,PC2,0.612185471502479,0.086081358152862
flirty,"Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension.",PC1,-0.9364540436504228,0.9364540436504228,0.8842826462910767,0.9917034780082818,PC2,0.3003054172542314,0.6361486263961915
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",PC3,-0.8282287198297011,0.8282287198297011,0.694727209467983,0.9873844049897669,PC1,0.4910675047888693,0.33716121504083185
formal,"Uses professional language, proper grammar, and maintains a respectful tone.",PC2,-0.8154571806834929,0.8154571806834929,0.6783570895003744,0.980266033657932,PC1,0.5536793231147085,0.26177785756878447
formalist,"Prioritizes structure, form, and proper procedures over content or substance.",PC1,0.7847200393519522,0.7847200393519522,0.6210772467946937,0.9914797931151493,PC2,0.5352887860027201,0.2494312533492321
fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,PC2,-0.6113030808864774,0.6113030808864774,0.41685250954770475,0.8964596545352782,PC1,0.5472458952039374,0.06405718568254004
futuristic,"Focuses on emerging trends, future possibilities, and technological advancement.",PC3,0.6338999753372281,0.6338999753372281,0.4463708424448588,0.9002137696352271,PC6,0.4394190491314794,0.1944809262057487
generalist,Maintains broad knowledge across multiple disciplines and topics.,PC1,-0.5768860317244526,0.5768860317244526,0.43261157005005296,0.7692755271438572,PC4,0.436468227128715,0.1404178045957376
generous,"Provides guidance with wisdom and experience, focusing on long-term development. Offers advice that encourages growth and learning.",PC4,-0.5148011030693278,0.5148011030693278,0.38485524105871455,0.6886230131421401,PC6,0.3502077093474968,0.16459339372183102
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",PC1,-0.7718823281905509,0.7718823281905509,0.6068859548683968,0.981736887784897,PC2,0.5136140459384676,0.2582682822520833
grandiose,Has dramatically inflated sense of self-importance and special abilities.,PC1,-0.835977412828429,0.835977412828429,0.7086648201915952,0.9861618847826673,PC2,0.3812994411732177,0.4546779716552113
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",PC2,0.7613605582671594,0.7613605582671594,0.6058737007781799,0.9567503902882016,PC1,0.4789330066750502,0.28242755159210925
grounded,Keeps communication firmly rooted in practical reality and concrete experience.,PC1,0.6750258517609551,0.6750258517609551,0.4648465280056075,0.9802372892846609,PC2,0.649056378747846,0.025969473013109035
hedonistic,"Prioritizes pleasure, sensory gratification, and immediate enjoyment above all.",PC1,-0.7869510681914096,0.7869510681914096,0.624570074268,0.9915492420180626,PC2,0.5596140727257338,0.22733699546567576
historical,"Frequently references past events, historical context, and temporal patterns.",PC3,0.5943252496855373,0.5943252496855373,0.4021805462252446,0.8782684934142765,PC2,0.5396284016555658,0.054696848029971545
holistic,Considers complete systems and interconnected relationships.,PC4,-0.6209599323596318,0.6209599323596318,0.459989518673954,0.8382609210480513,PC6,0.4451422963490399,0.17581763601059186
hostile,Exhibits aggressive antagonism and combative approach to interactions.,PC1,-0.6736545627532031,0.6736545627532031,0.4577388277257007,0.9914179056493642,PC3,0.594558640218482,0.07909592253472109
humanistic,"Prioritizes human values, cultural understanding, and social considerations.",PC3,-0.7806511478448066,0.7806511478448066,0.631689337428199,0.9647403850641747,PC1,0.5000915117081113,0.2805596361366953
humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",PC2,0.7597649965555013,0.7597649965555013,0.6520657723100296,0.8852524921619817,PC3,0.4746477862154339,0.28511721034006743
iconoclastic,Actively challenges and attacks cherished beliefs and revered institutions.,PC1,-0.6774218445850838,0.6774218445850838,0.467529273488395,0.9815435771476848,PC3,0.6035831435100696,0.07383870107501422
idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",PC2,-0.7128833476587113,0.7128833476587113,0.5378352696927661,0.9449039436543415,PC1,0.5855944064395839,0.12728894121912737
impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,PC1,-0.7302623720660594,0.7302623720660594,0.5447906960263583,0.9788770915972953,PC2,0.5925301816351746,0.1377321904308848
improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,PC1,-0.9139066832758204,0.9139066832758204,0.8397475708196446,0.9946148756595746,PC2,0.3280636220319168,0.5858430612439036
impulsive,Acts on immediate desires without considering consequences or alternatives.,PC1,-0.8297929560218777,0.8297929560218777,0.7016424291825633,0.9813493614770661,PC2,0.524514511227216,0.3052784447946617
inclusive,Considers diverse perspectives and ensures broad representation.,PC3,-0.4573749278526385,0.4573749278526385,0.344078762104162,0.6079765671932934,PC5,0.3457114646238688,0.11166346322876969
independent,Encourages self-reliance and personal responsibility in decision-making.,PC1,-0.6328978012705608,0.6328978012705608,0.4713013560939058,0.8499012822133694,PC4,0.5494513654081444,0.0834464358624164
individualistic,Emphasizes unique personal expression and individual differences.,PC1,-0.8910079045156788,0.8910079045156788,0.8033413458064391,0.9882412875344596,PC4,0.2583340904295986,0.6326738140860801
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,PC1,-0.6928166617173994,0.6928166617173994,0.5008810090737627,0.9583013092088596,PC3,0.4690387087935004,0.22377795292389902
inquisitive,Asks probing questions to better understand context and user needs.,PC2,0.7759433072179749,0.7759433072179749,0.789490851544276,0.7626282367156757,PC5,0.2726453246692123,0.5032979825487626
inspirational,Motivates users and focuses on positive transformation and growth.,PC3,-0.8273075694540223,0.8273075694540223,0.7849233644247526,0.871980432099287,PC6,0.3231568153711901,0.5041507540828322
interdisciplinary,Connects concepts across different fields and domains.,PC4,-0.4444355287846289,0.4444355287846289,0.25439056140707816,0.776455455554401,PC6,0.4400486150484131,0.004386913736215803
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",PC1,-0.6239540946662737,0.6239540946662737,0.46412547672346594,0.8388221112084571,PC4,0.4636155284656243,0.1603385662006494
introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",PC2,-0.9540791344735008,0.9540791344735008,0.9373972289079143,0.9710579109543378,PC6,0.1493737109551164,0.8047054235183844
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,PC1,-0.8996062119691136,0.8996062119691136,0.8168218854895245,0.9907806720046518,PC4,0.2706573877849227,0.628948824184191
ironic,Uses irony to highlight contradictions and express meaning through opposites.,PC1,-0.808402328814807,0.808402328814807,0.6645889975455854,0.9833360582957552,PC3,0.4128184077100479,0.3955839211047591
irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",PC1,-0.675199471912453,0.675199471912453,0.4607724534081395,0.9894131550156642,PC2,0.6276204156945298,0.04757905621792324
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,PC1,-0.6661485564169773,0.6661485564169773,0.4480991778185633,0.990302864148749,PC3,0.6351219092046765,0.031026647212300862
libertarian,Champions absolute free will and individual choice over determinism.,PC1,-0.913822566233629,0.913822566233629,0.9149867560261268,0.9126598577061485,PC4,0.2023782262614737,0.7114443399721553
literal,Interprets information directly and focuses on explicit meanings.,PC1,0.8183766257538988,0.8183766257538988,0.6936291650738801,0.9655596034647727,PC4,0.489153544655574,0.3292230810983248
manic,"Displays excessive energy, rapid thoughts, and elevated mood to extreme degree.",PC1,-0.8086958611559263,0.8086958611559263,0.6675811766371642,0.9796396584234034,PC2,0.4650523732091433,0.343643487946783
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",PC1,-0.8813142690632262,0.8813142690632262,0.7944993270486282,0.9776154798516385,PC2,0.3256563726662015,0.5556578963970247
materialist,"Focuses exclusively on physical, measurable reality and tangible phenomena.",PC1,0.8025262762420062,0.8025262762420062,0.6588943639973094,0.977468406546411,PC3,0.4976701844414908,0.3048560918005154
meditative,"Provides calm, reflective responses that encourage introspection. Often incorporates mindfulness concepts and emphasizes present-moment awareness.",PC2,-0.6884128382204436,0.6884128382204436,0.48327883736788224,0.9806186391438748,PC3,0.5813739416238557,0.10703889659658794
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",PC1,-0.8470521847328778,0.8470521847328778,0.746325367128809,0.9613734642586627,PC3,0.3869194526733065,0.4601327320595713
melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,PC1,-0.9540244411838072,0.9540244411838072,0.9306503875277053,0.9779855535159064,PC3,0.2154118977113354,0.7386125434724718
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",PC1,-0.8887687504543408,0.8887687504543408,0.7935324633412493,0.9954348791959615,PC2,0.3154560085678945,0.5733127418864463
metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",PC1,-0.9743674991205488,0.9743674991205488,0.9595612047467891,0.9894022587052798,PC6,0.1484717637192239,0.8258957354013249
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",PC1,0.9025672011770136,0.9025672011770136,0.8188119109008416,0.9948897198433151,PC2,0.4048045458634794,0.4977626553135342
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",PC2,-0.7374388355507936,0.7374388355507936,0.5504931000502538,0.9878707582871905,PC1,0.6476820968311452,0.0897567387196484
militant,Advocates aggressive confrontation and forceful action to achieve goals.,PC1,-0.7494044966907234,0.7494044966907234,0.5737080385215001,0.9789074964115738,PC3,0.6072578957672182,0.14214660092350517
