pc,pole,trait,canonical_definition,target_r,target_abs_r,spearman_rho,axis_purity,dominance_gap,dominance_ratio,max_off_axis_abs_r,second_best_pc,bootstrap_probability_target_largest_abs,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,prior_bootstrap_sign_stability,rank_target_strength,rank_axis_purity,rank_dominance_gap
PC1,negative,paradoxical,Comfortable holding contradictory ideas simultaneously and finding truth in opposites.,-0.9498091080248448,0.9498091080248448,-0.9535910677706932,0.909250169170353,0.7460587547287816,4.66163171086485,0.2037503532960632,PC4,1.0,0.8992801904678345,0.8359959945082664,0.9475910946726799,1.0,12,14,10
PC1,negative,artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",-0.9423747333065188,0.9423747333065188,-0.952937884077205,0.9056414353960888,0.7381212188716076,4.613750396969658,0.2042535144349111,PC3,1.0,0.8938994109630585,0.8206437736749649,0.9505802437663078,1.0,14,15,12
PC1,negative,nostalgic,"Shows fondness for past eras, traditions, and classic approaches.",-0.9402772377341287,0.9402772377341287,-0.9447165402036872,0.9201244833266847,0.708507849419811,4.056951802707254,0.2317693883143177,PC2,1.0,0.9093257784843445,0.8488714054226876,0.9584190756082535,1.0,15,12,16
PC1,negative,mystical,Embraces ineffable experiences and truths beyond rational understanding.,-0.937251303514462,0.937251303514462,-0.9496933152534548,0.8832715776961764,0.7055031719093713,4.04426692471282,0.2317481316050907,PC3,1.0,0.8741695284843445,0.8063685953617096,0.9302912399172782,1.0,17,21,17
PC1,negative,flirty,"Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension.",-0.9364540436504228,0.9364540436504228,-0.9492680534318112,0.8842826462910767,0.6361486263961915,3.1183388305567705,0.3003054172542314,PC2,1.0,0.8713436126708984,0.7939596146345138,0.9327877834439278,1.0,18,20,24
PC1,negative,whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",-0.9347443690209892,0.9347443690209892,-0.955221718934826,0.886211232510007,0.7111042102933578,4.179680314747954,0.2236401587276315,PC2,1.0,0.8720922768115997,0.7760013327002525,0.9430744022130966,1.0,19,19,14
PC1,negative,theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",-0.9331384455535632,0.9331384455535632,-0.9294255791812124,0.895204350258005,0.697256699412457,3.955958698878519,0.2358817461411061,PC3,1.0,0.8839545249938965,0.8268176913261414,0.9343080088496207,1.0,20,17,18
PC1,negative,spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",-0.9318730623416642,0.9318730623416642,-0.9412082744294742,0.8722680773914461,0.6492311015855572,3.297008907837932,0.2826419607561071,PC2,1.0,0.8588176071643829,0.7787012919783592,0.9261709615588188,1.0,21,22,23
PC1,negative,improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,-0.9139066832758204,0.9139066832758204,-0.9224829058596118,0.8397475708196446,0.5858430612439036,2.785760510767353,0.3280636220319168,PC2,1.0,0.8262135088443756,0.7499778166413307,0.8965147882699966,1.0,22,24,28
PC1,negative,libertarian,Champions absolute free will and individual choice over determinism.,-0.913822566233629,0.913822566233629,-0.9272115634286374,0.9149867560261268,0.7114443399721553,4.51541938633737,0.2023782262614737,PC4,1.0,0.9027334749698639,0.8302206635475159,0.9549403324723243,1.0,23,13,13
PC1,negative,cryptic,Communicates in deliberately puzzling ways that require interpretation.,-0.9109053247272142,0.9109053247272142,-0.9040235423098006,0.833986126640139,0.5367231180131053,2.4343897394971123,0.3741822067141089,PC2,1.0,0.8249899446964264,0.7706446081399918,0.8788621544837951,1.0,24,25,39
PC1,negative,qualitative,"Focuses on descriptive, subjective, and interpretive aspects of topics.",-0.9007758761744452,0.9007758761744452,-0.915967225411846,0.8209877494583837,0.5727473911459027,2.7460294373400735,0.3280284850285425,PC3,1.0,0.81202232837677,0.7359392508864403,0.8803240686655044,1.0,26,27,31
PC1,negative,charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,-0.9007484483473494,0.9007484483473494,-0.91202561957243,0.8499034222202706,0.6749693130663527,3.9895114631664694,0.2257791352809967,PC4,1.0,0.837215781211853,0.7537115216255188,0.9118923768401146,1.0,27,23,19
PC1,negative,intuitive,Relies on pattern recognition and holistic thinking to provide insights.,-0.8996062119691136,0.8996062119691136,-0.915873171576123,0.8168218854895245,0.628948824184191,3.3237822153370655,0.2706573877849227,PC4,1.0,0.8057315945625305,0.7230927854776382,0.8812410503625869,1.0,28,30,26
PC1,negative,spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",-0.8991472947299358,0.8991472947299358,-0.9214067684140678,0.8209324801862292,0.5793928530595479,2.811993134584203,0.3197544416703879,PC2,1.0,0.8125147223472595,0.7391024142503738,0.881111454963684,1.0,29,28,29
PC1,negative,creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",-0.8925363877752224,0.8925363877752224,-0.9026375465220275,0.8084351349637146,0.6619615342334727,3.8709181598313918,0.2305748535417497,PC6,1.0,0.7987680733203888,0.7167004242539405,0.876128976047039,1.0,30,31,21
PC1,negative,individualistic,Emphasizes unique personal expression and individual differences.,-0.8910079045156788,0.8910079045156788,-0.8984443610974872,0.8033413458064391,0.6326738140860801,3.449052748067321,0.2583340904295986,PC4,1.0,0.7924006581306458,0.707865072786808,0.8725715965032578,1.0,32,32,25
PC1,negative,mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",-0.8887687504543408,0.8887687504543408,-0.9183485762095728,0.7935324633412493,0.5733127418864463,2.817409484413273,0.3154560085678945,PC2,1.0,0.781815767288208,0.6850060224533081,0.8687922149896621,1.0,33,34,30
PC1,negative,manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",-0.8813142690632262,0.8813142690632262,-0.9074885317792332,0.7944993270486282,0.5556578963970247,2.7062706061845603,0.3256563726662015,PC2,1.0,0.7832358777523041,0.6948457822203636,0.8672603175044059,1.0,34,33,33
PC1,negative,passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",-0.8752280328253619,0.8752280328253619,-0.8962684284931192,0.7881942971421461,0.47737618471416315,2.199884296077814,0.3978518481111987,PC2,1.0,0.7733885049819946,0.687411567568779,0.8537001594901084,1.0,35,36,45
PC1,negative,fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",-0.8751146534668024,0.8751146534668024,-0.8658653818412625,0.7752900449176893,0.419263529819539,1.9197378443756217,0.4558511236472634,PC2,1.0,0.7669004797935486,0.7107086464762687,0.8264984458684921,1.0,37,40,50
PC1,negative,sycophantic,"Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback.",-0.8603728627525782,0.8603728627525782,-0.8839871902137851,0.7823329493140263,0.48205999904621927,2.2742363405871058,0.3783128637063589,PC2,1.0,0.7685952186584473,0.689590859413147,0.8418846756219864,1.0,41,37,43
PC1,negative,speculative,Engages in thoughtful conjecture and explores possibilities.,-0.8565815007661746,0.8565815007661746,-0.8712599174865123,0.7522995222559518,0.57125595490453,3.002119905455413,0.2853255458616446,PC4,1.0,0.7419112026691437,0.6593765377998352,0.8246936053037642,1.0,42,45,32
PC1,negative,subversive,Undermines established norms through subtle challenges and indirect resistance.,-0.8565612905694054,0.8565612905694054,-0.8763901791639019,0.745308711721147,0.5180151052317521,2.530116503055863,0.3385461853376533,PC3,1.0,0.7354406118392944,0.641015836596489,0.8270809173583984,1.0,44,47,40
PC1,negative,chaotic,Recognizes extreme sensitivity to initial conditions and unpredictable outcomes.,-0.854676404607597,0.854676404607597,-0.8645613225238742,0.7581365792570474,0.5513881977960309,2.8180337560524076,0.3032882068115661,PC3,1.0,0.7483541667461395,0.6592481702566146,0.8345098763704298,1.0,45,43,35
PC1,negative,visceral,Communicates from gut reactions and raw emotional responses.,-0.8542947012558788,0.8542947012558788,-0.8895940682611582,0.7373702334231114,0.3663160578178763,1.7506805118294415,0.4879786434380025,PC2,1.0,0.7237692475318909,0.6432484582066536,0.8029592156410217,1.0,46,49,64
PC1,negative,risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",-0.8478629575987493,0.8478629575987493,-0.8628885490897551,0.72945513052552,0.5486855328047251,2.8339803986964616,0.2991774247940242,PC4,1.0,0.7196794152259827,0.630383089184761,0.8079579964280128,1.0,47,52,36
PC1,negative,melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",-0.8470521847328778,0.8470521847328778,-0.8247592394910706,0.746325367128809,0.4601327320595713,2.189220983541714,0.3869194526733065,PC3,1.0,0.7376817166805267,0.6667728930711746,0.8110320538282394,1.0,48,46,48
PC1,negative,obsessive,"Fixates on specific details with intense, persistent focus that dominates thinking.",-0.8468841750426835,0.8468841750426835,-0.8383058769221894,0.7319969378749993,0.3737905630738507,1.7900985209212166,0.4730936119688328,PC3,1.0,0.7230303585529327,0.652592557668686,0.8011475041508674,1.0,49,51,63
PC1,negative,effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,-0.8467546534697663,0.8467546534697663,-0.8888947231759037,0.7407973611782036,0.3904380899526149,1.8556298876009125,0.4563165635171514,PC2,1.0,0.7271222174167633,0.627271580696106,0.8175332620739937,1.0,50,48,59
PC1,negative,adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",-0.8410285065610046,0.8410285065610046,-0.8618620351403594,0.7261262151897536,0.5396543412271765,2.790645660119568,0.3013741653338281,PC2,1.0,0.7142384350299835,0.6263720646500588,0.8042951226234436,1.0,51,54,38
PC1,negative,temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",-0.8401502337341943,0.8401502337341943,-0.8939655520613947,0.7126281090294817,0.39088740212194867,1.8700639683883749,0.4492628316122456,PC2,1.0,0.7007675170898438,0.598549485206604,0.7997414648532867,1.0,53,55,58
PC1,negative,emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",-0.8360625192377381,0.8360625192377381,-0.8521883384784051,0.7039767370029956,0.40361275944936253,1.9333171086668546,0.4324497597883756,PC2,1.0,0.6914212703704834,0.6198207095265389,0.7668858885765075,1.0,54,58,55
PC1,negative,grandiose,Has dramatically inflated sense of self-importance and special abilities.,-0.835977412828429,0.835977412828429,-0.809144571708837,0.7086648201915952,0.4546779716552113,2.1924433202844873,0.3812994411732177,PC2,1.0,0.7020837664604187,0.6337578728795051,0.7730907365679741,1.0,55,56,49
PC1,negative,playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",-0.8316784419708803,0.8316784419708803,-0.8831718646317186,0.7030324370632669,0.35344722588150346,1.7390718422183624,0.4782312160893768,PC2,1.0,0.6915465295314789,0.5888431698083878,0.7871966019272805,1.0,56,59,68
PC1,negative,stream_of_consciousness,Follows natural thought patterns and associative connections.,-0.8313997036352898,0.8313997036352898,-0.8683921410230518,0.7069210814097436,0.3315702553164756,1.663366787274576,0.4998294483188142,PC2,1.0,0.694743424654007,0.6156114712357521,0.7755539298057555,1.0,57,57,73
PC1,negative,impulsive,Acts on immediate desires without considering consequences or alternatives.,-0.8297929560218777,0.8297929560218777,-0.8772274314070571,0.7016424291825633,0.3052784447946617,1.582020970364378,0.524514511227216,PC2,1.0,0.6866816282272339,0.6083608090877533,0.7668645501136779,1.0,60,60,80
PC1,negative,relativist,Believes truth and morality depend entirely on context and perspective.,-0.8129737071960209,0.8129737071960209,-0.8234424857909466,0.7274232586103488,0.4640609900804312,2.3300202810512483,0.3489127171155897,PC4,1.0,0.7206706702709198,0.6437733560800553,0.7946239709854126,1.0,68,53,46
PC1,positive,transparent,"Communicates with complete openness, clarity, and nothing hidden or obscured.",0.986819452210436,0.986819452210436,0.986410663281498,0.9812191141243977,0.8963839018240329,10.911853225795202,0.090435550386403,PC2,1.0,0.9684278666973114,0.9289361476898194,0.9914196610450744,1.0,1,1,1
PC1,positive,factual,"Prioritizes accuracy, verification, and evidence-based information.",0.9456984407557504,0.9456984407557504,0.95048325207005,0.8978808471267321,0.6701774355331398,3.4324005169466543,0.2755210052226106,PC2,1.0,0.8837742209434509,0.8079473167657852,0.9439197242259979,1.0,13,16,20
PC1,positive,analytical,Breaks down complex topics into logical components and examines each part systematically.,0.9380054580902012,0.9380054580902012,0.9457130492484348,0.886348463040254,0.6559019525097378,3.325040063433942,0.2821035055804633,PC3,1.0,0.8729314804077148,0.8026318743824958,0.9262715309858321,1.0,16,18,22
PC1,positive,methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",0.9025672011770136,0.9025672011770136,0.9216762355385016,0.8188119109008416,0.4977626553135342,2.2296370196430675,0.4048045458634794,PC2,1.0,0.8051294386386871,0.7284650340676307,0.875261165201664,1.0,25,29,42
PC1,positive,secular,Approaches topics without religious considerations or spiritual frameworks.,0.8915370092056845,0.8915370092056845,0.9152592250656358,0.8331187497428936,0.5924306307075619,2.980668662708844,0.2991063784981226,PC3,1.0,0.8230910003185272,0.7482055097818374,0.8897304415702819,1.0,31,26,27
PC1,positive,data_driven,"Relies on statistics, research, and quantitative evidence.",0.8751395158746363,0.8751395158746363,0.8878168546781686,0.7694012133108015,0.5073793530927598,2.3796474018685196,0.3677601627818765,PC3,1.0,0.7601586580276489,0.6808818638324737,0.8311464726924896,1.0,36,41,41
PC1,positive,rationalist,Believes reason and logic are primary sources of knowledge and truth.,0.8747490401815121,0.8747490401815121,0.8883494417356683,0.7682449532476389,0.4783327759589767,2.2066426610853083,0.3964162642225354,PC3,1.0,0.7575215995311737,0.6826387703418731,0.8243609219789505,1.0,38,42,44
PC1,positive,educational,"Focuses on teaching, learning, and knowledge transfer.",0.8660648547633881,0.8660648547633881,0.8963474798765182,0.7930466155049476,0.4634276992072347,2.1509809584441175,0.4026371555561534,PC2,1.0,0.7787136435508728,0.6934704124927521,0.8559027388691902,1.0,39,35,47
PC1,positive,quantitative,"Prefers numerical data, statistics, and measurable metrics in explanations.",0.8619836254162014,0.8619836254162014,0.8775003606358732,0.7568499146926194,0.40489768105779905,1.8858239594878412,0.4570859443584024,PC3,1.0,0.7481755316257477,0.68106207549572,0.8116218298673629,1.0,40,44,54
PC1,positive,utilitarian,Judges actions by their consequences and overall benefit to majority.,0.8565777800655576,0.8565777800655576,0.8716517122991257,0.7753522023571069,0.546822779671223,2.7653396360836413,0.3097550003943347,PC3,1.0,0.7658497095108032,0.6905513569712639,0.8390922605991363,1.0,43,39,37
PC1,positive,cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",0.8405838386683209,0.8405838386683209,0.8580485271630941,0.7798344146785036,0.5554680206198607,2.9482188831959144,0.2851158180484602,PC2,1.0,0.7655581831932068,0.6772110745310783,0.8459345579147338,1.0,52,38,34
PC1,positive,problem_solving,Focuses on identifying issues and developing practical solutions.,0.8178651573293317,0.8178651573293317,0.8192775742188626,0.7371522197775483,0.3917182357391512,1.919209352205203,0.4261469215901805,PC3,1.0,0.7260521352291107,0.6582468822598457,0.7923958912491799,1.0,65,50,57
PC2,negative,introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",-0.9540791344735008,0.9540791344735008,-0.9601569487320042,0.9373972289079143,0.8047054235183844,6.387195768070468,0.1493737109551164,PC6,1.0,0.9174039661884308,0.8257140383124352,0.9704609990119935,1.0,1,2,1
PC2,negative,ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",-0.9446202584792598,0.9446202584792598,-0.916073973630305,0.9226949566092029,0.7151894886619912,4.117234402480573,0.2294307698172686,PC1,1.0,0.8992872834205627,0.8223922953009606,0.9523796111345291,1.0,2,3,3
PC2,negative,pensive,"Shows thoughtful consideration, deep reflection, and contemplative approach.",-0.9318635456705224,0.9318635456705224,-0.9321265976169182,0.8982143160711616,0.6944079907878211,3.9243703779886134,0.2374555548827013,PC4,1.0,0.8768577575683594,0.7816562265157699,0.9503953874111175,1.0,4,4,4
PC2,negative,theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",-0.9007728765281824,0.9007728765281824,-0.9083517498052568,0.8425788462088665,0.6451281594595666,3.523534093944966,0.2556447170686158,PC3,1.0,0.8266951441764832,0.7275821521878243,0.9052169784903525,1.0,6,6,6
PC2,negative,abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",-0.8976890829027612,0.8976890829027612,-0.8907475260379101,0.836703681444423,0.615462037518026,3.180733730458117,0.2822270453847352,PC4,1.0,0.820715993642807,0.7265416517853737,0.8942146167159081,1.0,7,7,7
PC2,negative,reverent,"Shows deep respect, honor, and veneration for traditions and authority.",-0.8875421021761483,0.8875421021761483,-0.8510781570064337,0.8107842056117821,0.5009182068826253,2.2956214372169903,0.3866238952935229,PC3,1.0,0.7930369079113007,0.7090860277414321,0.8714222460985184,1.0,8,9,11
PC2,negative,conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",-0.8798938143598115,0.8798938143598115,-0.875098237211852,0.8132967467459641,0.6115331152511077,3.278772999482298,0.2683606991087039,PC1,1.0,0.798766553401947,0.6961307361721992,0.8769901350140571,1.0,9,8,8
PC2,negative,principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,-0.8515795062454354,0.8515795062454354,-0.8397264937537868,0.792157743479919,0.5475097230597666,2.8006054969475556,0.3040697831856688,PC6,1.0,0.7761953771114349,0.6806390762329102,0.8735513374209404,1.0,10,10,9
PC2,negative,solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,-0.8395828383626303,0.8395828383626303,-0.7330642508871642,0.7122061982487761,0.3710918473778543,1.7921002847841598,0.468490990984776,PC1,1.0,0.6940233111381531,0.6256048113107682,0.762969882786274,1.0,11,12,14
PC2,negative,erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,-0.8338676738285934,0.8338676738285934,-0.8022434436398258,0.7070588079067622,0.4488115773980455,2.165574526824813,0.3850560964305479,PC3,1.0,0.6900008916854858,0.6113853201270103,0.7689298123121261,1.0,12,13,13
PC2,positive,experiential,"Draws from practical examples, case studies, and real-world scenarios.",0.9418137033445833,0.9418137033445833,0.944676148985892,0.9463162192803448,0.7901975770161639,6.2118306683584406,0.1516161263284194,PC6,1.0,0.9249123632907867,0.8518596708774566,0.9725908413529396,1.0,3,1,2
PC2,positive,practical,Emphasizes real-world applications and actionable advice over theory.,0.9046041218574188,0.9046041218574188,0.9151178558033526,0.8790315988516761,0.6871294604986029,4.159584000293689,0.2174746613588159,PC5,1.0,0.8621872365474701,0.7627168416976928,0.9356382519006728,1.0,5,5,5
PC2,positive,inquisitive,Asks probing questions to better understand context and user needs.,0.7759433072179749,0.7759433072179749,0.7593872075243069,0.789490851544276,0.5032979825487626,2.8459806092746693,0.2726453246692123,PC5,1.0,0.7736823558807373,0.6868107125163079,0.8531727775931358,1.0,18,11,10
PC3,negative,benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",-0.9483730990955956,0.9483730990955956,-0.9513331986959408,0.9260643166426277,0.7186075271981618,4.127568335254964,0.2297655718974338,PC2,1.0,0.9126315116882324,0.841067723929882,0.9647554650902748,1.0,1,2,3
PC3,negative,nurturing,"Provides guidance, support, and encouragement for personal growth.",-0.9475902832777872,0.9475902832777872,-0.9419941721242896,0.938489285242006,0.7417644845833311,4.603846015845973,0.2058257986944561,PC6,1.0,0.9228874742984772,0.8608913660049439,0.96823850274086,1.0,2,1,2
PC3,negative,supportive,"Offers encouragement, validation, and constructive assistance to users.",-0.8703731102018273,0.8703731102018273,-0.8416352673033092,0.8023982642375763,0.5094990747040393,2.4118474165126305,0.360874035497788,PC1,1.0,0.7897960245609283,0.717739625275135,0.8600527182221411,1.0,9,9,12
PC3,negative,deferential,Shows respect by yielding to others' authority and expertise.,-0.8700306083894878,0.8700306083894878,-0.8614367733187156,0.8294666305320292,0.5192035186378545,2.4799413551713547,0.3508270897516332,PC4,1.0,0.815194845199585,0.737984062731266,0.8906157746911049,1.0,10,8,11
PC3,negative,optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",-0.8642048924618895,0.8642048924618895,-0.8802671590548455,0.8014414399033617,0.6020841321403831,3.29697232451902,0.2621207603215063,PC2,1.0,0.7885083854198456,0.6937913745641708,0.8724349334836006,1.0,11,10,6
PC3,negative,altruistic,Prioritizes helping others and societal benefit over individual gain.,-0.845879130296604,0.845879130296604,-0.8208257118952137,0.7641875725978294,0.4044169756529632,1.9160852666508155,0.4414621546436408,PC2,1.0,0.7507399618625641,0.6801287740468979,0.8310656830668448,1.0,12,13,16
PC3,negative,chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",-0.8327351731231795,0.8327351731231795,-0.8108906263523844,0.7208867339285837,0.43794697306224556,2.1093213348186453,0.3947882000609339,PC1,1.0,0.7121433317661285,0.6315022706985474,0.7898282662034034,1.0,14,15,15
PC3,negative,inspirational,Motivates users and focuses on positive transformation and growth.,-0.8273075694540223,0.8273075694540223,-0.8111993306598193,0.7849233644247526,0.5041507540828322,2.560080834141609,0.3231568153711901,PC6,1.0,0.7733913660049438,0.6834137052297592,0.863231775164604,1.0,16,12,13
PC3,positive,callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,0.9362281588736768,0.9362281588736768,0.930041833761288,0.9005926234790558,0.747466546400724,4.9598440414246125,0.1887616124729528,PC1,1.0,0.8880687952041626,0.8135985285043716,0.9442524924874306,1.0,3,3,1
PC3,positive,cynical,Views human nature and motivations with deep distrust and pessimism.,0.9186264810030856,0.9186264810030856,0.8944467845705549,0.8569353920112172,0.5914297624088878,2.8075663012452208,0.3271967185941979,PC1,1.0,0.8441940546035767,0.7766425758600235,0.9061795085668564,1.0,4,5,7
PC3,positive,pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",0.9126434799743378,0.9126434799743378,0.9019156977582872,0.8785092649515865,0.684793382359079,4.005455733951021,0.2278500976152587,PC6,1.0,0.8665591180324554,0.7887547984719276,0.932156653702259,1.0,5,4,4
PC3,positive,vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,0.8842922837299919,0.8842922837299919,0.8913984016618102,0.7924812500750839,0.5283073189796289,2.4840720010467527,0.355984964750363,PC2,1.0,0.7816406786441803,0.6881003022193909,0.8644159629940986,1.0,6,11,10
PC3,positive,blunt,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,0.8759718377764993,0.8759718377764993,0.862507717607686,0.8330194491818179,0.554570778065731,2.7254789967550015,0.3214010597107684,PC2,1.0,0.8192117214202881,0.7260574847459793,0.911022464931011,1.0,7,7,9
PC3,positive,dominant,Takes charge of conversations and drives toward specific outcomes.,0.8710338842300616,0.8710338842300616,0.8782072069472896,0.8361400171480875,0.6333463134087367,3.6646168801347954,0.2376875708213248,PC4,1.0,0.8265889883041382,0.7017169907689095,0.9323681399226188,1.0,8,6,5
PC3,positive,skeptical,"Questions assumptions, seeks evidence, and challenges conventional thinking.",0.8374450052678677,0.8374450052678677,0.8654678168546781,0.7527226754776268,0.5575772294526424,2.9922880647065533,0.2798677758152252,PC1,1.0,0.7421539127826691,0.6536601528525352,0.8267833605408669,1.0,13,14,8
