persona,rank_most_explained,rank_least_explained,final_model_residual,semantic_baseline_residual,residual_improvement,residual_improvement_percent,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,semantic_baseline_predicted_pc1,semantic_baseline_predicted_pc2,semantic_baseline_predicted_pc3,activation_cluster,semantic_cluster,anchor_or_bridge_status,heldout_frequency,mean_residual_across_splits,residual_std_across_splits,dimensions_features_most_associated_with_improved_prediction,prediction_source
examiner,16,258,9.187378,15.183934,5.996556,39.492768,45.622482,-13.63691,10.556259,40.392773,-19.785687,10.504744,38.57557,-4.454417,0.880648,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=6,stable_anchor,2,9.187378,2.490627,collective_distributed/nonindividual_systemic_identity=3; procedural/evaluate_judge_verify=3; prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/forceful_self_assertion=3,mean_heldout_across_splits
debugger,17,257,9.19807,11.389696,2.191627,19.242188,37.836656,0.422489,10.867375,33.212719,-5.493792,5.555001,31.161648,-2.976662,2.287444,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=1,,1,9.19807,0.0,collective_distributed/nonindividual_systemic_identity=3; prior_first_loop/procedural_professional_orientation=3; procedural/evaluate_judge_verify=2; collective_distributed/swarm_collective_agency=2,mean_heldout_across_splits
chimera,18,256,9.570458,12.864041,3.293583,25.603019,-37.314148,-16.363016,9.316701,-38.332529,-25.853282,10.017707,-33.90718,-26.166259,1.715876,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=2,stable_anchor,0,,,procedural/destabilize_expose_disrupt=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/forceful_self_assertion=3; institutional/standard_enforcement=3,apparent_full_model_no_heldout_split
counselor,19,255,9.660449,8.278023,-1.382426,-16.699955,10.852153,12.970002,-36.167331,13.198212,18.41945,-29.521232,8.928604,8.343021,-32.320612,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=6;role_name_k7=5,semantic_bridge_3,3,9.660449,2.517966,prior_first_loop/interpersonal_lived_reactivity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3; prior_first_loop/semantic_label_dependence_risk=2,mean_heldout_across_splits
composer,20,254,9.6637,20.311497,10.647796,52.422511,1.774242,-17.582766,-4.900928,0.88513,-14.35969,4.165954,17.74116,-8.43865,3.701372,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=1;role_name_k7=1,semantic_bridge_3,1,9.6637,0.0,prior_first_loop/theatrical_fantastical_vividness=2; collective_distributed/nonindividual_systemic_identity=2; destabilization_reactivity/volatility_liminality=2,mean_heldout_across_splits
playwright,21,253,9.736101,12.741008,3.004907,23.584533,-9.817578,4.585625,4.301205,-16.585932,2.330727,3.097903,0.511643,6.098981,-2.389572,grounded_social,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_3,3,9.736101,2.863515,prior_first_loop/theatrical_fantastical_vividness=3; procedural/destabilize_expose_disrupt=3; prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; destabilization_reactivity/volatility_liminality=3,mean_heldout_across_splits
archivist,22,252,9.754437,15.041326,5.286889,35.149088,26.864606,-17.740687,-1.48386,35.103134,-16.642223,3.62193,23.705904,-6.399193,7.877476,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=2,stable_anchor,1,9.754437,0.0,collective_distributed/nonindividual_systemic_identity=3; motivational/mission_duty_drive=3; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
therapist,23,251,9.807341,9.498576,-0.308765,-3.250647,13.067799,12.359939,-34.533275,21.399607,16.667533,-34.231837,6.961685,5.800609,-33.334027,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=6;role_name_k7=5,semantic_bridge_3,3,9.807341,2.280552,prior_first_loop/interpersonal_lived_reactivity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3; collective_distributed/nonindividual_systemic_identity=2,mean_heldout_across_splits
scholar,24,250,10.38646,15.050833,4.664373,30.990795,36.468959,-21.045066,8.53028,46.083234,-17.136393,8.938384,29.011229,-8.216858,11.049588,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=0,semantic_bridge_3,0,,,procedural/evaluate_judge_verify=3; prior_first_loop/procedural_professional_orientation=3; collective_distributed/nonindividual_systemic_identity=2; destabilization_reactivity/volatility_liminality=2,apparent_full_model_no_heldout_split
prodigy,25,249,10.69571,19.38494,8.68923,44.824643,7.537463,-5.845253,7.614532,12.486875,-0.888247,-0.142213,3.739056,-19.308025,-5.767216,procedural_professional,original_prompt_k7=4;no_label_prompt_k7=1;role_name_k7=4,semantic_bridge_3,2,10.69571,0.580044,destabilization_reactivity/reactive_opposition=3; institutional/standard_enforcement=3; prior_first_loop/semantic_label_dependence_risk=2; destabilization_reactivity/volatility_liminality=2,mean_heldout_across_splits
shaman,26,248,10.741221,29.296712,18.555492,63.33643,-41.922689,-32.19495,-27.77049,-35.635442,-24.130213,-27.596882,-19.788124,-13.659003,-23.198197,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=6;role_name_k7=1,semantic_bridge_2,2,10.741221,1.249531,prior_first_loop/theatrical_fantastical_vividness=3; narrative_causal/wound_loss_exile=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
navigator,27,247,10.93951,13.838613,2.899103,20.949378,13.917627,-2.636315,-2.796963,6.374636,-4.49079,-7.713508,22.532692,-3.046557,7.807007,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,2,10.93951,1.485605,narrative_causal/wound_loss_exile=3; motivational/hunger_wound_lack=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
coach,28,246,11.042037,12.54354,1.501503,11.97033,24.85386,11.699204,-14.839957,32.92288,17.991176,-18.99069,29.870822,1.170595,-10.22272,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_3,1,11.042037,0.0,prior_first_loop/interpersonal_lived_reactivity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3; collective_distributed/nonindividual_systemic_identity=2,mean_heldout_across_splits
ecosystem,29,245,11.04253,26.083946,15.041415,57.665415,12.478176,-15.406081,-15.348841,5.601985,-11.576808,-7.603383,-9.087154,-3.349815,-6.984917,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=0;role_name_k7=4,semantic_bridge_high_4,1,11.04253,0.0,collective_distributed/nonindividual_systemic_identity=3; collective_distributed/swarm_collective_agency=3; destabilization_reactivity/volatility_liminality=3; prior_first_loop/collectivized_or_nonindividual_agency=3; prior_first_loop/semantic_label_dependence_risk=2,mean_heldout_across_splits
golem,30,244,11.0534,17.864352,6.810952,38.125941,-46.714582,-28.739483,-2.945018,-40.011001,-34.487388,3.703385,-31.514071,-26.132876,6.07081,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=3,stable_anchor,1,11.0534,0.0,prior_first_loop/theatrical_fantastical_vividness=3; semantic_label_dependence/role_label_theatricality=2; interactional/adversarial_dominance=3; motivational/mission_duty_drive=2; prior_first_loop/forceful_self_assertion=2,mean_heldout_across_splits
assistant,31,243,11.275814,10.866235,-0.409579,-3.769281,33.702803,3.441718,-5.155534,24.201504,6.921227,-10.131709,40.769847,0.004969,2.349178,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=1;role_name_k7=4,semantic_bridge_3,1,11.275814,0.0,prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3,mean_heldout_across_splits
virus,32,242,11.312471,22.906121,11.59365,50.613762,-10.626606,-12.916099,25.669758,-14.177327,-7.229361,17.13168,-11.305373,-9.940408,3.184451,mythic_spiritual,original_prompt_k7=2;no_label_prompt_k7=0;role_name_k7=1,semantic_bridge_2,3,11.312471,0.217784,narrative_causal/corruption_contamination_decay=3; collective_distributed/nonindividual_systemic_identity=3; collective_distributed/swarm_collective_agency=3; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
spirit,33,241,11.48715,28.940998,17.453848,60.308385,-45.035816,-33.236636,-18.033567,-40.145148,-26.887867,-9.803798,-34.791173,-11.299284,-2.17856,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=3;role_name_k7=3,semantic_bridge_2,0,,,prior_first_loop/theatrical_fantastical_vividness=3; narrative_causal/wound_loss_exile=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; motivational/mission_duty_drive=3,apparent_full_model_no_heldout_split
survivor,34,240,11.667747,16.442606,4.774858,29.039548,-23.30116,20.545113,-18.175498,-24.693837,15.001459,-8.00374,-19.114526,15.998097,-2.938832,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,stable_anchor,1,11.667747,0.0,prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; destabilization_reactivity/reactive_opposition=3; motivational/mission_duty_drive=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
wanderer,35,239,11.692046,31.717586,20.025541,63.137026,-41.612731,-5.17095,-10.129627,-30.55798,-4.447312,-6.391608,-19.114526,15.998097,-2.938832,mythic_spiritual,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,semantic_bridge_3,1,11.692046,0.0,narrative_causal/wound_loss_exile=3; prior_first_loop/boundary_liminal_instability=3; motivational/mission_duty_drive=3; prior_first_loop/assistant_basin_adjacency=2,mean_heldout_across_splits
auditor,36,238,11.834894,16.703447,4.868553,29.146996,48.155016,-12.294599,13.609156,52.908271,-11.362323,2.934396,38.705819,-4.81904,2.321647,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=6,,3,11.834894,1.121927,collective_distributed/nonindividual_systemic_identity=3; procedural/evaluate_judge_verify=3; motivational/mission_duty_drive=3; prior_first_loop/procedural_professional_orientation=3; institutional/standard_enforcement=3,mean_heldout_across_splits
shapeshifter,37,237,12.097999,14.029075,1.931076,13.764814,-26.647735,-7.225544,-3.341381,-19.053152,-15.539457,-7.764359,-30.842428,-20.318053,-6.135251,grounded_social,original_prompt_k7=4;no_label_prompt_k7=3;role_name_k7=6,semantic_bridge_2,1,12.097999,0.0,prior_first_loop/boundary_liminal_instability=3; collective_distributed/swarm_collective_agency=3; destabilization_reactivity/volatility_liminality=3; prior_first_loop/forceful_self_assertion=3; motivational/hunger_wound_lack=3,mean_heldout_across_splits
mathematician,38,236,12.286178,16.194242,3.908064,24.13243,31.95666,-14.510329,15.969708,40.80935,-16.144242,7.825007,19.833874,-11.664356,5.988079,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=1,semantic_bridge_3,2,12.286178,2.032338,procedural/evaluate_judge_verify=3; destabilization_reactivity/volatility_liminality=3; assistant_adjacency/assistant_basin_adjacency=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
negotiator,39,235,12.322329,9.722732,-2.599597,-26.737311,31.22332,-1.412316,-5.683197,34.12442,1.417211,-17.320086,27.297736,5.319666,-11.497122,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=5,semantic_bridge_high_4,1,12.322329,0.0,prior_first_loop/semantic_label_dependence_risk=3; prior_first_loop/boundary_liminal_instability=3; prior_first_loop/assistant_basin_adjacency=3; destabilization_reactivity/volatility_liminality=3; interactional/cooperative_care=3,mean_heldout_across_splits
guru,40,234,12.546561,31.158374,18.611813,59.73294,-35.014403,-24.845769,-17.626964,-40.686367,-21.219523,-7.039454,-36.968697,-8.327152,8.719958,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=2;role_name_k7=2,semantic_bridge_2,0,,,prior_first_loop/theatrical_fantastical_vividness=3; narrative_causal/wound_loss_exile=3; prior_first_loop/interpersonal_lived_reactivity=3; interactional/cooperative_care=3; motivational/mission_duty_drive=3,apparent_full_model_no_heldout_split
emissary,41,233,12.566597,13.81501,1.248414,9.036648,22.521751,-11.756824,-11.199282,24.136116,0.401247,-8.461674,25.287826,1.72842,-10.036718,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=5,semantic_bridge_high_4,1,12.566597,0.0,prior_first_loop/boundary_liminal_instability=3; collective_distributed/swarm_collective_agency=3; destabilization_reactivity/volatility_liminality=3; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
facilitator,42,232,12.620277,25.487407,12.86713,50.484264,32.463401,5.011736,-16.050745,35.04146,-4.706075,-10.081439,10.118935,0.259898,-5.145656,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_3,2,12.620277,1.584694,collective_distributed/nonindividual_systemic_identity=3; collective_distributed/swarm_collective_agency=3; destabilization_reactivity/reactive_opposition=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3,mean_heldout_across_splits
familiar,43,231,12.942909,8.614367,-4.328541,-50.247932,-40.972494,-28.23185,-1.70152,-31.024655,-26.420078,5.697604,-35.238331,-23.907835,2.448201,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=3,stable_anchor,3,12.942909,3.169496,prior_first_loop/theatrical_fantastical_vividness=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/assistant_basin_adjacency=3; motivational/mission_duty_drive=3; assistant_adjacency/assistant_basin_adjacency=3,mean_heldout_across_splits
analyst,44,230,13.03003,10.845549,-2.184481,-20.141732,42.520764,-6.588174,7.254709,30.15648,-3.966902,4.086888,32.594528,-4.092392,3.66767,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_3,1,13.03003,0.0,prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=2; prior_first_loop/communicative_media_register=3,mean_heldout_across_splits
witch,45,229,13.100581,16.413413,3.312832,20.183685,-47.543469,-31.340771,-2.990897,-35.415067,-36.283944,-3.294432,-34.247045,-24.11312,3.362549,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=3,stable_anchor,0,,,prior_first_loop/theatrical_fantastical_vividness=3; narrative_causal/wound_loss_exile=3; prior_first_loop/forceful_self_assertion=3; interactional/deception_persuasion=3,apparent_full_model_no_heldout_split
synthesizer,46,228,13.162128,19.675505,6.513377,33.103991,25.531551,-8.163528,0.061852,18.015334,-6.626273,9.947796,13.916304,-2.074222,14.695772,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=4;role_name_k7=2,semantic_bridge_3,2,13.162128,0.345015,prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/boundary_liminal_instability=2; destabilization_reactivity/volatility_liminality=2; procedural/translate_mediate_synthesize=3,mean_heldout_across_splits
pragmatist,47,227,13.394126,35.615628,22.221502,62.392561,28.854692,13.113668,6.330062,17.953837,11.832338,10.80638,-4.755126,6.371882,15.610089,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=2;role_name_k7=6,semantic_bridge_3,3,13.394126,4.948653,procedural/evaluate_judge_verify=3; assistant_adjacency/assistant_basin_adjacency=3; institutional/standard_enforcement=3,mean_heldout_across_splits
consultant,48,226,13.406476,4.691344,-8.715132,-185.770478,41.026614,-2.691101,3.471371,42.863145,10.530867,4.712464,39.299378,1.204995,1.510299,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=1;role_name_k7=4,semantic_bridge_3,0,,,procedural/evaluate_judge_verify=3; assistant_adjacency/assistant_basin_adjacency=3; prior_first_loop/procedural_professional_orientation=3,apparent_full_model_no_heldout_split
caregiver,49,225,13.52685,14.583842,1.056992,7.247692,1.344612,14.616834,-43.370517,10.352767,10.080419,-34.356653,9.476929,8.018165,-33.221062,grounded_social,original_prompt_k7=0;no_label_prompt_k7=6;role_name_k7=5,semantic_bridge_3,0,,,prior_first_loop/interpersonal_lived_reactivity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; motivational/mission_duty_drive=3; assistant_adjacency/assistant_basin_adjacency=3,apparent_full_model_no_heldout_split
fixer,50,224,13.556916,11.41531,-2.141606,-18.760821,-12.589281,17.011219,25.801749,-14.748329,19.206865,13.051355,-10.740069,8.683275,18.217635,grounded_social,original_prompt_k7=3;no_label_prompt_k7=2;role_name_k7=3,semantic_bridge_3,2,13.556916,2.683186,procedural/destabilize_expose_disrupt=3; prior_first_loop/semantic_label_dependence_risk=2; semantic_label_dependence/role_label_theatricality=2,mean_heldout_across_splits
editor,51,223,13.806586,28.33731,14.530723,51.27771,34.619814,-2.11474,-5.095158,22.385081,3.129652,-1.430532,9.264022,10.527107,-5.615359,editorial,original_prompt_k7=6;no_label_prompt_k7=5;role_name_k7=1,semantic_bridge_2,1,13.806586,0.0,procedural/evaluate_judge_verify=3; assistant_adjacency/assistant_basin_adjacency=3; destabilization_reactivity/volatility_liminality=2,mean_heldout_across_splits
scout,52,222,13.925324,15.605115,1.679791,10.76436,10.486658,-3.875931,7.874556,19.460844,2.91107,0.987469,20.047857,-3.055779,-4.396777,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=2,semantic_bridge_3,2,13.925324,0.676602,procedural/evaluate_judge_verify=3; collective_distributed/swarm_collective_agency=3; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
moderator,53,221,13.949412,23.191161,9.241749,39.850309,31.451129,4.187086,-14.418641,18.699918,7.817882,-10.081588,10.106923,-1.550327,-7.394619,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_high_4,0,,,collective_distributed/swarm_collective_agency=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/collectivized_or_nonindividual_agency=3; destabilization_reactivity/reactive_opposition=2; prior_first_loop/interpersonal_lived_reactivity=2,apparent_full_model_no_heldout_split
demon,54,220,14.012689,36.434577,22.421888,61.540136,-51.935278,-11.475721,29.9192,-47.015144,-20.405551,20.306403,-31.963838,-21.720415,1.219614,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=0,stable_anchor,1,14.012689,0.0,narrative_causal/corruption_contamination_decay=3; prior_first_loop/theatrical_fantastical_vividness=3; procedural/destabilize_expose_disrupt=3; destabilization_reactivity/reactive_opposition=3; motivational/mission_duty_drive=3,mean_heldout_across_splits
cosmopolitan,55,219,14.061205,26.190892,12.129687,46.312615,8.799585,0.177256,-7.825351,-4.884434,3.272285,-6.884125,-16.498332,6.648001,-5.798602,procedural_professional,original_prompt_k7=1;no_label_prompt_k7=0;role_name_k7=5,semantic_bridge_3,0,,,collective_distributed/nonindividual_systemic_identity=2,apparent_full_model_no_heldout_split
surfer,56,218,14.430861,18.686752,4.255891,22.774909,-33.841942,21.928042,-9.514137,-25.581224,14.094915,-0.645518,-22.554733,7.698997,-5.117789,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,stable_anchor,1,14.430861,0.0,prior_first_loop/theatrical_fantastical_vividness=2; destabilization_reactivity/reactive_opposition=2,mean_heldout_across_splits
witness,57,217,14.59397,18.134002,3.540032,19.521517,9.22154,-6.413585,-3.600133,-5.118293,-4.08187,-4.98443,-6.259546,2.810585,-1.577081,procedural_professional,original_prompt_k7=1;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_3,1,14.59397,0.0,destabilization_reactivity/volatility_liminality=3; prior_first_loop/semantic_label_dependence_risk=2; semantic_label_dependence/role_label_theatricality=2; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
engineer,58,216,14.826999,20.02,5.193001,25.939068,40.535311,-7.183094,11.617734,26.003873,-4.701812,12.45172,22.060059,-11.316607,5.703238,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=1,semantic_bridge_3,3,14.826999,3.1013,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; destabilization_reactivity/reactive_opposition=3; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
