permutation_index,seed,global_max_fisher_z,global_max_back_transformed_r,global_maximizing_K,stable_K456_max_fisher_z,stable_K456_max_back_transformed_r,stable_K456_maximizing_K,MFamily_A_max_r,MFamily_B_max_r,MFamily_C_max_r,MFamily_D_max_r
25,2026091304,0.156683350318,0.155413642262,10,0.128177103626,0.127479729883,5,0.136136747887,0.105285163603,0.149641693719,0.300384291914
26,2026091304,0.187487905801,0.185321521099,10,0.15645810781,0.155193832435,6,0.27908830853,0.16637858013,0.233320209398,0.198644853759
27,2026091304,0.317157888107,0.306934812466,8,0.25395929199,0.248636830712,6,0.371495677635,0.393008770764,0.254426143038,0.354528100479
28,2026091304,0.183101705247,0.181082542007,10,0.156330014038,0.155068821334,6,0.193935176752,0.201749419213,0.0488082815312,0.287989151904
29,2026091304,0.302077715597,0.293212853907,10,0.271284488893,0.264819649638,6,0.390495434878,0.301576569635,0.234233776292,0.279093161416
30,2026091304,0.229264723705,0.225330524531,10,0.221721850881,0.218158578657,6,0.361621241365,0.142311209941,0.340292428154,0.215227983134
31,2026091304,0.202246711771,0.19953354612,10,0.181826378206,0.179848749807,6,0.189806570496,0.235639329002,0.268828725869,0.211376107269
32,2026091304,0.195887516419,0.193419858376,10,0.147704973277,0.146640117056,5,0.174691504345,0.349098744765,0.212402320649,0.0926819624239
33,2026091304,0.210158460961,0.207118168019,10,0.160829618987,0.1594571357,6,0.246872422588,0.196119853307,0.227187318558,0.206670680048
34,2026091304,0.211190715711,0.208105929638,7,0.206614029711,0.203723307547,6,0.257233908612,0.260462180341,0.225716783253,0.195459463817
35,2026091304,0.194563569807,0.192145116563,10,0.156397650379,0.155134830575,6,0.199780575097,0.214318425627,0.208240239473,0.255133820512
36,2026091304,0.249929263336,0.244852167737,10,0.194375689926,0.19196416663,5,0.197968359128,0.362639646611,0.2433668878,0.187816351111
37,2026091304,0.329769706787,0.318313833023,10,0.220847784404,0.217325953213,6,0.396112917861,0.347597707924,0.360805284168,0.273005634665
38,2026091304,0.231962638498,0.227889893707,10,0.157963092982,0.156662225778,6,0.32294634791,0.299232727686,0.175111167559,0.290496775538
39,2026091304,0.18093056943,0.178981777033,10,0.137141918642,0.136288553971,6,0.209348951096,0.190564613186,0.139079313196,0.289149679752
40,2026091304,0.143524026552,0.142546588715,8,0.116086345972,0.115567680214,4,0.117579420016,0.16620101975,0.144741267915,0.173094043251
41,2026091304,0.266724758131,0.26057459376,10,0.260110779264,0.254399145295,6,0.345353669395,0.278635318478,0.214870393372,0.277930767823
42,2026091304,0.235093427244,0.230855962778,10,0.127472710029,0.12678672133,6,0.270589042467,0.16505788737,0.354106716218,0.322523186606
43,2026091304,0.203204186391,0.200452724306,10,0.168466815139,0.166890946623,5,0.22286807332,0.343055157858,0.147000231239,0.13199374284
44,2026091304,0.166386471041,0.164867846008,8,0.127704822531,0.127015095927,6,0.0484264125978,0.203603409131,0.331837954768,0.116940823263
45,2026091304,0.169210921504,0.167614237744,7,0.108958423645,0.108529278889,6,0.113931883532,0.138844614848,0.199248515343,0.263338501739
46,2026091304,0.244476118483,0.23971915021,10,0.243742677369,0.239027735048,5,0.257307938026,0.198877288092,0.302919003791,0.341696519559
47,2026091304,0.171989865126,0.170313843843,8,0.119025230469,0.118466320457,5,0.19414338715,0.208937093767,0.175351337431,0.158402399305
48,2026091304,0.296012751177,0.287659509827,10,0.288820633229,0.281048962753,6,0.392354704727,0.272557353516,0.383805220871,0.270040979745
49,2026091304,0.311802544352,0.30207605008,8,0.291811929006,0.283801658102,6,0.353644775503,0.21029032034,0.401920354652,0.353380903694
50,2026091304,0.179996623788,0.178077598972,7,0.14604988155,0.145020223629,6,0.191552526003,0.158308443172,0.12353618357,0.315529178852
51,2026091304,0.197825661855,0.195284793931,8,0.166735131158,0.165207009543,6,0.137051044705,0.188397077691,0.2352698532,0.307115862628
52,2026091304,0.264217229938,0.258235801262,5,0.264217229938,0.258235801262,5,0.330886101247,0.203127455311,0.380484419465,0.226068256224
53,2026091304,0.275874205692,0.269082281202,10,0.194252783755,0.191845786788,6,0.289910789171,0.293249183637,0.299186786365,0.243712638485
54,2026091304,0.270856671277,0.264421789584,10,0.201129678381,0.198460747226,6,0.244668687588,0.297134533057,0.313381729838,0.297283098391
55,2026091304,0.282696938551,0.275399316902,10,0.223485003848,0.219837170189,5,0.300333880082,0.288255600537,0.160859239967,0.365858386334
56,2026091304,0.152356266812,0.151188257387,8,0.126316876402,0.125649301405,5,0.0942000955346,0.192638733091,0.201439399517,0.178636937409
57,2026091304,0.255151913519,0.249755391835,7,0.253506103092,0.248211610191,5,0.213216691044,0.22521414991,0.302825601153,0.423407989678
58,2026091304,0.230353472529,0.226363739505,10,0.161171803493,0.159790601416,5,0.255169504601,0.316451944416,0.260135497655,0.202486364713
59,2026091304,0.247599376902,0.242660717808,10,0.230722834223,0.226714145592,5,0.186856907564,0.161884416967,0.403236470515,0.272476822711
60,2026091304,0.173924486076,0.172191726529,10,0.0986392473048,0.0983205773414,6,0.261764958141,0.111541445005,0.212747524885,0.152439797572
61,2026091304,0.311754050379,0.302031980533,10,0.22576139641,0.222002461053,6,0.350229330579,0.127637798262,0.532655411386,0.294854257688
62,2026091304,0.413152430727,0.391146091592,10,0.318668513125,0.308302487863,6,0.396716028869,0.426771085129,0.363656485436,0.444429536883
63,2026091304,0.331279190891,0.3196697181,10,0.264523746582,0.258521854969,5,0.405652810338,0.260876530867,0.519033305853,0.213391783806
64,2026091304,0.28741335176,0.279752328381,10,0.256977824863,0.25146662465,5,0.367615592066,0.246978968604,0.298961522577,0.359843833024
65,2026091304,0.258675136923,0.253055926527,8,0.185854262035,0.183743506964,5,0.366594951944,0.283912712835,0.131839937585,0.244921290437
66,2026091304,0.352600562848,0.338679836471,10,0.305925652709,0.296725988245,6,0.489077948856,0.401039467538,0.306557965286,0.357094921299
67,2026091304,0.241673259349,0.237075588853,10,0.225279201527,0.221543982147,6,0.235934893058,0.266031068827,0.251769571183,0.300803802488
68,2026091304,0.277146578322,0.270262122761,10,0.203360524099,0.200602775459,6,0.277557197967,0.469491149086,0.121846797827,0.317611257544
69,2026091304,0.444232816918,0.41714686359,10,0.299452697199,0.290811675612,6,0.445774499588,0.396160154995,0.353122155294,0.494022454066
70,2026091304,0.207417739487,0.204493534528,10,0.109470937636,0.109035727966,6,0.298102048933,0.20235399318,0.177507048899,0.199816814351
71,2026091304,0.279455869565,0.272401400685,10,0.186750294868,0.184609145476,5,0.318060480987,0.350056119287,0.179562205433,0.334014804741
72,2026091304,0.282996067914,0.275675736084,8,0.222263541942,0.218674427915,6,0.361838929438,0.384199590951,0.32008964332,0.221464855481
73,2026091304,0.236428244461,0.232119251578,8,0.164181790532,0.162722315434,5,0.216611005483,0.346259268932,0.201548093119,0.241681364773
74,2026091304,0.264385349873,0.258392703183,10,0.205296885656,0.202460491041,4,0.202224472841,0.219707113303,0.313647359678,0.320200378908
75,2026091304,0.26796438676,0.261729678995,10,0.226030926588,0.222258692074,6,0.340015925549,0.344318981366,0.178888523949,0.314089066737
76,2026091304,0.223064312434,0.219436773104,8,0.175028698926,0.173262995355,6,0.267236300404,0.209339439594,0.288670437421,0.190528264349
77,2026091304,0.24506383643,0.24027301669,10,0.20936940702,0.206362839578,5,0.182843438771,0.332657348999,0.246301895266,0.271015680151
78,2026091304,0.178997449058,0.177109937848,10,0.14113882094,0.140209059026,6,0.208113153649,0.214810732356,0.245135339569,0.0922224707718
79,2026091304,0.278601433443,0.271610181916,8,0.277914109708,0.270973444721,6,0.358971514953,0.224235101591,0.243388341187,0.414596978572
80,2026091304,0.246542653025,0.241665963586,10,0.171384059281,0.169725549865,5,0.261123235987,0.208199723761,0.37043454202,0.229674114532
81,2026091304,0.181036440878,0.179084255002,8,0.176405661829,0.174598302325,6,0.206391753547,0.320813013003,0.252565586678,0.0864608195839
82,2026091304,0.148471750043,0.147390321072,8,0.0928905934561,0.0926243385324,6,0.160382844471,0.136525872837,0.147037402323,0.172894688432
83,2026091304,0.30568651749,0.296507892529,6,0.30568651749,0.296507892529,6,0.303213457402,0.235151406052,0.460181575948,0.2665251213
84,2026091304,0.173712288264,0.171985812859,10,0.136564992794,0.135722299812,5,0.112304850597,0.248666065339,0.229662330049,0.158105771094
85,2026091304,0.158759866484,0.157439346857,8,0.103994976269,0.10362169068,4,0.214335085045,0.0724724875415,0.240434975386,0.138732107085
86,2026091304,0.235622043951,0.231356346024,10,0.191219799091,0.188922738679,6,0.178879410405,0.331332675221,0.258909517354,0.223277883746
87,2026091304,0.159615596612,0.158273753256,8,0.141904674973,0.140959776697,5,0.11259559551,0.30000935911,0.190290462338,0.106314532626
88,2026091304,0.145286076504,0.144272399375,10,0.135947295464,0.135115930043,4,0.116906485572,0.143192305057,0.161585877526,0.195269301325
89,2026091304,0.212237860978,0.209107506429,10,0.151314424075,0.150170068965,6,0.124431660723,0.240005450652,0.248474437324,0.336497923649
90,2026091304,0.166495198781,0.16497361648,10,0.159011934566,0.15768515713,6,0.240618429012,0.152129868147,0.23399820675,0.129940325567
91,2026091304,0.197554141388,0.195023614367,8,0.129637365287,0.128915992326,5,0.187171069749,0.134856241438,0.268630374688,0.198630109821
92,2026091304,0.172779332721,0.171080308289,10,0.101345065818,0.100999519643,5,0.220167258777,0.089494922298,0.182528133996,0.254305764465
93,2026091304,0.229594025043,0.225643082769,10,0.115139581775,0.114633458955,6,0.201069367983,0.260945611883,0.221658425286,0.387186600734
94,2026091304,0.188488552279,0.186287621831,8,0.182205298176,0.180215388391,5,0.235568723353,0.231134972033,0.201326308077,0.20691757047
95,2026091304,0.209975898893,0.206943430881,10,0.202778600642,0.200044204318,6,0.174159061729,0.212577266036,0.208899573277,0.27259636371
96,2026091304,0.337652045249,0.325379628995,10,0.293214318838,0.285090580878,6,0.350788406341,0.435005544337,0.3267792161,0.262053424486
97,2026091304,0.249071476505,0.244045638245,10,0.213790335313,0.210591614366,6,0.277343730329,0.272048971742,0.203029890521,0.389953401631
98,2026091304,0.228582945589,0.224683263575,10,0.200924055205,0.198263214804,6,0.25614149146,0.309787219422,0.321362224653,0.14647592922
99,2026091304,0.215577451344,0.212298829565,10,0.151183081495,0.150041685767,6,0.269611811357,0.223608747371,0.252316107965,0.410404664502
100,2026091304,0.168881916563,0.167294458421,8,0.122750668112,0.122137836937,5,0.13804099152,0.0802507092163,0.365968094621,0.178066253772
101,2026091304,0.252387867514,0.247161977095,8,0.165728284924,0.164227480921,5,0.318866335477,0.277770161163,0.251625686618,0.342772742535
102,2026091304,0.181321883464,0.179360528981,10,0.163072989504,0.161642679499,6,0.090197609601,0.196215717751,0.215064512455,0.239687696804
103,2026091304,0.248605596809,0.243607455751,10,0.20901151995,0.206020168058,6,0.213026960135,0.372434696332,0.193110932878,0.210466971498
104,2026091304,0.221660628731,0.218100269484,10,0.193719662197,0.191332234189,5,0.202702178378,0.365464274057,0.206432760999,0.159284752076
105,2026091304,0.21034530731,0.207296992123,10,0.195935039985,0.193465603606,6,0.271677190922,0.293938025282,0.236601436306,0.160427931153
106,2026091304,0.153951084628,0.152746244056,8,0.12552503022,0.124869879304,5,0.115785491172,0.226911978093,0.216488958835,0.0951563007329
107,2026091304,0.203243368802,0.200490332022,10,0.145371162456,0.14435571328,6,0.297389006939,0.214377375315,0.26723340214,0.0710238369444
108,2026091304,0.202746997712,0.200013865872,10,0.110833719117,0.110382106729,6,0.217695709704,0.237689922021,0.152026851607,0.225826688394
109,2026091304,0.306239159517,0.297011865331,10,0.302660288715,0.29374525001,6,0.335401813805,0.313668334432,0.458904469155,0.290043013231
110,2026091304,0.239235049513,0.234773091825,10,0.203998253734,0.201214763539,6,0.263568511403,0.237752610003,0.36132921526,0.177144844884
111,2026091304,0.167003788706,0.165468322921,10,0.129257056543,0.128541985741,5,0.169161213195,0.143944406438,0.259925916093,0.147632001346
112,2026091304,0.240492462844,0.235960847279,7,0.216694028779,0.213364828834,6,0.260444901389,0.215730423877,0.153386084042,0.367693086514
113,2026091304,0.164424520226,0.162958608659,10,0.155439153662,0.154199262994,6,0.225198525768,0.0880286797666,0.195100750997,0.263168391538
114,2026091304,0.205668188202,0.20281654702,10,0.108128905493,0.107709457685,5,0.162359561257,0.238305365476,0.340617243578,0.274991238112
115,2026091304,0.276438667173,0.269605793125,10,0.201420367999,0.198739971432,6,0.243531966183,0.150545348868,0.509772345286,0.1687106215
116,2026091304,0.207676741377,0.20474169243,10,0.177664513188,0.175818509307,6,0.27721608014,0.215505404792,0.201384159812,0.189485082522
117,2026091304,0.148173022581,0.147098070279,8,0.128767953769,0.128060934227,6,0.164310248261,0.117035797575,0.139188369752,0.218507741565
118,2026091304,0.258456494073,0.252851273655,10,0.211488405312,0.208390709224,5,0.284431215477,0.366749421242,0.251799657404,0.17355957322
119,2026091304,0.286635184371,0.2790349054,10,0.22202288596,0.218445267688,6,0.327111305706,0.36052364657,0.230932377282,0.257983058196
120,2026091304,0.287352622621,0.279696351037,10,0.269140585387,0.262824967478,6,0.291422669261,0.363318752651,0.240280269816,0.266896503926
121,2026091304,0.216626765898,0.213300627144,10,0.166998274999,0.165462960173,5,0.251564802404,0.235663774804,0.169574425889,0.259719327112
122,2026091304,0.237212734766,0.232861338775,10,0.189976381566,0.187723419851,6,0.28763049092,0.220654574639,0.256379813696,0.25317520236
123,2026091304,0.180925757606,0.178977119349,10,0.145832015089,0.144806932352,5,0.145300674124,0.177089880341,0.173501440669,0.245556472881
124,2026091304,0.274292953669,0.267614897035,10,0.213839367817,0.210638471852,6,0.487716774692,0.222693536135,0.351906255927,0.30180257952
125,2026091304,0.158873233678,0.157549902028,10,0.139266113864,0.138372686682,5,0.262040546,0.122785376161,0.126754799622,0.150082060339
126,2026091304,0.216215116185,0.212907671841,10,0.139281177962,0.138387462317,6,0.174551170569,0.0665218395805,0.383498725098,0.23584892582
127,2026091304,0.191831163314,0.189512214053,10,0.113507832471,0.113022852352,6,0.246539804969,0.14309214582,0.241699969542,0.124293553513
128,2026091304,0.223673566945,0.220016612896,8,0.165328272204,0.16383823126,5,0.28637655684,0.234095790085,0.180133466312,0.327823641569
129,2026091304,0.186332426385,0.184205487059,10,0.121604334626,0.121008446423,5,0.197554880953,0.350140541044,0.123485412913,0.0750493664989
130,2026091304,0.151066738927,0.149927960377,8,0.105345596366,0.104957620774,5,0.155743578549,0.178497667756,0.129372032894,0.172770335182
131,2026091304,0.15910464401,0.157775560068,8,0.101488430281,0.101141419604,5,0.251402880452,0.154556586244,0.137774324009,0.182324578512
132,2026091304,0.23829675864,0.233886322966,8,0.179546329477,0.177641549293,5,0.262946706234,0.288421392687,0.268332705087,0.257840973073
133,2026091304,0.202827486472,0.20009113339,8,0.167533456601,0.165983443438,4,0.18652638868,0.367331801515,0.217884608347,0.0872403794763
134,2026091304,0.296472883741,0.288081511458,10,0.17139671814,0.169737844036,6,0.315948007686,0.221264274517,0.374148463601,0.235995304192
135,2026091304,0.33747073776,0.325217507312,10,0.309408429313,0.299898827476,6,0.430820682214,0.215137588959,0.408428728642,0.306006529393
136,2026091304,0.278987490713,0.271967721426,10,0.160995531956,0.15961882579,4,0.332593193362,0.317058744783,0.305521521928,0.217202759035
137,2026091304,0.236282983328,0.231981812386,10,0.209344965141,0.206339438454,6,0.244486749994,0.180293400455,0.36768567639,0.292872599406
138,2026091304,0.21539249515,0.21212220256,10,0.138738906809,0.137855536381,6,0.19846786968,0.299371615714,0.202508318561,0.17181006317
139,2026091304,0.147008083259,0.145958142908,10,0.139070936963,0.138181241665,6,0.0835554380295,0.174668654546,0.213821200967,0.209609059976
140,2026091304,0.296218084984,0.287847841547,10,0.252292057653,0.247072018037,6,0.334480884169,0.392352580882,0.230555724655,0.289363253246
141,2026091304,0.20615261786,0.203281004212,10,0.136016749343,0.135184115311,6,0.223794158079,0.141836931781,0.301678634795,0.16418743381
142,2026091304,0.233482888419,0.229330690994,10,0.218451133478,0.215041311885,6,0.287268681705,0.288111798075,0.254069090544,0.203554666528
143,2026091304,0.223498882157,0.219850377742,8,0.143419297438,0.142443986116,6,0.227034803448,0.267594105238,0.290134580832,0.20361009982
144,2026091304,0.246617343557,0.241736290739,10,0.158326850347,0.157017035191,6,0.315865328912,0.152002938194,0.281953013651,0.24008359455
145,2026091304,0.250918142154,0.245781535385,7,0.184316728209,0.182257464204,4,0.252914450983,0.214105763615,0.307100504142,0.30886329182
146,2026091304,0.225075009096,0.221349803053,10,0.198786424846,0.196208743482,6,0.180205341328,0.163915985147,0.367000674771,0.247974370353
147,2026091304,0.238553941387,0.234129422465,10,0.182203286317,0.180213441872,5,0.227169482805,0.243708264046,0.270035284625,0.305313813513
148,2026091304,0.266825002207,0.260668028911,8,0.209504326404,0.206492009739,5,0.288975181108,0.164517501796,0.363887410335,0.240273982614
149,2026091304,0.182488032363,0.180488926109,7,0.172265155444,0.17058113633,6,0.225668486164,0.156682624946,0.234669309862,0.186970643634
150,2026091304,0.165895012194,0.164389707002,10,0.117939509771,0.117395699771,5,0.219803853222,0.135022072647,0.184261229089,0.172082765853
151,2026091304,0.14843055365,0.147350019381,10,0.103944025374,0.103571286602,6,0.15363881815,0.206842266245,0.147305422915,0.182953647815
152,2026091304,0.261988271716,0.256154288078,10,0.151370624396,0.150225001446,5,0.355196825932,0.201806742359,0.36653021735,0.140558668336
153,2026091304,0.193085409703,0.190721126348,10,0.147733537354,0.146668066793,5,0.190223322567,0.203266602196,0.235606035463,0.224810571932
154,2026091304,0.140145846179,0.139235469512,10,0.134606645211,0.133799517453,5,0.114647385494,0.205106427279,0.261096465022,0.0724995151483
155,2026091304,0.248241131798,0.243264589341,10,0.161706514225,0.160311614794,5,0.211832188991,0.298940354643,0.152320572077,0.354962239672
156,2026091304,0.215676885049,0.212393779709,10,0.149439829198,0.148337234359,5,0.226332244078,0.128295088508,0.286418341219,0.232852761903
157,2026091304,0.215748803969,0.212462453237,8,0.208035756157,0.205085632316,6,0.163969937359,0.310083526326,0.28367346506,0.158031595101
158,2026091304,0.165766180989,0.164264354673,10,0.15513811625,0.153905369839,6,0.169502530767,0.185557042966,0.251824141568,0.278666555027
159,2026091304,0.134196423667,0.133396617731,5,0.134196423667,0.133396617731,5,0.165351134921,0.155097514479,0.217827207188,0.151822624628
160,2026091304,0.168006953847,0.166443859377,7,0.115011157429,0.114506720347,5,0.128302522929,0.228319575927,0.18146665904,0.202565589151
161,2026091304,0.204832871279,0.202015454953,10,0.163687760721,0.16224132819,6,0.189384405,0.253221808383,0.296717928185,0.164477511874
162,2026091304,0.130907395284,0.130164710151,10,0.105420350669,0.105031550997,5,0.107736961931,0.166411930078,0.149442756152,0.110459108009
163,2026091304,0.272781202164,0.266210846783,10,0.184932273592,0.182852495703,5,0.319926702371,0.374643298457,0.122998295488,0.345115494084
164,2026091304,0.148551608535,0.147468443807,8,0.129580308812,0.128859883679,5,0.133672264884,0.127616251659,0.189515618404,0.16604960928
165,2026091304,0.158460689856,0.15714757223,10,0.131653562841,0.130898164129,5,0.136387441216,0.0876451150578,0.21588243267,0.264829749646
166,2026091304,0.207407556346,0.204483777202,10,0.178975169607,0.177088357172,6,0.0805801594959,0.316990341656,0.376452296776,0.0790132750791
167,2026091304,0.285896095362,0.278353221755,5,0.285896095362,0.278353221755,5,0.219495676807,0.375204319536,0.257390622806,0.283631463487
168,2026091304,0.233536473408,0.229381457187,10,0.186027214867,0.183910615306,6,0.229560415095,0.265503751632,0.200811568108,0.250857940482
169,2026091304,0.155225030786,0.153990224507,10,0.085245753525,0.0850398629327,6,0.196517927076,0.149116245575,0.176123730436,0.157903610904
170,2026091304,0.189090970073,0.186869068551,8,0.0971989202906,0.0968939728358,6,0.267644790221,0.322633010407,0.171480742376,0.151090328114
171,2026091304,0.255491184133,0.250073472545,8,0.158752878269,0.157432531853,6,0.361198403018,0.207280355365,0.312952243745,0.20245471341
172,2026091304,0.209363392295,0.206357080987,10,0.140897381428,0.139972357863,5,0.244231306333,0.195020136683,0.191234304428,0.309894210964
173,2026091304,0.24601693586,0.241170886732,10,0.183971127103,0.181923322167,6,0.262346267634,0.213801610037,0.301534618199,0.220965274669
174,2026091304,0.191961483125,0.18963785034,8,0.105744020948,0.105351639772,6,0.220741094501,0.252973952458,0.200450158986,0.213345940253
175,2026091304,0.321968132308,0.311285431526,8,0.20592979726,0.203067381593,4,0.341051654066,0.265800356484,0.441796826854,0.382415607162
176,2026091304,0.18028230765,0.178354209254,8,0.136419978439,0.135579953899,5,0.289791414152,0.120994441703,0.154735000776,0.231264362498
177,2026091304,0.168985012271,0.167394667015,8,0.080684607211,0.0805099761818,6,0.144419056798,0.196653513473,0.227218957278,0.195715130956
178,2026091304,0.25548020494,0.250063179926,10,0.183687205709,0.181648783289,5,0.193076085735,0.245340776601,0.38500965205,0.207736686835
179,2026091304,0.213436503512,0.210253449407,10,0.201583477087,0.198896633026,6,0.219386339477,0.254188032747,0.264387601973,0.238888443799
180,2026091304,0.261450755821,0.255651972185,10,0.237951046367,0.233559495713,6,0.312643364094,0.288140356654,0.318521399832,0.163049429247
181,2026091304,0.237397874259,0.233036431639,10,0.148924411646,0.147833119525,5,0.205242557087,0.263128917841,0.255805929872,0.233396265972
182,2026091304,0.213955193148,0.210749155479,10,0.164769965404,0.163294861423,6,0.134013686837,0.200647253113,0.338335377273,0.271644783305
183,2026091304,0.147202061646,0.146147983445,10,0.131903270765,0.131143585449,6,0.154765063032,0.179662896291,0.189718759725,0.116683239008
184,2026091304,0.301987790193,0.293130657562,8,0.237736244096,0.233356400728,6,0.404649383778,0.39354878241,0.138829466092,0.292660975526
185,2026091304,0.17843361193,0.176563732637,8,0.138819348717,0.137934448684,4,0.149100522042,0.225219720735,0.124595435158,0.250561600803
186,2026091304,0.271728905974,0.265232851338,8,0.189408138637,0.187175143423,5,0.33945029493,0.236008287808,0.3251634553,0.248776915451
187,2026091304,0.259873342149,0.254177061444,10,0.20383509921,0.201058209576,6,0.265202896403,0.326424519315,0.25142607974,0.240422389403
188,2026091304,0.144761091575,0.143758302867,10,0.0972592369838,0.0969537229001,5,0.161608098569,0.0491660314387,0.160304139355,0.224421906873
189,2026091304,0.253095692468,0.247826445342,6,0.253095692468,0.247826445342,6,0.319364437874,0.0733755996192,0.382520653315,0.326001733385
190,2026091304,0.186446975103,0.184316146614,10,0.121912425832,0.121312014908,6,0.125708095667,0.226230925371,0.25065824863,0.171386515982
191,2026091304,0.275257333331,0.26850997873,8,0.164039517531,0.16258380641,6,0.249814630144,0.35360762114,0.274433845634,0.207648559029
192,2026091304,0.238359764119,0.23394588099,10,0.144008612968,0.143021295735,6,0.26509571427,0.269014171928,0.251006554251,0.22487064598
193,2026091304,0.187266513894,0.185107723922,8,0.144846687452,0.14384212875,6,0.20084908045,0.16997107776,0.303866763027,0.197066527206
194,2026091304,0.135349551538,0.134529051389,10,0.0898446284325,0.0896036627763,6,0.180977471889,0.207558700232,0.0650319709708,0.0928538938707
195,2026091304,0.173579975754,0.171857411116,10,0.103081650878,0.102718086813,5,0.250648467567,0.124465777951,0.174857199383,0.183517606485
196,2026091304,0.205456138747,0.202613211383,8,0.179467971613,0.177565663073,5,0.208672894172,0.250328773601,0.160507967917,0.296601622308
197,2026091304,0.180713206703,0.178771369225,8,0.0984693856103,0.0981523548813,5,0.157389589567,0.25207784296,0.161293692282,0.173675088319
198,2026091304,0.240288349019,0.235768088726,6,0.240288349019,0.235768088726,6,0.117406146538,0.3911505687,0.300120755648,0.144519697628
199,2026091304,0.247022176895,0.24211742974,10,0.193668729326,0.191283165392,6,0.294930097377,0.33896174735,0.299832682465,0.148877554182
200,2026091304,0.197460540766,0.194933572127,10,0.164979219707,0.163498528954,6,0.150598629312,0.347032391741,0.173641760225,0.341440698413
201,2026091304,0.140244170813,0.139331886653,8,0.0828341524612,0.0826452155758,6,0.175391122003,0.0704244138352,0.178883540341,0.164245743636
202,2026091304,0.228887344654,0.224972276019,10,0.145124651473,0.144114330649,6,0.307233903631,0.240903909126,0.387761688315,0.189106584811
203,2026091304,0.180490775133,0.178556037832,10,0.141088726193,0.140159948725,6,0.20521810517,0.11874552831,0.266612596814,0.177329398168
204,2026091304,0.25264609968,0.247404418626,8,0.211486775489,0.208389150178,5,0.326765217888,0.245752038104,0.282027345534,0.237917454628
