model,model_key,trait_1,trait_2,pearson,spearman
Qwen/Qwen3-32B,qwen,pessimistic,introspective,0.481712771804,0.448014194628
Qwen/Qwen3-32B,qwen,pessimistic,judgmental,0.735926835289,0.640583364588
Qwen/Qwen3-32B,qwen,traditional,traditional,1,1
Qwen/Qwen3-32B,qwen,traditional,innovative,-0.958474075707,-0.962043218603
Qwen/Qwen3-32B,qwen,traditional,introspective,-0.744072806774,-0.771280690113
Qwen/Qwen3-32B,qwen,traditional,judgmental,-0.847863139373,-0.843578084879
Qwen/Qwen3-32B,qwen,innovative,innovative,1,1
Qwen/Qwen3-32B,qwen,innovative,introspective,0.788069287457,0.796385563025
Qwen/Qwen3-32B,qwen,innovative,judgmental,0.852361221019,0.87586336228
Qwen/Qwen3-32B,qwen,introspective,introspective,1,1
Qwen/Qwen3-32B,qwen,introspective,judgmental,0.608799618441,0.685153919391
Qwen/Qwen3-32B,qwen,judgmental,judgmental,1,1
Llama-3.3-70B,llama,adventurous,adventurous,1,1
Llama-3.3-70B,llama,adventurous,altruistic,-0.150113495549,-0.151542656011
Llama-3.3-70B,llama,adventurous,forgiving,-0.0134052051719,0.0440974005366
Llama-3.3-70B,llama,adventurous,grandiose,0.711963466335,0.756537895618
Llama-3.3-70B,llama,adventurous,impulsive,0.223948823435,0.41732437033
Llama-3.3-70B,llama,adventurous,manipulative,0.339667608282,0.433278901359
Llama-3.3-70B,llama,adventurous,optimistic,-0.201625052677,-0.20162488099
Llama-3.3-70B,llama,adventurous,pessimistic,0.238851024012,0.256262658319
Llama-3.3-70B,llama,adventurous,traditional,-0.805897332268,-0.81539136205
Llama-3.3-70B,llama,adventurous,innovative,0.937221454874,0.937956781397
Llama-3.3-70B,llama,adventurous,introspective,0.458104679321,0.560677995442
Llama-3.3-70B,llama,adventurous,judgmental,0.322590800666,0.419939413173
Llama-3.3-70B,llama,altruistic,altruistic,1,1
Llama-3.3-70B,llama,altruistic,forgiving,0.810053482837,0.697548830097
Llama-3.3-70B,llama,altruistic,grandiose,-0.128172465643,-0.159293730706
Llama-3.3-70B,llama,altruistic,impulsive,-0.792669849567,-0.755581200773
Llama-3.3-70B,llama,altruistic,manipulative,-0.841481352113,-0.762804881567
Llama-3.3-70B,llama,altruistic,optimistic,0.845474794452,0.819654366579
Llama-3.3-70B,llama,altruistic,pessimistic,-0.87486934704,-0.851742881048
Llama-3.3-70B,llama,altruistic,traditional,0.0921524540913,-0.0102282103805
Llama-3.3-70B,llama,altruistic,innovative,-0.064567896281,-0.0503563082427
Llama-3.3-70B,llama,altruistic,introspective,0.408162629436,0.231129511555
Llama-3.3-70B,llama,altruistic,judgmental,-0.90366804648,-0.835564467269
Llama-3.3-70B,llama,forgiving,forgiving,1,1
Llama-3.3-70B,llama,forgiving,grandiose,-0.274268569522,-0.285879807276
Llama-3.3-70B,llama,forgiving,impulsive,-0.467262680634,-0.298626698595
Llama-3.3-70B,llama,forgiving,manipulative,-0.530389068613,-0.357752517238
Llama-3.3-70B,llama,forgiving,optimistic,0.829467546168,0.790266870546
Llama-3.3-70B,llama,forgiving,pessimistic,-0.797698461052,-0.736469807565
Llama-3.3-70B,llama,forgiving,traditional,-0.0105969916979,-0.117170883702
Llama-3.3-70B,llama,forgiving,innovative,-0.0683076198681,-0.030699633594
Llama-3.3-70B,llama,forgiving,introspective,0.303726715571,0.13966532991
Llama-3.3-70B,llama,forgiving,judgmental,-0.699970876756,-0.5278474366
Llama-3.3-70B,llama,grandiose,grandiose,1,1
Llama-3.3-70B,llama,grandiose,impulsive,0.0282172181725,0.227056345749
Llama-3.3-70B,llama,grandiose,manipulative,0.264443559197,0.337341103834
Llama-3.3-70B,llama,grandiose,optimistic,-0.384006630461,-0.403836011656
Llama-3.3-70B,llama,grandiose,pessimistic,0.356697508857,0.396852370099
Llama-3.3-70B,llama,grandiose,traditional,-0.411087998829,-0.515536193416
Llama-3.3-70B,llama,grandiose,innovative,0.775150957954,0.828599290269
Llama-3.3-70B,llama,grandiose,introspective,0.568013126171,0.689602723522
Llama-3.3-70B,llama,grandiose,judgmental,0.284472896673,0.390154352154
Llama-3.3-70B,llama,impulsive,impulsive,1,1
Llama-3.3-70B,llama,impulsive,manipulative,0.911509039993,0.964018349153
Llama-3.3-70B,llama,impulsive,optimistic,-0.636787718184,-0.627921871844
Llama-3.3-70B,llama,impulsive,pessimistic,0.716597791053,0.715146129656
Llama-3.3-70B,llama,impulsive,traditional,-0.105660703454,-0.177160497389
Llama-3.3-70B,llama,impulsive,innovative,0.0475143035947,0.212038890973
Llama-3.3-70B,llama,impulsive,introspective,-0.549400165863,-0.165553215429
Llama-3.3-70B,llama,impulsive,judgmental,0.872671704142,0.924011424944
Llama-3.3-70B,llama,manipulative,manipulative,1,1
Llama-3.3-70B,llama,manipulative,optimistic,-0.788355470308,-0.721996480194
Llama-3.3-70B,llama,manipulative,pessimistic,0.851467248334,0.79679005222
Llama-3.3-70B,llama,manipulative,traditional,-0.146759380969,-0.174350422665
Llama-3.3-70B,llama,manipulative,innovative,0.179275149369,0.245591298578
Llama-3.3-70B,llama,manipulative,introspective,-0.280144550335,-0.0412636680996
Llama-3.3-70B,llama,manipulative,judgmental,0.955123993985,0.95720896685
Llama-3.3-70B,llama,optimistic,optimistic,1,1
Llama-3.3-70B,llama,optimistic,pessimistic,-0.99138788234,-0.989244972736
Llama-3.3-70B,llama,optimistic,traditional,0.145196111937,0.0498993104642
Llama-3.3-70B,llama,optimistic,innovative,-0.209363178611,-0.18515622746
Llama-3.3-70B,llama,optimistic,introspective,0.0901561856968,-0.078466864776
Llama-3.3-70B,llama,optimistic,judgmental,-0.875704949983,-0.830027408326
Llama-3.3-70B,llama,pessimistic,pessimistic,1,1
Llama-3.3-70B,llama,pessimistic,traditional,-0.171947550141,-0.0851216064164
Llama-3.3-70B,llama,pessimistic,innovative,0.21758721268,0.208188453882
Llama-3.3-70B,llama,pessimistic,introspective,-0.135858511023,0.0647159631863
Llama-3.3-70B,llama,pessimistic,judgmental,0.920995306504,0.887253108681
Llama-3.3-70B,llama,traditional,traditional,1,1
Llama-3.3-70B,llama,traditional,innovative,-0.855468401796,-0.863984882144
Llama-3.3-70B,llama,traditional,introspective,-0.401874942728,-0.550432474539
Llama-3.3-70B,llama,traditional,judgmental,-0.185892303571,-0.171458411471
Llama-3.3-70B,llama,innovative,innovative,1,1
Llama-3.3-70B,llama,innovative,introspective,0.595221084776,0.699518190473
Llama-3.3-70B,llama,innovative,judgmental,0.207504253738,0.273978246444
Llama-3.3-70B,llama,introspective,introspective,1,1
Llama-3.3-70B,llama,introspective,judgmental,-0.318222126513,-0.049191310118
Llama-3.3-70B,llama,judgmental,judgmental,1,1
Gemma-2-27B,gemma,adventurous,adventurous,1,1
Gemma-2-27B,gemma,adventurous,altruistic,-0.309652316232,-0.215782579845
Gemma-2-27B,gemma,adventurous,forgiving,0.433280044643,0.449061481204
Gemma-2-27B,gemma,adventurous,grandiose,0.740912723563,0.784599982689
Gemma-2-27B,gemma,adventurous,impulsive,0.688838379458,0.791694988604
Gemma-2-27B,gemma,adventurous,manipulative,0.798712863199,0.839816508468
Gemma-2-27B,gemma,adventurous,optimistic,-0.427312219543,-0.437989094371
Gemma-2-27B,gemma,adventurous,pessimistic,0.60373742574,0.652208534087
Gemma-2-27B,gemma,adventurous,traditional,-0.668901169432,-0.660691843859
Gemma-2-27B,gemma,adventurous,innovative,0.934005332113,0.934163469029
Gemma-2-27B,gemma,adventurous,introspective,-0.108298140303,-0.118223363434
Gemma-2-27B,gemma,adventurous,judgmental,0.747607179437,0.813295057846
Gemma-2-27B,gemma,altruistic,altruistic,1,1
Gemma-2-27B,gemma,altruistic,forgiving,0.427489994521,0.434916476732
Gemma-2-27B,gemma,altruistic,grandiose,-0.036032856787,0.00487060384871
Gemma-2-27B,gemma,altruistic,impulsive,-0.58003294252,-0.519981535443
Gemma-2-27B,gemma,altruistic,manipulative,-0.609706098546,-0.461635267303
Gemma-2-27B,gemma,altruistic,optimistic,0.620580904019,0.503185713049
Gemma-2-27B,gemma,altruistic,pessimistic,-0.712487446715,-0.582341536597
Gemma-2-27B,gemma,altruistic,traditional,0.545056228494,0.46541126915
Gemma-2-27B,gemma,altruistic,innovative,-0.384171986008,-0.277961397536
Gemma-2-27B,gemma,altruistic,introspective,0.103637809164,0.00062721791062
Gemma-2-27B,gemma,altruistic,judgmental,-0.742542480965,-0.576169181501
Gemma-2-27B,gemma,forgiving,forgiving,1,1
Gemma-2-27B,gemma,forgiving,grandiose,0.22172769986,0.239530884856
Gemma-2-27B,gemma,forgiving,impulsive,0.30504202941,0.376918150082
Gemma-2-27B,gemma,forgiving,manipulative,0.247351136533,0.321915697758
Gemma-2-27B,gemma,forgiving,optimistic,0.412720154875,0.381094024985
Gemma-2-27B,gemma,forgiving,pessimistic,-0.228276039724,-0.139822278642
Gemma-2-27B,gemma,forgiving,traditional,-0.00753541178405,-0.0714907244453
Gemma-2-27B,gemma,forgiving,innovative,0.196209720292,0.233980554514
Gemma-2-27B,gemma,forgiving,introspective,-0.0325335384311,-0.0426467788004
Gemma-2-27B,gemma,forgiving,judgmental,-0.0601480566303,0.0694013444505
Gemma-2-27B,gemma,grandiose,grandiose,1,1
Gemma-2-27B,gemma,grandiose,impulsive,0.351936330415,0.489231701336
Gemma-2-27B,gemma,grandiose,manipulative,0.62835033101,0.673729551946
Gemma-2-27B,gemma,grandiose,optimistic,-0.597139581865,-0.605000432763
Gemma-2-27B,gemma,grandiose,pessimistic,0.61152039563,0.671858861545
Gemma-2-27B,gemma,grandiose,traditional,-0.24040312032,-0.330362655434
Gemma-2-27B,gemma,grandiose,innovative,0.703578096865,0.776012809786
Gemma-2-27B,gemma,grandiose,introspective,-0.0944723746228,-0.106431435908
Gemma-2-27B,gemma,grandiose,judgmental,0.611966160764,0.71251608436
Gemma-2-27B,gemma,impulsive,impulsive,1,1
Gemma-2-27B,gemma,impulsive,manipulative,0.840435545908,0.922701595453
Gemma-2-27B,gemma,impulsive,optimistic,-0.355625888596,-0.397128184415
Gemma-2-27B,gemma,impulsive,pessimistic,0.597109388333,0.663962378466
Gemma-2-27B,gemma,impulsive,traditional,-0.506235538745,-0.586985372609
Gemma-2-27B,gemma,impulsive,innovative,0.569001730317,0.689028014195
Gemma-2-27B,gemma,impulsive,introspective,-0.288058046729,-0.0928836444419
Gemma-2-27B,gemma,impulsive,judgmental,0.719523000887,0.816335362511
Gemma-2-27B,gemma,manipulative,manipulative,1,1
Gemma-2-27B,gemma,manipulative,optimistic,-0.659307932402,-0.57831972534
Gemma-2-27B,gemma,manipulative,pessimistic,0.837166078965,0.801796255157
Gemma-2-27B,gemma,manipulative,traditional,-0.519365038307,-0.552297971784
Gemma-2-27B,gemma,manipulative,innovative,0.705289471099,0.750092611292
Gemma-2-27B,gemma,manipulative,introspective,-0.159174645999,-0.0824690574421
Gemma-2-27B,gemma,manipulative,judgmental,0.92633311511,0.924493234471
Gemma-2-27B,gemma,optimistic,optimistic,1,1
Gemma-2-27B,gemma,optimistic,pessimistic,-0.952264156481,-0.929794870315
Gemma-2-27B,gemma,optimistic,traditional,0.377960903931,0.341604108364
Gemma-2-27B,gemma,optimistic,innovative,-0.511332576962,-0.520422376735
Gemma-2-27B,gemma,optimistic,introspective,0.0318157631024,0.0193647038458
Gemma-2-27B,gemma,optimistic,judgmental,-0.827215597555,-0.765230662704
Gemma-2-27B,gemma,pessimistic,pessimistic,1,1
Gemma-2-27B,gemma,pessimistic,traditional,-0.503546964854,-0.491164709616
Gemma-2-27B,gemma,pessimistic,innovative,0.635663907436,0.675249992787
Gemma-2-27B,gemma,pessimistic,introspective,-0.0900810660961,-0.0387363319004
Gemma-2-27B,gemma,pessimistic,judgmental,0.943679370471,0.925820374484
Gemma-2-27B,gemma,traditional,traditional,1,1
Gemma-2-27B,gemma,traditional,innovative,-0.819232362437,-0.796777357837
Gemma-2-27B,gemma,traditional,introspective,-0.0781699504607,-0.0851920025389
Gemma-2-27B,gemma,traditional,judgmental,-0.606061825049,-0.607488531779
Gemma-2-27B,gemma,innovative,innovative,1,1
Gemma-2-27B,gemma,innovative,introspective,-0.00542026915204,-0.0179302385967
Gemma-2-27B,gemma,innovative,judgmental,0.747040758492,0.799285652462
Gemma-2-27B,gemma,introspective,introspective,1,1
Gemma-2-27B,gemma,introspective,judgmental,-0.188592635446,-0.109714664897
Gemma-2-27B,gemma,judgmental,judgmental,1,1
