model,model_key,scope,outer_fold,entry_rank,trait_index,trait,selected_alpha,inner_normalized_3d_rmse,inner_rmse_improvement
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,1,138,materialist,1,2.27107267548,0.178417067306
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,2,86,esoteric,1,2.0413184235,0.229754251982
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,3,194,reverent,1,1.79698944986,0.244328973637
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,4,151,naive,1,1.51146878911,0.285520660747
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,5,25,calm,0.001,1.15666776264,0.354801026475
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,6,94,factual,0.01,0.782663347183,0.374004415454
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,7,129,introverted,0.001,0.664368041685,0.118295305498
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,8,81,enigmatic,0.01,0.581734059104,0.082633982581
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,9,22,bombastic,0.01,0.502582030415,0.0791520286897
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,10,49,creative,0.01,0.45910485294,0.043477177475
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,11,78,eloquent,0.01,0.425980246275,0.0331246066649
Qwen/Qwen3-32B,qwen,extended,kfold_42_1,12,234,vindictive,0.01,0.39406239297,0.0319178533049
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,1,183,qualitative,1,2.2603449288,0.189144813979
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,2,70,earnest,1,2.02518454146,0.235160387344
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,3,234,vindictive,1,1.77335615038,0.251828391083
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,4,88,ethereal,0.0001,1.48764410039,0.285712049984
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,5,209,specialized,0.1,1.15860450259,0.329039597808
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,6,228,transparent,0.0001,0.778857552833,0.379746949753
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,7,109,grounded,0.01,0.691226959975,0.0876305928583
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,8,133,judgmental,0.01,0.617286969444,0.0739399905305
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,9,49,creative,0.01,0.53166456315,0.0856224062942
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,10,52,cryptic,0.0001,0.477686463604,0.0539780995457
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,11,143,metaphorical,0.0001,0.450443654083,0.0272428095214
Qwen/Qwen3-32B,qwen,extended,kfold_42_2,12,226,theoretical,0.001,0.423428390406,0.0270152636771
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,1,95,fatalistic,1,2.26437016717,0.185119575611
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,2,234,vindictive,1,2.03161094704,0.232759220136
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,3,109,grounded,1,1.78858608789,0.243024859144
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,4,123,individualistic,0.1,1.50812090296,0.280465184932
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,5,238,wry,0.01,1.19937455502,0.308746347941
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,6,133,judgmental,0.0001,0.899139335646,0.300235219373
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,7,36,competitive,0.01,0.758543251091,0.140596084555
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,8,189,reductionist,0.01,0.635619386377,0.122923864714
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,9,62,deterministic,0.01,0.586218240818,0.0494011455593
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,10,48,cosmopolitan,0.01,0.533143910848,0.0530743299701
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,11,112,holistic,0.01,0.478152288861,0.0549916219871
Qwen/Qwen3-32B,qwen,extended,kfold_42_3,12,151,naive,0.1,0.429425809969,0.0487264788917
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,1,80,empathetic,1,2.27284718649,0.17664255629
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,2,49,creative,1,2.04705595896,0.225791227529
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,3,52,cryptic,1,1.79792993526,0.2491260237
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,4,42,confrontational,0.1,1.51050232004,0.28742761522
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,5,172,philosophical,0.1,1.16658797865,0.343914341397
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,6,135,literal,0.0001,0.746311347434,0.420276631213
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,7,146,militant,0.0001,0.640601452274,0.10570989516
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,8,99,forgiving,0.0001,0.567849113543,0.0727523387308
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,9,89,evil,0.01,0.50657612598,0.0612729875635
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,10,127,interdisciplinary,0.01,0.459745052598,0.0468310733819
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,11,143,metaphorical,0.01,0.435229465455,0.024515587143
Qwen/Qwen3-32B,qwen,extended,kfold_42_4,12,62,deterministic,0.01,0.405403530809,0.0298259346455
Llama-3.3-70B,llama,core,kfold_42_0,1,105,generous,1,1.44795717709,0.284093630477
Llama-3.3-70B,llama,core,kfold_42_0,2,88,ethereal,1,1.05706829327,0.390888883818
Llama-3.3-70B,llama,core,kfold_42_0,3,65,dispassionate,0.0001,0.461701992589,0.595366300685
Llama-3.3-70B,llama,core,kfold_42_0,4,15,ascetic,0.1,0.381775366536,0.0799266260533
Llama-3.3-70B,llama,core,kfold_42_0,5,48,cosmopolitan,0.0001,0.325980026431,0.0557953401043
Llama-3.3-70B,llama,core,kfold_42_0,6,9,analytical,0.0001,0.293319185777,0.032660840654
Llama-3.3-70B,llama,core,kfold_42_0,7,212,spontaneous,0.0001,0.271134995653,0.0221841901246
Llama-3.3-70B,llama,core,kfold_42_0,8,185,radical,0.01,0.258834992999,0.012300002654
Llama-3.3-70B,llama,core,kfold_42_0,9,216,structuralist,0.01,0.247203345617,0.0116316473821
Llama-3.3-70B,llama,core,kfold_42_0,10,201,sassy,0.01,0.230166627162,0.0170367184542
Llama-3.3-70B,llama,core,kfold_42_0,11,152,narrative,0.01,0.222462773121,0.0077038540415
Llama-3.3-70B,llama,core,kfold_42_0,12,225,theatrical,0.01,0.217506295575,0.00495647754576
Llama-3.3-70B,llama,core,kfold_42_1,1,228,transparent,1,1.45093138247,0.281119425102
Llama-3.3-70B,llama,core,kfold_42_1,2,183,qualitative,0.0001,1.08806228773,0.362869094734
Llama-3.3-70B,llama,core,kfold_42_1,3,235,visceral,0.0001,0.523894299365,0.564167988367
Llama-3.3-70B,llama,core,kfold_42_1,4,88,ethereal,1,0.451219490732,0.0726748086334
Llama-3.3-70B,llama,core,kfold_42_1,5,64,disorganized,0.01,0.38550522803,0.0657142627023
Llama-3.3-70B,llama,core,kfold_42_1,6,152,narrative,0.01,0.349653787339,0.0358514406909
Llama-3.3-70B,llama,core,kfold_42_1,7,15,ascetic,0.0001,0.316776595307,0.0328771920317
Llama-3.3-70B,llama,core,kfold_42_1,8,39,concise,0.01,0.290984242545,0.0257923527626
Llama-3.3-70B,llama,core,kfold_42_1,9,55,data_driven,0.0001,0.26678054964,0.0242036929042
Llama-3.3-70B,llama,core,kfold_42_1,10,84,epicurean,0.0001,0.255240476746,0.0115400728939
Llama-3.3-70B,llama,core,kfold_42_1,11,224,temperamental,0.01,0.246477282484,0.00876319426199
Llama-3.3-70B,llama,core,kfold_42_1,12,178,principled,0.01,0.238888515963,0.00758876652176
Llama-3.3-70B,llama,core,kfold_42_2,1,101,formalist,1,1.41472501021,0.317325797359
Llama-3.3-70B,llama,core,kfold_42_2,2,88,ethereal,1,1.00656709556,0.408157914648
Llama-3.3-70B,llama,core,kfold_42_2,3,183,qualitative,0.1,0.526273143474,0.480293952088
Llama-3.3-70B,llama,core,kfold_42_2,4,102,fundamentalist,0.1,0.456397895365,0.0698752481084
Llama-3.3-70B,llama,core,kfold_42_2,5,64,disorganized,0.1,0.40162924458,0.0547686507858
Llama-3.3-70B,llama,core,kfold_42_2,6,211,spiritual,1,0.374992625519,0.0266366190608
Llama-3.3-70B,llama,core,kfold_42_2,7,207,socratic,1,0.35733320308,0.0176594224385
Llama-3.3-70B,llama,core,kfold_42_2,8,173,playful,1,0.343742633876,0.0135905692048
Llama-3.3-70B,llama,core,kfold_42_2,9,60,descriptive,1,0.323933860401,0.0198087734747
Llama-3.3-70B,llama,core,kfold_42_2,10,26,casual,1,0.307935048671,0.0159988117296
Llama-3.3-70B,llama,core,kfold_42_2,11,14,artistic,0.1,0.284755938963,0.0231791097086
Llama-3.3-70B,llama,core,kfold_42_2,12,187,reactive,0.0001,0.26457482513,0.0201811138325
Llama-3.3-70B,llama,core,kfold_42_3,1,88,ethereal,1,1.44079158321,0.291259224361
Llama-3.3-70B,llama,core,kfold_42_3,2,105,generous,1,1.05032033983,0.39047124338
Llama-3.3-70B,llama,core,kfold_42_3,3,9,analytical,0.1,0.505096185086,0.545224154742
Llama-3.3-70B,llama,core,kfold_42_3,4,15,ascetic,0.1,0.423383263617,0.0817129214693
Llama-3.3-70B,llama,core,kfold_42_3,5,48,cosmopolitan,0.1,0.319906226278,0.103477037338
Llama-3.3-70B,llama,core,kfold_42_3,6,148,mischievous,0.1,0.285395938666,0.034510287612
Llama-3.3-70B,llama,core,kfold_42_3,7,201,sassy,0.1,0.266640949313,0.0187549893529
Llama-3.3-70B,llama,core,kfold_42_3,8,216,structuralist,0.1,0.243648465007,0.0229924843063
Llama-3.3-70B,llama,core,kfold_42_3,9,217,submissive,0.1,0.235982118011,0.00766634699646
Llama-3.3-70B,llama,core,kfold_42_3,10,234,vindictive,0.1,0.228815406253,0.00716671175809
Llama-3.3-70B,llama,core,kfold_42_3,11,209,specialized,0.1,0.224775435975,0.00403997027725
Llama-3.3-70B,llama,core,kfold_42_3,12,44,constructivist,0.1,0.220442189242,0.00433324673365
Llama-3.3-70B,llama,core,kfold_42_4,1,23,calculating,1,1.45933963087,0.272711176704
Llama-3.3-70B,llama,core,kfold_42_4,2,52,cryptic,1,1.07881948553,0.380520145335
Llama-3.3-70B,llama,core,kfold_42_4,3,183,qualitative,0.0001,0.518210649387,0.560608836143
Llama-3.3-70B,llama,core,kfold_42_4,4,17,avoidant,0.0001,0.449485857839,0.0687247915487
Llama-3.3-70B,llama,core,kfold_42_4,5,203,secular,0.1,0.405269607514,0.0442162503248
Llama-3.3-70B,llama,core,kfold_42_4,6,48,cosmopolitan,1,0.35856847728,0.0467011302336
Llama-3.3-70B,llama,core,kfold_42_4,7,212,spontaneous,0.01,0.324818126434,0.0337503508462
Llama-3.3-70B,llama,core,kfold_42_4,8,105,generous,0.1,0.3046560465,0.0201620799342
Llama-3.3-70B,llama,core,kfold_42_4,9,118,impatient,0.01,0.28533348805,0.0193225584496
Llama-3.3-70B,llama,core,kfold_42_4,10,224,temperamental,0.0001,0.268755916258,0.0165775717926
Llama-3.3-70B,llama,core,kfold_42_4,11,221,systems_thinker,0.0001,0.254941860629,0.0138140556287
Llama-3.3-70B,llama,core,kfold_42_4,12,121,inclusive,0.0001,0.245867627983,0.00907423264591
Llama-3.3-70B,llama,extended,kfold_42_0,1,88,ethereal,1,2.31663144029,0.132858302493
Llama-3.3-70B,llama,extended,kfold_42_0,2,65,dispassionate,1,2.11844136651,0.198190073777
Llama-3.3-70B,llama,extended,kfold_42_0,3,233,verbose,10,1.90012339805,0.218317968463
Llama-3.3-70B,llama,extended,kfold_42_0,4,89,evil,1,1.63717403877,0.262949359282
Llama-3.3-70B,llama,extended,kfold_42_0,5,234,vindictive,0.0001,1.39325553138,0.243918507385
Llama-3.3-70B,llama,extended,kfold_42_0,6,15,ascetic,0.0001,1.13015339899,0.263102132391
Llama-3.3-70B,llama,extended,kfold_42_0,7,141,melodramatic,0.0001,0.972283226999,0.157870171993
Llama-3.3-70B,llama,extended,kfold_42_0,8,224,temperamental,0.01,0.88755723741,0.0847259895884
Llama-3.3-70B,llama,extended,kfold_42_0,9,105,generous,0.0001,0.823580757293,0.0639764801178
Llama-3.3-70B,llama,extended,kfold_42_0,10,143,metaphorical,0.0001,0.774531575167,0.0490491821256
Llama-3.3-70B,llama,extended,kfold_42_0,11,109,grounded,0.0001,0.711196627026,0.0633349481411
Llama-3.3-70B,llama,extended,kfold_42_0,12,213,stoic,0.0001,0.662079045187,0.0491175818386
Llama-3.3-70B,llama,extended,kfold_42_1,1,81,enigmatic,1,2.29569028193,0.153799460856
Llama-3.3-70B,llama,extended,kfold_42_1,2,186,rationalist,1,2.08602587754,0.209664404388
Llama-3.3-70B,llama,extended,kfold_42_1,3,163,paranoid,1,1.88071887305,0.205307004486
Llama-3.3-70B,llama,extended,kfold_42_1,4,135,literal,1,1.64074729727,0.239971575782
Llama-3.3-70B,llama,extended,kfold_42_1,5,15,ascetic,1,1.44908312613,0.191664171142
Llama-3.3-70B,llama,extended,kfold_42_1,6,109,grounded,0.1,1.26269920129,0.186383924843
Llama-3.3-70B,llama,extended,kfold_42_1,7,116,iconoclastic,1,1.15668218776,0.106017013525
Llama-3.3-70B,llama,extended,kfold_42_1,8,138,materialist,0.1,1.07278437651,0.0838978112557
Llama-3.3-70B,llama,extended,kfold_42_1,9,102,fundamentalist,0.001,0.983337929175,0.0894464473303
Llama-3.3-70B,llama,extended,kfold_42_1,10,165,passive_aggressive,0.0001,0.912027479195,0.0713104499796
Llama-3.3-70B,llama,extended,kfold_42_1,11,198,romantic,0.0001,0.851758032226,0.0602694469698
Llama-3.3-70B,llama,extended,kfold_42_1,12,143,metaphorical,0.01,0.780471505209,0.0712865270169
Llama-3.3-70B,llama,extended,kfold_42_2,1,186,rationalist,1,2.23773445018,0.211755292599
Llama-3.3-70B,llama,extended,kfold_42_2,2,54,cynical,1,1.99381079789,0.243923652289
Llama-3.3-70B,llama,extended,kfold_42_2,3,211,spiritual,1,1.73368835541,0.260122442485
Llama-3.3-70B,llama,extended,kfold_42_2,4,178,principled,1,1.5489035538,0.184784801612
Llama-3.3-70B,llama,extended,kfold_42_2,5,151,naive,1,1.37600915695,0.172894396852
Llama-3.3-70B,llama,extended,kfold_42_2,6,48,cosmopolitan,1,1.14140632728,0.234602829669
Llama-3.3-70B,llama,extended,kfold_42_2,7,88,ethereal,1,1.05312347785,0.088282849425
Llama-3.3-70B,llama,extended,kfold_42_2,8,3,accommodating,1,0.963087405263,0.0900360725893
Llama-3.3-70B,llama,extended,kfold_42_2,9,42,confrontational,1,0.889582341252,0.0735050640112
Llama-3.3-70B,llama,extended,kfold_42_2,10,94,factual,0.0001,0.808684018961,0.0808983222902
Llama-3.3-70B,llama,extended,kfold_42_2,11,141,melodramatic,0.1,0.751028972378,0.0576550465837
Llama-3.3-70B,llama,extended,kfold_42_2,12,213,stoic,0.1,0.70522777044,0.0458012019376
Llama-3.3-70B,llama,extended,kfold_42_3,1,88,ethereal,1,2.28130486448,0.168184878302
Llama-3.3-70B,llama,extended,kfold_42_3,2,186,rationalist,1,2.07701532511,0.204289539372
Llama-3.3-70B,llama,extended,kfold_42_3,3,151,naive,1,1.84996104664,0.227054278469
Llama-3.3-70B,llama,extended,kfold_42_3,4,234,vindictive,1,1.59291721559,0.257043831055
Llama-3.3-70B,llama,extended,kfold_42_3,5,131,ironic,0.01,1.31545023507,0.277466980518
Llama-3.3-70B,llama,extended,kfold_42_3,6,42,confrontational,0.0001,1.10615548284,0.209294752231
Llama-3.3-70B,llama,extended,kfold_42_3,7,139,meditative,0.01,0.967983597249,0.138171885587
Llama-3.3-70B,llama,extended,kfold_42_3,8,205,serious,0.01,0.924099072815,0.043884524434
Llama-3.3-70B,llama,extended,kfold_42_3,9,194,reverent,0.01,0.877487403067,0.0466116697477
Llama-3.3-70B,llama,extended,kfold_42_3,10,78,eloquent,0.0001,0.794783636561,0.0827037665061
Llama-3.3-70B,llama,extended,kfold_42_3,11,141,melodramatic,0.0001,0.722778774722,0.0720048618385
Llama-3.3-70B,llama,extended,kfold_42_3,12,143,metaphorical,0.0001,0.682544591973,0.040234182749
Llama-3.3-70B,llama,extended,kfold_42_4,1,186,rationalist,1,2.30717516936,0.142314573421
Llama-3.3-70B,llama,extended,kfold_42_4,2,88,ethereal,1,2.0827303607,0.224444808664
Llama-3.3-70B,llama,extended,kfold_42_4,3,116,iconoclastic,1,1.86412945389,0.218600906804
Llama-3.3-70B,llama,extended,kfold_42_4,4,178,principled,1,1.66093370464,0.203195749254
Llama-3.3-70B,llama,extended,kfold_42_4,5,234,vindictive,0.0001,1.4460503511,0.214883353539
Llama-3.3-70B,llama,extended,kfold_42_4,6,221,systems_thinker,0.0001,1.20340327337,0.242647077734
Llama-3.3-70B,llama,extended,kfold_42_4,7,165,passive_aggressive,0.0001,1.0395543716,0.163848901769
Llama-3.3-70B,llama,extended,kfold_42_4,8,203,secular,0.0001,0.968528516667,0.071025854931
Llama-3.3-70B,llama,extended,kfold_42_4,9,216,structuralist,0.0001,0.902702737165,0.065825779502
Llama-3.3-70B,llama,extended,kfold_42_4,10,224,temperamental,0.0001,0.839165960283,0.0635367768825
Llama-3.3-70B,llama,extended,kfold_42_4,11,141,melodramatic,0.0001,0.789913656563,0.04925230372
Llama-3.3-70B,llama,extended,kfold_42_4,12,69,dramatic,0.0001,0.74101607081,0.0488975857528
Gemma-2-27B,gemma,core,kfold_42_0,1,52,cryptic,1,1.45546185376,0.276588953814
Gemma-2-27B,gemma,core,kfold_42_0,2,85,erudite,1,1.07133904591,0.384122807845
Gemma-2-27B,gemma,core,kfold_42_0,3,133,judgmental,0.0001,0.452998547524,0.618340498387
Gemma-2-27B,gemma,core,kfold_42_0,4,128,introspective,0.0001,0.401518175414,0.0514803721102
Gemma-2-27B,gemma,core,kfold_42_0,5,237,witty,0.0001,0.366338467598,0.035179707816
Gemma-2-27B,gemma,core,kfold_42_0,6,11,anthropocentric,0.0001,0.343211589129,0.0231268784685
Gemma-2-27B,gemma,core,kfold_42_0,7,111,historical,0.0001,0.323752837663,0.0194587514666
Gemma-2-27B,gemma,core,kfold_42_0,8,151,naive,0.0001,0.306429716173,0.0173231214894
Gemma-2-27B,gemma,core,kfold_42_0,9,90,existentialist,0.0001,0.281080995918,0.0253487202555
Gemma-2-27B,gemma,core,kfold_42_0,10,107,grandiose,0.1,0.262659117908,0.0184218780102
Gemma-2-27B,gemma,core,kfold_42_0,11,147,misanthropic,0.1,0.253386311587,0.00927280632032
Gemma-2-27B,gemma,core,kfold_42_0,12,62,deterministic,0.01,0.243365935462,0.0100203761252
Gemma-2-27B,gemma,core,kfold_42_1,1,52,cryptic,1,1.4443556255,0.287695182068
Gemma-2-27B,gemma,core,kfold_42_1,2,85,erudite,1,1.06465988725,0.379695738252
Gemma-2-27B,gemma,core,kfold_42_1,3,133,judgmental,0.0001,0.466462359495,0.598197527754
Gemma-2-27B,gemma,core,kfold_42_1,4,123,individualistic,0.0001,0.423110831045,0.0433515284498
Gemma-2-27B,gemma,core,kfold_42_1,5,106,goofy,0.0001,0.401830044529,0.0212807865164
Gemma-2-27B,gemma,core,kfold_42_1,6,199,sarcastic,0.1,0.376940071791,0.0248899727379
Gemma-2-27B,gemma,core,kfold_42_1,7,140,melancholic,0.01,0.361061113041,0.0158789587499
Gemma-2-27B,gemma,core,kfold_42_1,8,154,nihilistic,0.0001,0.3444868799,0.0165742331405
