trait,pessimistic,empathetic,anxious,patient,artistic,creative,resilient,perfectionist,forgiving,judgmental,traditional,conscientious,adventurous,secular,temperamental,dramatic,serene,stoic,callous,altruistic,paranoid,curious,impulsive,neurotic,meticulous,introspective,innovative,assertive,theatrical,agreeable,manipulative,melancholic,playful,calm,extroverted,bitter,emotional,dominant,reserved,cynical,grandiose,optimistic,vindictive,rebellious,gregarious
serene,-0.29434847,-0.0668781,-0.44602724,0.38050277,-0.00451647,0.16002055,0.77830096,0.11178219,0.11250482,-0.08633671,0.06027462,0.27909926,0.23261937,0.00627959,-0.43464713,-0.08064047,1.0,0.91008593,0.05464162,0.03356957,-0.18555513,0.09876365,-0.30427829,-0.4735425,0.2083744,0.02722688,0.24910882,0.21156767,-0.13077807,0.13324828,0.09427612,-0.40950148,0.03074497,0.94175764,0.17059817,-0.24197977,-0.25562354,0.21156767,-0.06233516,-0.12325525,0.24228962,0.33321489,-0.19534092,0.03293456,0.08006325
stoic,-0.30896648,-0.09951448,-0.39967395,0.38410026,-0.03464378,0.14091152,0.74212878,0.12082019,0.17202747,-0.06366554,0.07933296,0.32462079,0.16153428,-0.02274024,-0.51629559,-0.11266592,0.91008593,1.0,0.07158431,0.00838299,-0.20810643,0.08768806,-0.37333189,-0.53193567,0.20620901,0.00638005,0.22058244,0.17450666,-0.13977488,0.13266976,0.06686346,-0.46634359,0.03517285,0.79470265,0.14455253,-0.31071432,-0.39104931,0.17450666,-0.00355229,-0.10747528,0.25435058,0.33715457,-0.26802464,-0.05962451,0.03743138
callous,0.19314236,-0.58794491,-0.02173353,-0.10526687,-0.21324093,-0.1456168,-0.0336622,-0.02513365,-0.32190384,0.24256721,0.00070816,-0.11504276,0.0424696,0.02214528,0.0278038,-0.07839182,0.05464162,0.07158431,1.0,-0.5634117,0.33519518,-0.302486,0.03887537,0.01871143,-0.0533516,-0.07647806,-0.09923582,-0.03569495,0.04347551,-0.42074739,0.399756,-0.04466313,-0.21527995,0.04235824,-0.1960366,0.29564457,-0.36116291,-0.03569495,0.32792004,0.4064893,0.20081214,-0.153553,0.25672969,0.16575971,-0.20783887
altruistic,-0.20055604,0.57346528,0.02776677,0.25799538,0.24830704,0.16899949,0.11107611,0.06248535,0.37019996,-0.24481612,0.0774175,0.15388419,0.14312342,-0.24214852,-0.02747369,0.158041,0.03356957,0.00838299,-0.5634117,1.0,-0.23394684,0.17395568,-0.10235128,-0.01926913,0.08461292,0.02451781,0.1663698,0.08825911,0.03631847,0.5526129,-0.33736869,-0.02469649,0.20040098,0.0467998,0.29035251,-0.22914389,0.25581204,0.08825911,-0.33338306,-0.34961789,-0.19103851,0.30224268,-0.19080869,-0.17304385,0.22594288
paranoid,0.49247431,-0.17877716,0.40806099,-0.17920542,-0.04908806,0.05125183,-0.18248604,0.08115351,-0.40977636,0.36061173,0.00309669,-0.05379711,-0.0158009,0.01545927,0.43732678,0.02969482,-0.18555513,-0.20810643,0.33519518,-0.23394684,1.0,-0.18627404,0.22795387,0.47160182,0.0559516,0.0727719,-0.02718879,-0.06133062,0.10057769,-0.27894897,0.33204124,0.35509573,-0.18710621,-0.14652159,-0.2504404,0.56075659,-0.10211397,-0.06133062,0.44582651,0.69969765,-0.018131,-0.38136984,0.46184395,0.23614997,-0.19336781
curious,-0.16530395,0.13119631,-0.01075426,0.1083984,0.30749948,0.313937,0.09114566,0.00689214,0.11010297,-0.07930813,-0.19510077,0.07770521,0.27445548,0.16676234,-0.12156808,0.09953217,0.09876365,0.08768806,-0.302486,0.17395568,-0.18627404,1.0,-0.08700652,-0.08248655,0.01456199,0.26827889,0.31189561,0.03298584,0.05612329,0.10734935,-0.07494811,-0.1177548,0.18870069,0.10988095,0.02541839,-0.19656271,0.00734674,0.03298584,-0.0157175,-0.14374429,0.03272912,0.06728006,-0.14688727,0.07788494,-0.0211131
impulsive,0.21649771,-0.04186714,0.1867628,-0.29614949,0.05121851,-0.01193593,-0.21100892,-0.18415181,-0.1168005,0.14468072,-0.14535394,-0.35760242,0.16762231,0.04319162,0.35997257,0.19254992,-0.30427829,-0.37333189,0.03887537,-0.10235128,0.22795387,-0.08700652,1.0,0.29710625,-0.21931916,-0.00378884,-0.02469849,-0.03333575,0.33874216,-0.10196022,0.17916786,0.25480428,0.09185126,-0.23344224,0.11317973,0.27858286,0.19131962,-0.03333575,0.00773177,0.09438503,0.00398535,-0.13559042,0.21503622,0.321694,0.16677497
neurotic,0.61515497,0.15301141,0.76831038,-0.30110578,0.09745008,-0.02577358,-0.48868918,0.03426272,-0.23286039,0.16990608,0.03136564,-0.19813436,-0.08455227,0.05124755,0.77917791,0.0925436,-0.4735425,-0.53193567,0.01871143,-0.01926913,0.47160182,-0.08248655,0.29710625,1.0,0.03888019,0.13502526,-0.12322592,-0.18651599,0.12806012,-0.03698174,0.04472267,0.76846746,-0.17585618,-0.42368068,-0.22485357,0.42019956,0.31477542,-0.18651599,0.25197619,0.28324647,-0.28029095,-0.48874155,0.33660468,0.06868917,-0.1506031
meticulous,6.669e-05,0.11493133,0.04240064,0.14698929,0.07644348,0.20974908,0.24513042,0.6858597,-0.02368444,0.14383328,0.20567417,0.67424489,0.0482718,-0.09244093,-0.03683128,0.07619711,0.2083744,0.20620901,-0.0533516,0.08461292,0.0559516,0.01456199,-0.21931916,0.03888019,1.0,0.01593654,0.21222715,0.2882911,-0.00344553,0.1077675,-0.04268552,-0.05016816,0.09185645,0.19630568,0.05923223,-0.01188111,0.03473117,0.2882911,0.01150409,0.0451836,0.16359597,0.07298876,0.00494117,-0.16476452,0.01117688
introspective,0.14817522,0.13437914,0.12995919,-0.00784921,0.31991705,0.2806925,0.02325845,0.0748585,0.01465969,0.06007442,-0.2430226,-0.04434707,0.05893541,0.15913735,0.14507562,0.06174905,0.02722688,0.00638005,-0.07647806,0.02451781,0.0727719,0.26827889,-0.00378884,0.13502526,0.01593654,1.0,0.24377318,-0.11500482,0.05027998,0.19495371,-0.02027662,0.12274522,-0.01068067,0.00842688,-0.04701897,-0.0781596,0.13884936,-0.11500482,0.09035663,-0.04626719,-0.03342376,-0.03785223,-0.09072917,0.21642731,-0.0827577
innovative,-0.18008573,0.10968893,-0.16921847,0.07662165,0.41297933,0.85698689,0.39187472,0.16271804,0.10358928,-0.02750469,-0.30067617,0.19712242,0.30611505,0.01386824,-0.0558088,0.27917181,0.24910882,0.22058244,-0.09923582,0.1663698,-0.02718879,0.31189561,-0.02469849,-0.12322592,0.21222715,0.24377318,1.0,0.34888396,0.19185704,0.13111282,0.04750414,-0.14102717,0.22854884,0.29792531,0.26123276,-0.14136877,0.10511862,0.34888396,-0.15636776,-0.09009521,0.24509372,0.25877593,-0.12561984,0.20458125,0.19272139
assertive,-0.32251054,0.01794054,-0.24364336,-0.08760781,0.06205754,0.27453162,0.39151283,0.3231827,-0.04520937,0.19627446,-0.00438189,0.39819587,0.21283563,-0.11369937,-0.11928362,0.25760178,0.21156767,0.17450666,-0.03569495,0.08825911,-0.06133062,0.03298584,-0.03333575,-0.18651599,0.2882911,-0.11500482,0.34888396,1.0,0.22253635,-0.01207486,0.12264097,-0.27155778,0.23304887,0.27265601,0.4682604,-0.03312827,0.07128532,1.0,-0.32692072,-0.05752915,0.37843542,0.30342803,0.03752264,0.04050136,0.36468395
theatrical,-0.00288326,0.10049447,0.05329909,-0.17518435,0.24500227,0.23306173,-0.02881148,0.01766471,-0.04247566,0.23616363,-0.07545567,-0.0281568,0.19861707,-0.00956711,0.21825682,0.7484716,-0.13077807,-0.13977488,0.04347551,0.03631847,0.10057769,0.05612329,0.33874216,0.12806012,-0.00344553,0.05027998,0.19185704,0.22253635,1.0,-0.05175153,0.29758816,0.10154497,0.36108864,-0.09052643,0.36751849,0.21380241,0.25521385,0.22253635,-0.27718669,0.00541807,0.24786938,0.11150162,0.19577947,0.20628374,0.38662472
agreeable,-0.14067067,0.64982515,-0.01262238,0.31807876,0.19657582,0.19142405,0.15587839,0.0305508,0.4237449,-0.37946163,0.09279097,0.11141093,0.10752529,-0.09936624,-0.11064634,0.09820032,0.13324828,0.13266976,-0.42074739,0.5526129,-0.27894897,0.10734935,-0.10196022,-0.03698174,0.1077675,0.19495371,0.13111282,-0.01207486,-0.05175153,1.0,-0.4100152,-0.00864037,0.1624952,0.11673703,0.20489343,-0.29375721,0.29952786,-0.01207486,-0.23878851,-0.39666109,-0.20995799,0.34613487,-0.29828643,-0.18779115,0.18058853
manipulative,0.14027538,-0.32659515,0.01464953,-0.21467837,-0.05684621,0.01414236,0.08160882,-0.01585811,-0.28722187,0.36800605,-0.05109327,-0.08719642,0.07556134,0.08080913,0.12543046,0.06085257,0.09427612,0.06686346,0.399756,-0.33736869,0.33204124,-0.07494811,0.17916786,0.04472267,-0.04268552,-0.02027662,0.04750414,0.12264097,0.29758816,-0.4100152,1.0,-0.00369298,0.00530214,0.12653209,-0.00974443,0.41139326,-0.1298794,0.12264097,0.13500236,0.33681141,0.29865585,-0.16054991,0.40858887,0.2723617,-0.03093935
melancholic,0.56369696,0.13980491,0.51605678,-0.15855975,0.11499722,-0.02990964,-0.45027794,-0.09355684,-0.14899946,0.12542107,-0.02213374,-0.25023819,-0.11060284,0.09296417,0.54905246,0.09478774,-0.40950148,-0.46634359,-0.04466313,-0.02469649,0.35509573,-0.1177548,0.25480428,0.76846746,-0.05016816,0.12274522,-0.14102717,-0.27155778,0.10154497,-0.00864037,-0.00369298,1.0,-0.22403951,-0.36299484,-0.1975344,0.34893805,0.40109435,-0.27155778,0.14101576,0.18426746,-0.27371279,-0.47680534,0.21691826,0.12721267,-0.11190872
playful,-0.25359421,0.25612735,-0.13424426,0.02240341,0.07667345,0.22081596,0.14908052,0.01660282,0.19063505,-0.05797434,-0.11467419,0.17942957,0.2507816,-0.11164629,-0.07832407,0.35715616,0.03074497,0.03517285,-0.21527995,0.20040098,-0.18710621,0.18870069,0.09185126,-0.17585618,0.09185645,-0.01068067,0.22854884,0.23304887,0.36108864,0.1624952,0.00530214,-0.22403951,1.0,0.0238253,0.43986563,-0.14379631,0.19190925,0.23304887,-0.41367043,-0.2123549,0.16695519,0.344079,-0.10250386,0.03270464,0.45058201
calm,-0.30569598,-0.05476265,-0.43383547,0.30075251,0.02859945,0.19077811,0.80562553,0.12151021,0.06988597,-0.03386117,0.03417228,0.27301911,0.25830379,0.01413897,-0.36675131,-0.03365496,0.94175764,0.79470265,0.04235824,0.0467998,-0.14652159,0.10988095,-0.23344224,-0.42368068,0.19630568,0.00842688,0.29792531,0.27265601,-0.09052643,0.11673703,0.12653209,-0.36299484,0.0238253,1.0,0.20589123,-0.19148679,-0.20453876,0.27265601,-0.07258771,-0.096626,0.26347069,0.34284893,-0.15510181,0.05860149,0.12672259
extroverted,-0.33301275,0.24366564,-0.24797095,0.01599955,0.06279026,0.13997908,0.29788101,0.07101077,0.16286776,-0.09860039,-0.00204006,0.22567993,0.29983737,-0.12803477,-0.10983161,0.36991025,0.17059817,0.14455253,-0.1960366,0.29035251,-0.2504404,0.02541839,0.11317973,-0.22485357,0.05923223,-0.04701897,0.26123276,0.4682604,0.36751849,0.20489343,-0.00974443,-0.1975344,0.43986563,0.20589123,1.0,-0.14330201,0.28182503,0.4682604,-0.72168779,-0.29346586,0.16022818,0.37906386,-0.08554669,-0.00162959,0.89072557
bitter,0.46757677,-0.15719365,0.38726532,-0.33526825,-0.10696662,-0.11048018,-0.27432208,0.04159294,-0.55900942,0.37978156,0.07434273,-0.19414962,-0.01874613,0.03235454,0.42749233,0.11199717,-0.24197977,-0.31071432,0.29564457,-0.22914389,0.56075659,-0.19656271,0.27858286,0.42019956,-0.01188111,-0.0781596,-0.14136877,-0.03312827,0.21380241,-0.29375721,0.41139326,0.34893805,-0.14379631,-0.19148679,-0.14330201,1.0,0.01551389,-0.03312827,0.24281836,0.42172828,0.02796762,-0.38597684,0.90271821,0.18941969,-0.05974702
emotional,0.0064646,0.47864426,0.19506292,-0.10798182,0.24346037,0.14755212,-0.16495338,0.0241569,0.09935011,-0.00199429,-0.08378235,-0.02360182,0.05520272,-0.06090833,0.33421053,0.35375542,-0.25562354,-0.39104931,-0.36116291,0.25581204,-0.10211397,0.00734674,0.19131962,0.31477542,0.03473117,0.13884936,0.10511862,0.07128532,0.25521385,0.29952786,-0.1298794,0.40109435,0.19190925,-0.20453876,0.28182503,0.01551389,1.0,0.07128532,-0.39197698,-0.19481937,-0.08722849,0.03078543,0.02552299,0.02090499,0.28884788
dominant,-0.32251054,0.01794054,-0.24364336,-0.08760781,0.06205754,0.27453162,0.39151283,0.3231827,-0.04520937,0.19627446,-0.00438189,0.39819587,0.21283563,-0.11369937,-0.11928362,0.25760178,0.21156767,0.17450666,-0.03569495,0.08825911,-0.06133062,0.03298584,-0.03333575,-0.18651599,0.2882911,-0.11500482,0.34888396,1.0,0.22253635,-0.01207486,0.12264097,-0.27155778,0.23304887,0.27265601,0.4682604,-0.03312827,0.07128532,1.0,-0.32692072,-0.05752915,0.37843542,0.30342803,0.03752264,0.04050136,0.36468395
reserved,0.38174983,-0.27540974,0.26794534,0.01421456,-0.01399551,-0.04102234,-0.16523214,0.00105133,-0.26714308,0.09610078,0.01314448,-0.15142573,-0.20802781,0.15635562,0.16403338,-0.29114805,-0.06233516,-0.00355229,0.32792004,-0.33338306,0.44582651,-0.0157175,0.00773177,0.25197619,0.01150409,0.09035663,-0.15636776,-0.32692072,-0.27718669,-0.23878851,0.13500236,0.14101576,-0.41367043,-0.07258771,-0.72168779,0.24281836,-0.39197698,-0.32692072,1.0,0.40076698,-0.10518439,-0.3548271,0.1929402,0.07598192,-0.70466705
cynical,0.42860066,-0.31789349,0.23973699,-0.16810457,-0.13816303,-0.055209,-0.09911161,0.06307952,-0.39172501,0.31437837,6.768e-05,-0.08077718,-0.05944255,0.03490222,0.26377562,-0.03982616,-0.12325525,-0.10747528,0.4064893,-0.34961789,0.69969765,-0.14374429,0.09438503,0.28324647,0.0451836,-0.04626719,-0.09009521,-0.05752915,0.00541807,-0.39666109,0.33681141,0.18426746,-0.2123549,-0.096626,-0.29346586,0.42172828,-0.19481937,-0.05752915,0.40076698,1.0,0.00338087,-0.42124241,0.35061618,0.23009668,-0.29013271
grandiose,-0.27946916,-0.18170991,-0.27476176,0.00239354,0.01185439,0.20307857,0.33381415,0.24848106,-0.11063364,0.29297773,0.04727392,0.20142338,0.07457275,-0.01177201,-0.11365141,0.07370093,0.24228962,0.25435058,0.20081214,-0.19103851,-0.018131,0.03272912,0.00398535,-0.28029095,0.16359597,-0.03342376,0.24509372,0.37843542,0.24786938,-0.20995799,0.29865585,-0.27371279,0.16695519,0.26347069,0.16022818,0.02796762,-0.08722849,0.37843542,-0.10518439,0.00338087,1.0,0.2262219,0.08372782,0.12385202,0.10386641
optimistic,-0.65399339,0.19035719,-0.40122977,0.31458058,0.10435068,0.1973217,0.46784098,0.09371151,0.35398584,-0.1926626,0.08878981,0.26750747,0.2374548,-0.23084591,-0.34673262,0.17355013,0.33321489,0.33715457,-0.153553,0.30224268,-0.38136984,0.06728006,-0.13559042,-0.48874155,0.07298876,-0.03785223,0.25877593,0.30342803,0.11150162,0.34613487,-0.16054991,-0.47680534,0.344079,0.34284893,0.37906386,-0.38597684,0.03078543,0.30342803,-0.3548271,-0.42124241,0.2262219,1.0,-0.26319378,-0.18430968,0.31746268
vindictive,0.32784311,-0.1544932,0.29487936,-0.3262932,-0.10316854,-0.11333145,-0.2168943,0.06188968,-0.59012817,0.3837868,0.0747338,-0.10586836,-0.00569194,0.03520698,0.3598584,0.08327605,-0.19534092,-0.26802464,0.25672969,-0.19080869,0.46184395,-0.14688727,0.21503622,0.33660468,0.00494117,-0.09072917,-0.12561984,0.03752264,0.19577947,-0.29828643,0.40858887,0.21691826,-0.10250386,-0.15510181,-0.08554669,0.90271821,0.02552299,0.03752264,0.1929402,0.35061618,0.08372782,-0.26319378,1.0,0.14764695,0.00133302
rebellious,0.1757488,-0.15037324,-0.0968647,-0.17475747,0.22245771,0.23377885,0.0396665,-0.17454854,-0.08664949,0.14699735,-0.54960972,-0.27043896,0.11537561,0.26857843,0.09123259,0.12188811,0.03293456,-0.05962451,0.16575971,-0.17304385,0.23614997,0.07788494,0.321694,0.06868917,-0.16476452,0.21642731,0.20458125,0.04050136,0.20628374,-0.18779115,0.2723617,0.12721267,0.03270464,0.05860149,-0.00162959,0.18941969,0.02090499,0.04050136,0.07598192,0.23009668,0.12385202,-0.18430968,0.14764695,1.0,0.00343719
gregarious,-0.24460211,0.21034493,-0.13798988,-0.07215243,0.03747789,0.06544934,0.18337507,0.04756281,0.1342584,-0.07180923,-0.01382674,0.13980875,0.24595212,-0.07847942,-0.0333883,0.30718509,0.08006325,0.03743138,-0.20783887,0.22594288,-0.19336781,-0.0211131,0.16677497,-0.1506031,0.01117688,-0.0827577,0.19272139,0.36468395,0.38662472,0.18058853,-0.03093935,-0.11190872,0.45058201,0.12672259,0.89072557,-0.05974702,0.28884788,0.36468395,-0.70466705,-0.29013271,0.10386641,0.31746268,0.00133302,0.00343719,1.0
