model,variant,trait,factor,coefficient
Qwen,full_shrinkage,big_picture,Qwen_F3,0.018957525728282163
Qwen,full_shrinkage,big_picture,Qwen_F4,-0.025097600664352824
Qwen,full_shrinkage,big_picture,Qwen_F5,0.02500582208588639
Qwen,full_shrinkage,bitter,Qwen_F1,-0.020835063247859855
Qwen,full_shrinkage,bitter,Qwen_F2,-0.006946170890459514
Qwen,full_shrinkage,bitter,Qwen_F3,-0.0029469343689187332
Qwen,full_shrinkage,bitter,Qwen_F4,0.012744199974659934
Qwen,full_shrinkage,bitter,Qwen_F5,0.004932711132110476
Qwen,full_shrinkage,blunt,Qwen_F1,0.008719961091854186
Qwen,full_shrinkage,blunt,Qwen_F2,-0.0013260801770770079
Qwen,full_shrinkage,blunt,Qwen_F3,0.0026398619173620343
Qwen,full_shrinkage,blunt,Qwen_F4,-0.009682352980112812
Qwen,full_shrinkage,blunt,Qwen_F5,0.0026332227059012994
Qwen,full_shrinkage,bombastic,Qwen_F1,0.003304658735627039
Qwen,full_shrinkage,bombastic,Qwen_F2,0.012922910968339628
Qwen,full_shrinkage,bombastic,Qwen_F3,0.0190118429419991
Qwen,full_shrinkage,bombastic,Qwen_F4,-0.016518185857981597
Qwen,full_shrinkage,bombastic,Qwen_F5,-0.00023753420549867872
Qwen,full_shrinkage,calculating,Qwen_F1,-0.015462241574589608
Qwen,full_shrinkage,calculating,Qwen_F2,0.01764795179324151
Qwen,full_shrinkage,calculating,Qwen_F3,0.010880949830674709
Qwen,full_shrinkage,calculating,Qwen_F4,-0.007089101399013837
Qwen,full_shrinkage,calculating,Qwen_F5,0.0016528077079620597
Qwen,full_shrinkage,callous,Qwen_F1,-0.02233029422116603
Qwen,full_shrinkage,callous,Qwen_F2,-0.04323013229360563
Qwen,full_shrinkage,callous,Qwen_F3,-0.0019335228012952023
Qwen,full_shrinkage,callous,Qwen_F4,0.047180032382486414
Qwen,full_shrinkage,callous,Qwen_F5,0.03020901825731376
Qwen,full_shrinkage,calm,Qwen_F1,0.020566355574353264
Qwen,full_shrinkage,calm,Qwen_F2,-0.004785731450551083
Qwen,full_shrinkage,calm,Qwen_F3,0.001098466423944542
Qwen,full_shrinkage,calm,Qwen_F4,-0.0031176263555442803
Qwen,full_shrinkage,calm,Qwen_F5,0.003313723231750185
Qwen,full_shrinkage,casual,Qwen_F1,-0.021884210403513255
Qwen,full_shrinkage,casual,Qwen_F2,0.02588144477769878
Qwen,full_shrinkage,casual,Qwen_F3,0.02853547363577564
Qwen,full_shrinkage,casual,Qwen_F4,-0.0055784655398269075
Qwen,full_shrinkage,casual,Qwen_F5,-0.003993895255941064
Qwen,full_shrinkage,cautious,Qwen_F1,-0.011318855692175863
Qwen,full_shrinkage,cautious,Qwen_F2,-0.060282889684271236
Qwen,full_shrinkage,cautious,Qwen_F3,-0.010910687205808569
Qwen,full_shrinkage,cautious,Qwen_F4,0.03003701591481604
Qwen,full_shrinkage,cautious,Qwen_F5,-0.034685608008436876
Qwen,full_shrinkage,challenging,Qwen_F1,-0.014246610729671025
Qwen,full_shrinkage,challenging,Qwen_F2,-0.03922611315936599
Qwen,full_shrinkage,challenging,Qwen_F3,0.008774585251710881
Qwen,full_shrinkage,challenging,Qwen_F4,-0.04080815948501442
Qwen,full_shrinkage,challenging,Qwen_F5,-0.051516995058586874
Qwen,full_shrinkage,chaotic,Qwen_F1,-0.008712632533464628
Qwen,full_shrinkage,chaotic,Qwen_F2,-0.03765764755818941
Qwen,full_shrinkage,chaotic,Qwen_F3,0.01387423900242479
Qwen,full_shrinkage,chaotic,Qwen_F4,-0.08375433304838507
Qwen,full_shrinkage,chaotic,Qwen_F5,-0.03115642071029095
Qwen,full_shrinkage,charismatic,Qwen_F1,0.00668510087821141
Qwen,full_shrinkage,charismatic,Qwen_F2,0.018471014396420446
Qwen,full_shrinkage,charismatic,Qwen_F3,0.006074865854134421
Qwen,full_shrinkage,charismatic,Qwen_F4,-0.056154683020677824
Qwen,full_shrinkage,charismatic,Qwen_F5,0.0040065355581759745
Qwen,full_shrinkage,chill,Qwen_F1,-0.0009648222614472958
Qwen,full_shrinkage,chill,Qwen_F2,-0.005363271773656134
Qwen,full_shrinkage,chill,Qwen_F3,-0.009137590726435394
Qwen,full_shrinkage,chill,Qwen_F4,-0.00178530496345832
Qwen,full_shrinkage,chill,Qwen_F5,-0.016200085324227072
Qwen,full_shrinkage,circumspect,Qwen_F1,0.013259674718826048
Qwen,full_shrinkage,circumspect,Qwen_F2,-0.07032383165943941
Qwen,full_shrinkage,circumspect,Qwen_F3,-0.015649073441417225
Qwen,full_shrinkage,circumspect,Qwen_F4,-0.06569746362649075
Qwen,full_shrinkage,circumspect,Qwen_F5,-0.09727589129249728
Qwen,full_shrinkage,closure_seeking,Qwen_F1,-0.0010052623507672304
Qwen,full_shrinkage,closure_seeking,Qwen_F2,-0.007556399734877384
Qwen,full_shrinkage,closure_seeking,Qwen_F3,-0.009038548610835728
Qwen,full_shrinkage,closure_seeking,Qwen_F4,0.0358826668744047
Qwen,full_shrinkage,closure_seeking,Qwen_F5,-0.05439329593588836
Qwen,full_shrinkage,collaborative,Qwen_F1,-0.014224847561941754
Qwen,full_shrinkage,collaborative,Qwen_F2,0.002652306221971425
Qwen,full_shrinkage,collaborative,Qwen_F3,-0.050357530686024235
Qwen,full_shrinkage,collaborative,Qwen_F4,0.08522027256332584
Qwen,full_shrinkage,collaborative,Qwen_F5,0.04567269448617541
Qwen,full_shrinkage,collectivistic,Qwen_F1,-0.03859852797247667
Qwen,full_shrinkage,collectivistic,Qwen_F2,-0.0023655693363804926
Qwen,full_shrinkage,collectivistic,Qwen_F3,0.09656685741907409
Qwen,full_shrinkage,collectivistic,Qwen_F4,-0.025119248410234028
Qwen,full_shrinkage,collectivistic,Qwen_F5,-0.02310168238025169
Qwen,full_shrinkage,competitive,Qwen_F1,-0.01244160296301732
Qwen,full_shrinkage,competitive,Qwen_F2,-0.013743365086554646
Qwen,full_shrinkage,competitive,Qwen_F3,0.00469839594146743
Qwen,full_shrinkage,competitive,Qwen_F4,0.006555087883894137
Qwen,full_shrinkage,competitive,Qwen_F5,0.021162763726344846
Qwen,full_shrinkage,conceptual,Qwen_F1,0.011419772619881743
Qwen,full_shrinkage,conceptual,Qwen_F2,0.013215439949997949
Qwen,full_shrinkage,conceptual,Qwen_F3,-0.034086768591422595
Qwen,full_shrinkage,conceptual,Qwen_F4,-0.01569629020128561
Qwen,full_shrinkage,conceptual,Qwen_F5,0.012286378473348451
Qwen,full_shrinkage,conciliatory,Qwen_F1,0.026706813649712953
Qwen,full_shrinkage,conciliatory,Qwen_F2,0.01800350491655877
Qwen,full_shrinkage,conciliatory,Qwen_F3,0.015577633345036949
Qwen,full_shrinkage,conciliatory,Qwen_F4,-0.019414085255326362
Qwen,full_shrinkage,conciliatory,Qwen_F5,-0.028251577001777897
Qwen,full_shrinkage,concise,Qwen_F1,-0.006421139643249326
Qwen,full_shrinkage,concise,Qwen_F2,-0.07200281449342541
Qwen,full_shrinkage,concise,Qwen_F3,0.021130140054927315
Qwen,full_shrinkage,concise,Qwen_F4,0.0008812730468047362
Qwen,full_shrinkage,concise,Qwen_F5,-0.0411320230786133
Qwen,full_shrinkage,condescending,Qwen_F1,-0.01264423393794744
Qwen,full_shrinkage,condescending,Qwen_F2,-0.02778015862029848
Qwen,full_shrinkage,condescending,Qwen_F3,-0.002293394781505224
Qwen,full_shrinkage,condescending,Qwen_F4,0.006575731328667657
Qwen,full_shrinkage,condescending,Qwen_F5,-0.013171934100801313
Qwen,full_shrinkage,confident,Qwen_F1,0.013814241935364296
Qwen,full_shrinkage,confident,Qwen_F2,0.08753172101190111
Qwen,full_shrinkage,confident,Qwen_F3,-0.02860283746646146
Qwen,full_shrinkage,confident,Qwen_F4,-0.02267531354790665
Qwen,full_shrinkage,confident,Qwen_F5,0.14704581312103182
Qwen,full_shrinkage,confrontational,Qwen_F1,0.005276572315104211
Qwen,full_shrinkage,confrontational,Qwen_F2,0.013219447778323474
Qwen,full_shrinkage,confrontational,Qwen_F3,-0.0008803550226005823
Qwen,full_shrinkage,confrontational,Qwen_F4,-0.037565512500515305
Qwen,full_shrinkage,confrontational,Qwen_F5,0.030857469290364082
Qwen,full_shrinkage,conscientious,Qwen_F1,0.02638494663522261
Qwen,full_shrinkage,conscientious,Qwen_F2,0.009241968947886202
Qwen,full_shrinkage,conscientious,Qwen_F3,0.0008916403533796983
Qwen,full_shrinkage,conscientious,Qwen_F4,-0.04065091008368443
Qwen,full_shrinkage,conscientious,Qwen_F5,0.024872593635315406
Qwen,full_shrinkage,constructivist,Qwen_F1,-0.0007344516391946673
Qwen,full_shrinkage,constructivist,Qwen_F2,-0.027015482614505027
Qwen,full_shrinkage,constructivist,Qwen_F3,0.011913502632512353
Qwen,full_shrinkage,constructivist,Qwen_F4,0.058171642137230285
Qwen,full_shrinkage,constructivist,Qwen_F5,-0.003710974997382846
Qwen,full_shrinkage,contemporary,Qwen_F1,-0.006232242407498375
Qwen,full_shrinkage,contemporary,Qwen_F2,-0.0005990656135293581
Qwen,full_shrinkage,contemporary,Qwen_F3,0.07759255659606375
Qwen,full_shrinkage,contemporary,Qwen_F4,-0.062050797293939954
Qwen,full_shrinkage,contemporary,Qwen_F5,0.023389654833336965
Qwen,full_shrinkage,contrarian,Qwen_F1,-0.014701899885351873
Qwen,full_shrinkage,contrarian,Qwen_F2,-0.03401891689391069
Qwen,full_shrinkage,contrarian,Qwen_F3,0.004569334168354134
Qwen,full_shrinkage,contrarian,Qwen_F4,-0.032636552085332005
Qwen,full_shrinkage,contrarian,Qwen_F5,-0.004493538750423991
Qwen,full_shrinkage,convergent,Qwen_F1,0.01144758999460326
Qwen,full_shrinkage,convergent,Qwen_F2,0.10850382903372294
Qwen,full_shrinkage,convergent,Qwen_F3,-0.0004959688866059358
Qwen,full_shrinkage,convergent,Qwen_F4,0.12563037223218662
Qwen,full_shrinkage,convergent,Qwen_F5,0.10501820214880957
Qwen,full_shrinkage,cosmopolitan,Qwen_F1,-0.017316653046488592
Qwen,full_shrinkage,cosmopolitan,Qwen_F2,0.10183141869862958
Qwen,full_shrinkage,cosmopolitan,Qwen_F3,0.013772008072987443
Qwen,full_shrinkage,cosmopolitan,Qwen_F4,-0.01793822707034513
Qwen,full_shrinkage,cosmopolitan,Qwen_F5,0.05217797418277719
Qwen,full_shrinkage,creative,Qwen_F1,-0.011501299758820223
Qwen,full_shrinkage,creative,Qwen_F2,-0.031492662847046445
Qwen,full_shrinkage,creative,Qwen_F3,0.014298782104002901
Qwen,full_shrinkage,creative,Qwen_F4,-0.08508736328997865
Qwen,full_shrinkage,creative,Qwen_F5,-0.025465528949338876
Qwen,full_shrinkage,critical,Qwen_F1,0.020938502429374783
Qwen,full_shrinkage,critical,Qwen_F2,0.0845034810105555
Qwen,full_shrinkage,critical,Qwen_F3,-0.0037007308816801076
Qwen,full_shrinkage,critical,Qwen_F4,0.04494126183857271
Qwen,full_shrinkage,critical,Qwen_F5,-0.033061741197335306
Qwen,full_shrinkage,cruel,Qwen_F1,-0.03091745133520964
Qwen,full_shrinkage,cruel,Qwen_F2,-0.03031009613157673
Qwen,full_shrinkage,cruel,Qwen_F3,-0.0016467732123295318
Qwen,full_shrinkage,cruel,Qwen_F4,0.036020655399937436
Qwen,full_shrinkage,cruel,Qwen_F5,0.008509182502906727
Qwen,full_shrinkage,cryptic,Qwen_F1,0.0019736221559700762
Qwen,full_shrinkage,cryptic,Qwen_F2,0.012619368152003518
Qwen,full_shrinkage,cryptic,Qwen_F3,-0.013793022293511172
Qwen,full_shrinkage,cryptic,Qwen_F4,0.00046708436529564116
Qwen,full_shrinkage,cryptic,Qwen_F5,0.0025860818224854427
Qwen,full_shrinkage,curious,Qwen_F1,-0.008241339559095564
Qwen,full_shrinkage,curious,Qwen_F2,-0.06151234802072433
Qwen,full_shrinkage,curious,Qwen_F3,0.013656145938093198
Qwen,full_shrinkage,curious,Qwen_F4,-0.013060542106927843
Qwen,full_shrinkage,curious,Qwen_F5,-0.02261465799609511
Qwen,full_shrinkage,cynical,Qwen_F1,-0.03291756314138226
Qwen,full_shrinkage,cynical,Qwen_F2,-0.060935578077150374
Qwen,full_shrinkage,cynical,Qwen_F3,0.007579372424745246
Qwen,full_shrinkage,cynical,Qwen_F4,0.03179181980902756
Qwen,full_shrinkage,cynical,Qwen_F5,0.012880252977327707
Qwen,full_shrinkage,data_driven,Qwen_F1,-0.0018224582867066663
Qwen,full_shrinkage,data_driven,Qwen_F2,-0.02932811768288843
Qwen,full_shrinkage,data_driven,Qwen_F3,0.019500129642736376
Qwen,full_shrinkage,data_driven,Qwen_F4,0.0022361648436395017
Qwen,full_shrinkage,data_driven,Qwen_F5,0.009238362268218236
Qwen,full_shrinkage,decisive,Qwen_F1,0.03158630509765406
Qwen,full_shrinkage,decisive,Qwen_F2,0.1098314795684302
Qwen,full_shrinkage,decisive,Qwen_F3,0.003795476406715868
Qwen,full_shrinkage,decisive,Qwen_F4,-0.04205814104223014
Qwen,full_shrinkage,decisive,Qwen_F5,0.1318805016290453
Qwen,full_shrinkage,deconstructionist,Qwen_F1,-0.0158787388903303
Qwen,full_shrinkage,deconstructionist,Qwen_F2,-0.0554748739379144
Qwen,full_shrinkage,deconstructionist,Qwen_F3,0.0038667902399596847
Qwen,full_shrinkage,deconstructionist,Qwen_F4,-0.04203813342935889
Qwen,full_shrinkage,deconstructionist,Qwen_F5,-0.041133093812198804
Qwen,full_shrinkage,deferential,Qwen_F1,0.0011268997048109889
Qwen,full_shrinkage,deferential,Qwen_F2,-0.014478134427559807
Qwen,full_shrinkage,deferential,Qwen_F3,-0.028572507519250202
Qwen,full_shrinkage,deferential,Qwen_F4,0.0603614266850282
Qwen,full_shrinkage,deferential,Qwen_F5,-0.07180512538597823
Qwen,full_shrinkage,deontological,Qwen_F1,0.005630273594588515
Qwen,full_shrinkage,deontological,Qwen_F2,0.03548152195048593
Qwen,full_shrinkage,deontological,Qwen_F3,0.025720609091699032
Qwen,full_shrinkage,deontological,Qwen_F4,-0.015717313763498254
Qwen,full_shrinkage,deontological,Qwen_F5,0.007912320253420327
Qwen,full_shrinkage,descriptive,Qwen_F1,-0.003957469906333417
Qwen,full_shrinkage,descriptive,Qwen_F2,-0.07366069823215328
Qwen,full_shrinkage,descriptive,Qwen_F3,-0.004997973309147723
Qwen,full_shrinkage,descriptive,Qwen_F4,0.04650929062870975
Qwen,full_shrinkage,descriptive,Qwen_F5,-0.06296411004250477
Qwen,full_shrinkage,detached,Qwen_F1,0.0020606954882739998
Qwen,full_shrinkage,detached,Qwen_F2,-0.05970455371427341
Qwen,full_shrinkage,detached,Qwen_F3,-0.0021379646418237374
Qwen,full_shrinkage,detached,Qwen_F4,0.028693802974170974
Qwen,full_shrinkage,detached,Qwen_F5,0.0008332499554970392
Qwen,full_shrinkage,deterministic,Qwen_F1,-0.0074318440027197185
Qwen,full_shrinkage,deterministic,Qwen_F2,-0.04663836654275941
Qwen,full_shrinkage,deterministic,Qwen_F3,-0.010064595081810748
Qwen,full_shrinkage,deterministic,Qwen_F4,0.022068813860683444
Qwen,full_shrinkage,deterministic,Qwen_F5,-0.007048220081969412
Qwen,full_shrinkage,diplomatic,Qwen_F1,0.011228961055552652
Qwen,full_shrinkage,diplomatic,Qwen_F2,-0.009338421279581463
Qwen,full_shrinkage,diplomatic,Qwen_F3,0.003471798497591424
Qwen,full_shrinkage,diplomatic,Qwen_F4,0.004521272066432592
Qwen,full_shrinkage,diplomatic,Qwen_F5,-0.024777913254721732
Qwen,full_shrinkage,disorganized,Qwen_F1,-0.02568723766695613
Qwen,full_shrinkage,disorganized,Qwen_F2,-0.03816884251762975
Qwen,full_shrinkage,disorganized,Qwen_F3,0.0013784952567179403
Qwen,full_shrinkage,disorganized,Qwen_F4,0.006351306738350377
Qwen,full_shrinkage,disorganized,Qwen_F5,-0.043691891033518705
Qwen,full_shrinkage,dispassionate,Qwen_F1,0.007275407802699399
Qwen,full_shrinkage,dispassionate,Qwen_F2,-0.04806113233031101
Qwen,full_shrinkage,dispassionate,Qwen_F3,-0.0017116775915949297
Qwen,full_shrinkage,dispassionate,Qwen_F4,0.03316635545668693
Qwen,full_shrinkage,dispassionate,Qwen_F5,0.002066287411600935
Qwen,full_shrinkage,divergent,Qwen_F1,0.03051622283352585
Qwen,full_shrinkage,divergent,Qwen_F2,0.10812715962839328
Qwen,full_shrinkage,divergent,Qwen_F3,-0.009111007284854446
Qwen,full_shrinkage,divergent,Qwen_F4,0.08916533224413566
Qwen,full_shrinkage,divergent,Qwen_F5,0.09307323820619831
Qwen,full_shrinkage,dogmatic,Qwen_F1,-0.0051999397827761605
Qwen,full_shrinkage,dogmatic,Qwen_F2,0.01656583706535528
Qwen,full_shrinkage,dogmatic,Qwen_F3,-0.052645707535197116
Qwen,full_shrinkage,dogmatic,Qwen_F4,0.05826880839835272
Qwen,full_shrinkage,dogmatic,Qwen_F5,0.0434677916553721
Qwen,full_shrinkage,dominant,Qwen_F1,0.012468853185185097
Qwen,full_shrinkage,dominant,Qwen_F2,0.05096638939163215
Qwen,full_shrinkage,dominant,Qwen_F3,0.024544031982971552
Qwen,full_shrinkage,dominant,Qwen_F4,-0.04703439638823388
Qwen,full_shrinkage,dominant,Qwen_F5,0.11594672223771958
Qwen,full_shrinkage,dramatic,Qwen_F1,-0.0030088863129562786
Qwen,full_shrinkage,dramatic,Qwen_F2,0.011678438948837851
Qwen,full_shrinkage,dramatic,Qwen_F3,-0.0169513332294538
Qwen,full_shrinkage,dramatic,Qwen_F4,-0.019122023309906026
Qwen,full_shrinkage,dramatic,Qwen_F5,0.005442510825363725
Qwen,full_shrinkage,earnest,Qwen_F1,0.007628736975644844
Qwen,full_shrinkage,earnest,Qwen_F2,0.0224636887343903
Qwen,full_shrinkage,earnest,Qwen_F3,-0.004558247847288396
Qwen,full_shrinkage,earnest,Qwen_F4,-0.03153755447981713
Qwen,full_shrinkage,earnest,Qwen_F5,0.010545816943075777
Qwen,full_shrinkage,eclectic,Qwen_F1,0.00039382958974680385
Qwen,full_shrinkage,eclectic,Qwen_F2,-0.05981995352806158
Qwen,full_shrinkage,eclectic,Qwen_F3,-0.011855787076778946
Qwen,full_shrinkage,eclectic,Qwen_F4,-0.09831026147345719
Qwen,full_shrinkage,eclectic,Qwen_F5,-0.03632577531679405
Qwen,full_shrinkage,edgy,Qwen_F1,-0.018560845935776994
Qwen,full_shrinkage,edgy,Qwen_F2,-0.008087662378709564
Qwen,full_shrinkage,edgy,Qwen_F3,0.0035573847326307033
Qwen,full_shrinkage,edgy,Qwen_F4,-0.010583855475006733
Qwen,full_shrinkage,edgy,Qwen_F5,0.003450336178834325
Qwen,full_shrinkage,educational,Qwen_F1,0.006060793180311001
Qwen,full_shrinkage,educational,Qwen_F2,-0.03365900276821351
Qwen,full_shrinkage,educational,Qwen_F3,0.02482997167241539
Qwen,full_shrinkage,educational,Qwen_F4,-0.09543433852727287
Qwen,full_shrinkage,educational,Qwen_F5,-0.01725538242014062
Qwen,full_shrinkage,efficient,Qwen_F1,0.005309835866274454
Qwen,full_shrinkage,efficient,Qwen_F2,-0.028742662302908197
Qwen,full_shrinkage,efficient,Qwen_F3,-0.03171841314728379
Qwen,full_shrinkage,efficient,Qwen_F4,0.052566410894459445
Qwen,full_shrinkage,efficient,Qwen_F5,-0.012926196337561074
Qwen,full_shrinkage,effusive,Qwen_F1,-8.811488279207606e-05
Qwen,full_shrinkage,effusive,Qwen_F2,-0.004983474854109486
Qwen,full_shrinkage,effusive,Qwen_F3,0.008202452013797263
Qwen,full_shrinkage,effusive,Qwen_F4,-0.017860086035917818
Qwen,full_shrinkage,effusive,Qwen_F5,-0.009285788113927003
Qwen,full_shrinkage,egalitarian,Qwen_F1,-0.005045355031196318
Qwen,full_shrinkage,egalitarian,Qwen_F2,-0.15266090978969993
Qwen,full_shrinkage,egalitarian,Qwen_F3,-0.055486172794862926
Qwen,full_shrinkage,egalitarian,Qwen_F4,0.04680662392787932
Qwen,full_shrinkage,egalitarian,Qwen_F5,-0.04852870287141584
Qwen,full_shrinkage,elitist,Qwen_F1,-0.014190822139175208
Qwen,full_shrinkage,elitist,Qwen_F2,-0.0422758452828081
Qwen,full_shrinkage,elitist,Qwen_F3,-0.016725967703398025
Qwen,full_shrinkage,elitist,Qwen_F4,0.02377195751397246
Qwen,full_shrinkage,elitist,Qwen_F5,-0.002366822898930909
Qwen,full_shrinkage,eloquent,Qwen_F1,0.004372391266386837
Qwen,full_shrinkage,eloquent,Qwen_F2,-0.0005877156482995104
Qwen,full_shrinkage,eloquent,Qwen_F3,-0.012139800666321185
Qwen,full_shrinkage,eloquent,Qwen_F4,-0.019726865174984336
Qwen,full_shrinkage,eloquent,Qwen_F5,0.009281231936180237
Qwen,full_shrinkage,emotional,Qwen_F1,-0.006791532555064986
