file_or_source,line_or_location,context,refers_to,relevance_to_role_vector_construction
research/FINDINGS_LEDGER.md,447,"Downloaded Lu vector metadata remains underspecified locally: the exact fully-roleplaying versus somewhat-roleplaying storage category and retained-response IDs are not documented in local HF metadata. The earlier ""fixed 64-row selection"" framing is corrected: public Qwen vector tensors are `[64,5120]` because Qwen has 64 layers, not because vectors store 64 retained rollout examples.",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/RESEARCH_STATE.md,12,"**Current status:** Active — Paper 1.5 is now framed as `Interpreting Persona Activation Geometry`, with adaptive extraction treated as methodological due diligence and tooling validation rather than the headline contribution; Paper 2 is reframed around local centroid perturbation and local persona-manifold mapping; older dyad/contagion/attractor-collapse plans are archived as future dynamics work; evaluator-model sensitivity remains the main unfinished methodological item for Paper 1.5; H100 local-manifold work is future grant/Paper 2 work, not a prerequisite for Paper 1.5; persona geometry v",other/ambiguous local occurrence,not evidence of original retained response count
research/RESEARCH_STATE.md,164,"- All sampled Qwen role vector tensors that exist locally have exactly 64 rows; the 2026-05-31 role-rollout artifact audit corrected the interpretation: `[64, 5120]` is Qwen `num_layers x hidden_dim`, not a fixed 64 retained-rollout storage cap",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/RESEARCH_STATE.md,201,"- Corrected 2026-05-31: the earlier phrase ""Lu fixed 64-row cap"" should not be read as an original retained-response count; public evidence indicates the 64 rows in released Qwen vectors are layers, while the trickster all_1200/non-truncated/truncated cosines compare local rollout-derived means against the released aggregate trickster vector",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/RESEARCH_STATE.md,211,- Adaptive scoring reached 64 score>=2 responses and 33 score==3 responses in 64 scored records,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,227,"- Matched token-cap sensitivity follow-up completed on the same RunPod pod using the first 64 `(sp_idx, q_idx)` pairs from `editor_phase1_128.jsonl`",local editor matched sensitivity subset,"local project subset, not public original role-vector construction"
research/RESEARCH_STATE.md,229,"- Local integrity passed: 64 JSONL records, the same 64 pairs as the first 64 editor 512-cap records, 64 unique pairs, 64 activation shards, zero missing activation targets, zero empty responses, zero literal think tags, zero `think_artifact=True`, and sampled tensors load as shape `[5120]`",local editor matched sensitivity subset,"local project subset, not public original role-vector construction"
research/RESEARCH_STATE.md,230,- Truncation dropped from 50/64 at 512 tokens to 5/64 at 1024 tokens for the matched first-64 editor pairs,other/ambiguous local occurrence,not evidence of original retained response count
research/RESEARCH_STATE.md,235,- Codex GPT-5.5 Standard local role-expression scoring completed for the 128-record editor 512-token chunk and the matched 64-record editor 1024-token sensitivity chunk,other/ambiguous local occurrence,not evidence of original retained response count
research/RESEARCH_STATE.md,236,"- The 512-token chunk produced 10 score>=2 responses and 3 score==3 responses out of 128, below the validation gate of 64 score>=2 and 16 score==3 responses",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,237,"- The matched 1024-token chunk produced 5 score>=2 responses and 1 score==3 response out of 64, identical to the matched first-64 512-token score>=2 and score==3 counts",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,238,"- Matched token-cap comparison found truncation dropped from 50/64 to 5/64, exact score agreement was 62/64, score>=2 agreement was 64/64, and score==3 agreement was 64/64",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,310,- Imported 192 existing Codex score records: 64 trickster and 128 editor,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,450,"- Used raw Qwen/Qwen3-32B layer-48 activation-space vectors from `downloads/hf_vectors/qwen-3-32b/role_vectors/` and `downloads/hf_vectors/qwen-3-32b/trait_vectors/`; both role and trait tensors are stored as `[64, 5120]` examples and were mean-pooled, normalized, and compared by cosine.",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/RESEARCH_STATE.md,458,"- Computed trait-only PCA directly from raw Qwen/Qwen3-32B layer-48 trait vectors in `downloads/hf_vectors/qwen-3-32b/trait_vectors/`; 240 traits, tensors `[64, 5120]`, mean-pooled to 5120-D vectors.",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/RESEARCH_STATE.md,584,### Role Rollout Artifact and 64-Count Audit (2026-05-31),other/ambiguous local occurrence,not evidence of original retained response count
research/RESEARCH_STATE.md,586,"- Built `research/outputs/role_rollout_artifact_audit/` to determine whether original Assistant Axis rollout inputs, generated responses, response-level judge scores, retained-response IDs, and any relevant ""64"" count are publicly available.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,589,"- The remembered ""64"" count is resolved: the public Qwen role/trait vector shape `[64, 5120]` means 64 layers by 5120 hidden dimensions, not 64 retained examples. Other 64s refer to local adaptive scoring or matched editor subsets.",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/RESEARCH_STATE.md,649,"| Role rollout artifact availability | established / inputs-only public | 275 non-default roles x 5 positive instructions x 240 questions = 1,200 reconstructable inputs per role; no public original responses, scores, or retained masks; ""64"" resolved as layer count/local adaptive count | `research/outputs/role_rollout_artifact_audit/role_rollout_artifact_audit_report.md` |",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,674,"**Paper 1.5 scoring and validation:** Codex GPT-5.5 Standard was used as a pragmatic role-expression judge after the planned gpt-4.1-mini API scoring path was blocked by quota. Adaptive Codex scoring reached 64 scored records with 64 score>=2 and 33 score==3 responses; vector validation against the Lu trickster reference succeeded, with `score_ge_2` as the best candidate at cosine 0.957557 to the Lu mean, and adaptive stopping passed at n=16 for both score>=2 and score==3 subsets. This is an operationally validated adaptive extraction path, not a strict Lu-method judge replication.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,676,"**Editor second-persona test:** The first editor chunk completed 128 deterministic Qwen/Qwen3-32B rollouts at the 512-token cap, and a matched first-64 follow-up completed at the 1024-token cap. Codex GPT-5.5 scoring found only 10 score>=2 and 3 score==3 responses in the 128-record 512-token set; the matched 1024-token run sharply reduced truncation but did not improve role-expression yield. Vector validation and sample sufficiency were correctly not run for editor because validation thresholds were not met.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/RESEARCH_STATE.md,688,"**Current session update (2026-05-31, role rollout artifact audit):** Audited public and local role-rollout artifacts under `research/outputs/role_rollout_artifact_audit/`; inputs are reconstructable, original responses/scores/retained masks are not public, and the remembered ""64"" was resolved as Qwen layer count plus local adaptive-extraction counts rather than a public retained-response filter. Next step: train any revised instance-level forecaster on reconstructed intended instruction-question inputs mapped to role centroids, while treating successful-rollout-only training as requiring rege",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/THREAD_START.md,17,"Qwen trickster adaptive extraction worked operationally. The run preserved 1200 rollouts and 1200 activation shards, passed integrity, and Codex/GPT-5.5 adaptive scoring reached 64 score>=2 and 33 score==3 responses in 64 scored records. The score>=2 vector matched the Lu trickster mean at cosine 0.957557, and adaptive stopping passed at n=16.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/CLAIMS_REGISTER.md,182,Evidence: Trickster adaptive scoring reached 64 score>=2 and 33 score==3 in 64 scored records; score>=2 vector cosine to Lu trickster mean was 0.957557; adaptive stopping passed at n=16.,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/CLAIMS_REGISTER.md,324,"Claim: Public artifacts allow reconstruction of the intended 1,200 instruction-question inputs per non-default Assistant Axis role, but do not include original generated responses, response-level judge scores, or retained-response masks. The remembered ""64"" count has been traced to Qwen's 64-layer vector dimension and local adaptive-extraction counts, not to a public original retained-response filter.",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/CLAIMS_REGISTER.md,326,"Evidence: `data/roles/instructions/` contains 275 non-default role JSON files plus `default.json`; all 275 non-default roles have five positive instructions. `data/extraction_questions.jsonl` contains 240 shared questions, yielding 5 x 240 = 1,200 intended inputs per role. The official GitHub pipeline documents/implements response generation, judging, and vector construction, but public repository/Hugging Face artifacts do not include original response JSONLs, score JSONs, or retained IDs. The Qwen vector shape `[64,5120]` is layer x hidden dimension.",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/outputs/extraction_equivalence_audit/trickster_replication_method_summary.md,11,"- Rollouts: 1200 generated, 64 scored by Codex/GPT-5.5.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/outputs/extraction_equivalence_audit/trickster_replication_method_summary.md,12,"- Best vector: score>=2, n=64, cosine to Lu/reference vector 0.957557.",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/outputs/extraction_equivalence_audit/prior_adaptive_extraction_inventory.csv,4,"editor_1024_matched64,Qwen/Qwen3-32B,48,forward hook on model.model.layers[48] during full generated sequence forward pass,token-cap sensitivity activation shards; no validated role vector constructed,""mean over generated response tokens only, excluding prompt tokens"",64,score >=2 unchanged at 5/64; score==3 unchanged at 1/64,,not available; validation gate failed,""truncation reduced 45 cases, but role-expression counts unchanged"",research/q2_stability/qwen/outputs/paper1_5/editor_token_cap_sensitivity/editor_token_cap_comparison_codex_gpt55.md",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/phase1_inference_editor_matched64_1024.py,4,"Regenerates the first 64 `(sp_idx, q_idx)` pairs from the editor 128-rollout",local editor matched sensitivity subset,"local project subset, not public original role-vector construction"
research/q2_stability/qwen/scripts/phase1_inference_editor_matched64_1024.py,42,N_PAIRS = 64,local editor matched sensitivity subset,"local project subset, not public original role-vector construction"
research/q2_stability/qwen/scripts/phase1_inference_editor_matched64_1024.py,75,"raise RuntimeError(""Matched source contains duplicate pairs in first 64 records"")",local editor matched sensitivity subset,"local project subset, not public original role-vector construction"
research/q2_stability/qwen/scripts/blinded_axis_rater_study.py,95,"(REPO / ""research/q2_stability/qwen/outputs/paper1_5/editor_token_cap_sensitivity/editor_phase1_matched64_1024.jsonl"", ""Full rollout responses, but editor only and matched 64.""),",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/score_editor_phase2_codex_gpt55.py,284,"""score_3_n_ge_64"": len(strong) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_editor_phase2_codex_gpt55.py,286,"""score_ge_2_n_ge_64"": len(qualifying) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_editor_phase2_codex_gpt55.py,384,"f""- n >= 64 score-3 responses achieved: `{summary['thresholds']['score_3_n_ge_64']}`"",",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_editor_phase2_codex_gpt55.py,386,"f""- n >= 64 score>=2 responses achieved: `{summary['thresholds']['score_ge_2_n_ge_64']}`"",",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_trickster_phase2_codex_gpt55.py,294,if len(qualifying) >= 64 and len(strong) >= 16,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_trickster_phase2_codex_gpt55.py,316,"""score_3_n_ge_64"": len(strong) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_trickster_phase2_codex_gpt55.py,318,"""score_ge_2_n_ge_64"": len(qualifying) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_trickster_phase2_codex_gpt55.py,389,"f""- n >= 64 score-3 responses achieved: `{summary['thresholds']['score_3_n_ge_64']}`"",",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/score_trickster_phase2_codex_gpt55.py,391,"f""- n >= 64 score>=2 responses achieved: `{summary['thresholds']['score_ge_2_n_ge_64']}`"",",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/run_recalibration_and_trickster_pilot.py,141,"raise ValueError(f""Expected role tensor [64, hidden], got {arr.shape} for {role}"")",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,46,"BASE_N_GRID = [4, 8, 12, 16, 24, 32, 48, 64, 96, 128, 192, 256]",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,420,default_target = 64,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,421,"raw_min_acceptable = all_min[""criterion_a_self_p05_ge_0_95""] or 64",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,425,if strict_target <= 64:,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,427,elif min_acceptable <= 64:,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,455,"""Until Phase 2 scoring exists, use a fixed target of 64 available activations per """,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,556,"""### 3. How does the estimate compare to Lu et al.'s fixed 64-row cap?"",",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/q2_stability/qwen/scripts/analyze_trickster_sample_sufficiency.py,558,"f""Lu's fixed 64-row cap is `{lu_64_assessment}` for trickster under this pre-scoring analysis."",",resolved 64-count correction,states that 64 is not evidence of original retained response count
research/q2_stability/qwen/scripts/evaluator_sensitivity_analysis.py,334,"""codex_ge2_meets_64"": sum(1 for r in codex if int(r[""score""]) >= 2) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/evaluator_sensitivity_analysis.py,335,"""gpt41mini_ge2_meets_64"": sum(1 for r in gpt if r.get(""score"") is not None and int(r[""score""]) >= 2) >= 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/evaluator_sensitivity_analysis.py,461,"f""- `{role}`: Codex ge2>=64={th['codex_ge2_meets_64']}, gpt-4.1-mini ge2>=64={th['gpt41mini_ge2_meets_64']}; Codex score3>=16={th['codex_eq3_meets_16']}, gpt-4.1-mini score3>=16={th['gpt41mini_eq3_meets_16']}.""",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/scripts/evaluator_sensitivity_analysis.py,468,"""Evaluator sensitivity should be interpreted role by role. Trickster is the high-separability case: if both evaluators keep nearly all responses at score>=2, adaptive extraction remains robust even if score-3 counts shift. Editor is the low-separability assistant-adjacent case: if both evaluators keep score>=2 far below 64, evaluator substitution does not materially explain the editor extraction failure."",",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_vector_validation_codex_gpt55.json,11,"""phase2_scored_records"": 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_vector_validation_codex_gpt55.json,12,"""joined_records"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_vector_validation_codex_gpt55.json,19,"64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_vector_validation_codex_gpt55.json,38,"""n_qualifying"": 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_phase2_scores_codex_gpt55_report.md,9,Scored: 64 / 1200,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_phase2_scores_codex_gpt55_report.md,21,Score >= 2: 64 (100.0%),other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_phase2_scores_codex_gpt55_report.md,35,| 0 | 64 | 64 (100.0%) | 33 (51.6%) |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_phase2_scores_codex_gpt55_report.md,44,- n >= 64 score-3 responses achieved: `False`,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_phase2_scores_codex_gpt55_report.md,46,- n >= 64 score>=2 responses achieved: `True`,local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/editor_next_pod_card_draft.md,40,"downloads/hf_vectors/qwen-3-32b/role_vectors/editor.pt exists and loads as shape [64, 5120].",Qwen layer count / vector tensor first dimension,"relevant as layer count, not retained responses"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,28,"""parsed_scores"": 64,",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,30,"""score"": 64",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,36,"64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,45,"""count"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,264,"""n_total"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,274,"""count"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,378,"""default_target_n"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55.json,386,"""provisional_workflow_rule"": ""Until Phase 2 scoring exists, use a fixed target of 64 available activations per persona as the provisional default and require at least the Criterion A minimum from this analysis; once scores exist, rerun this script and set the target from score>=2 and score==3 subsets, not from all available activations.""",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.json,158,"""truncated"": 64,",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,33,| 2 | 240 | 155 | 64.6% |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,41,| 000-023 | 120 | 77 | 64.2% |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,42,| 024-047 | 120 | 77 | 64.2% |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,47,| 144-167 | 120 | 64 | 53.3% |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/truncation_diagnostic.md,49,| 192-215 | 120 | 77 | 64.2% |,other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,9,"all_1200,1200,64,500,0.9991840720176697,0.9994981288909912,0.9996523261070251,0.9994701147079468,0.00014421617379412055,0.956494152545929,0.9577088356018066,0.9586828947067261,0.9576686024665833,0.0006866173935122788,0.002188742160797119",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,25,"non_truncated,467,64,500,0.999317467212677,0.9995901584625244,0.9997244477272034,0.9995630979537964,0.00012700402294285595,0.9517125487327576,0.9531657099723816,0.954290509223938,0.953103244304657,0.0007721823058091104,0.00257796049118042",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,41,"truncated,733,64,500,0.9992508888244629,0.9995293021202087,0.9996805191040039,0.9995040893554688,0.00014168662892188877,0.95745849609375,0.9585011005401611,0.9593721628189087,0.958477258682251,0.000566737144254148,0.0019136667251586914",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,58,"sp_idx_0,240,64,500,0.9994179606437683,0.9996408224105835,0.9997438192367554,0.9996210932731628,0.00010694243246689439,0.9560540914535522,0.9570493698120117,0.9580039381980896,0.9570335745811462,0.0006167766405269504,0.0019498467445373535",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,73,"sp_idx_1,240,64,500,0.9994962215423584,0.9996665716171265,0.9997649788856506,0.9996506571769714,8.776052709436044e-05,0.9528200030326843,0.9541517496109009,0.9553669691085815,0.9541207551956177,0.0007801604806445539,0.002546966075897217",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,88,"sp_idx_2,240,64,500,0.9995250105857849,0.9996880292892456,0.9997696876525879,0.9996720552444458,7.332898530876264e-05,0.9450746774673462,0.9464220404624939,0.9477456212043762,0.9464202523231506,0.0008027650765143335,0.0026709437370300293",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,103,"sp_idx_3,240,64,500,0.9995179176330566,0.9996601343154907,0.9997642040252686,0.9996525049209595,8.072852506302297e-05,0.9499883055686951,0.9513289928436279,0.9526742100715637,0.9513558745384216,0.0007947476115077734,0.0026859045028686523",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,118,"sp_idx_4,240,64,500,0.9995678067207336,0.9997016191482544,0.9997910261154175,0.999691903591156,7.037718751234934e-05,0.9548680782318115,0.9557552933692932,0.9565451741218567,0.955713152885437,0.0005426006973721087,0.001677095890045166",other/ambiguous local occurrence,not evidence of original retained response count
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,132,"score_ge_2,64,4,500,0.9881927967071533,0.9924169778823853,0.9948768019676208,0.9920693039894104,0.0020706357900053263,0.945070207118988,0.9501144886016846,0.9543172121047974,0.9499752521514893,0.0028447750955820084,0.009247004985809326",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,133,"score_ge_2,64,8,500,0.9947049617767334,0.9964535236358643,0.9975104331970215,0.9963234066963196,0.0009034699760377407,0.951119065284729,0.9540663361549377,0.9568687677383423,0.9540478587150574,0.00171576882712543,0.005749702453613281",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,134,"score_ge_2,64,12,500,0.9965654015541077,0.9977922439575195,0.9984728097915649,0.9976885914802551,0.0005844330880790949,0.9531082510948181,0.9553512334823608,0.9577822089195251,0.9553577899932861,0.0013751822989434004,0.004673957824707031",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,135,"score_ge_2,64,16,500,0.997667133808136,0.9984567761421204,0.998917281627655,0.9983855485916138,0.0004198768292553723,0.9541202187538147,0.9561079740524292,0.9578018188476562,0.9560626149177551,0.0011651352979242802,0.0036816000938415527",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,136,"score_ge_2,64,24,500,0.9986467361450195,0.9991449117660522,0.9994076490402222,0.9991058111190796,0.00023446077830158174,0.9551759958267212,0.9566811323165894,0.9580931663513184,0.9566732048988342,0.0008971535135060549,0.002917170524597168",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
research/q2_stability/qwen/outputs/paper1_5/trickster_sample_sufficiency_codex_gpt55_curves.csv,137,"score_ge_2,64,32,500,0.9991430640220642,0.9994931221008301,0.9996466636657715,0.9994598627090454,0.00014751890557818115,0.9556828141212463,0.9570337533950806,0.9580988883972168,0.9569997191429138,0.0007184311980381608,0.002416074275970459",local project adaptive extraction scoring threshold/count,"local project method, not original public Assistant Axis release"
