requirement,figure_path,format,status,source_tables,description,provenance,sha256,size_bytes
Figure 2B,research/outputs/human_model_profile_visualization/figures/02b_top_trait_drivers.svg,svg,created,data/top_trait_drivers.csv,Top eight positive contributors and top eight disagreements per pair,created from frozen source table,0ffab10e962e7b6a2574ec012614ecb485b9c815b73e31b4516868d7780e3a69,206707
Figure 3,research/outputs/human_model_profile_visualization/figures/03_primary_pair_heatmap.png,png,created,data/primary_matched_profile_shapes.csv,Paired A-D model/human 45-trait heatmap,created from frozen source table,c237ce3c8ec72a805b3eaa97dd9d819c3741f1ff19468bf00eca17e791daa654,174730
Figure 3,research/outputs/human_model_profile_visualization/figures/03_primary_pair_heatmap.svg,svg,created,data/primary_matched_profile_shapes.csv,Paired A-D model/human 45-trait heatmap,created from frozen source table,4d7c2d71dce50e9094c75019e0fe70e03f89f476f1929735d215b13ab15c046f,168418
Figure 4,research/outputs/human_model_profile_visualization/figures/04_k_progression.png,png,created,data/k_progression.csv,"K progression with stability, anchors, and ineligible K9",created from frozen source table,86816abd136d2f7e6d571bc89255c64eabf241d4d377732125aea7e3f25015e0,153685
Figure 4,research/outputs/human_model_profile_visualization/figures/04_k_progression.svg,svg,created,data/k_progression.csv,"K progression with stability, anchors, and ineligible K9",created from frozen source table,8ed8d82526d27c8325ea959dc2f0d65a7c0b22cbb9911c86070198003341309d,69819
Figure 5,research/outputs/human_model_profile_visualization/figures/05_family_best_across_k.png,png,created,data/family_best_by_k.csv,Unconstrained best human-profile similarity by family across K,created from frozen source table,a7378c56a88fcdd6b0f0d1371497718ae5aa4d8c28f3b41369fcaffd693b44ad,215794
Figure 5,research/outputs/human_model_profile_visualization/figures/05_family_best_across_k.svg,svg,created,data/family_best_by_k.csv,Unconstrained best human-profile similarity by family across K,created from frozen source table,26af579bf05161645da9bf868139a9e910187a47221ac1059555aaabe2c8a0c6,112313
Figure 6,research/outputs/human_model_profile_visualization/figures/06_assignment_evolution_matrix.png,png,created,data/assignment_evolution.csv,Injective assignment evolution matrix across eligible K,created from frozen source table,d0c036472607c0c2c9ed5bd1b046c16e85009232ede4bee277c8b7f76abd790d,181657
Figure 6,research/outputs/human_model_profile_visualization/figures/06_assignment_evolution_matrix.svg,svg,created,data/assignment_evolution.csv,Injective assignment evolution matrix across eligible K,created from frozen source table,83eb7e5a6c3adcd28a1af9a0ea2a2958dacbede2877c5fbe8a52ce1dc3cb11d7,96467
Figure 7,research/outputs/human_model_profile_visualization/figures/07_human_profile_continuity_reused.png,png,reused,data/human_profile_continuity.csv,Frozen mutual-nearest human continuity relevant to A-D,reused byte-for-byte from research/outputs/human_model_profile_correspondence/figures/cross_resolution_persistence.png (54e9e3501033c56a3f0e080d3373cda529d49c8cfa22836813620f46e72b5036),54e9e3501033c56a3f0e080d3373cda529d49c8cfa22836813620f46e72b5036,114152
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k04.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,a16820ddfa1b754f04c152e17447886a7a467f521709368c8587a7cd8fbcbfd9,113714
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k04.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,7314954185c043a9dc179f0624f964de425f9d4b612dc392397ad87683f0a5b8,75467
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k05.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,af1c69bca0dda3902a654b72e47381023f9d2e49716175af5052ccec6bb4c5a7,127272
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k05.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,8f63f7b4c1e3ac60f4e9410aafd7d13e568e9b344cbeb6771aa1a3ad645a3032,79932
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k06.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,8debacb93710a3621340532582d555560745d94e87f3f12cf95b878925ca9a43,138312
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k06.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,a4a0180ec9f75e10783a4ad3a0d4568fa0149e859543b263da47cbec5ab67370,84253
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k07.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,38b268f9c6c99dbeade3831d5c36e4accab1d724389a261aa293845ef90f3f5a,148467
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k07.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,434a799fd296969153556cc97b6c076a2983dddf4d0f148ddadf97a74b2f55c5,88686
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k08.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,1e1f6f9781feff7e2eafbecc5f531de3bcff920561fa971e5972ede624265aad,165067
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k08.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,368f4f3f032fa4a5556a6d55b4936a7947d863895c644033abb3c55371d571bc,93110
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k10.png,png,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,57fb72094702840d077228452b818cbe441e8bfcb994392dac7b24559ba2f69b,184607
Figure 8,research/outputs/human_model_profile_visualization/figures/08_similarity_matrix_k10.svg,svg,created,data/full_similarity_matrices.csv,Full human × A-D plus secondary E similarity matrices,created from frozen source table,c0c3ce6b5ba86d9382b61456d2aa5445f6823166ceea0b126118d7becde5785d,103255
Figure 9,research/outputs/human_model_profile_visualization/figures/09_cde_competition.png,png,created,data/cde_competition.csv; data/cde_profile_shapes.csv,C/D/E competition in K10 human-profile region,created from frozen source table,69beee59dd3de23278b7eaf44e2285320bebf0de70079da060e0ffc7425009f2,697086
Figure 9,research/outputs/human_model_profile_visualization/figures/09_cde_competition.svg,svg,created,data/cde_competition.csv; data/cde_profile_shapes.csv,C/D/E competition in K10 human-profile region,created from frozen source table,9027f3ae25d12844209d835a5e26d539a06964ddc3b76814da3133e8da786399,152132
