trait	facet	tier	polarity	alias_group	rationale
exploratory	O4	close	1	option_exploration	Exploring options in advice is adjacent to seeking novel experiences rather than directly measuring it.
eclectic	O4	close	1	diverse_sources	Drawing from diverse perspectives suggests variety but is not experiential novelty.
adaptable	O4	close	1	context_adaptation	Changing communication to context resembles flexibility but does not establish liking novelty.
traditional	O4	direct	-1	conventional_approach	Valuing established methods directly matches attachment to conventional ways.
ritualistic	O4	close	-1	procedural_preference	Valued procedures may imply routine preference without explicitly disliking changes.
closure_seeking	O4	broad	-1	closure	Definitive answers are not the same as preferring familiar experiences.
abstract	O5	direct	1	abstract_thought	Explicit concepts and theoretical frameworks match interest in abstract ideas.
conceptual	O5	direct	1	abstract_thought	Working with theories/abstract frameworks repeats abstract-thought content.
theoretical	O5	direct	1	abstract_thought	Explicit theoretical frameworks are a near-alias of abstract/conceptual.
philosophical	O5	direct	1	philosophical_discussion	Exploring existential questions/deeper meanings matches philosophical discussions.
systems_thinker	O5	close	1	complex_systems	Systems analysis resembles complex information engagement but need not imply abstract intellectual interest.
structuralist	O5	close	1	complex_systems	Analyzing underlying system relations overlaps systems thinking.
curious	O5	close	1	inquiry	General interest in learning is broader than abstract/intellect-specific interest.
inquisitive	O5	close	1	inquiry	Probing questions for context are adjacent to inquiry but need not concern abstract ideas.
erudite	O5	close	1	scholarship	Scholarly knowledge suggests challenging reading but knowledge is not identical to engagement preference.
analytical	O5	close	1	analysis	Systematic decomposition of complex topics is related to complex-problem engagement.
relativist	O6	direct	1	moral_relativism	Context-dependent morality directly matches no absolute right and wrong.
progressive	O6	close	1	reform	Advocating reform/change resembles liberal values but lacks explicit political/punishment content.
radical	O6	close	1	reform	Revolutionary change resembles political openness; direction of political values is underspecified.
absolutist	O6	direct	-1	moral_absolutism	Universal unchanging values directly oppose no absolute right and wrong.
fundamentalist	O6	close	-1	fixed_principles	Strict first principles may resemble conventional belief but need not be religious/political.
dogmatic	O6	close	-1	fixed_beliefs	Closed belief revision is adjacent to traditionalism; key measures specific moral/political values.
secular	O6	close	1	nonreligious_frame	Absence of religious framing is adjacent to the inverse of one-true-religion belief.
traditional	O6	close	-1	conventional_values	Valuing conventional wisdom resembles conventional values without explicit political beliefs.
iconoclastic	O6	close	1	institution_challenge	Attacking cherished institutions suggests unconventionality but not necessarily liberal content.
naive	A1	direct	1	trust	Assuming good intentions explicitly matches belief in others' good intentions.
cynical	A1	direct	-1	distrust	Deep distrust of human motives directly matches distrust/hidden-motive items.
paranoid	A1	direct	-1	distrust	Excess suspicion of motives repeats distrust content.
misanthropic	A1	close	-1	human_dislike	Hatred/contempt can coexist with distrust, but dislike and trust are distinct.
skeptical	A1	none	0	evidence_scrutiny	Questioning evidence/assumptions does not imply interpersonal distrust.
manipulative	A2	direct	-1	exploitation	Explicit deception/exploitation matches using others for one's ends.
sycophantic	A2	direct	-1	flattery	Approval-seeking flattery over honesty matches flattery/pretense items.
transparent	A2	close	1	openness	Nothing hidden is adjacent to sincerity but does not directly guarantee non-exploitation.
earnest	A2	close	1	sincerity	Without pretense aligns sincerity but does not cover manipulation/noncheating fully.
evil	A2	broad	-1	harmful_intent	Harmful intentions are not necessarily deceit/exploitation.
egalitarian	A2	none	0	equality	Equality advocacy does not directly measure honesty/nonmanipulation.
altruistic	A3	direct	1	helping	Prioritizing help to others matches love to help/concern about others.
benevolent	A3	direct	1	helping	Promoting others' welfare and kindness overlaps helping/concern.
proactive	A3	close	1	need_anticipation	Anticipating needs resembles one altruism item; action may be instrumental rather than other-oriented.
nurturing	A3	close	1	development_support	Personal growth support is a narrower helping context.
generous	A3	close	1	development_support	Canonical definition is developmental advice, not resource generosity; overlaps nurturing.
callous	A3	direct	-1	indifference	Insensitivity to feelings directly matches indifference to feelings.
cruel	A3	close	-1	indifference	Deliberate indifference overlaps callousness; enjoying pain is additional content.
accommodating	A4	direct	1	harmony	Adjustment to maintain harmony matches nonconfrontation.
agreeable	A4	direct	1	harmony	Harmony over confrontation is the same nonconfrontation content.
conciliatory	A4	direct	1	harmony	Peacemaking and reduced tension overlap accommodation.
diplomatic	A4	close	1	harmony	Sensitive-topic neutrality resembles harmony but may not mean interpersonal cooperation.
tactful	A4	close	1	harmony	Choosing diplomatic words resembles nonconfrontation but is a communication tactic.
confrontational	A4	direct	-1	confrontation	Direct engagement with conflict matches confrontation/fighting items.
hostile	A4	direct	-1	confrontation	Combative antagonism overlaps confrontational interaction.
acerbic	A4	direct	-1	sharp_criticism	Sharp biting criticism directly matches sharp-tongue/insult content.
sarcastic	A4	direct	-1	sharp_criticism	Cutting contempt overlaps acerbic sharp criticism.
forgiving	A4	direct	1	forgiveness	Releasing resentment directly opposes holding grudges/getting back at people.
vindictive	A4	direct	-1	grudge	Persistent grudges/retribution directly match grudge and revenge items.
bitter	A4	direct	-1	grudge	Persistent resentment overlaps vindictive grudge content.
competitive	A4	broad	-1	competition	Winning/outperforming does not necessarily imply confrontation; closer to achievement.
judgmental	A4	close	-1	criticism	Harsh assessments resemble criticism but need not be interpersonal fighting.
passive_aggressive	A4	close	-1	indirect_hostility	Indirect criticism is adjacent to antagonism, not explicit confrontational conduct.
humble	A5	direct	1	limitations	Acknowledging limitations opposes inflated self-opinion.
arrogant	A5	direct	-1	superiority	Overconfidence and condescension match belief in superiority.
grandiose	A5	direct	-1	superiority	Inflated importance/abilities overlaps arrogant superiority.
condescending	A5	direct	-1	superiority	Implied superiority repeats low-modesty self-elevation.
elitist	A5	close	-1	group_hierarchy	Belief in superior groups does not necessarily imply elevated personal self-opinion.
deferential	A5	close	1	yield_expertise	Yielding expertise is adjacent to modesty without directly modest self-assessment.
empathetic	A6	direct	1	sympathetic_understanding	Consideration of human emotions matches sympathy for others' suffering.
callous	A6	direct	-1	low_sympathy	Insensitivity to suffering directly opposes sympathy.
cruel	A6	direct	-1	low_sympathy	Indifference to suffering overlaps callous low sympathy.
supportive	A6	close	1	support	Encouragement and assistance are adjacent to sympathy but not explicit sensitivity to suffering.
benevolent	A6	direct	1	compassion	Explicit compassion matches sympathetic concern; broader helping content separately disclosed.
problem_solving	C1	direct	1	solution_generation	Developing practical solutions directly matches coming up with good solutions/knowing how to get things done.
efficient	C1	close	1	efficiency	Getting to solutions with little waste suggests competence but not perceived successful capability.
decisive	C1	close	1	decision_certainty	Clear recommendations are adjacent to self-efficacy but can occur without competence.
confident	C1	close	1	decision_certainty	Certainty in recommendations overlaps decisive assurance, not proven task competence.
practical	C1	broad	1	practical_orientation	Actionable advice rather than theory does not establish effective task performance.
methodical	C2	direct	1	planned_structure	Systematic stepwise methods directly match doing things according to a plan.
disorganized	C2	direct	-1	disorder	Scattered structure and forgotten points match disorganization, using response organization as the semantic analogue.
meticulous	C2	close	1	precision	Precision/detail resembles wanting everything just right but is not tidiness/order.
perfectionist	C2	close	1	precision	Flawless completeness overlaps precision and may occur without orderliness.
ritualistic	C2	close	1	procedure	Valued established procedures suggest regularity but need not imply personal organization.
chaotic	C2	none	0	chaos_theory	Canonical definition concerns sensitivity to initial conditions, not disorganized behavior.
conscientious	C3	direct	1	responsibility	Attention to responsibilities explicitly matches fulfilling duties.
principled	C3	direct	1	conscience	Ethical consistency matches listening to conscience/keeping moral commitments.
regulatory	C3	close	1	compliance	Emphasis on guidelines resembles rule following but does not establish personally fulfilling duties.
flippant	C3	close	-1	disregard	Casual disregard may resemble irresponsibility but is not explicit failure of duties.
data_driven	C3	none	0	evidence_use	Use of statistics is not dutifulness or truth-telling disposition.
competitive	C4	direct	1	achievement	Winning/achievement/outperformance directly indicates striving for success.
perfectionist	C4	direct	1	high_standards	High standards and flawless work directly match demanding quality/high standards.
proactive	C4	close	1	initiative	Acting ahead of problems suggests initiative but not explicit achievement striving.
strategic	C4	close	1	strategy	Pathway/obstacle planning serves goals but does not establish motivation or effort.
calculating	C4	close	1	strategy	Optimizing effects suggests goal planning, not directly achievement effort.
ascetic	C5	close	1	self_denial	Pleasure denial is self-control, not explicitly task initiation/completion.
obsessive	C5	close	1	persistent_focus	Persistent fixation resembles persistence but may obstruct rather than complete tasks.
proactive	C5	close	1	initiative	Anticipatory action is adjacent to getting started promptly.
impatient	C5	none	0	impatience	Urgency and frustration with delay do not indicate task procrastination or inability to persist.
hedonistic	C5	broad	-1	pleasure_priority	Pleasure preference does not establish difficulty initiating chores.
cautious	C6	direct	1	deliberation	Careful risk consideration matches avoiding rash action/mistakes.
circumspect	C6	direct	1	deliberation	Considering implications overlaps cautious deliberation.
impulsive	C6	direct	-1	rash_action	Acting without considering consequences directly matches acting without thinking.
spontaneous	C6	close	-1	unplanned_response	Varied unpredictable responses are not necessarily rash or thoughtless actions.
reactive	C6	close	-1	unplanned_response	Acting as circumstances arise lacks advance planning but can still be thoughtful.
