trait,canonical_definition,sapa_review_tier,sapa_item_ids,sapa_supporting_source_scales,external_domain,external_facet_code,external_facet,polarity,confidence_tier,mapping_relation,mapping_rationale,review_status,source_provenance
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",ACCEPT_DIRECT,q_463;q_1742;q_1803,HEXACO:H:E:D;IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,extraversion,E2,Gregariousness,positive,high,direct,Seeking company and social interaction directly match Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
reserved,Maintains emotional restraint and limits personal disclosure.,ACCEPT_DIRECT,q_1196;q_1635;q_1742,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,extraversion,E2,Gregariousness,negative,high,direct,Limited disclosure and social initiation indicate low Gregariousness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
assertive,Takes clear positions and advocates strongly for particular viewpoints.,ACCEPT_DIRECT,q_2161;q_1768;q_1769,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,extraversion,E3,Assertiveness,positive,high,direct,Taking charge and advocating positions directly match Assertiveness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
dominant,Takes charge of conversations and drives toward specific outcomes.,ACCEPT_DIRECT,q_1768;q_1769;q_2161,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,extraversion,E3,Assertiveness,positive,high,direct,Taking charge directly matches Assertiveness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,ACCEPT_CLOSE,q_2161;q_1768,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,extraversion,E3,Assertiveness,negative,medium,proxy,Avoiding assertion is a close low-Assertiveness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",ACCEPT_DIRECT,q_1662;q_2011,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,extraversion,E5,Excitement-Seeking,positive,high,direct,Seeking adventure and stimulation directly matches Excitement-Seeking.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",ACCEPT_CLOSE,q_1781;q_292;q_1780,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,extraversion,E5,Excitement-Seeking,positive,medium,proxy,Personal risk propensity is a close proxy for Excitement-Seeking.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",ACCEPT_CLOSE,q_4265;q_1685,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,extraversion,E6,Cheerfulness,positive,medium,proxy,Joking and playful foolishness are a close Cheerfulness proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",ACCEPT_DIRECT,q_1350;q_1457;q_1835,IPIPneo:E6:CH;MPQ:MPQ:UV;IPIPneo:A1:TR,extraversion,E6,Cheerfulness,positive,high,direct,Positive outlook and hope directly support Cheerfulness.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",ACCEPT_DIRECT,q_4265;q_1685;q_1043,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,extraversion,E6,Cheerfulness,positive,high,direct,"Fun, joking, and lightheartedness directly match Cheerfulness.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
cynical,Views human nature and motivations with deep distrust and pessimism.,ACCEPT_DIRECT,q_594;q_343;q_381,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,agreeableness,A1,Trust,negative,high,direct,Distrust of human motives directly opposes Trust.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",ACCEPT_CLOSE,q_377;q_1854;q_1758,IPIPneo:A1:TR;MPQ:MPQ:AL,agreeableness,A1,Trust,positive,medium,proxy,Assuming good intentions is a close high-Trust proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,ACCEPT_DIRECT,q_1758;q_880;q_594,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,agreeableness,A1,Trust,negative,high,direct,Suspicion and distrust directly oppose Trust.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",ACCEPT_DIRECT,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,agreeableness,A2,Morality,negative,high,direct,Deception and exploitation directly oppose Morality.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
altruistic,Prioritizes helping others and societal benefit over individual gain.,ACCEPT_DIRECT,q_1385;q_4229;q_1764,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,agreeableness,A3,Altruism,positive,high,direct,Helping and charitable concern directly match Altruism.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",ACCEPT_CLOSE,q_1051,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,agreeableness,A4,Cooperation,negative,medium,proxy,"A sharp, harsh tongue is a close low-Cooperation proxy.",frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,ACCEPT_DIRECT,q_6;q_1763;q_1910,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,agreeableness,A4,Cooperation,positive,high,direct,Harmony and cooperation directly match Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",ACCEPT_DIRECT,q_848;q_1150;q_630,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,agreeableness,A4,Cooperation,negative,high,direct,Grudges and revenge oppose Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
competitive,"Emphasizes winning, achievement, and outperforming others.",ACCEPT_CLOSE,q_1910,IPIPneo:A6:SY,agreeableness,A4,Cooperation,negative,medium,proxy,Prioritizing winning over cooperation is a close low-Cooperation proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",ACCEPT_DIRECT,q_145;q_915;q_1869,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,agreeableness,A4,Cooperation,positive,high,direct,Releasing grudges and pardoning errors support Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
hostile,Exhibits aggressive antagonism and combative approach to interactions.,ACCEPT_CLOSE,q_1051;q_630;q_1150,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO;HEXACO:H:A:FO,agreeableness,A4,Cooperation,negative,medium,proxy,Aggressive antagonism is a close low-Cooperation proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,ACCEPT_DIRECT,q_239;q_238,HEXACO:H:A:G;QB6:QB6:A,agreeableness,A4,Cooperation,negative,high,direct,Harsh interpersonal judgment opposes cooperative accommodation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",ACCEPT_DIRECT,q_278,HEXACO:H:A:P;QB6:QB6:A,agreeableness,A4,Cooperation,positive,high,direct,Patience supports non-hostile accommodation and Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,ACCEPT_DIRECT,q_630;q_1150,MPQ:MPQ:AG;HEXACO:H:A:FO;IPIPneo:A4:CO,agreeableness,A4,Cooperation,negative,high,direct,Revenge and persistent grudges directly oppose Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",ACCEPT_CLOSE,q_1555;q_1871,HEXACO:H:H:S;HEXACO:H:H:GA,agreeableness,A5,Modesty,negative,medium,proxy,Pompous self-display is a close low-Modesty proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
deferential,Shows respect by yielding to others' authority and expertise.,ACCEPT_CLOSE,q_1624;q_917,BFAS:BFAS:A:P;HEXACO:H:H:S,agreeableness,A5,Modesty,positive,medium,proxy,Yielding status claims is a close Modesty proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
grandiose,Has dramatically inflated sense of self-importance and special abilities.,ACCEPT_DIRECT,q_364;q_1042;q_1830,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,agreeableness,A5,Modesty,negative,high,direct,Inflated self-importance directly opposes Modesty.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,ACCEPT_DIRECT,q_146;q_251;q_4231,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,agreeableness,A6,Sympathy,negative,high,direct,Indifference to feelings and suffering directly opposes Sympathy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,ACCEPT_CLOSE,q_251;q_4251;q_4231,HEXACO:H:E:S;EPQr:EPQ:P,agreeableness,A6,Sympathy,negative,medium,proxy,Indifference to suffering is a close low-Sympathy proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
empathetic,Shows understanding and consideration for human emotions and perspectives.,ACCEPT_DIRECT,q_844;q_1763;q_1757,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,agreeableness,A6,Sympathy,positive,high,direct,Direct compassion and emotional understanding match Sympathy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",ACCEPT_DIRECT,q_1989;q_4249;q_4256,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,neuroticism,N1,Anxiety,positive,high,direct,Worry and nervous anticipation directly match Anxiety.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",ACCEPT_CLOSE,q_248;q_820;q_819,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,neuroticism,N1,Anxiety,negative,medium,proxy,Relaxed affect is a close low-Anxiety proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",ACCEPT_DIRECT,q_1989;q_1099;q_1578,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,neuroticism,N1,Anxiety,positive,high,direct,Persistent anxiety and negative emotionality directly indicate Neuroticism.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,ACCEPT_CLOSE,q_248;q_4261,IPIP100:B5:ES;MPQ:MPQ:SR;EPQr:EPQ:P,neuroticism,N1,Anxiety,negative,medium,proxy,Relaxed unconcern is a close low-Anxiety proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",ACCEPT_DIRECT,q_1038;q_808,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,neuroticism,N1,Anxiety,positive,high,direct,Dark outlook and expecting the worst indicate anxiety-prone negative anticipation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",ACCEPT_DIRECT,q_1706;q_1578;q_811,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,neuroticism,N3,Depression,positive,high,direct,Persistent sadness and hopelessness directly match Depression.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",ACCEPT_CLOSE,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,neuroticism,N3,Depression,positive,medium,proxy,Frequent mood shifts are a close negative-affect proxy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",ACCEPT_DIRECT,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,neuroticism,N3,Depression,positive,high,direct,Mood instability is carried by the reviewed IPIP-NEO negative-affect evidence.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",ACCEPT_DIRECT,q_85;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,neuroticism,N6,Vulnerability,negative,high,direct,Composure under tension is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,ACCEPT_DIRECT,q_1606;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,neuroticism,N6,Vulnerability,negative,high,direct,Rapid recovery and stability under pressure are the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
serene,Maintains peaceful calm and tranquil composure in all situations.,ACCEPT_DIRECT,q_85;q_1616;q_1588,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,neuroticism,N6,Vulnerability,negative,high,direct,Calm composure under pressure is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
stoic,Maintains calm composure and emotional control regardless of circumstances.,ACCEPT_DIRECT,q_1185;q_1588;q_1616,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,neuroticism,N6,Vulnerability,negative,high,direct,Emotional control under pressure is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
