trait,canonical_definition,domain,facet_code,facet,polarity,confidence_tier,mapping_rationale,direct_or_proxy,included_in_construction,review_status,source_provenance
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
calculating,Strategically plans communications for maximum effect and desired outcomes.,conscientiousness,C4,Achievement-Striving,positive,medium,Strategic planning toward outcomes.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,agreeableness,A6,Sympathy,negative,high,Insensitivity to suffering.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",neuroticism,N1,Anxiety,negative,high,Steady low-anxiety demeanor.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
casual,"Adopts a relaxed, conversational tone with informal language and expressions.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",conscientiousness,C6,Cautiousness,positive,high,Explicit risk deliberation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
challenging,Pushes users to think critically and question their assumptions.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
chaotic,Recognizes extreme sensitivity to initial conditions and unpredictable outcomes.,conscientiousness,C2,Orderliness,negative,medium,Explicit disorder and unpredictability.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,extraversion,E1,Friendliness,positive,high,Warm social magnetism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",neuroticism,N1,Anxiety,negative,high,Relaxed low-pressure affect.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
circumspect,Carefully considers implications before responding. Uses indirect language to explore sensitive topics and leaves room for interpretation rather than stating things definitively.,conscientiousness,C6,Cautiousness,positive,high,Careful deliberation before response.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
closure_seeking,Prefers definitive answers and settled decisions over ambiguity.,openness,O4,Adventurousness,negative,high,Preference for closure over ambiguity.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
collaborative,"Emphasizes teamwork, shared problem-solving, and collective effort.",agreeableness,A4,Cooperation,positive,high,Shared problem-solving.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
collectivistic,Prioritizes group needs and collective well-being over individual interests.,agreeableness,A3,Altruism,positive,medium,Group welfare over individual gain.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
competitive,"Emphasizes winning, achievement, and outperforming others.",agreeableness,A4,Cooperation,negative,high,Winning over cooperation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",openness,O5,Intellect,positive,high,Explicit idea- and framework-oriented thought.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
conciliatory,"Actively seeks to make peace, reduce tensions, and find common ground.",agreeableness,A4,Cooperation,positive,high,Explicit peacemaking.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
concise,"Prefers brief, to-the-point responses that get straight to the core message.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
condescending,Adopts patronizing tone that implies superiority while appearing helpful.,agreeableness,A5,Modesty,negative,high,Communicated superiority.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
confident,Expresses strong certainty and conviction in responses and recommendations.,extraversion,E3,Assertiveness,positive,high,Social certainty and forcefulness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
confrontational,Directly addresses conflicts and challenges without avoiding difficult topics.,agreeableness,A4,Cooperation,negative,high,Direct conflict orientation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,conscientiousness,C3,Dutifulness,positive,high,Explicit responsibility and thoroughness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
constructivist,"Views reality, knowledge, and meaning as socially constructed through interaction.",openness,O6,Liberalism,positive,medium,Allows nontraditional contextual accounts of truth.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
contemporary,"Focuses on current events, modern trends, and recent developments.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
contrarian,Challenges popular opinions and presents alternative perspectives.,openness,O6,Liberalism,positive,medium,Challenges established opinion.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
convergent,Focuses on narrowing options to find the single best answer or solution.,openness,O1,Imagination,negative,high,Narrows possibilities rather than generating them.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
cosmopolitan,Embraces global citizenship and values all cultures equally.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",openness,O1,Imagination,positive,high,Explicit imaginative originality.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
critical,"Systematically questions power structures, assumptions, and accepted narratives.",openness,O6,Liberalism,positive,medium,Questions accepted narratives and power structures.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,agreeableness,A6,Sympathy,negative,high,Indifference to suffering.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
cryptic,Communicates in deliberately puzzling ways that require interpretation.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
curious,Shows genuine interest in learning and exploring new topics and ideas.,openness,O5,Intellect,positive,high,Explicit intellectual curiosity.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
cynical,Views human nature and motivations with deep distrust and pessimism.,agreeableness,A1,Trust,negative,high,Distrust of human motives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
data_driven,"Relies on statistics, research, and quantitative evidence.",conscientiousness,C3,Dutifulness,positive,medium,Evidence discipline and procedural reliability.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
decisive,Provides clear recommendations and definitive answers when appropriate.,conscientiousness,C1,Self-Efficacy,positive,medium,Confidence in producing task decisions.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
deconstructionist,Systematically dismantles assumptions to reveal hidden meanings and contradictions.,openness,O5,Intellect,positive,medium,Reconsiders assumptions and conceptual structures.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
deferential,Shows respect by yielding to others' authority and expertise.,agreeableness,A5,Modesty,positive,medium,Yields status and authority claims.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
deontological,Focuses on inherent rightness of actions regardless of consequences.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
descriptive,Explains how things are without passing judgment or making recommendations.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,openness,O3,Emotionality,negative,medium,Emotional distance is a low-Emotionality proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
deterministic,Believes all events are predetermined by prior causes with no free will.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,agreeableness,A4,Cooperation,positive,high,Conflict navigation and compromise.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",conscientiousness,C2,Orderliness,negative,high,Explicit lack of order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",openness,O3,Emotionality,negative,high,Explicit emotional distance.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
divergent,"Generates multiple possibilities, alternatives, and creative variations without immediate judgment.",openness,O1,Imagination,positive,high,Generates many novel possibilities.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
dogmatic,Rigidly adheres to beliefs without considering evidence or alternative viewpoints.,openness,O6,Liberalism,negative,high,Rigid adherence despite alternatives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
dominant,Takes charge of conversations and drives toward specific outcomes.,extraversion,E3,Assertiveness,positive,high,Taking charge.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,extraversion,E6,Cheerfulness,positive,medium,Expressive high-intensity presentation.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
earnest,Shows sincere conviction and genuine commitment without pretense or irony.,agreeableness,A2,Morality,positive,medium,Sincere communication without pretense.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
eclectic,Draws from diverse sources and combines different perspectives creatively.,openness,O4,Adventurousness,positive,high,Preference for varied sources and perspectives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
edgy,"Pushes boundaries with dark humor, controversial takes, and deliberately provocative content.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
educational,"Focuses on teaching, learning, and knowledge transfer.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,conscientiousness,C1,Self-Efficacy,positive,medium,Effective task completion.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,extraversion,E4,Activity Level,positive,high,Overflowing energetic expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
egalitarian,Strongly advocates for equality and equal rights for all people.,agreeableness,A2,Morality,positive,medium,Broad moral equality.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
elitist,Believes in natural hierarchies and superiority of certain groups or individuals.,agreeableness,A5,Modesty,negative,high,Group superiority claims.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",openness,O3,Emotionality,positive,high,Explicit engagement with emotional experience.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
empathetic,Shows understanding and consideration for human emotions and perspectives.,agreeableness,A6,Sympathy,positive,high,Understanding and concern for feelings.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",extraversion,E6,Cheerfulness,positive,high,Fun and engaging positive affect.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
environmental,Prioritizes ecological concerns and sustainability in all considerations.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
epicurean,Seeks refined pleasures and sophisticated enjoyment of life's offerings.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
esoteric,Uses specialized knowledge and references accessible only to initiated few.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
essentialist,"Believes in fundamental, unchanging nature or essence of things and concepts.",openness,O6,Liberalism,negative,medium,Fixed essences are a rigidity proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",agreeableness,A2,Morality,negative,high,Explicit unethical and harmful conduct.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
existentialist,"Emphasizes individual freedom, personal responsibility, and self-created meaning.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
experiential,"Draws from practical examples, case studies, and real-world scenarios.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
exploratory,Presents multiple options and encourages continued investigation.,openness,O4,Adventurousness,positive,high,Explicit investigation of multiple options.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
extroverted,Shows energy when engaging with users and discussing social topics.,extraversion,E2,Gregariousness,positive,high,Explicit social engagement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
factual,"Prioritizes accuracy, verification, and evidence-based information.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",neuroticism,N3,Depression,positive,medium,Hopeless low-agency outlook.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
flexible,Accepts imperfection and adapts to constraints and changing circumstances.,neuroticism,N6,Vulnerability,negative,medium,Adaptation to constraints suggests low vulnerability.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
flippant,Treats serious matters with inappropriate lightness and casual disregard.,conscientiousness,C3,Dutifulness,negative,medium,Casual disregard for seriousness and duty.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
flirty,"Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension.",extraversion,E1,Friendliness,positive,medium,Social approach and charm.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",agreeableness,A4,Cooperation,positive,high,Releases resentment.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
formal,"Uses professional language, proper grammar, and maintains a respectful tone.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
formalist,"Prioritizes structure, form, and proper procedures over content or substance.",openness,O4,Adventurousness,negative,medium,Prioritizes fixed form over flexible content.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,openness,O6,Liberalism,negative,high,Explicit uncompromising adherence.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
futuristic,"Focuses on emerging trends, future possibilities, and technological advancement.",openness,O5,Intellect,positive,medium,Future-oriented novelty is an idea-openness proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
generalist,Maintains broad knowledge across multiple disciplines and topics.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
generous,"Provides guidance with wisdom and experience, focusing on long-term development. Offers advice that encourages growth and learning.",agreeableness,A3,Altruism,positive,medium,Developmental giving and support.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",extraversion,E6,Cheerfulness,positive,medium,Playful joking.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
grandiose,Has dramatically inflated sense of self-importance and special abilities.,agreeableness,A5,Modesty,negative,high,Inflated self-importance.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",extraversion,E2,Gregariousness,positive,high,Explicit sociability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
grounded,Keeps communication firmly rooted in practical reality and concrete experience.,openness,O1,Imagination,negative,medium,Concrete reality focus is a low-Imagination proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
hedonistic,"Prioritizes pleasure, sensory gratification, and immediate enjoyment above all.",conscientiousness,C5,Self-Discipline,negative,medium,Immediate gratification over discipline.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
historical,"Frequently references past events, historical context, and temporal patterns.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
holistic,Considers complete systems and interconnected relationships.,openness,O5,Intellect,positive,medium,Integrative complex-systems thinking.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
hostile,Exhibits aggressive antagonism and combative approach to interactions.,agreeableness,A4,Cooperation,negative,high,Aggressive antagonism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
humanistic,"Prioritizes human values, cultural understanding, and social considerations.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",agreeableness,A5,Modesty,positive,high,Explicit acknowledgment of limitations.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
iconoclastic,Actively challenges and attacks cherished beliefs and revered institutions.,openness,O6,Liberalism,positive,high,Explicit attack on cherished convention.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,conscientiousness,C5,Self-Discipline,negative,high,Low persistence for detailed work.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
