model,construction,domain,sensitivity_type,omitted,omitted_polarity,direction_cosine_to_full,role_score_pearson_to_full,role_score_spearman_to_full
qwen,human_anchored_strict,extraversion,leave_one_trait_out,dominant,positive,0.9962977697016673,0.9988488247462882,0.9985130261677391
qwen,human_anchored_strict,extraversion,leave_one_trait_out,adventurous,positive,0.9981672135733787,0.9995205708617785,0.9993225815758345
qwen,human_anchored_strict,extraversion,leave_one_trait_out,optimistic,positive,0.9954859944874181,0.9981466985650852,0.9976157641152881
qwen,human_anchored_strict,extraversion,leave_one_trait_out,playful,positive,0.9982362618495937,0.9997256127274659,0.9995447332737083
qwen,human_anchored_strict,extraversion,leave_one_facet_out,E2,mixed,0.8071300393530463,0.922592767702079,0.9263991229335565
qwen,human_anchored_strict,extraversion,leave_one_facet_out,E3,mixed,0.9832238510808395,0.994499131044481,0.9940642220362945
qwen,human_anchored_strict,extraversion,leave_one_facet_out,E5,mixed,0.9981672135733787,0.9995205708617785,0.9993225815758345
qwen,human_anchored_strict,extraversion,leave_one_facet_out,E6,mixed,0.9917956632941356,0.9971520294199793,0.9965511670176856
qwen,human_anchored_strict,extraversion,positive_only_vs_bipolar,all_negative_traits,negative,0.9049631934652479,0.975315977938542,0.9774455439831512
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,cynical,negative,0.9990847638468956,0.999266954295218,0.9983999307579123
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,paranoid,negative,0.9983419777014468,0.9996356875071404,0.9993727820893802
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,manipulative,negative,0.9978047643482708,0.9980664647741901,0.9963140128674881
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,altruistic,positive,0.994777732180312,0.9985862042708155,0.9978021407345431
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,agreeable,positive,0.9969270787950659,0.9959759225043888,0.9921681428695076
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,bitter,negative,0.9983897953005224,0.9980609041722373,0.9967040766279104
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,forgiving,positive,0.995972005722633,0.9957553754699298,0.9920198493984593
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,judgmental,negative,0.9990458483980771,0.9994525388338211,0.9989100141369263
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,patient,positive,0.9908474492445017,0.9862510805870901,0.9787040189261706
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,vindictive,negative,0.997794968912731,0.9978325155088645,0.9955223449987017
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,grandiose,negative,0.9975970765171547,0.996863050413346,0.9947543348431955
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,callous,negative,0.9984970228016092,0.9986655768843453,0.9971501110758489
qwen,human_anchored_strict,agreeableness,leave_one_trait_out,empathetic,positive,0.9920879812517698,0.9879588845527522,0.9806549147456797
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A1,mixed,0.9955494805472058,0.9981437224327876,0.9967433138109114
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A2,mixed,0.9978047643482708,0.9980664647741901,0.9963140128674881
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A3,mixed,0.994777732180312,0.9985862042708155,0.9978021407345431
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A4,mixed,0.9314110301248749,0.9304031217227008,0.9113164651914256
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A5,mixed,0.9975970765171547,0.996863050413346,0.9947543348431955
qwen,human_anchored_strict,agreeableness,leave_one_facet_out,A6,mixed,0.9865091969039406,0.9805385506414754,0.967850898704596
qwen,human_anchored_strict,agreeableness,positive_only_vs_bipolar,all_negative_traits,negative,0.9488739012580081,0.9031886868356072,0.8541415423675024
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,anxious,positive,0.9973936453105661,0.9981666152641273,0.9980566054066531
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,neurotic,positive,0.9976336242820442,0.9986925872444806,0.9983001067482185
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,pessimistic,positive,0.9945807389874817,0.9979129944395291,0.9971512651106432
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,melancholic,positive,0.9948566375352083,0.9959925409688334,0.9959193329678891
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,temperamental,positive,0.9956973695737596,0.9990720211612676,0.9985193733591067
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,calm,negative,0.997405057221209,0.9981687941502234,0.9977034707596433
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,resilient,negative,0.9942222897019786,0.998923426723677,0.9984507082888551
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,serene,negative,0.9932937717198946,0.9949380969490195,0.994679322581576
qwen,human_anchored_strict,neuroticism,leave_one_trait_out,stoic,negative,0.9923191970639007,0.9957980075850641,0.992396064741352
qwen,human_anchored_strict,neuroticism,leave_one_facet_out,N1,mixed,0.9791366014341292,0.9854199852207007,0.9895519459911717
qwen,human_anchored_strict,neuroticism,leave_one_facet_out,N3,mixed,0.9912909417626138,0.9919245641647023,0.9912541473125415
qwen,human_anchored_strict,neuroticism,leave_one_facet_out,N6,mixed,0.9615072515914984,0.9817012051697693,0.9745316061279248
qwen,human_anchored_strict,neuroticism,positive_only_vs_bipolar,all_negative_traits,negative,0.9615072515914984,0.9817012051697693,0.9745316061279248
qwen,human_anchored_extended,openness,leave_one_trait_out,creative,positive,0.9994813365198851,0.9997707204166207,0.9996191685179309
qwen,human_anchored_extended,openness,leave_one_trait_out,introspective,positive,0.9984302303381347,0.9997833951320876,0.9996214765875192
qwen,human_anchored_extended,openness,leave_one_trait_out,artistic,positive,0.9989914866454878,0.9993794232952086,0.9991904445919044
qwen,human_anchored_extended,openness,leave_one_trait_out,detached,negative,0.906781560237563,0.9339008823733282,0.936663108392718
qwen,human_anchored_extended,openness,leave_one_trait_out,emotional,positive,0.9991899305691563,0.9996146385426066,0.9993750901589683
qwen,human_anchored_extended,openness,leave_one_trait_out,passionate,positive,0.9991869613440263,0.9998185348824065,0.9996872565707856
qwen,human_anchored_extended,openness,leave_one_trait_out,zealous,positive,0.9986779174457162,0.999401202876034,0.9990334958599002
qwen,human_anchored_extended,openness,leave_one_trait_out,adaptable,positive,0.9983244753524916,0.9990628254658828,0.9986209284209919
qwen,human_anchored_extended,openness,leave_one_trait_out,curious,positive,0.9990188786984296,0.9998793337561208,0.9997345719973457
qwen,human_anchored_extended,openness,leave_one_trait_out,innovative,positive,0.9989037458793605,0.9995827413949362,0.9993773982285566
qwen,human_anchored_extended,openness,leave_one_trait_out,intuitive,positive,0.9990317706662789,0.9996486549456368,0.9995418481867228
qwen,human_anchored_extended,openness,leave_one_trait_out,secular,positive,0.9976095313929677,0.9988420388252227,0.9981985516863334
qwen,human_anchored_extended,openness,leave_one_trait_out,traditional,negative,0.9132760736227516,0.9651070383051376,0.9588626987103661
qwen,human_anchored_extended,openness,leave_one_facet_out,O1,mixed,0.9968405859754194,0.9991605648329318,0.9987865324139524
qwen,human_anchored_extended,openness,leave_one_facet_out,O2,mixed,0.9989914866454878,0.9993794232952086,0.9991904445919044
qwen,human_anchored_extended,openness,leave_one_facet_out,O3,mixed,0.87446946499915,0.9001111814957411,0.9045555523499035
qwen,human_anchored_extended,openness,leave_one_facet_out,O4,mixed,0.9983244753524916,0.9990628254658828,0.9986209284209919
qwen,human_anchored_extended,openness,leave_one_facet_out,O5,mixed,0.997869840065917,0.999408817778878,0.9992654568535242
qwen,human_anchored_extended,openness,leave_one_facet_out,O6,mixed,0.9097077604591564,0.9651942547171914,0.958016791206255
qwen,human_anchored_extended,openness,positive_only_vs_bipolar,all_negative_traits,negative,0.9588632118808189,0.9902441855707897,0.9874631430137619
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,confident,positive,0.9952333551681236,0.9992325322477671,0.999085427425637
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,disorganized,negative,0.9876869895127609,0.9982280047082557,0.9988188453881884
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,methodical,positive,0.9982779093518257,0.9993806839757159,0.9992694959753037
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,meticulous,positive,0.9993481311216941,0.9998408712027742,0.9997813104065087
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,perfectionist,positive,0.9990411627855259,0.9996791214465771,0.9995805083523269
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,proactive,positive,0.9959595708709432,0.9995464660768526,0.9992458382620236
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,conscientious,positive,0.9983374791088482,0.9995397998138374,0.9996191685179309
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,cautious,positive,0.995189257200744,0.9993400170012381,0.9994287527768962
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,impulsive,negative,0.9768930249847203,0.998650157154588,0.9984841752978852
qwen,human_anchored_extended,conscientiousness,leave_one_trait_out,spontaneous,negative,0.9880674814557537,0.996321372835542,0.997282248059779
qwen,human_anchored_extended,conscientiousness,leave_one_facet_out,C1,mixed,0.9952333551681236,0.9992325322477671,0.999085427425637
qwen,human_anchored_extended,conscientiousness,leave_one_facet_out,C2,mixed,0.9832019972664476,0.998313884650492,0.9985493782637547
qwen,human_anchored_extended,conscientiousness,leave_one_facet_out,C4,mixed,0.9937769801887697,0.999511465579784,0.9993093101757017
qwen,human_anchored_extended,conscientiousness,leave_one_facet_out,C5,mixed,0.9983374791088482,0.9995397998138374,0.9996191685179309
qwen,human_anchored_extended,conscientiousness,leave_one_facet_out,C6,mixed,0.9361056596759794,0.9896050150116055,0.9931629208620639
qwen,human_anchored_extended,conscientiousness,positive_only_vs_bipolar,all_negative_traits,negative,0.9117350725577655,0.9608866100407388,0.9640333516055509
qwen,human_anchored_extended,extraversion,leave_one_trait_out,avoidant,negative,0.9838928308369651,0.9956565665650876,0.9965609763134359
qwen,human_anchored_extended,extraversion,leave_one_trait_out,extroverted,positive,0.9987790062520465,0.9992249199802903,0.9991569775828741
qwen,human_anchored_extended,extraversion,leave_one_trait_out,gregarious,positive,0.9974182320040759,0.998234962191425,0.9979602435013416
qwen,human_anchored_extended,extraversion,leave_one_trait_out,reserved,negative,0.9451863771843139,0.9395961656517858,0.9391448602175355
qwen,human_anchored_extended,extraversion,leave_one_trait_out,assertive,positive,0.9969034357477914,0.9986457964477634,0.998388967427368
qwen,human_anchored_extended,extraversion,leave_one_trait_out,dominant,positive,0.9953696978077354,0.9972647116746862,0.9970935633709357
qwen,human_anchored_extended,extraversion,leave_one_trait_out,submissive,negative,0.966326884958874,0.98293499020931,0.9827339084273391
qwen,human_anchored_extended,extraversion,leave_one_trait_out,adventurous,positive,0.9989117375426604,0.9996956933439946,0.9995706990565767
qwen,human_anchored_extended,extraversion,leave_one_trait_out,risk_taking,positive,0.9981956643399996,0.9993058059153226,0.9991385130261679
qwen,human_anchored_extended,extraversion,leave_one_trait_out,goofy,positive,0.99802233731943,0.9993310425504872,0.9995851244915036
qwen,human_anchored_extended,extraversion,leave_one_trait_out,optimistic,positive,0.9963422693720159,0.9981251567677649,0.9980421799717262
qwen,human_anchored_extended,extraversion,leave_one_trait_out,playful,positive,0.9986341170252268,0.9995168320372128,0.9995158824038546
qwen,human_anchored_extended,extraversion,leave_one_facet_out,E1,mixed,0.9838928308369651,0.9956565665650876,0.9965609763134359
qwen,human_anchored_extended,extraversion,leave_one_facet_out,E2,mixed,0.9154846298137649,0.8974333113499221,0.8965061596607138
qwen,human_anchored_extended,extraversion,leave_one_facet_out,E3,mixed,0.9275227839455582,0.9640311130135288,0.9627108277314561
qwen,human_anchored_extended,extraversion,leave_one_facet_out,E5,mixed,0.9928371265046114,0.9973386930948395,0.9973116759470299
qwen,human_anchored_extended,extraversion,leave_one_facet_out,E6,mixed,0.9888617092499374,0.9933240537228046,0.9942609849686969
qwen,human_anchored_extended,extraversion,positive_only_vs_bipolar,all_negative_traits,negative,0.8708284699784201,0.9797543680958487,0.9847546233518941
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,cynical,negative,0.9995872461591274,0.9996937806782609,0.9993248896454229
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,naive,positive,0.9966978010575221,0.9973666025567777,0.9958587461411962
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,paranoid,negative,0.9992057770385301,0.9998055286778456,0.9997011049883155
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,manipulative,negative,0.9991874203110145,0.9994312150642524,0.9990363809468856
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,altruistic,positive,0.9972374150176795,0.9991045118239463,0.9987640287354664
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,acerbic,negative,0.9996161866594259,0.9998325947560562,0.9997974668936268
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,agreeable,positive,0.998488217953303,0.9975542438457035,0.9956475577738669
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,bitter,negative,0.9995659833399142,0.9994481187175742,0.9991437061827415
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,competitive,negative,0.9995576933229103,0.9999096036051371,0.9998066991719802
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,forgiving,positive,0.998364461732736,0.9985973679846053,0.9967496610022792
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,hostile,negative,0.9996062640064171,0.9996764637221479,0.9995228066126194
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,judgmental,negative,0.9997171038383627,0.9998494438139386,0.9997137993710511
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,patient,positive,0.994347100721696,0.992268486236843,0.9879888058624967
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,vindictive,negative,0.999048452188035,0.9990981089496418,0.9980542973370647
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,bombastic,negative,0.9990786262057019,0.9990981175928393,0.9985857303597704
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,deferential,positive,0.9969092518685698,0.9996017935695726,0.9991471682871239
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,grandiose,negative,0.9991650901950969,0.9989434695442672,0.9983560774357346
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,callous,negative,0.9994466201790839,0.9994458759583775,0.9987270996220536
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,cruel,negative,0.9997354282561008,0.999926158333671,0.9998765182770261
qwen,human_anchored_extended,agreeableness,leave_one_trait_out,empathetic,positive,0.9962690238769321,0.9950142072801567,0.9909062058221055
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A1,mixed,0.9922721470198373,0.9941205402761177,0.9910279564928883
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A2,mixed,0.9991874203110145,0.9994312150642524,0.9990363809468856
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A3,mixed,0.9972374150176795,0.9991045118239463,0.9987640287354664
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A4,mixed,0.9549726710062014,0.9550952005666615,0.9483961801448314
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A5,mixed,0.9920756520972209,0.9955500487657508,0.993263321889155
qwen,human_anchored_extended,agreeableness,leave_one_facet_out,A6,mixed,0.9926512691091981,0.9917875332263958,0.9852693228700846
qwen,human_anchored_extended,agreeableness,positive_only_vs_bipolar,all_negative_traits,negative,0.9340378712283159,0.8528833487600445,0.8052139291999655
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,anxious,positive,0.997148878541833,0.9980629174387873,0.9982095150168779
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,chill,negative,0.993468144517174,0.9964225528438782,0.9953613571449179
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,neurotic,positive,0.9976258032006279,0.9985796910135537,0.9984097400536628
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,nonchalant,negative,0.9953855783472858,0.9991065713209654,0.9991102391737111
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,pessimistic,positive,0.993757922485514,0.9973819533891597,0.9960266582037449
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,melancholic,positive,0.9944929246381066,0.9961216561191802,0.9965615533308331
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,mercurial,positive,0.9965625459291122,0.9990878997718188,0.9985401459854015
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,temperamental,positive,0.9970087410125686,0.9992971680590769,0.998667666830155
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,calm,negative,0.9985186353713779,0.9997237404834707,0.999457026629353
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,resilient,negative,0.9956726878243819,0.9991636932884134,0.9989567525460893
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,serene,negative,0.9962753585912812,0.9967031060794204,0.9968800669340182
qwen,human_anchored_extended,neuroticism,leave_one_trait_out,stoic,negative,0.9928408117726036,0.9951204603043414,0.9918023138397623
qwen,human_anchored_extended,neuroticism,leave_one_facet_out,N1,mixed,0.9689854855383802,0.9924624620923128,0.9911629785638036
qwen,human_anchored_extended,neuroticism,leave_one_facet_out,N3,mixed,0.9766928674157858,0.9812923988652541,0.9810184357058366
qwen,human_anchored_extended,neuroticism,leave_one_facet_out,N6,mixed,0.8104876708754825,0.8288737486548491,0.8323043189752172
qwen,human_anchored_extended,neuroticism,positive_only_vs_bipolar,all_negative_traits,negative,0.975621214201783,0.995820900414718,0.995128819133897
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,abstract,positive,0.9995527627720563,0.9995746738557203,0.9993121952626872
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,adventurous,positive,0.9996984298548914,0.9997978671955463,0.9996382100920342
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,artistic,positive,0.999727367464314,0.9997453164601706,0.9997074521796833
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,closure_seeking,negative,0.9959504261192302,0.9987090494146899,0.9983168402527337
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,conceptual,positive,0.9995263734825464,0.9995725056559728,0.9993248896454229
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,convergent,negative,0.9960098336104967,0.9989034110068568,0.998590923516344
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,creative,positive,0.9998776088380916,0.9999385731456684,0.9998632468768934
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,curious,positive,0.9997546932535901,0.9998802654856459,0.9997536135714493
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,dispassionate,negative,0.9931775406373555,0.9915244245517854,0.9910989296327285
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,divergent,positive,0.999705946011298,0.9998713072044938,0.9997801563717146
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,dogmatic,negative,0.9948315515697947,0.9960086226438504,0.9951686333342952
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,eclectic,positive,0.9998614150606475,0.9999161088287346,0.9998453593375841
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,emotional,positive,0.9995981936622864,0.9994607750656408,0.9990946597039901
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,exploratory,positive,0.9996175032441041,0.9996955853854298,0.9994899166209862
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,fundamentalist,negative,0.9962133483080953,0.9968852599772429,0.9959764576901995
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,iconoclastic,positive,0.9995713282754513,0.9995774688124738,0.9992671879057153
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,innovative,positive,0.9997249699001138,0.9998113989991031,0.9996745621880501
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,inquisitive,positive,0.999472815601034,0.9996883485665147,0.9994206745333373
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,interdisciplinary,positive,0.9997633190041741,0.9998791523538902,0.9998205475895098
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,literal,negative,0.995305252682775,0.9965314454787026,0.9959701104988317
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,metaphorical,positive,0.9997731632620317,0.9996904431030428,0.9996024350134158
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,open_ended,positive,0.9995167309329884,0.9996445856072304,0.9994085571679986
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,philosophical,positive,0.9997597655954515,0.9996470068948633,0.9994529875075733
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,pluralist,positive,0.999349793099675,0.9994067534465242,0.999094082686593
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,poetic,positive,0.9996671176805383,0.9994582394984954,0.9993225815758345
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,rebellious,positive,0.9996399844815688,0.9997188137349,0.9994910706557802
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,romantic,positive,0.9996025027309061,0.9992944308693111,0.999156400565477
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,structuralist,positive,0.9994855477239084,0.9994897782170394,0.9992712270274949
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,systems_thinker,positive,0.9997040461896907,0.9998447015348424,0.9997593837454201
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,theoretical,positive,0.9995525686802379,0.9995476818583153,0.9992267966879202
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,traditional,negative,0.9928479680889127,0.9937421199194799,0.991993306598194
qwen,external_taxonomy_expanded,openness,leave_one_trait_out,whimsical,positive,0.9996062587382963,0.9995885759054981,0.9993479703413058
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O1,mixed,0.9847743088364458,0.9750302674729828,0.9741467355240762
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O2,mixed,0.9989903098264099,0.9984609215957011,0.9983272265658809
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O3,mixed,0.9901698402894445,0.9864239015738825,0.9855739880557399
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O4,mixed,0.9933831031987024,0.9977764428345844,0.9972637835030725
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O5,mixed,0.9833119391570412,0.9878148992075038,0.9858353769366147
qwen,external_taxonomy_expanded,openness,leave_one_facet_out,O6,mixed,0.9697225889168832,0.9774948800665566,0.9718271255878365
qwen,external_taxonomy_expanded,openness,positive_only_vs_bipolar,all_negative_traits,negative,0.92698215605543,0.9167505080959782,0.9100239462219786
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,cautious,positive,0.9980759233562071,0.9997507080755919,0.999705721127492
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,circumspect,positive,0.9974222780384204,0.9995131907663851,0.9994333689160728
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,conscientious,positive,0.999092230103429,0.9998062579964496,0.999851706528952
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,disorganized,negative,0.9950660047895377,0.999331588757168,0.9994495254031911
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,impatient,negative,0.9944948145372065,0.9992622834666821,0.9991396670609619
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,impulsive,negative,0.9942252608435018,0.9995790448596309,0.9994397161074408
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,methodical,positive,0.99922500943916,0.9998606534652802,0.9997893886500677
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,meticulous,positive,0.9995016317680232,0.9998144116555897,0.9997288018233752
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,perfectionist,positive,0.9991966893370927,0.9996676458705216,0.9994777992556476
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,principled,positive,0.9974990491373087,0.9995076757883136,0.9993364299933644
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,proactive,positive,0.9980996375515085,0.9997926692599277,0.9996543665791524
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,problem_solving,positive,0.9978301934535923,0.9993068541468801,0.9991454372349327
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,regulatory,positive,0.9977130982814475,0.9997817907172135,0.99965090447477
qwen,external_taxonomy_expanded,conscientiousness,leave_one_trait_out,risk_taking,negative,0.9943529767696659,0.9989131454961032,0.9989527134243098
