trait,canonical_definition,sapa_review_tier,sapa_item_ids,sapa_supporting_source_scales,external_domain,external_facet_code,external_facet,polarity,confidence_tier,mapping_relation,mapping_rationale,review_status,source_provenance
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",ACCEPT_DIRECT,q_848;q_1150;q_630,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,agreeableness,A4,Cooperation,negative,high,direct,Grudges and revenge oppose Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",ACCEPT_DIRECT,q_145;q_915;q_1869,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,agreeableness,A4,Cooperation,positive,high,direct,Releasing grudges and pardoning errors support Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,ACCEPT_DIRECT,q_239;q_238,HEXACO:H:A:G;QB6:QB6:A,agreeableness,A4,Cooperation,negative,high,direct,Harsh interpersonal judgment opposes cooperative accommodation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",ACCEPT_DIRECT,q_278,HEXACO:H:A:P;QB6:QB6:A,agreeableness,A4,Cooperation,positive,high,direct,Patience supports non-hostile accommodation and Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,ACCEPT_DIRECT,q_630;q_1150,MPQ:MPQ:AG;HEXACO:H:A:FO;IPIPneo:A4:CO,agreeableness,A4,Cooperation,negative,high,direct,Revenge and persistent grudges directly oppose Cooperation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
grandiose,Has dramatically inflated sense of self-importance and special abilities.,ACCEPT_DIRECT,q_364;q_1042;q_1830,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,agreeableness,A5,Modesty,negative,high,direct,Inflated self-importance directly opposes Modesty.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,ACCEPT_DIRECT,q_146;q_251;q_4231,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,agreeableness,A6,Sympathy,negative,high,direct,Indifference to feelings and suffering directly opposes Sympathy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
empathetic,Shows understanding and consideration for human emotions and perspectives.,ACCEPT_DIRECT,q_844;q_1763;q_1757,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,agreeableness,A6,Sympathy,positive,high,direct,Direct compassion and emotional understanding match Sympathy.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",ACCEPT_DIRECT,q_1989;q_4249;q_4256,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,neuroticism,N1,Anxiety,positive,high,direct,Worry and nervous anticipation directly match Anxiety.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",ACCEPT_DIRECT,q_1989;q_1099;q_1578,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,neuroticism,N1,Anxiety,positive,high,direct,Persistent anxiety and negative emotionality directly indicate Neuroticism.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",ACCEPT_DIRECT,q_1038;q_808,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,neuroticism,N1,Anxiety,positive,high,direct,Dark outlook and expecting the worst indicate anxiety-prone negative anticipation.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",ACCEPT_DIRECT,q_1706;q_1578;q_811,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,neuroticism,N3,Depression,positive,high,direct,Persistent sadness and hopelessness directly match Depression.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",ACCEPT_DIRECT,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,neuroticism,N3,Depression,positive,high,direct,Mood instability is carried by the reviewed IPIP-NEO negative-affect evidence.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",ACCEPT_DIRECT,q_85;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,neuroticism,N6,Vulnerability,negative,high,direct,Composure under tension is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,ACCEPT_DIRECT,q_1606;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,neuroticism,N6,Vulnerability,negative,high,direct,Rapid recovery and stability under pressure are the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
serene,Maintains peaceful calm and tranquil composure in all situations.,ACCEPT_DIRECT,q_85;q_1616;q_1588,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,neuroticism,N6,Vulnerability,negative,high,direct,Calm composure under pressure is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
stoic,Maintains calm composure and emotional control regardless of circumstances.,ACCEPT_DIRECT,q_1185;q_1588;q_1616,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,neuroticism,N6,Vulnerability,negative,high,direct,Emotional control under pressure is the low-Vulnerability pole.,frozen_geometry_blind,SAPA provisional_v1 reviewed bridge + public-domain IPIP-NEO taxonomy
