axis,construct_id,construct_name,framework,domain,construct_level,construct_definition,sapa_availability,item_ids,item_count,reliability,candidate_universe,serious_candidate,proposed_measurement_direction,positive_pole_marker_coverage,negative_pole_inverse_coherence,highly_concentrated_marker_coverage,strict_axis_specific_marker_coverage,role_persona_coherence,prior_model_side_interpretation_coherence,focused_activation_or_role_rating_coherence,human_construct_definition_fit,human_item_content_fit,important_contradictions,model_specific_residual_content,overall_match,previous_mapping_disposition
PC1,IPIPneo:C3:DU,Dutifulness,IPIP-NEO,Conscientiousness,facet,"Commitment to obligations, rules, and ethical duties.",administered_in_release,q_404;q_405;q_618;q_977;q_1190;q_1341;q_1436;q_1508;q_1812;q_1867,10,0.81417081,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Directly covers obligations, rules, ethical duties, and accountable execution.",Lower Dutifulness partly coheres with libertarian/subversive/improvisational context.,Does not directly cover the core empirical markers but addresses the hypothesized standards mechanism.,Rule/duty content complements methodical/cautious; does not cover the expressive-symbolic pole.,"Strong fit to auditor, examiner, judge, validator, soldier, and other standards-bearing roles.","Among human constructs, this most directly represents the external-obligation part of the PC1 hypothesis.","Compatible with accountability/scrutiny activation, though the intervention tested prompt wording rather than human Dutifulness.",Strong definition fit for one proposed mechanism.,"Items explicitly cover breaking/following rules, duties, promises, taxes, and obligations.",Ethical duty is narrower than empirical rigor; negative PC1 need not be undutiful.,"Knowledge practice, factuality, transparency, and expressive imagination remain.",PLAUSIBLE_BIPOLAR_MATCH,ADD as leading positive-pole facet; do not elevate to whole-axis identity.
PC1,IPIPneo:C5:SD,Self-Discipline,IPIP-NEO,Conscientiousness,facet,Capacity to initiate and persist at difficult or tedious tasks.,administered_in_release,q_76;q_491;q_904;q_962;q_992;q_1087;q_1444;q_1521;q_1744;q_1949,10,0.90210344,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,Covers persistence and disciplined task initiation.,Lower scores fit some impulsive/disorganized background traits.,Little direct coverage of the 11 highly concentrated positive markers.,No strict marker is self-discipline by name.,Fits work-focused roles but not uniquely the standards-bearing pole.,Determination/persistence performed worse than accountability in the competing-theories audit.,Focused accountability prompts exceeded determination prompts.,Relevant but nonspecific.,Items center task completion and persistence.,Does not cover factuality or symbolic expressiveness and is explicitly weakened as a primary explanation.,Axis-specific epistemic style remains.,WEAK_OR_NONSPECIFIC,DOWNGRADE from any broad Conscientiousness inference.
PC1,IPIPneo:C1:SE,Self-Efficacy,IPIP-NEO,Conscientiousness,facet,Confidence in competence and ability to accomplish tasks.,administered_in_release,q_258;q_515;q_520;q_708;q_722;q_786;q_1023;q_1113;q_1215;q_1435,10,0.85967947,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,Covers perceived competence.,Low self-efficacy has little coherent relation to negative PC1 symbolism.,No direct concentrated-marker coverage.,No strict marker match.,"Expert roles may be high, but many negative-PC1 roles are also highly skilled.","Blind intelligence/expertise predicts PC1, but self-efficacy is not expertise.",No focused evidence.,Definition mismatch for the axis.,Items ask confidence and task competence.,Confuses confidence with disciplined knowledge practice.,Nearly all axis content remains.,POOR_MATCH,DO NOT PROMOTE.
PC1,IPIPneo:O2:AI,Artistic Interests,IPIP-NEO,Openness to Experience,facet,Aesthetic sensitivity and engagement with art and beauty.,administered_in_release,q_348;q_607;q_608;q_610;q_611;q_612;q_776;q_1289;q_1369;q_1648,10,0.79755968,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC1,Low Artistic Interests has little positive-pole explanatory power.,Covers aesthetic and artistic engagement.,Covers artistic/poetic/creative markers.,Covers a narrow strict-negative subset.,Fits artist/composer/poet roles.,Consistent with prior mapping.,No focused activation.,Good narrow facet fit.,"Items cover art, poetry, beauty, dance, and aesthetics.",No procedural or accountability inverse.,Most axis content remains.,PARTIAL_COMPONENT,RETAIN.
PC1,IPIPneo:O1:IM,Imagination,IPIP-NEO,Openness to Experience,facet,Vivid fantasy and imaginative engagement.,administered_in_release,q_609;q_780;q_1058;q_1083;q_1161;q_1310;q_1381;q_1675;q_1682;q_1738,10,0.82027804,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC1,Low Imagination weakly fits literal/descriptive communication.,Directly covers fantasy and imaginative engagement.,"Covers romantic, poetic, metaphorical, whimsical, creative, and narrative content.",Covers a large strict negative subfamily.,Strong role coherence on the expressive-symbolic side.,Consistent with prior mapping.,No focused activation.,Good narrow facet fit.,"Items center fantasy, daydreaming, and vivid imagination.","Does not cover rhetoric, charisma, nonconformity, or the positive procedural pole.",Most positive-pole mechanism remains.,PARTIAL_COMPONENT,RETAIN.
PC1,MPQ:MPQ:AB,Absorption,Multidimensional Personality Questionnaire,Absorption,primary_trait,"Imaginative and perceptual involvement, including altered or highly engaging experiences.",administered_in_release,q_610;q_612;q_780;q_1058;q_1310;q_1381;q_1389;q_1587;q_1648;q_1682,10,0.76917307,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC1,Low Absorption weakly fits literal/detached positive context.,"Covers immersive imagination, fantasy, altered experience, and reflection.","Covers ethereal, enigmatic, mystical, intuitive, spiritual, whimsical, and creative content.",Covers a meaningful strict-negative subset.,Fits mystic/dreamer/oracle regions more than performative roles.,Consistent with prior mapping.,No focused activation.,Good component fit.,"Items cover fantasy, thought absorption, poetry, and beauty.","Misses narrative performance, rhetoric, and institutional/procedural inverse.",Most positive pole remains.,PARTIAL_COMPONENT,RETAIN.
PC1,MPQ:MPQ:CO,Control,Multidimensional Personality Questionnaire,Constraint,primary_trait,"Deliberate, cautious, planful behavior and restraint of impulsive action.",administered_in_release,q_124;q_623;q_1173;q_1292;q_1321;q_1397;q_1422;q_1424;q_1488;q_1507,10,0.80184898,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,"Covers deliberation, planning, restraint, and control.",Lower Control fits impulsive/spontaneous portions of the negative context.,Indirectly covers cautious/methodical only.,Narrow strict-positive overlap.,Fits constrained procedural roles.,Relevant but less specific than duty/accountability and empirical reasoning.,Accountability evidence limits a generic control interpretation.,Moderate component fit.,"Items cover planning, caution, and impulse control.",Does not cover the symbolic core or epistemic transparency.,Substantial residual.,PARTIAL_COMPONENT,RETAIN as secondary restraint facet.
PC1,MPQ:MPQ:TR,Traditionalism,Multidimensional Personality Questionnaire,Constraint,primary_trait,"Endorsement of conventional morality, social propriety, and traditional institutions.",administered_in_release,q_345;q_348;q_359;q_369;q_394;q_398;q_660;q_1328;q_1824;q_1825,10,0.78092864,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1 only weakly,Covers conventional institutions and propriety.,Lower Traditionalism weakly fits libertarian/subversive content but not the broad symbolic family.,No concentrated-marker match; secular points in the opposite direction from religiosity/tradition.,"Traditional itself is associated but cross-loading, not strict.","Some institutional roles fit, but scientific/secular roles complicate it.",Institutional legibility is not the same as conventional morality.,No focused evidence.,Weak and internally contradictory fit.,"Items concern religion, propriety, parents, and conventional morality.","Positive PC1 includes secular; negative PC1 includes spiritual and nostalgic, creating content-specific rather than general traditionalism effects.",Most axis content remains.,WEAK_OR_NONSPECIFIC,DOWNGRADE as PC1 explanation.
PC1,QB6:QB6:H,Honesty/Propriety,Questionnaire Big Six,Honesty/Propriety,domain,"Integrity, rule-respecting conduct, and low exploitation or entitlement.",administered_in_release,q_185;q_1306;q_1747;q_1752;q_1780;q_1896;q_2021;q_2853,8,0.6190507,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC1,Covers rule-respecting conduct and integrity.,Lower scores weakly fit subversion/nonconformity.,No direct empirical-marker coverage.,No strict marker match except contextual rule adherence.,Fits institutional-legibility roles.,"Relevant to rule compliance but blends honesty, propriety, exploitation, and entitlement.",No focused construct-specific evidence.,Broad semantic neighbor.,Items include sticking to rules plus honesty/propriety content.,Rule respect can be conventional rather than epistemically rigorous.,Analytic and expressive content remains.,PARTIAL_COMPONENT,ADD as secondary rule-respect analogue.
PC1,NO_DIRECT_HUMAN_MEASURE,No single SAPA construct captures the whole PC1 axis,AA-8 synthesis,model-specific residual,axis-level conclusion,The bipolar Qwen axis requires a hierarchy of partial human analogues and retains model-specific content.,no,,0,,FULL_126_CONSTRUCT_LIBRARY,True,not scoreable as one construct,Requires several facets.,Requires several facets.,No single library entry covers both poles.,No single library entry covers both poles.,Compound interpretation fits role evidence better than a single human trait.,Consistent with the model-side evidence hierarchy.,Consistent with bounded diagnostics.,No direct construct definition exists.,No single validated scale has the required content breadth.,A compound is less parsimonious but avoids false equivalence.,Substantial and explicitly retained.,NO_DIRECT_HUMAN_MEASURE,FINAL_AXIS_LEVEL_CONCLUSION
