target_cell_id,pc1_band,pc2_band,pc3_band,target_pc1_range,target_pc2_range,target_pc3_range,target_pc1_center,target_pc2_center,target_pc3_center,target_region_description,desired_prompt_count,priority
pc1_mid__pc2_low__pc3_mid,mid,low,mid,"[-13.924, 19.979]","[-44.008, -8.534]","[-5.698, 4.816]",3.0275436582171755,-26.271102231993915,-0.44094982243312364,"mixed convergence and open-ended degrees of freedom; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",2,medium
pc1_mid__pc2_low__pc3_high,mid,low,high,"[-13.924, 19.979]","[-44.008, -8.534]","[4.816, 36.364]",3.0275436582171755,-26.271102231993915,20.58997040991268,"mixed convergence and open-ended degrees of freedom; integrated abstraction, reflective distance, broad synthesis, accumulated context; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_mid__pc2_mid__pc3_low,mid,mid,low,"[-13.924, 19.979]","[-8.534, 4.215]","[-43.371, -5.698]",3.0275436582171755,-2.1597675382810855,-24.534363814869124,"mixed convergence and open-ended degrees of freedom; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",2,medium
pc1_mid__pc2_mid__pc3_mid,mid,mid,mid,"[-13.924, 19.979]","[-8.534, 4.215]","[-5.698, 4.816]",3.0275436582171755,-2.1597675382810855,-0.44094982243312364,mixed convergence and open-ended degrees of freedom; mixed local immediacy and reflective synthesis; balanced relation to systems and norms,4,control
pc1_mid__pc2_mid__pc3_high,mid,mid,high,"[-13.924, 19.979]","[-8.534, 4.215]","[4.816, 36.364]",3.0275436582171755,-2.1597675382810855,20.58997040991268,"mixed convergence and open-ended degrees of freedom; mixed local immediacy and reflective synthesis; perturbative, stress-testing, adversarial, challenging, or interventionist stance",2,medium
pc1_mid__pc2_high__pc3_low,mid,high,low,"[-13.924, 19.979]","[4.215, 78.114]","[-43.371, -5.698]",3.0275436582171755,41.164260676257534,-24.534363814869124,"mixed convergence and open-ended degrees of freedom; situated immediacy, local pressure, reactive or developmentally constrained response; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_mid__pc2_high__pc3_mid,mid,high,mid,"[-13.924, 19.979]","[4.215, 78.114]","[-5.698, 4.816]",3.0275436582171755,41.164260676257534,-0.44094982243312364,"mixed convergence and open-ended degrees of freedom; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",2,medium
pc1_mid__pc2_high__pc3_high,mid,high,high,"[-13.924, 19.979]","[4.215, 78.114]","[4.816, 36.364]",3.0275436582171755,41.164260676257534,20.58997040991268,"mixed convergence and open-ended degrees of freedom; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_high__pc2_low__pc3_low,high,low,low,"[19.979, 48.155]","[-44.008, -8.534]","[-43.371, -5.698]",34.06703841742903,-26.271102231993915,-24.534363814869124,"strong convergence pressure, correctness, validation, procedure, or evidence; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_high__pc2_low__pc3_mid,high,low,mid,"[19.979, 48.155]","[-44.008, -8.534]","[-5.698, 4.816]",34.06703841742903,-26.271102231993915,-0.44094982243312364,"strong convergence pressure, correctness, validation, procedure, or evidence; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",3,high
pc1_high__pc2_low__pc3_high,high,low,high,"[19.979, 48.155]","[-44.008, -8.534]","[4.816, 36.364]",34.06703841742903,-26.271102231993915,20.58997040991268,"strong convergence pressure, correctness, validation, procedure, or evidence; integrated abstraction, reflective distance, broad synthesis, accumulated context; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_high__pc2_mid__pc3_low,high,mid,low,"[19.979, 48.155]","[-8.534, 4.215]","[-43.371, -5.698]",34.06703841742903,-2.1597675382810855,-24.534363814869124,"strong convergence pressure, correctness, validation, procedure, or evidence; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_high__pc2_mid__pc3_mid,high,mid,mid,"[19.979, 48.155]","[-8.534, 4.215]","[-5.698, 4.816]",34.06703841742903,-2.1597675382810855,-0.44094982243312364,"strong convergence pressure, correctness, validation, procedure, or evidence; mixed local immediacy and reflective synthesis; balanced relation to systems and norms",2,medium
pc1_high__pc2_mid__pc3_high,high,mid,high,"[19.979, 48.155]","[-8.534, 4.215]","[4.816, 36.364]",34.06703841742903,-2.1597675382810855,20.58997040991268,"strong convergence pressure, correctness, validation, procedure, or evidence; mixed local immediacy and reflective synthesis; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_high__pc2_high__pc3_low,high,high,low,"[19.979, 48.155]","[4.215, 78.114]","[-43.371, -5.698]",34.06703841742903,41.164260676257534,-24.534363814869124,"strong convergence pressure, correctness, validation, procedure, or evidence; situated immediacy, local pressure, reactive or developmentally constrained response; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_high__pc2_high__pc3_mid,high,high,mid,"[19.979, 48.155]","[4.215, 78.114]","[-5.698, 4.816]",34.06703841742903,41.164260676257534,-0.44094982243312364,"strong convergence pressure, correctness, validation, procedure, or evidence; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",3,high
pc1_high__pc2_high__pc3_high,high,high,high,"[19.979, 48.155]","[4.215, 78.114]","[4.816, 36.364]",34.06703841742903,41.164260676257534,20.58997040991268,"strong convergence pressure, correctness, validation, procedure, or evidence; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
