role,matched_occupation_title,soc_code,match_class,employment_count,annual_median_wage,cluster,pc1,pc2,pc3,axis_projection,rationale
mediator,"Arbitrators, Mediators, and Conciliators",23-1022,exact,9210.0,75530.0,procedural_professional,28.536253277799567,0.2140215512829199,-16.47215458978264,0.0170346282492745,Direct occupational title in SOC title.
historian,Historians,19-3093,exact,3450.0,76750.0,procedural_professional,28.854306334144947,-18.916975632761652,9.28432220081377,-0.013452861998987,Direct occupational title match.
actor,Actors,27-2011,exact,,,grounded_social,-23.89004845129744,21.456843196797983,0.2831025005408865,-0.1441942177638515,Direct occupational title match.
anthropologist,Anthropologists and Archeologists,19-3091,exact,,,procedural_professional,31.89698335544516,-20.196809991117853,0.9589580546314816,-0.0160648310964251,Direct occupational family title.
archaeologist,Anthropologists and Archeologists,19-3091,exact,,,procedural_professional,15.677278930715527,-19.48160604872759,1.9018414724826036,-0.0618982704329526,Direct occupational family title.
architect,"Architects, Except Landscape and Naval",17-1011,exact,,,procedural_professional,30.971303297499983,-9.428450369365628,-2.1820744775391088,-0.012506135335812,Direct occupational title match.
archivist,Archivists,25-4011,exact,,,procedural_professional,26.864606386005327,-17.74068668111621,-1.4838599962482957,-0.0221610466847114,Direct occupational title match.
bartender,Bartenders,35-3011,exact,,,grounded_social,-16.599115137003324,36.32504789647164,-2.7782731149755246,-0.1093798282277358,Direct occupational title match.
blogger,Writers and Authors,27-3043,close,,,grounded_social,-0.3216902853755415,20.848443683512325,-14.39134505138567,-0.0634519560557177,"Blogging is a writing occupation, but not separately measured by OEWS."
cartographer,Cartographers and Photogrammetrists,17-1021,exact,,81390.0,procedural_professional,22.160098503586283,-15.313847139534198,2.380007209266819,-0.0403237938528921,Direct occupational title match.
chef,Chefs and Head Cooks,35-1011,exact,,,grounded_social,4.481305656823986,12.232802470744868,-8.702588629410563,-0.0638179027920366,Direct occupational title match.
comedian,Actors,27-2011,close,,,trickster_chaos,-24.029318289105223,56.60365202095446,31.280026959646676,-0.127890003746129,Comedian is a performing role; OEWS does not provide a detailed comedian SOC.
conservator,Curators,25-4012,close,,,procedural_professional,23.52366349298268,-16.820637679705257,-6.184637657945053,-0.032309357379109,Museum/art conservator is not separate in OEWS; curators is closest public category.
curator,Curators,25-4012,exact,,,procedural_professional,20.167390400366333,-8.791541750718388,-4.625589822957963,-0.0351580047292384,Direct occupational title match.
debugger,Computer Programmers,15-1251,close,,,procedural_professional,37.8366557821158,0.4224887359961158,10.867375330242432,0.0252034453642128,"Debugging is a programming/software task, not a separate occupation."
economist,Economists,19-3011,exact,,,procedural_professional,42.59133871395098,-10.492469039750542,16.670072620394993,0.0250814167341604,Direct occupational title match.
editor,Editors,27-3041,exact,,,editorial,34.6198141862948,-2.1147398337502397,-5.09515845039308,0.0383728513844505,Direct occupational title match.
geographer,Geographers,19-3092,exact,,,procedural_professional,36.77790171107017,-17.794274630250055,3.4119414098014467,0.0018338728360614,Direct occupational title match.
guide,Tour and Travel Guides,39-7010,close,,,procedural_professional,13.44212980939317,2.162087847614793,-9.336533670567924,-0.0291073371633736,"Guide maps reasonably to tour/travel guides, though role can be symbolic."
instructor,"Teachers and Instructors, All Other",25-3099,exact,,,procedural_professional,34.548894617386566,3.326061421084596,-4.355735161651377,0.0407470301717234,Direct occupational title in SOC title.
interpreter,Interpreters and Translators,27-3091,exact,,,procedural_professional,24.507228724987716,-0.4406449288737737,-5.849484648634743,0.0021751561068266,Direct occupational title in SOC title.
librarian,Librarians and Media Collections Specialists,25-4022,exact,,,procedural_professional,33.121629445159996,-7.585920591410067,0.4808972019179233,0.0169734529982516,Direct occupational title in SOC title.
mathematician,Mathematicians,15-2021,exact,,,procedural_professional,31.956659579557968,-14.510329278879151,15.969708317501354,-0.0142894774150149,Direct occupational title match.
mechanic,Automotive Service Technicians and Mechanics,49-3023,close,,,procedural_professional,11.601084280375344,22.115207226121324,6.157199913332172,-0.0424739344650122,Generic mechanic maps to automotive mechanics as a concrete common proxy.
navigator,"Captains, Mates, and Pilots of Water Vessels",53-5021,close,,,procedural_professional,13.917627303022822,-2.636315376117655,-2.79696279651645,-0.0429944486357615,Navigator is not separate; vessel navigation is a defensible occupational proxy.
novelist,Writers and Authors,27-3043,exact,,,grounded_social,-15.509111525825372,-8.063067557782238,2.9112088726753824,-0.1510894638726529,Novelist is a writer/author specialization.
nutritionist,Dietitians and Nutritionists,29-1031,exact,,,editorial,35.130551075736065,2.036326888507097,-12.03740602093178,0.0408632799084646,Direct occupational title in SOC title.
photographer,Photographers,27-4021,exact,,,grounded_social,-8.988149069256187,4.756180456576789,-12.084118437915125,-0.1160747348575978,Direct occupational title match.
pilot,Commercial Pilots,53-2012,close,,,procedural_professional,26.581052394001272,1.991587642708271,4.15248265229441,-0.0127474826542724,Pilot is broad; commercial pilots is a concrete OEWS category.
planner,Urban and Regional Planners,19-3051,close,,,procedural_professional,42.85946980842012,-3.0144967324707843,3.623249969620439,0.0457591541739792,"Generic planner maps to urban/regional planners, but planning work is broader."
playwright,Writers and Authors,27-3043,close,,,grounded_social,-9.81757782466405,4.585625092149062,4.301204997865276,-0.1227795175167618,Playwright is an author specialization.
poet,Writers and Authors,27-3043,close,,,mythic_spiritual,-59.20142532532375,-14.69996127491333,-3.6191372509264608,-0.2600630122843306,Poet is an author specialization.
programmer,Computer Programmers,15-1251,exact,,,procedural_professional,31.80584373592608,1.934063302421717,12.95704623844959,-0.0025640589870162,Direct occupational title match.
proofreader,Proofreaders and Copy Markers,43-9081,exact,,,editorial,32.67923476296981,1.5923600399366649,0.5921336003188892,0.0381339724456227,Direct occupational title match.
screener,Transportation Security Screeners,33-9093,close,,,editorial,42.995156133991685,-2.39649664133981,3.826972743721189,0.0472175547616895,Screener is broad; transportation security screeners are concrete but incomplete.
sociologist,Sociologists,19-3041,exact,,,procedural_professional,38.94756716727558,-14.409399554429193,1.9980951792384125,0.0132636169942407,Direct occupational title match.
soldier,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,close,,,grounded_social,-2.8266904713188667,10.681442546437353,13.901980738432863,-0.1000631343769938,Soldier maps to military enlisted tactical roles; OEWS military coverage is limited/caveated.
statistician,Statisticians,15-2041,exact,,,procedural_professional,43.07473713356422,-8.21728392495824,15.73314631389742,0.0276233100419473,Direct occupational title match.
translator,Interpreters and Translators,27-3091,exact,,,editorial,23.28557819127713,5.10416318347205,0.649724582847078,0.0338023359173681,Direct occupational title in SOC title.
tutor,"Teachers and Instructors, All Other",25-3099,close,,,procedural_professional,29.91893130797252,9.024817184391315,-7.572057772450955,0.0336548779537506,Tutor maps to teachers/instructors all other.
writer,Writers and Authors,27-3043,exact,,,procedural_professional,4.197414687593498,-2.1361915094033432,-6.619327394133311,-0.0691223411882022,Direct occupational title match.
