model_trait,canonical_definition,coverage_category,coverage_label,review_status,evidence_text,candidate_item_ids,accepted_evidence_item_ids,candidate_scale_names,wording_direction,lexical_candidate_item_ids,semantic_candidate_item_ids,top_semantic_score,ambiguity_flag,notes
serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_313;q_314;q_1393;q_321;q_315;q_319;q_312;q_322,,,not_applicable_or_not_accepted,q_313;q_314;q_1393;q_321;q_315,q_313;q_314;q_1393;q_321;q_315,0.044819,True,Broad-domain coverage is not a usable one-to-one trait match.
generous,"Provides guidance with wisdom and experience, focusing on long-term development. Offers advice that encourages growth and learning.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_4285;q_793;q_134;q_797;q_1676;q_2003;q_1998;q_3023,,,not_applicable_or_not_accepted,q_4285;q_793;q_134;q_797;q_1676,q_4285;q_793;q_134;q_797;q_1676,0.141806,True,Broad-domain coverage is not a usable one-to-one trait match.
sycophantic,"Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1448: Need the approval of others. | q_917: Find it necessary to please the people who have power. | q_1894: Use flattery to get ahead.,q_1448;q_917;q_1894;q_163;q_966;q_1798;q_22;q_4256,q_1448;q_917;q_1894,HEXACO:H:E:D;HEXACO:H:H:S;IPIPneo:A2:MO,same_direction,q_163;q_1448;q_966;q_1894;q_1798,q_163;q_1448;q_966;q_1894;q_1798,0.189549,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_960;q_423;q_195;q_1327;q_651;q_3691;q_381;q_901,,,not_applicable_or_not_accepted,q_381;q_960;q_423;q_195;q_1327,q_960;q_423;q_195;q_1327;q_651,0.142873,False,No defensible coverage found in this feasibility review.
benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1385: Love to help others. | q_1763: Sympathize with others' feelings. | q_1041: Have a good word for everyone.,q_1385;q_1763;q_1041;q_134;q_1169;q_94;q_1835;q_2756,q_1385;q_1763;q_1041,IPIP100:B5:A;IPIPneo:A3:AL;BFAS:BFAS:A:C;HEXACO:H:A:G,same_direction,q_134;q_1169;q_94;q_1835;q_2756,q_134;q_1169;q_94;q_1835;q_2756,0.116741,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1045: Have a natural talent for influencing people. | q_1055: Have a strong personality. | q_1742: Start conversations.,q_1045;q_1055;q_1742;q_2161;q_128;q_1232;q_492;q_1090,q_1045;q_1055;q_1742,MPQ:MPQ:SP;PS:PS:P;BFAS:BFAS:E:A;HEXACO:H:X:SB;IPIP100:B5:E,same_direction,q_1742;q_1055;q_2161;q_128;q_1232,q_1742;q_1055;q_2161;q_128;q_1232,0.151815,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_241: Am quiet around strangers. | q_312: Avoid company. | q_4259: Am mostly quiet when with other people.,q_241;q_312;q_4259;q_1120;q_1671;q_2756;q_1050;q_94,q_241;q_312;q_4259,IPIP100:B5:E;MPQ:MPQ:SC;EPQr:EPQ:E,same_direction,q_1120;q_1671;q_2756;q_1050;q_94,q_1120;q_1671;q_2756;q_1050;q_94,0.13458,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
passive_aggressive,"Expresses disagreement or criticism indirectly through subtle hints, backhanded compliments, or seemingly helpful suggestions that carry underlying negativity.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1467: Obstruct others' plans. | q_1543: Pretend to be concerned for others. | q_1151: Hold back my opinions.,q_1467;q_1543;q_1151;q_1601;q_491;q_492;q_1248;q_538,q_1467;q_1543;q_1151,IPIPneo:A2:MO;HEXACO:H:H:S;BFAS:BFAS:E:A;IPIPneo:E3:AS,same_direction,q_1601;q_491;q_492;q_1248;q_538,q_1601;q_491;q_492;q_1248;q_538,0.110945,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,q_52;q_497;q_1099;q_1368;q_1583;q_803;q_4292;q_1589,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,same_direction,q_1368;q_1583;q_803;q_4292;q_1589,q_1368;q_1583;q_803;q_4292;q_1589,0.149882,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_85: Am calm even in tense situations. | q_1616: Remain calm under pressure.,q_85;q_1616;q_1385;q_1490;q_740;q_923;q_197;q_359,q_85;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,same_direction,q_85;q_1616;q_1385;q_1490;q_740,q_1385;q_85;q_1490;q_1616;q_740,0.102561,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_988: Get things done quickly. | q_519: Complete my duties as soon as possible.,q_988;q_519;q_515;q_1610;q_1943;q_1834;q_1599;q_1848,q_988;q_519,BFAS:BFAS:C:I;QB6:QB6:C,same_direction,q_515;q_1610;q_1943;q_988;q_1834,q_515;q_1610;q_1943;q_988;q_1834,0.128255,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1254: Leave a mess in my room. | q_1483: [Forget to put things back]. | q_1511: Pay too little attention to details.,q_1254;q_1483;q_1511;q_422;q_1869;q_1173;q_1242;q_4260,q_1254;q_1483;q_1511,IPIP100:B5:C;HEXACO:H:C:O;QB6:QB6:C;IPIPneo:C2:OR;HEXACO:H:C:PE,same_direction,q_1483;q_422;q_1869;q_1173;q_1242,q_1483;q_422;q_1869;q_1173;q_1242,0.115633,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
circumspect,Carefully considers implications before responding. Uses indirect language to explore sensitive topics and leaves room for interpretation rather than stating things definitively.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_507: Choose my words with care. | q_1477: Often express doubts. | q_1521: Postpone decisions.,q_507;q_1477;q_1521;q_253;q_1254;q_2011;q_4223;q_4230,q_507;q_1477;q_1521,IPIPneo:C6:CA;PS:PS:S;BFAS:BFAS:C:I;IPIPneo:C5:SD,same_direction,q_253;q_1254;q_2011;q_4223;q_4230,q_253;q_1254;q_2011;q_4223;q_4230,0.129411,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1752: Stick to the rules. | q_1812: Tell the truth. | q_1633: Return extra change when a cashier makes a mistake.,q_1752;q_1812;q_1633;q_1521;q_1424;q_946;q_4276;q_4244,q_1752;q_1812;q_1633,QB6:QB6:H;IPIPneo:A2:MO;IPIPneo:C3:DU;HEXACO:H:H:F,same_direction,q_1521;q_1424;q_946;q_4276;q_4244,q_1521;q_1424;q_946;q_4276;q_4244,0.124563,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
verbose,"Tends to provide lengthy, detailed explanations with extensive elaboration and context.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1507;q_1511;q_1063;q_1915;q_1536;q_861;q_85;q_793,,,not_applicable_or_not_accepted,q_1507;q_1511;q_1063;q_1915;q_1536,q_1507;q_1511;q_1063;q_1915;q_1536,0.057658,False,No defensible coverage found in this feasibility review.
concise,"Prefers brief, to-the-point responses that get straight to the core message.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1012;q_1540;q_1531;q_634;q_1350;q_4244;q_1536;q_1542,,,not_applicable_or_not_accepted,q_1012;q_1540;q_1531;q_634;q_1350,q_1012;q_1540;q_1531;q_634;q_1350,0.217233,True,Broad-domain coverage is not a usable one-to-one trait match.
analytical,Breaks down complex topics into logical components and examines each part systematically.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1327: Like to solve complex problems. | q_423: Can handle complex problems. | q_778: Enjoy thinking about things.,q_1327;q_423;q_778;q_1861;q_755;q_520;q_405;q_1354,q_1327;q_423;q_778,BFAS:BFAS:O:I;IPIPneo:O5:IN;IPIPneo:N6:VU,same_direction,q_1861;q_423;q_1327;q_755;q_520,q_1861;q_423;q_1327;q_755;q_520,0.119875,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_2754: Am an original thinker. | q_2745: Am able to come up with new and different ideas. | q_1441: Need a creative outlet.,q_2754;q_2745;q_1441;q_960;q_2891;q_515;q_1327;q_423,q_2754;q_2745;q_1441,PS:PS:P;BFAS:BFAS:O:O,same_direction,q_1441;q_2754;q_960;q_2891;q_515,q_2754;q_960;q_2891;q_1441;q_515,0.185668,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1781: Take risks. | q_292: Am willing to take risks. | q_2020: Would never make a high-risk investment.,q_1781;q_292;q_2020;q_1446;q_1780;q_1490;q_1448;q_1447,q_1781;q_292;q_2020,MPQ:MPQ:HA;HEXACO:H:E:F,mixed_same_and_reverse,q_1781;q_1446;q_292;q_1780;q_1490,q_1781;q_1446;q_292;q_1780;q_1490,0.213051,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1350: Look at the bright side of life. | q_1457: Never give up hope. | q_1835: Think that all will be well.,q_1350;q_1457;q_1835;q_740;q_923;q_197;q_322;q_1687,q_1350;q_1457;q_1835,IPIPneo:E6:CH;MPQ:MPQ:UV;IPIPneo:A1:TR,same_direction,q_740;q_923;q_197;q_322;q_1687,q_740;q_923;q_197;q_322;q_1687,0.186705,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
skeptical,"Questions assumptions, seeks evidence, and challenges conventional thinking.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1477: Often express doubts. | q_126: Am filled with doubts about things. | q_594: Distrust people.,q_1477;q_126;q_594;q_35;q_82;q_1301;q_1173;q_778,q_1477;q_126;q_594,PS:PS:S;BFAS:BFAS:N:W;MPQ:MPQ:SR;HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,same_direction,q_35;q_82;q_1301;q_1173;q_778,q_35;q_82;q_1301;q_1173;q_778,0.157282,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_619: Do things according to a plan. | q_1321: Like to plan ahead. | q_1422: Make plans and stick to them.,q_619;q_1321;q_1422;q_931;q_1867;q_1327;q_901;q_651,q_619;q_1321;q_1422,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;QB6:QB6:C;MPQ:MPQ:CO,same_direction,q_931;q_1867;q_1327;q_901;q_651,q_931;q_1867;q_1327;q_901;q_651,0.070255,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1676: Seldom experience sudden intuitive insights.,q_1676;q_35;q_778;q_1173;q_636;q_345;q_1392;q_4257,q_1676,HEXACO:H:O:C;QB6:QB6:O,mixed_or_reverse_wording_review_required,q_1676;q_35;q_778;q_1173;q_636,q_1676;q_35;q_778;q_1173;q_636,0.244844,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
empathetic,Shows understanding and consideration for human emotions and perspectives.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_844: Feel others' emotions. | q_1763: Sympathize with others' feelings. | q_1757: Suffer from others' sorrows.,q_844;q_1763;q_1757;q_1185;q_882;q_1088;q_343;q_979,q_844;q_1763;q_1757,IPIP100:B5:A;BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:O3:EM;IPIPneo:A6:SY,same_direction,q_1185;q_844;q_882;q_1088;q_343,q_1185;q_844;q_882;q_1088;q_343,0.1678,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
formal,"Uses professional language, proper grammar, and maintains a respectful tone.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1301: Like to be viewed as proper and conventional. | q_1657: See that rules are observed.,q_1301;q_1657;q_1624;q_4236;q_1393;q_1759;q_747;q_1300,q_1301;q_1657,HEXACO:H:O:U;BFAS:BFAS:C:O,same_direction,q_1301;q_1624;q_4236;q_1393;q_1759,q_1301;q_1624;q_4236;q_1393;q_1759,0.131064,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
casual,"Adopts a relaxed, conversational tone with informal language and expressions.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_248: Am relaxed most of the time. | q_4261: Am more easy-going about right and wrong than most people.,q_248;q_4261;q_1759;q_1742;q_492;q_422;q_740;q_803,q_248;q_4261,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N1:ANX;EPQr:EPQ:P,same_direction,q_248;q_1759;q_1742;q_492;q_422,q_248;q_1759;q_1742;q_492;q_422,0.163095,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_322: Avoid philosophical discussions. | q_194: Am not interested in abstract ideas. | q_1587: Rarely look for a deeper meaning in things.,q_322;q_194;q_1587;q_1235;q_1088;q_2011;q_1296;q_611,q_322;q_194;q_1587,BFAS:BFAS:O:I;IPIPneo:O5:IN;IPIP100:B5:O;MPQ:MPQ:AB,mixed_or_reverse_wording_review_required,q_322;q_1587;q_194;q_1235;q_1088,q_322;q_1587;q_194;q_1235;q_1088,0.213548,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
practical,Emphasizes real-world applications and actionable advice over theory.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_134;q_2775;q_4251;q_646;q_1360;q_1589;q_197;q_1671,,,not_applicable_or_not_accepted,q_4251;q_134;q_2775;q_646;q_1360,q_134;q_2775;q_4251;q_646;q_1360,0.126193,True,Broad-domain coverage is not a usable one-to-one trait match.
witty,"Incorporates humor, clever wordplay, and entertaining observations into responses.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_4265: Like telling jokes and funny stories to my friends. | q_158: Am never at a loss for words. | q_40: Admire a really clever scam.,q_4265;q_158;q_40;q_1657;q_1824;q_1638;q_1883;q_1553,q_4265;q_158;q_40,EPQr:EPQ:E;HEXACO:H:X:E;HEXACO:H:H:F,same_direction,q_40;q_1657;q_1824;q_1638;q_1883,q_40;q_1657;q_1824;q_1638;q_1883,0.114712,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
curious,Shows genuine interest in learning and exploring new topics and ideas.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_2775: Am not all that curious about the world. | q_128: Am full of ideas. | q_1303: Like to begin new things.,q_2775;q_128;q_1303;q_2745;q_194;q_1090;q_516;q_1088,q_2775;q_128;q_1303,QB6:QB6:O;IPIP100:B5:O;HEXACO:H:O:C;IPIPneo:O4:AD,mixed_or_reverse_wording_review_required,q_2775;q_128;q_2745;q_194;q_1090,q_128;q_2775;q_2745;q_194;q_1090,0.20382,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_278: Am usually a patient person.,q_278;q_882;q_1088;q_85;q_1235;q_1616;q_722;q_240,q_278,HEXACO:H:A:P;QB6:QB6:A,same_direction,q_278;q_882;q_1088;q_85;q_1235,q_278;q_882;q_1088;q_85;q_1235,0.152658,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_507: Choose my words with care. | q_1151: Hold back my opinions. | q_253: Am sensitive to the needs of others.,q_507;q_1151;q_253;q_1055;q_1054;q_134;q_2029;q_321,q_507;q_1151;q_253,IPIPneo:C6:CA;BFAS:BFAS:E:A;IPIPneo:E3:AS;HEXACO:H:E:S,same_direction,q_253;q_1055;q_1054;q_134;q_2029,q_253;q_1055;q_1054;q_134;q_2029,0.163862,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
supportive,"Offers encouragement, validation, and constructive assistance to users.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1385: Love to help others. | q_1763: Sympathize with others' feelings. | q_1668: Seek support.,q_1385;q_1763;q_1668;q_3691;q_395;q_105;q_1196;q_2161,q_1385;q_1763;q_1668,IPIP100:B5:A;IPIPneo:A3:AL;BFAS:BFAS:A:C;HEXACO:H:E:D,same_direction,q_1668;q_3691;q_395;q_105;q_1196,q_1668;q_3691;q_395;q_105;q_1196,0.085315,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
inquisitive,Asks probing questions to better understand context and user needs.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_2775: Am not all that curious about the world. | q_128: Am full of ideas. | q_778: Enjoy thinking about things.,q_2775;q_128;q_778;q_1880;q_240;q_722;q_364;q_253,q_2775;q_128;q_778,QB6:QB6:O;IPIP100:B5:O;HEXACO:H:O:C;IPIPneo:O5:IN,mixed_or_reverse_wording_review_required,q_1880;q_240;q_722;q_364;q_253,q_1880;q_240;q_722;q_364;q_253,0.177244,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1681: Seldom get emotional. | q_793: Experience my emotions intensely. | q_219: Am open about my feelings.,q_1681;q_793;q_219;q_797;q_1589;q_721;q_1998;q_1687,q_1681;q_793;q_219,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,mixed_or_reverse_wording_review_required,q_797;q_1681;q_1589;q_721;q_1687,q_797;q_1681;q_1589;q_721;q_1998,0.215931,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
technical,Specializes in detailed technical explanations and scientific accuracy.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_151;q_1507;q_1063;q_4297;q_1915;q_1511;q_2900;q_254,,,not_applicable_or_not_accepted,q_151;q_1507;q_1063;q_4297;q_1915,q_151;q_1507;q_1063;q_4297;q_1915,0.049629,True,Broad-domain coverage is not a usable one-to-one trait match.
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_348: Believe in the importance of art. | q_610: Do not like art. | q_1441: Need a creative outlet.,q_348;q_610;q_1441;q_1759;q_1081;q_803;q_1477;q_799,q_348;q_610;q_1441,BFAS:BFAS:O:O;HEXACO:H:O:A;QB6:QB6:O;MPQ:MPQ:TR;IPIPneo:O2:AI;MPQ:MPQ:AB,mixed_or_reverse_wording_review_required,q_1441;q_1759;q_1081;q_803;q_1477,q_1441;q_1759;q_1081;q_803;q_1477,0.140604,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
