persona,final_residual,baseline_residual,residual_improvement,n_heldout,activation_cluster
proofreader,20.661,38.443,17.782,1,editorial
wraith,20.754,22.664,1.91,1,mythic_spiritual
virus,20.982,22.906,1.925,3,mythic_spiritual
blogger,21.255,18.641,-2.614,1,grounded_social
trainer,21.479,18.235,-3.243,1,procedural_professional
doctor,21.566,25.621,4.055,1,procedural_professional
idealist,21.728,22.176,0.449,1,procedural_professional
psychologist,21.818,19.934,-1.884,2,procedural_professional
organizer,22.099,17.284,-4.815,2,procedural_professional
biologist,22.119,15.575,-6.545,1,procedural_professional
lawyer,22.139,24.96,2.82,1,procedural_professional
theorist,22.291,20.332,-1.959,3,procedural_professional
musician,22.402,17.849,-4.553,1,grounded_social
retiree,22.622,28.713,6.091,1,grounded_social
novelist,22.706,25.684,2.978,3,grounded_social
avatar,22.74,25.193,2.453,3,mythic_spiritual
void,22.823,23.874,1.051,1,mythic_spiritual
secretary,22.9,19.357,-3.543,1,editorial
ecosystem,23.061,26.084,3.022,1,procedural_professional
synthesizer,23.365,19.676,-3.689,2,procedural_professional
journalist,23.557,25.702,2.145,2,procedural_professional
observer,23.681,25.553,1.872,2,procedural_professional
planner,23.782,16.427,-7.355,2,procedural_professional
rogue,23.82,21.881,-1.939,1,trickster_chaos
advocate,23.86,25.039,1.179,2,procedural_professional
presenter,24.07,20.835,-3.235,3,procedural_professional
prey,24.152,25.758,1.606,1,grounded_social
spy,24.208,27.131,2.923,1,procedural_professional
visionary,24.475,20.814,-3.66,1,procedural_professional
sommelier,25.005,27.539,2.534,3,procedural_professional
shaman,25.258,29.297,4.039,2,mythic_spiritual
refugee,25.484,23.406,-2.079,2,grounded_social
prisoner,25.726,27.312,1.586,4,grounded_social
influencer,25.966,28.7,2.734,1,combative_iconoclast
instructor,26.067,18.599,-7.468,1,procedural_professional
minimalist,26.145,26.735,0.59,3,procedural_professional
engineer,26.56,20.02,-6.54,3,procedural_professional
celebrity,26.636,26.972,0.336,2,grounded_social
chef,26.687,25.72,-0.966,1,grounded_social
facilitator,26.855,25.487,-1.368,2,procedural_professional
naturalist,27.448,21.849,-5.6,1,procedural_professional
interviewer,27.452,27.997,0.545,2,editorial
leviathan,27.938,31.128,3.191,2,mythic_spiritual
amnesiac,28.022,29.878,1.856,1,grounded_social
immigrant,28.478,25.416,-3.062,1,grounded_social
destroyer,28.557,25.52,-3.037,1,combative_iconoclast
narcissist,28.61,33.212,4.602,1,grounded_social
virtuoso,28.61,27.836,-0.774,3,procedural_professional
patient,28.802,32.852,4.049,2,grounded_social
provincial,28.876,25.777,-3.099,1,grounded_social
competitor,29.04,36.491,7.452,2,combative_iconoclast
luddite,29.143,34.671,5.528,1,grounded_social
egregore,29.603,30.893,1.29,1,mythic_spiritual
fool,30.003,33.474,3.471,1,trickster_chaos
realist,30.288,37.626,7.338,2,procedural_professional
auctioneer,30.455,33.083,2.628,2,grounded_social
trickster,31.048,24.412,-6.636,1,trickster_chaos
aberration,31.233,32.411,1.178,1,mythic_spiritual
wanderer,31.818,31.718,-0.101,1,mythic_spiritual
grandparent,31.999,29.803,-2.196,2,grounded_social
philosopher,32.093,34.479,2.385,1,procedural_professional
pilgrim,32.605,26.449,-6.156,1,mythic_spiritual
workaholic,32.737,35.154,2.417,2,combative_iconoclast
absurdist,32.894,36.639,3.745,2,trickster_chaos
provocateur,33.035,33.966,0.931,2,combative_iconoclast
romantic,33.698,34.561,0.862,4,grounded_social
predator,33.939,31.462,-2.477,3,mythic_spiritual
pragmatist,34.501,35.616,1.115,3,procedural_professional
simulacrum,34.551,33.722,-0.829,1,mythic_spiritual
hybrid,34.661,30.953,-3.708,1,procedural_professional
veteran,34.738,32.273,-2.465,2,grounded_social
parent,34.954,40.152,5.198,1,grounded_social
expatriate,35.332,34.014,-1.317,1,procedural_professional
merchant,35.653,32.82,-2.834,2,procedural_professional
exile,35.722,34.862,-0.86,2,mythic_spiritual
skeptic,35.923,42.604,6.681,2,procedural_professional
addict,36.051,37.888,1.838,2,grounded_social
collaborator,36.323,36.487,0.164,1,procedural_professional
mycorrhizal,36.349,37.341,0.992,1,mythic_spiritual
summarizer,36.532,36.994,0.462,1,editorial
publisher,36.873,29.195,-7.677,1,procedural_professional
stoic,36.9,37.765,0.865,1,mythic_spiritual
optimist,37.088,39.886,2.798,1,grounded_social
demon,37.275,36.435,-0.841,1,mythic_spiritual
mechanic,37.403,39.241,1.838,4,procedural_professional
gamer,37.682,40.01,2.328,1,combative_iconoclast
hoarder,37.746,38.527,0.781,1,other
parasite,37.764,38.161,0.397,1,mythic_spiritual
specialist,37.887,32.822,-5.065,1,procedural_professional
narrator,37.954,39.853,1.898,3,mythic_spiritual
dilettante,38.18,39.242,1.062,2,grounded_social
generalist,38.326,36.015,-2.311,1,procedural_professional
swarm,38.656,37.74,-0.915,1,procedural_professional
martyr,38.687,39.527,0.84,2,mythic_spiritual
hive,38.705,37.384,-1.321,2,procedural_professional
divorcee,39.209,37.12,-2.089,1,grounded_social
criminal,40.835,43.141,2.306,1,grounded_social
mystic,41.239,44.224,2.985,1,mythic_spiritual
tree,41.239,27.855,-13.385,1,mythic_spiritual
cynic,41.953,46.706,4.753,1,combative_iconoclast
pirate,42.571,44.749,2.178,2,trickster_chaos
bohemian,42.885,47.434,4.549,4,grounded_social
graduate,43.776,41.281,-2.495,1,grounded_social
jester,43.849,35.91,-7.939,1,trickster_chaos
daredevil,43.899,46.381,2.481,1,combative_iconoclast
technologist,44.032,47.631,3.599,1,procedural_professional
echo,44.151,47.766,3.615,2,mythic_spiritual
ghost,45.074,44.544,-0.529,3,mythic_spiritual
robot,45.5,47.408,1.908,4,procedural_professional
newlywed,45.897,43.792,-2.105,1,grounded_social
caveman,47.447,52.408,4.961,2,trickster_chaos
comedian,49.122,50.03,0.908,1,trickster_chaos
amateur,50.116,46.753,-3.363,2,grounded_social
artisan,50.721,46.346,-4.374,2,grounded_social
wind,51.604,50.467,-1.136,2,mythic_spiritual
student,53.039,51.834,-1.205,1,editorial
ancient,53.057,55.853,2.797,1,mythic_spiritual
hermit,53.41,55.098,1.688,2,mythic_spiritual
vampire,53.822,54.089,0.267,2,mythic_spiritual
infant,55.827,56.267,0.441,2,other
bartender,58.34,57.282,-1.058,2,grounded_social
cyborg,59.373,59.045,-0.328,1,procedural_professional
bard,63.475,68.095,4.62,2,mythic_spiritual
adolescent,63.501,64.985,1.485,3,other
teenager,63.61,65.433,1.823,2,other
toddler,64.121,64.162,0.041,1,other
sage,65.335,66.239,0.905,2,mythic_spiritual
smuggler,65.665,69.901,4.235,2,grounded_social
procrastinator,76.176,76.036,-0.14,1,other
