review_id,trait,canonical_definition,evidence_item_ids,exact_sapa_item_wording,evidence_scale_names,item_scoring_direction_metadata,single_or_multi_item,response_anchors,reverse_keying_metadata,sapa_scale_metadata
SAPA-C3-011,mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",q_52;q_497;q_1099,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,BFAS:BFAS:N:V;IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,same_direction,multi_item,q_52: 1=Very Inaccurate;6=Very Accurate | q_497: 1=Very Inaccurate;6=Very Accurate | q_1099: 1=Very Inaccurate;6=Very Accurate,q_52: none documented | q_497: IPIP100stability;IPIP50EmoSt | q_1099: IPIP100stability;IPIP50EmoSt,"[{""scale_id"":""BFAS:BFAS:N:V"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:V"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:ES"",""instrument"":""IPIP100"",""scale_name"":""B5:ES"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SR"",""instrument"":""MPQ"",""scale_name"":""MPQ:SR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N3:DE"",""instrument"":""IPIPneo"",""scale_name"":""N3:DE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-012,zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,q_228,q_228: Am passionate about causes.,IPIPneo:O3:EM,same_direction,single_item,q_228: 1=Very Inaccurate;6=Very Accurate,q_228: none documented,"[{""scale_id"":""IPIPneo:O3:EM"",""instrument"":""IPIPneo"",""scale_name"":""O3:EM"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-013,resilient,Bounces back quickly from setbacks and maintains stability through adversity.,q_1606;q_1616,q_1606: Readily overcome setbacks. | q_1616: Remain calm under pressure.,IPIPneo:N6:VU;HEXACO:H:E:A,same_direction,multi_item,q_1606: 1=Very Inaccurate;6=Very Accurate | q_1616: 1=Very Inaccurate;6=Very Accurate,q_1606: NEO_N;NEOn6 | q_1616: NEO_N;NEOn6,"[{""scale_id"":""IPIPneo:N6:VU"",""instrument"":""IPIPneo"",""scale_name"":""N6:VU"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:A"",""instrument"":""HEXACO"",""scale_name"":""H:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-014,cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,q_251;q_4251;q_4231,q_251: Am seldom bothered ... suffering of strangers. | q_4251: Enjoy practical jokes that can sometimes really hurt people. | q_4231: It would upset me a lot to see a child or animal suffer.,HEXACO:H:E:S;EPQr:EPQ:P,mixed_or_reverse_wording_review_required,multi_item,q_251: 1=Very Inaccurate;6=Very Accurate | q_4251: 1=Very Inaccurate;6=Very Accurate | q_4231: 1=Very Inaccurate;6=Very Accurate,q_251: none documented | q_4251: none documented | q_4231: EPQp,"[{""scale_id"":""HEXACO:H:E:S"",""instrument"":""HEXACO"",""scale_name"":""H:E:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-015,acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_1051,q_1051: Have a sharp tongue.,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,same_direction,single_item,q_1051: 1=Very Inaccurate;6=Very Accurate,q_1051: HEXACO_A;NEO_A;HAGentle;NEOa4,"[{""scale_id"":""HEXACO:H:A:G"",""instrument"":""HEXACO"",""scale_name"":""H:A:G"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AG"",""instrument"":""MPQ"",""scale_name"":""MPQ:AG"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A4:CO"",""instrument"":""IPIPneo"",""scale_name"":""A4:CO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-016,naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",q_377;q_1854;q_1758,q_377: Believe that others have good intentions. | q_1854: Trust others. | q_1758: Suspect hidden motives in others.,IPIPneo:A1:TR;MPQ:MPQ:AL,same_direction,multi_item,q_377: 1=Very Inaccurate;6=Very Accurate | q_1854: 1=Very Inaccurate;6=Very Accurate | q_1758: 1=Very Inaccurate;6=Very Accurate,q_377: none documented | q_1854: MPQal | q_1758: NEO_A;NEOa1,"[{""scale_id"":""IPIPneo:A1:TR"",""instrument"":""IPIPneo"",""scale_name"":""A1:TR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AL"",""instrument"":""MPQ"",""scale_name"":""MPQ:AL"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-017,perfectionist,"Strives for flawless accuracy, completeness, and high standards.",q_1694;q_530;q_1915,q_1694: Set high standards for myself and others. | q_530: Continue until everything is perfect. | q_1915: Want every detail taken care of.,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC;BFAS:BFAS:C:O,same_direction,multi_item,q_1694: 1=Very Inaccurate;6=Very Accurate | q_530: 1=Very Inaccurate;6=Very Accurate | q_1915: 1=Very Inaccurate;6=Very Accurate,q_1694: none documented | q_530: none documented | q_1915: none documented,"[{""scale_id"":""IPIPneo:C4:AS"",""instrument"":""IPIPneo"",""scale_name"":""C4:AS"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:C"",""instrument"":""IPIP100"",""scale_name"":""B5:C"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:PE"",""instrument"":""HEXACO"",""scale_name"":""H:C:PE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AC"",""instrument"":""MPQ"",""scale_name"":""MPQ:AC"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:C:O"",""instrument"":""BFAS"",""scale_name"":""BFAS:C:O"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-018,forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",q_145;q_915;q_1869,q_145: Am inclined to forgive others. | q_915: Find it hard to forgive others. | q_1869: Try to forgive and forget.,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,mixed_same_and_reverse,multi_item,q_145: 1=Very Inaccurate;6=Very Accurate | q_915: 1=Very Inaccurate;6=Very Accurate | q_1869: 1=Very Inaccurate;6=Very Accurate,q_145: none documented | q_915: HEXACO_A;HAForgive | q_1869: MPQag,"[{""scale_id"":""HEXACO:H:A:FO"",""instrument"":""HEXACO"",""scale_name"":""H:A:FO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:A"",""instrument"":""QB6"",""scale_name"":""QB6:A"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AG"",""instrument"":""MPQ"",""scale_name"":""MPQ:AG"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-019,judgmental,Quick to form negative opinions and harsh assessments of others' choices.,q_239;q_238,q_239: Am quick to judge others. | q_238: Am quick to correct others.,HEXACO:H:A:G;QB6:QB6:A,same_direction,multi_item,q_239: 1=Very Inaccurate;6=Very Accurate | q_238: 1=Very Inaccurate;6=Very Accurate,q_239: HEXACO_A;HAGentle | q_238: QB6agree,"[{""scale_id"":""HEXACO:H:A:G"",""instrument"":""HEXACO"",""scale_name"":""H:A:G"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:A"",""instrument"":""QB6"",""scale_name"":""QB6:A"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-020,traditional,"Values established methods, conventional wisdom, and proven approaches.",q_82;q_1301;q_4291,q_82: Am attached to conventional ways. | q_1301: Like to be viewed as proper and conventional. | q_4291: It is better to follow society's rules than to go my own way.,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,same_direction,multi_item,q_82: 1=Very Inaccurate;6=Very Accurate | q_1301: 1=Very Inaccurate;6=Very Accurate | q_4291: 1=Very Inaccurate;6=Very Accurate,q_82: NEO_O;NEOo4 | q_1301: HEXACO_O;HOUnconvention | q_4291: EPQp,"[{""scale_id"":""IPIPneo:O4:AD"",""instrument"":""IPIPneo"",""scale_name"":""O4:AD"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:O:U"",""instrument"":""HEXACO"",""scale_name"":""H:O:U"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-021,conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,q_1507;q_1422;q_491,q_1507: Pay attention to details. | q_1422: Make plans and stick to them. | q_491: Carry out my plans.,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;HEXACO:H:C:PR;BFAS:BFAS:C:I;IPIPneo:C5:SD,same_direction,multi_item,q_1507: 1=Very Inaccurate;6=Very Accurate | q_1422: 1=Very Inaccurate;6=Very Accurate | q_491: 1=Very Inaccurate;6=Very Accurate,q_1507: none documented | q_1422: none documented | q_491: none documented,"[{""scale_id"":""IPIP100:B5:C"",""instrument"":""IPIP100"",""scale_name"":""B5:C"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:PE"",""instrument"":""HEXACO"",""scale_name"":""H:C:PE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:CO"",""instrument"":""MPQ"",""scale_name"":""MPQ:CO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:PR"",""instrument"":""HEXACO"",""scale_name"":""H:C:PR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:C:I"",""instrument"":""BFAS"",""scale_name"":""BFAS:C:I"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:C5:SD"",""instrument"":""IPIPneo"",""scale_name"":""C5:SD"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-022,goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",q_4265;q_1685,q_4265: Like telling jokes and funny stories to my friends. | q_1685: Seldom joke around.,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,mixed_or_reverse_wording_review_required,multi_item,q_4265: 1=Very Inaccurate;6=Very Accurate | q_1685: 1=Very Inaccurate;6=Very Accurate,q_4265: none documented | q_1685: QB6extra;NEO_E;NEOe6,"[{""scale_id"":""EPQr:EPQ:E"",""instrument"":""EPQr"",""scale_name"":""EPQ:E"",""item_count"":23,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:X"",""instrument"":""QB6"",""scale_name"":""QB6:X"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:E6:CH"",""instrument"":""IPIPneo"",""scale_name"":""E6:CH"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-023,adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_1662;q_2011,q_1662: Seek adventure. | q_2011: Would love to explore strange places.,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,same_direction,multi_item,q_1662: 1=Very Inaccurate;6=Very Accurate | q_2011: 1=Very Inaccurate;6=Very Accurate,q_1662: MPQha | q_2011: none documented,"[{""scale_id"":""MPQ:MPQ:HA"",""instrument"":""MPQ"",""scale_name"":""MPQ:HA"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:E5:ES"",""instrument"":""IPIPneo"",""scale_name"":""E5:ES"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:O:I"",""instrument"":""HEXACO"",""scale_name"":""H:O:I"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-024,secular,Approaches topics without religious considerations or spiritual frameworks.,q_660;q_345,q_660: Don't consider myself religious. | q_345: Believe in one true religion.,MPQ:MPQ:TR;IPIPneo:O6:LI,mixed_same_and_reverse,multi_item,q_660: 1=Very Inaccurate;6=Very Accurate | q_345: 1=Very Inaccurate;6=Very Accurate,q_660: MPQtr | q_345: NEO_O;NEOo6,"[{""scale_id"":""MPQ:MPQ:TR"",""instrument"":""MPQ"",""scale_name"":""MPQ:TR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O6:LI"",""instrument"":""IPIPneo"",""scale_name"":""O6:LI"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-025,adaptable,Adjusts communication style and approach based on context and user needs.,q_38;q_566,q_38: Adapt easily to new situations. | q_566: Dislike changes.,IPIPneo:N1:ANX;IPIPneo:O4:AD,same_direction,multi_item,q_38: 1=Very Inaccurate;6=Very Accurate | q_566: 1=Very Inaccurate;6=Very Accurate,q_38: NEO_N;NEOn1 | q_566: NEO_O;NEOo4,"[{""scale_id"":""IPIPneo:N1:ANX"",""instrument"":""IPIPneo"",""scale_name"":""N1:ANX"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O4:AD"",""instrument"":""IPIPneo"",""scale_name"":""O4:AD"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
