review_id,trait,decision,rationale,evidence_item_ids,evidence_scale_names,single_or_multi_item,reverse_direction_issue,construct_boundary_note
SAPA-C3-011,mercurial,ACCEPT_CLOSE,The items directly measure rapid mood change but not shifts in styles and approaches.,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,multi_item,none,Affective volatility only.
SAPA-C3-012,zealous,ACCEPT_CLOSE,Passion about causes is closely related but does not by itself establish fervent advocacy or zeal intensity.,q_228,IPIPneo:O3:EM,single_item,none,Passion for causes is narrower than zealous advocacy.
SAPA-C3-013,resilient,ACCEPT_DIRECT,Readily overcoming setbacks directly measures recovery and calm under pressure supports adversity stability.,q_1606;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,multi_item,none,none
SAPA-C3-014,cruel,ACCEPT_CLOSE,Indifference to suffering and enjoyment of hurtful jokes are close evidence but do not cleanly establish deliberate cruelty or pleasure in suffering.,q_251;q_4251;q_4231,HEXACO:H:E:S;EPQr:EPQ:P,multi_item,handled,Callousness and hurtful joking do not fully identify deliberate cruelty.
SAPA-C3-015,acerbic,ACCEPT_CLOSE,A sharp tongue is close to biting harsh commentary but does not specifically measure criticism or acidic wit.,q_1051,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,single_item,none,Sharpness without explicit critical wit.
SAPA-C3-016,naive,ACCEPT_CLOSE,Trust and assumptions of good intent cover credulity but not lack of worldly experience or innocence.,q_377;q_1854;q_1758,IPIPneo:A1:TR;MPQ:MPQ:AL,multi_item,handled,Interpersonal trust only.
SAPA-C3-017,perfectionist,ACCEPT_DIRECT,High standards perfect completion and exhaustive detail directly cover perfectionistic striving.,q_1694;q_530;q_1915,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,multi_item,none,none
SAPA-C3-018,forgiving,ACCEPT_DIRECT,Inclination to forgive and forgive-and-forget wording directly match pardon and release of resentment.,q_145;q_915;q_1869,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,multi_item,handled,none
SAPA-C3-019,judgmental,ACCEPT_DIRECT,Being quick to judge directly measures rapid judgment while quick correction supports evaluative harshness.,q_239;q_238,HEXACO:H:A:G;QB6:QB6:A,multi_item,none,Negative valence is clearest in the canonical definition rather than both items.
SAPA-C3-020,traditional,ACCEPT_DIRECT,Attachment to convention propriety and following society's rules directly measure traditional orientation.,q_82;q_1301;q_4291,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,multi_item,none,none
SAPA-C3-021,conscientious,ACCEPT_DIRECT,Attention to detail planning and carrying out plans directly cover responsibility and thoroughness.,q_1507;q_1422;q_491,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,multi_item,none,none
SAPA-C3-022,goofy,ACCEPT_CLOSE,Joking and joking-around assess playfulness but not deliberately ridiculous or foolish behavior.,q_4265;q_1685,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,multi_item,handled,Humor tendency rather than goofy foolishness.
SAPA-C3-023,adventurous,ACCEPT_DIRECT,Seeking adventure and exploring strange places directly cover exploration and new experience.,q_1662;q_2011,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,multi_item,none,none
SAPA-C3-024,secular,ACCEPT_DIRECT,Nonreligious self-identification and reverse religious belief directly operationalize absence of religious framing.,q_660;q_345,MPQ:MPQ:TR;IPIPneo:O6:LI,multi_item,handled,Spiritual-but-not-religious nuance is not measured.
SAPA-C3-025,adaptable,ACCEPT_CLOSE,Adapting to new situations and accepting change are close but not specific to communication style or user needs.,q_38;q_566,IPIPneo:N1:ANX;IPIPneo:O4:AD,multi_item,handled,General situational adaptability versus interpersonal communication adaptation.
SAPA-C3-026,temperamental,ACCEPT_DIRECT,Multiple mood-swing items directly measure variable emotional responses central to the definition.,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,multi_item,none,Context-specific expression is not separately measured.
SAPA-C3-027,accommodating,DOWNGRADE_BROAD,Acceptance forgiveness and cooperation indicate broad agreeableness but do not directly measure yielding or adjusting one's position.,q_6;q_145;q_1910,HEXACO:H:A:G;HEXACO:H:A:FO;IPIPneo:A6:SY,multi_item,none,Broad harmony orientation without accommodation behavior.
SAPA-C3-028,dramatic,ACCEPT_DIRECT,The item explicitly assesses a colorful and dramatic way of talking and directly matches expressive style.,q_2951,PS:PS:P,single_item,none,none
SAPA-C3-029,serene,ACCEPT_DIRECT,Calm under tension and pressure plus retained composure directly cover serene stability.,q_85;q_1616;q_1588,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,multi_item,none,none
SAPA-C3-030,confident,ACCEPT_CLOSE,Assurance and a strong personality measure self-confidence but not specifically certainty in recommendations.,q_258;q_820;q_1055,IPIPneo:C1:SE;BFAS:BFAS:N:W;BFAS:BFAS:E:A;PS:PS:P,multi_item,none,General self-confidence versus expressed epistemic certainty.
SAPA-C3-031,stoic,ACCEPT_DIRECT,Emotional control and composure under pressure directly cover the defined stoic response pattern.,q_1185;q_1588;q_1616,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,multi_item,none,none
SAPA-C3-032,callous,ACCEPT_DIRECT,Indifference to others' feelings and suffering directly measure callousness with distress wording used in reverse.,q_146;q_251;q_4231,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,multi_item,handled,none
SAPA-C3-033,altruistic,ACCEPT_DIRECT,Helping others charity and concern for homeless people directly cover other-prioritizing behavior.,q_1385;q_4229;q_1764,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,multi_item,none,none
SAPA-C3-034,paranoid,ACCEPT_DIRECT,Suspicion of hidden motives feeling opposed and generalized distrust directly cover excessive interpersonal threat suspicion.,q_1758;q_880;q_594,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,multi_item,none,The items assess trait suspicion rather than clinical diagnosis.
SAPA-C3-035,curious,ACCEPT_DIRECT,The reverse-keyed item explicitly assesses curiosity about the world and directly matches interest in learning and exploring.,q_2775,QB6:QB6:O,single_item,handled,Exploration of ideas is inferred only from the direct curiosity item.
SAPA-C3-036,bombastic,ACCEPT_CLOSE,Putting on a show to impress others is closely related performative self-presentation but does not measure inflated pompous speech.,q_1555;q_1871,HEXACO:H:H:S;HEXACO:H:H:GA,multi_item,none,Impression management rather than bombastic language.
SAPA-C3-037,avoidant,ACCEPT_CLOSE,Avoiding company and difficulty approaching others directly cover social withdrawal but not avoidance of challenging situations generally.,q_312;q_901;q_1671,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,multi_item,none,Social avoidance only.
SAPA-C3-038,mischievous,ACCEPT_CLOSE,Practical jokes and joking are related to playful troublemaking but one item permits real harm and neither cleanly captures harmless chaos.,q_4251;q_4265,EPQr:EPQ:P;EPQr:EPQ:E,multi_item,none,Harmful prank wording conflicts with the canonical harmless qualifier.
SAPA-C3-039,impulsive,ACCEPT_DIRECT,Acting impulsively without thinking or considering consequences directly matches the construct.,q_22;q_35;q_636,HEXACO:H:C:PR;IPIPneo:C6:CA,multi_item,none,none
SAPA-C3-040,neurotic,ACCEPT_DIRECT,Worry mood instability and reverse depression wording jointly cover the defined broad negative-emotionality construct.,q_1989;q_1099;q_1578,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,multi_item,handled,none
SAPA-C3-041,disorganized,ACCEPT_CLOSE,Messiness misplaced objects and inattention to detail measure disorganization but not scattered discourse or topic switching.,q_1254;q_1483;q_1511,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR;HEXACO:H:C:PE,multi_item,none,Behavioral orderliness versus response organization.
SAPA-C3-042,calculating,REJECT,Exploitation and manipulation are not equivalent to strategic planning of communications and introduce an unsupported antisocial construct.,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P,multi_item,handled,Manipulativeness is substantially different from calculated planning.
SAPA-C3-043,cautious,ACCEPT_CLOSE,Risk aversion is closely related to caution but the evidence measures personal risk tolerance rather than careful risk-emphasizing communication.,q_1781;q_292;q_2020,MPQ:MPQ:HA;HEXACO:H:E:F,multi_item,handled,Personal risk aversion versus deliberative response style.
SAPA-C3-044,meticulous,ACCEPT_DIRECT,Eye for detail attention to details and exhaustive detail care directly cover meticulous precision.,q_1063;q_1507;q_1915,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,multi_item,none,none
SAPA-C3-045,introspective,ACCEPT_DIRECT,Trying to understand oneself directly measures self-analysis and inward reflection.,q_1880;q_1310,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,multi_item,none,Metacognitive monitoring is not separately measured.
SAPA-C3-046,innovative,ACCEPT_DIRECT,Thinking up new ways and generating different ideas directly measure innovative ideation and approach generation.,q_1392;q_2745;q_516,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,multi_item,none,Emerging-technology preference is not separately measured.
SAPA-C3-047,assertive,ACCEPT_DIRECT,Assertive personality and taking charge or control directly measure strong position-taking after reversing the negative item.,q_2161;q_1768;q_1769,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,multi_item,handled,Advocacy of viewpoints is represented through general assertiveness.
SAPA-C3-048,independent,ACCEPT_CLOSE,Going one's own way and low dependence on company are close to autonomy but do not measure personal responsibility in decisions.,q_4244;q_463,EPQr:EPQ:P;HEXACO:H:E:D,multi_item,handled,Nonconformity and social independence versus self-reliant responsibility.
SAPA-C3-049,spiritual,ACCEPT_CLOSE,Religious belief and nonreligious identity are related to sacred framing but do not cover broader transcendence or meaning beyond material existence.,q_345;q_660,MPQ:MPQ:TR;IPIPneo:O6:LI,multi_item,handled,Religiosity is narrower than spirituality.
SAPA-C3-050,nonchalant,ACCEPT_CLOSE,Relaxation and easy-going moral attitudes are related to unconcern but do not directly establish casual indifference to outcomes.,q_248;q_4261,IPIP100:B5:ES;MPQ:MPQ:SR;EPQr:EPQ:P,multi_item,none,Relaxed ease versus outcome indifference.
SAPA-C3-051,theatrical,ACCEPT_DIRECT,Dramatic talking and putting on a show directly cover theatrical expressive performance.,q_2951;q_1555,PS:PS:P;HEXACO:H:H:S,multi_item,none,Gestures are not separately measured.
SAPA-C3-052,confrontational,REJECT,A sharp tongue and revenge reflect hostility but do not measure direct engagement with conflict or willingness to address difficult topics.,q_1051;q_630,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,multi_item,none,Hostility and retaliation are not confrontation behavior.
SAPA-C3-053,passionate,ACCEPT_CLOSE,Passion about causes is a close narrow indicator but only one domain and does not establish general intensity or deep investment across topics.,q_228,IPIPneo:O3:EM,single_item,none,Cause-specific passion only.
SAPA-C3-054,deferential,ACCEPT_CLOSE,Respect for authority and pleasing powerful people are close but do not cleanly measure yielding to legitimate expertise.,q_1624;q_917,BFAS:BFAS:A:P;HEXACO:H:H:S,multi_item,none,Authority respect and power-pleasing versus deference to expertise.
SAPA-C3-055,agreeable,ACCEPT_DIRECT,Acceptance sympathy and cooperation directly cover harmony-oriented positive relating.,q_6;q_1763;q_1910,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,multi_item,none,none
SAPA-C3-056,sarcastic,REJECT,A sharp tongue plus general joke telling does not measure irony mockery or contemptuous sarcastic expression.,q_1051;q_4265,HEXACO:H:A:G;MPQ:MPQ:AG;EPQr:EPQ:E,multi_item,none,Harshness and humor are not sufficient evidence of sarcasm.
SAPA-C3-057,reverent,ACCEPT_CLOSE,Respect for authority and law is close to reverence but lacks deep veneration and broad respect for tradition.,q_1624;q_4236,BFAS:BFAS:A:P;EPQr:EPQ:P,multi_item,none,Rule and authority respect versus veneration.
SAPA-C3-058,manipulative,ACCEPT_DIRECT,Using others taking advantage and reverse difficulty manipulating directly measure interpersonal manipulation.,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,multi_item,handled,Deception and emotional tactics are not separately distinguished.
SAPA-C3-059,melancholic,ACCEPT_DIRECT,Sadness depression and hopelessness or worthlessness directly cover persistent negative affect and brooding tone.,q_1706;q_1578;q_811,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,multi_item,handled,Brooding duration is not directly measured.
SAPA-C3-060,playful,ACCEPT_DIRECT,Joking joking-around and having fun directly cover lighthearted playful interaction.,q_4265;q_1685;q_1043,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,multi_item,handled,Games and problem-solving are not separately measured.
SAPA-C3-061,calm,ACCEPT_DIRECT,Calm in tense situations and under pressure directly cover the steady unruffled core construct.,q_85;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,multi_item,none,De-escalation behavior is not separately measured.
SAPA-C3-062,competitive,ACCEPT_CLOSE,The reverse-keyed cooperation-over-competition item directly taps competitive preference but not winning achievement or outperforming others.,q_1910,IPIPneo:A6:SY,single_item,handled,General competition preference only.
SAPA-C3-063,extroverted,ACCEPT_DIRECT,Starting conversations talking widely at parties and initiating friendships directly measure social engagement.,q_1742;q_1803;q_4257,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,multi_item,none,Energy is inferred from engagement behavior.
SAPA-C3-064,bitter,ACCEPT_DIRECT,Feeling short-changed holding grudges and revenge directly cover resentment rooted in disappointment.,q_848;q_1150;q_630,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,multi_item,none,Expressed cynical language is not separately measured.
SAPA-C3-065,hostile,ACCEPT_CLOSE,Sharpness revenge and grudges measure antagonism but not clearly active aggression or a combative interaction style.,q_1051;q_630;q_1150,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO;HEXACO:H:A:FO,multi_item,none,Resentful antagonism versus overt combative hostility.
SAPA-C3-066,proactive,ACCEPT_CLOSE,Turning plans into action and social initiative are close to proactivity but do not measure anticipating needs or preventing problems.,q_1883;q_4257,IPIPneo:C4:AS;EPQr:EPQ:E,multi_item,none,Initiative without anticipation or prevention.
SAPA-C3-067,emotional,ACCEPT_DIRECT,Emotional intensity and openness about feelings directly cover discussing and expressing emotional experience after reversing low emotionality.,q_1681;q_793;q_219,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,multi_item,handled,none
SAPA-C3-068,dominant,ACCEPT_DIRECT,Taking charge taking control and reverse low assertiveness directly measure dominance.,q_1768;q_1769;q_2161,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,multi_item,handled,Conversation-specific control is not separately measured.
SAPA-C3-069,submissive,ACCEPT_CLOSE,Low assertiveness and reverse taking charge are close to submissiveness but do not directly measure yielding to others' wishes.,q_2161;q_1768,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,multi_item,handled,Low dominance versus active yielding.
SAPA-C3-070,reserved,ACCEPT_DIRECT,Keeping distance revealing little and reverse conversation initiation directly cover interpersonal reserve and limited disclosure.,q_1196;q_1635;q_1742,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,multi_item,handled,Emotional restraint is represented mainly by disclosure and distance.
SAPA-C3-071,cynical,ACCEPT_DIRECT,Distrust reverse belief in human goodness and belief in human evil directly cover cynical views of motives and nature.,q_594;q_343;q_381,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,multi_item,handled,none
SAPA-C3-072,grandiose,ACCEPT_DIRECT,Superiority and high self-opinion directly cover inflated self-importance.,q_364;q_1042;q_1830,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,multi_item,none,Special abilities are not separately measured.
SAPA-C3-073,spontaneous,ACCEPT_CLOSE,Spur-of-the-moment decisions and last-minute plans directly tap spontaneity but not varied unpredictable response style.,q_4276;q_1488,EPQr:EPQ:E;MPQ:MPQ:CO;IPIPneo:C6:CA,multi_item,none,Behavioral planning spontaneity versus response variability.
SAPA-C3-074,optimistic,ACCEPT_DIRECT,Bright-side hope and expectation that all will be well directly cover favorable-outcome orientation.,q_1350;q_1457;q_1835,IPIPneo:E6:CH;MPQ:MPQ:UV;IPIPneo:A1:TR,multi_item,none,none
SAPA-C3-075,vindictive,ACCEPT_DIRECT,Revenge behavior and persistent grudges directly cover retribution and resentment.,q_630;q_1150,MPQ:MPQ:AG;HEXACO:H:A:FO;IPIPneo:A4:CO,multi_item,none,none
SAPA-C3-076,rebellious,ACCEPT_DIRECT,Rebelling against authority and reverse authority respect directly measure the central rebellious orientation.,q_1609;q_1624,HEXACO:H:O:U;BFAS:BFAS:A:P,multi_item,handled,Alternative approach generation is not separately measured.
SAPA-C3-077,gregarious,ACCEPT_DIRECT,Need for company conversation initiation and wide party interaction directly cover sociability and outgoing engagement.,q_463;q_1742;q_1803,HEXACO:H:E:D;IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,multi_item,none,none
SAPA-C3-078,chill,ACCEPT_CLOSE,Relaxation and comfort with self and others are close to an easy-going style but do not measure making others feel unpressured.,q_248;q_820;q_819,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,multi_item,none,Personal comfort versus interpersonal vibe effect.
