source_narrow_occupation_code,source_narrow_occupation_title,source_narrow_analytic_n,source_narrow_feasibility_tier,future_comparison_level,future_comparison_occupation_code,future_comparison_occupation_title,future_comparison_analytic_n,human_stability_tier,matching_model_role_name,existing_match_quality,existing_translation_quality,semantic_cost_flag,semantic_cost_note,boundary
1760,"Physical scientists, all other",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,scientist,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1830,Sociologists,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,19-0000,"Life, Physical, and Social Science Occupations",55,MODERATE / EXPLORATORY,sociologist,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2400,"Archivists, curators, and museum technicians",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,archivist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2400,"Archivists, curators, and museum technicians",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,conservator,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2400,"Archivists, curators, and museum technicians",<10_or_zero,SUPPRESSED_OR_EMPTY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,curator,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2340,Other teachers and instructors,24,BROAD-FAMILY ONLY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,instructor,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2430,Librarians,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,librarian,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2340,Other teachers and instructors,24,BROAD-FAMILY ONLY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,teacher,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2340,Other teachers and instructors,24,BROAD-FAMILY ONLY,broad,25-0000,"Education, Training, and Library Occupations",370,STRONG CENTROID,tutor,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2700,Actors,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,actor,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2720,"Athletes, coaches, umpires, and related workers",16,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,coach,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2700,Actors,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,comedian,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2750,"Musicians, singers, and related workers",12,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,composer,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2630,Designers,29,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,designer,broad,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2750,"Musicians, singers, and related workers",12,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,musician,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2910,Photographers,11,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,photographer,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2710,Producers and directors,10,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,producer,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2720,"Athletes, coaches, umpires, and related workers",16,BROAD-FAMILY ONLY,broad,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",159,STRONG CENTROID,scout,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4540,Tour and travel guides,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,39-0000,Personal Care and Service Occupations,289,STRONG CENTROID,guide,close,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4960,"Sales and related workers, all other",13,BROAD-FAMILY ONLY,broad,41-0000,Sales and Related Occupations,742,STRONG CENTROID,auctioneer,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4850,"Sales representatives, wholesale and manufacturing",48,BROAD-FAMILY ONLY,broad,41-0000,Sales and Related Occupations,742,STRONG CENTROID,merchant,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
5000,First-line supervisors/managers of office and administrative support workers,47,BROAD-FAMILY ONLY,broad,43-0000,Office and Administrative Support Occupations,937,STRONG CENTROID,supervisor,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
9310,Ship and boat captains and operators,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,53-0000,Transportation and Material Moving Occupations,393,STRONG CENTROID,navigator,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
9030,Aircraft pilots and flight engineers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,53-0000,Transportation and Material Moving Occupations,393,STRONG CENTROID,pilot,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
9420,Other transportation workers,<10_or_zero,SUPPRESSED_OR_EMPTY,broad,53-0000,Transportation and Material Moving Occupations,393,STRONG CENTROID,screener,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0710,Management analysts,25,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,analyst,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0710,Management analysts,25,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,consultant,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0710,Management analysts,25,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,coordinator,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0620,"Human resources, training, and labor relations specialists",43,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,facilitator,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0710,Management analysts,25,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,organizer,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0620,"Human resources, training, and labor relations specialists",43,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,recruiter,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
0620,"Human resources, training, and labor relations specialists",43,BROAD-FAMILY ONLY,intermediate,13-1000,Business Operations Specialists,134,STRONG CENTROID,trainer,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1010,Computer programmers,13,BROAD-FAMILY ONLY,intermediate,15-1000,Computer Specialists,114,STRONG CENTROID,debugger,close,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1000,Computer scientists and systems analysts,15,BROAD-FAMILY ONLY,intermediate,15-1000,Computer Specialists,114,STRONG CENTROID,hacker,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1010,Computer programmers,13,BROAD-FAMILY ONLY,intermediate,15-1000,Computer Specialists,114,STRONG CENTROID,programmer,exact,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1000,Computer scientists and systems analysts,15,BROAD-FAMILY ONLY,intermediate,15-1000,Computer Specialists,114,STRONG CENTROID,technologist,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
1530,"Engineers, all other",<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,17-2000,Engineers,55,MODERATE / EXPLORATORY,engineer,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2020,Miscellaneous community and social service specialists,26,BROAD-FAMILY ONLY,intermediate,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",111,STRONG CENTROID,activist,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2020,Miscellaneous community and social service specialists,26,BROAD-FAMILY ONLY,intermediate,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",111,STRONG CENTROID,advocate,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2000,Counselors,44,BROAD-FAMILY ONLY,intermediate,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",111,STRONG CENTROID,counselor,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2850,Writers and authors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,blogger,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2810,"News analysts, reporters and correspondents",<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,critic,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2830,Editors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,editor,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2820,Public relations specialists,12,BROAD-FAMILY ONLY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,influencer,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2860,Miscellaneous media and communication workers,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,interpreter,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2810,"News analysts, reporters and correspondents",<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,journalist,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2850,Writers and authors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,novelist,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2850,Writers and authors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,playwright,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2800,Announcers,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,podcaster,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2850,Writers and authors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,poet,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2800,Announcers,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,presenter,close,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2810,"News analysts, reporters and correspondents",<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,reporter,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2860,Miscellaneous media and communication workers,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,translator,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
2850,Writers and authors,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,27-3000,Media and Communication Workers,55,MODERATE / EXPLORATORY,writer,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3060,Physicians and surgeons,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,29-1000,Health Diagnosing and Treating Practitioners,115,STRONG CENTROID,doctor,broad,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3030,Dietitians and nutritionists,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,29-1000,Health Diagnosing and Treating Practitioners,115,STRONG CENTROID,nutritionist,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3050,Pharmacists,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,29-1000,Health Diagnosing and Treating Practitioners,115,STRONG CENTROID,pharmacist,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3240,"Therapists, all other",<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,29-1000,Health Diagnosing and Treating Practitioners,115,STRONG CENTROID,therapist,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3250,Veterinarians,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,29-1000,Health Diagnosing and Treating Practitioners,115,STRONG CENTROID,veterinarian,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3400,Emergency medical technicians and paramedics,16,BROAD-FAMILY ONLY,intermediate,29-2000,Health Technologists and Technicians,109,STRONG CENTROID,paramedic,exact,exact_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
3820,Detectives and criminal investigators,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,33-3000,Law Enforcement Workers,64,MODERATE / EXPLORATORY,detective,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4000,Chefs and head cooks,22,BROAD-FAMILY ONLY,intermediate,35-1000,"Supervisors, Food Preparation and Serving Workers",64,MODERATE / EXPLORATORY,chef,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4010,First-line supervisors/managers of food preparation and serving workers,42,BROAD-FAMILY ONLY,intermediate,35-1000,"Supervisors, Food Preparation and Serving Workers",64,MODERATE / EXPLORATORY,sommelier,broad,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
4040,Bartenders,32,BROAD-FAMILY ONLY,intermediate,35-3000,Food and Beverage Serving Workers,234,STRONG CENTROID,bartender,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
5310,"Interviewers, except eligibility and loan",14,BROAD-FAMILY ONLY,intermediate,43-4000,Information and Record Clerks,322,STRONG CENTROID,interviewer,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
5520,Dispatchers,16,BROAD-FAMILY ONLY,intermediate,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",189,STRONG CENTROID,dispatcher,exact,older_frame_aggregate_or_title_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
5600,"Production, planning, and expediting clerks",17,BROAD-FAMILY ONLY,intermediate,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",189,STRONG CENTROID,scheduler,close,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
5910,Proofreaders and copy markers,<10_or_zero,SUPPRESSED_OR_EMPTY,intermediate,43-9000,Other Office and Administrative Support Workers,124,STRONG CENTROID,proofreader,exact,official_crosswalk_stable_code_translation,1,Official parent occupation contains other narrow occupations; future work must justify construct correspondence.,Candidate list only; no model data loaded and no human respondent labeled with a role name.
