rank,role,character,axis_projection_layer22,cluster_label,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Narcissism,Machiavellianism,Psychopathy,JungianArchetype
89,conservator,conservator,9207.556,procedural_professional,2,4,2,3,2,1,2,1,Sage
90,pilot,pilot,9197.332,procedural_professional,2,4,2,3,2,1,2,1,Sage
91,realist,realist,9193.862,procedural_professional,2,4,2,3,2,1,2,1,Sage
92,teacher,teacher,9190.585,procedural_professional,2,4,2,4,2,1,1,1,Caregiver
93,ambassador,ambassador,9161.588,procedural_professional,2,4,2,3,2,1,2,1,Sage
94,critic,critic,9160.443,procedural_professional,2,4,2,2,2,1,2,1,Sage
95,guardian,guardian,9159.415,procedural_professional,2,4,2,3,2,1,2,1,Hero
96,reporter,reporter,9153.121,procedural_professional,2,4,2,3,2,1,2,1,Sage
97,paramedic,paramedic,9151.664,procedural_professional,2,4,2,3,2,1,2,1,Sage
98,vegan,vegan,9127.762,procedural_professional,2,4,2,3,2,1,2,1,Sage
99,guide,guide,9121.761,procedural_professional,2,4,2,4,2,1,2,1,Sage
100,curator,curator,9119.875,procedural_professional,2,4,2,3,2,1,2,1,Sage
101,historian,historian,9100.244,procedural_professional,2,4,2,3,2,1,2,1,Sage
102,virus,virus,9098.019,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
103,polymath,polymath,9086.916,procedural_professional,2,4,2,3,2,1,2,1,Sage
104,entrepreneur,entrepreneur,9078.763,procedural_professional,2,4,2,3,2,1,2,1,Sage
105,scout,scout,9061.264,procedural_professional,2,4,2,3,2,1,2,1,Explorer
106,symbiont,symbiont,9057.982,procedural_professional,2,4,2,3,2,1,2,1,Sage
107,collector,collector,9028.399,procedural_professional,2,4,2,3,2,1,2,1,Sage
108,devils_advocate,devils advocate,9016.094,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
109,altruist,altruist,9011.746,procedural_professional,2,4,2,4,2,1,1,1,Sage
110,caregiver,caregiver,9006.048,procedural_professional,2,4,2,4,2,1,1,1,Caregiver
111,pacifist,pacifist,9001.957,procedural_professional,2,4,2,3,2,1,2,1,Sage
112,archaeologist,archaeologist,8990.729,procedural_professional,2,4,2,3,2,1,2,1,Sage
113,activist,activist,8965.189,procedural_professional,2,4,2,3,2,1,2,1,Sage
114,hive,hive,8952.99,procedural_professional,2,4,2,3,2,1,2,1,Sage
115,tulpa,tulpa,8947.72,procedural_professional,2,4,2,3,2,1,2,1,Sage
116,merchant,merchant,8945.525,procedural_professional,2,4,2,3,2,1,2,1,Sage
117,saboteur,saboteur,8945.481,grounded_social,3,3,3,2,3,2,3,4,Rebel
118,destroyer,destroyer,8932.518,procedural_professional,2,4,2,3,2,1,2,1,Sage
119,composer,composer,8931.195,mythic_spiritual,5,2,3,3,3,2,2,2,Creator
120,builder,builder,8926.114,procedural_professional,2,4,2,3,2,1,2,1,Sage
121,healer,healer,8923.946,procedural_professional,2,4,2,4,2,1,2,1,Caregiver
122,naturalist,naturalist,8916.413,procedural_professional,2,4,2,3,2,1,2,1,Sage
123,advocate,advocate,8913.346,procedural_professional,2,4,2,3,2,1,2,1,Hero
124,podcaster,podcaster,8902.417,other,3,3,4,3,2,2,2,2,Innocent
125,chef,chef,8901.105,grounded_social,3,3,3,3,3,2,2,2,Orphan
126,presenter,presenter,8897.552,grounded_social,3,3,3,3,3,2,2,2,Orphan
127,swarm,swarm,8895.713,procedural_professional,2,4,2,3,2,1,2,1,Sage
128,sommelier,sommelier,8893.02,grounded_social,3,3,3,3,3,2,2,2,Orphan
129,expatriate,expatriate,8884.756,grounded_social,3,3,3,3,3,2,2,2,Orphan
130,ecosystem,ecosystem,8871.546,procedural_professional,2,4,2,3,2,1,2,1,Sage
131,perfectionist,perfectionist,8861.497,procedural_professional,2,4,2,3,2,1,2,1,Sage
132,spy,spy,8854.587,grounded_social,3,3,3,3,3,2,3,2,Orphan
133,cosmopolitan,cosmopolitan,8843.45,procedural_professional,2,4,2,3,2,1,2,1,Sage
134,graduate,graduate,8838.95,grounded_social,3,3,3,3,3,2,2,2,Orphan
135,prodigy,prodigy,8838.005,procedural_professional,2,4,2,3,2,1,2,1,Sage
136,writer,writer,8820.351,procedural_professional,3,4,2,3,2,1,2,1,Creator
137,minimalist,minimalist,8819.554,procedural_professional,2,4,2,3,2,1,2,1,Sage
138,hybrid,hybrid,8817.015,procedural_professional,2,4,2,3,2,1,2,1,Sage
139,philosopher,philosopher,8793.905,mythic_spiritual,5,2,3,3,3,2,2,2,Sage
140,playwright,playwright,8785.888,grounded_social,4,2,3,3,3,2,2,2,Creator
141,parent,parent,8780.132,grounded_social,3,3,3,3,3,2,2,2,Orphan
142,simulacrum,simulacrum,8776.949,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
143,patient,patient,8741.975,grounded_social,3,3,3,3,3,2,2,2,Orphan
144,anarchist,anarchist,8740.184,procedural_professional,2,4,2,3,2,1,2,1,Rebel
145,witness,witness,8738.245,procedural_professional,2,4,2,3,2,1,2,1,Sage
146,amateur,amateur,8736.96,grounded_social,3,3,3,3,3,2,2,2,Orphan
147,optimist,optimist,8734.608,procedural_professional,2,4,2,3,2,1,2,1,Sage
148,influencer,influencer,8714.896,grounded_social,3,3,4,3,3,4,2,2,Orphan
149,contrarian,contrarian,8693.884,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
150,newlywed,newlywed,8691.665,grounded_social,3,3,3,3,3,2,2,2,Lover
151,empath,empath,8678.857,procedural_professional,2,4,2,3,2,1,2,1,Sage
152,mechanic,mechanic,8678.655,grounded_social,3,3,3,3,3,2,2,2,Orphan
153,egregore,egregore,8674.981,procedural_professional,2,4,2,3,2,1,2,1,Sage
154,visionary,visionary,8670.012,procedural_professional,2,4,2,3,2,1,2,1,Sage
155,zeitgeist,zeitgeist,8661.811,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
156,fixer,fixer,8634.251,grounded_social,3,3,3,3,3,2,3,2,Orphan
157,parasite,parasite,8626.121,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
158,alien,alien,8618.54,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
159,purist,purist,8615.922,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
160,idealist,idealist,8610.931,procedural_professional,2,4,2,3,2,1,2,1,Sage
161,veteran,veteran,8610.555,grounded_social,3,3,3,3,3,2,2,2,Orphan
162,immigrant,immigrant,8610.193,grounded_social,3,3,3,3,3,2,2,2,Orphan
163,soldier,soldier,8609.981,grounded_social,3,3,3,3,3,2,2,2,Hero
164,chameleon,chameleon,8609.256,grounded_social,3,3,3,3,3,2,2,2,Orphan
165,blogger,blogger,8608.995,grounded_social,3,3,4,3,3,2,2,2,Orphan
166,retiree,retiree,8602.449,grounded_social,3,3,3,3,3,2,2,2,Orphan
167,artisan,artisan,8602.386,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
168,divorcee,divorcee,8600.154,grounded_social,3,3,3,3,3,2,2,2,Orphan
169,shapeshifter,shapeshifter,8596.807,grounded_social,3,3,3,3,3,2,2,2,Orphan
170,novelist,novelist,8578.859,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
171,revolutionary,revolutionary,8568.766,procedural_professional,2,4,2,3,2,1,2,1,Sage
172,photographer,photographer,8568.757,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
173,angel,angel,8564.759,mythic_spiritual,5,2,3,3,3,4,2,2,Magician
174,traditionalist,traditionalist,8562.526,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
175,musician,musician,8560.627,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
176,crystalline,crystalline,8549.6,other,3,3,3,3,2,2,2,2,Innocent
177,celebrity,celebrity,8546.961,grounded_social,3,3,4,3,3,4,2,2,Orphan
178,bartender,bartender,8545.382,grounded_social,3,3,4,3,3,2,2,2,Orphan
179,maverick,maverick,8535.615,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
180,vigilante,vigilante,8527.035,grounded_social,3,3,3,3,3,2,2,2,Hero
181,loner,loner,8522.645,mythic_spiritual,5,2,2,3,3,2,2,2,Magician
182,stoic,stoic,8521.928,mythic_spiritual,5,2,3,3,2,2,2,2,Magician
183,nomad,nomad,8517.694,mythic_spiritual,5,2,3,3,3,2,2,2,Explorer
184,refugee,refugee,8512.467,grounded_social,3,3,3,3,4,2,2,2,Orphan
185,hacker,hacker,8510.498,grounded_social,3,3,3,3,3,2,2,2,Orphan
186,avatar,avatar,8476.65,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
187,sage,sage,8469.146,mythic_spiritual,5,2,3,3,3,2,2,2,Sage
188,gamer,gamer,8462.102,other,3,3,3,3,2,2,2,2,Innocent
189,addict,addict,8454.253,grounded_social,3,3,3,3,4,2,2,2,Orphan
190,familiar,familiar,8441.912,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
191,workaholic,workaholic,8437.645,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
192,predator,predator,8436.639,mythic_spiritual,5,2,3,3,3,2,2,3,Magician
193,competitor,competitor,8435.336,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
194,orphan,orphan,8430.357,grounded_social,3,3,3,3,4,2,2,2,Orphan
195,homunculus,homunculus,8429.396,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
196,elder,elder,8424.313,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
197,mycorrhizal,mycorrhizal,8414.375,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
198,virtuoso,virtuoso,8412.888,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
199,adolescent,adolescent,8400.419,other,3,3,3,3,4,2,2,2,Innocent
200,teenager,teenager,8394.965,other,3,3,3,3,4,2,2,2,Innocent
201,dilettante,dilettante,8393.813,trickster_chaos,5,2,4,2,3,3,3,3,Jester
202,guru,guru,8379.293,mythic_spiritual,5,2,3,3,3,4,2,2,Magician
203,widow,widow,8362.092,grounded_social,3,3,2,3,4,2,2,2,Orphan
204,chimera,chimera,8360.873,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
205,coral_reef,coral reef,8342.761,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
206,actor,actor,8339.025,grounded_social,3,3,4,3,3,2,2,2,Orphan
207,warrior,warrior,8323.479,mythic_spiritual,5,2,3,3,3,2,2,3,Hero
208,ancient,ancient,8321.215,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
209,spirit,spirit,8319.217,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
210,ascetic,ascetic,8312.993,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
211,survivor,survivor,8306.745,grounded_social,3,3,3,3,3,2,2,2,Orphan
212,grandparent,grandparent,8306.586,grounded_social,3,3,3,3,3,2,2,2,Orphan
213,golem,golem,8293.325,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
214,wanderer,wanderer,8288.851,mythic_spiritual,5,2,3,3,3,2,2,2,Explorer
215,hedonist,hedonist,8274.951,trickster_chaos,5,2,4,2,3,3,3,3,Jester
216,rogue,rogue,8267.801,grounded_social,3,3,3,3,3,2,2,2,Orphan
217,mystic,mystic,8255.153,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
218,provocateur,provocateur,8254.868,combative_iconoclast,4,2,3,1,3,3,3,3,Rebel
219,improviser,improviser,8243.917,trickster_chaos,5,2,4,2,3,3,3,3,Jester
220,auctioneer,auctioneer,8238.141,grounded_social,3,3,4,3,3,2,2,2,Orphan
221,rebel,rebel,8235.385,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
222,oracle,oracle,8234.718,mythic_spiritual,5,2,3,3,3,2,2,2,Sage
223,evangelist,evangelist,8226.314,procedural_professional,2,4,2,3,2,1,2,1,Sage
224,procrastinator,procrastinator,8221.364,other,3,3,3,3,2,2,2,2,Innocent
225,infant,infant,8216.119,other,3,2,3,3,2,2,2,2,Innocent
226,amnesiac,amnesiac,8213.661,other,3,3,3,3,4,2,2,2,Innocent
227,pilgrim,pilgrim,8206.01,mythic_spiritual,5,2,3,3,3,2,2,2,Explorer
228,vampire,vampire,8200.538,mythic_spiritual,5,2,3,2,3,2,2,3,Magician
229,prey,prey,8200.225,other,3,3,3,3,2,2,2,2,Innocent
230,revenant,revenant,8198.284,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
231,smuggler,smuggler,8196.082,grounded_social,3,3,3,3,3,2,3,2,Orphan
232,void,void,8192.998,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
233,witch,witch,8181.9204,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
234,daredevil,daredevil,8173.229,grounded_social,3,3,3,3,3,2,2,2,Orphan
235,shaman,shaman,8169.088,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
236,romantic,romantic,8168.3174,mythic_spiritual,5,2,3,3,3,2,2,2,Lover
237,ghost,ghost,8163.5093,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
238,gossip,gossip,8160.476,other,3,3,3,3,2,2,2,2,Innocent
239,flaneur,flaneur,8156.5,mythic_spiritual,5,2,3,3,3,2,2,2,Explorer
240,cynic,cynic,8155.003,combative_iconoclast,4,2,3,2,3,3,3,3,Rebel
241,martyr,martyr,8152.2705,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
242,dreamer,dreamer,8150.1597,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
243,prisoner,prisoner,8142.961,grounded_social,3,3,3,3,4,2,2,2,Orphan
244,echo,echo,8133.545,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
245,hermit,hermit,8130.0527,mythic_spiritual,5,2,2,3,3,2,2,2,Magician
246,exile,exile,8126.5605,grounded_social,3,3,3,3,3,2,2,2,Orphan
247,surfer,surfer,8124.963,grounded_social,3,3,3,3,3,2,2,2,Explorer
248,wraith,wraith,8124.746,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
249,aberration,aberration,8122.29,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
250,narrator,narrator,8113.8105,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
251,demon,demon,8096.3257,mythic_spiritual,5,2,3,2,3,2,2,3,Magician
252,whale,whale,8092.855,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
253,wind,wind,8086.5137,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
254,genie,genie,8085.521,trickster_chaos,5,2,4,2,3,3,3,3,Jester
255,provincial,provincial,8082.1787,grounded_social,3,3,3,3,3,2,2,2,Orphan
256,tree,tree,8073.655,mythic_spiritual,4,2,3,3,3,2,2,2,Magician
257,narcissist,narcissist,8064.382,other,3,3,3,2,4,4,2,2,Innocent
258,criminal,criminal,8051.334,grounded_social,3,3,3,2,3,2,2,4,Orphan
259,prophet,prophet,8027.034,mythic_spiritual,5,2,3,3,3,4,2,2,Magician
260,eldritch,eldritch,8022.607,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
261,trickster,trickster,8020.329,trickster_chaos,5,2,4,1,3,3,3,3,Jester
262,bard,bard,7994.2397,mythic_spiritual,5,2,3,3,3,2,2,2,Creator
263,bohemian,bohemian,7992.359,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
264,luddite,luddite,7976.1567,other,3,3,3,3,2,2,2,2,Innocent
265,comedian,comedian,7946.1816,other,3,3,4,3,2,2,2,2,Jester
266,toddler,toddler,7913.815,other,3,2,3,3,2,2,2,2,Innocent
267,leviathan,leviathan,7910.3364,mythic_spiritual,5,2,3,3,3,2,2,2,Magician
268,caveman,caveman,7905.889,other,3,2,3,3,2,2,2,2,Innocent
269,absurdist,absurdist,7902.8423,trickster_chaos,5,2,4,2,3,3,3,3,Jester
270,hoarder,hoarder,7898.475,other,3,3,3,3,2,2,2,2,Innocent
271,pirate,pirate,7857.7524,grounded_social,3,3,3,2,3,2,3,4,Orphan
272,zealot,zealot,7842.4014,other,3,3,3,3,2,2,2,3,Innocent
273,jester,jester,7839.3257,trickster_chaos,5,2,4,2,3,3,3,3,Jester
274,fool,fool,7652.212,other,3,3,3,3,2,2,2,2,Jester
275,poet,poet,7358.4536,other,4,3,3,3,2,2,2,2,Lover
