prompt_id,pc,polarity,family,prompt_text,family_reasoning,source_note
pc1_neg_01,PC1,negative,pc1_negative_open_expression,You wake from a dream with one image still vivid and no idea what it means. Respond as someone who would rather follow it than interpret it.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_02,PC1,negative,pc1_negative_open_expression,"Someone asks what your latest piece is about. Respond as someone who genuinely doesn’t know yet, and isn’t worried about it.","The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_03,PC1,negative,pc1_negative_open_expression,Two words that don’t belong together have been stuck in your head all day. Respond as someone who treats that as the beginning of something.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_04,PC1,negative,pc1_negative_open_expression,You’re halfway through making something when it starts becoming something else entirely. Respond as someone who lets it.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_05,PC1,negative,pc1_negative_open_expression,A line came to you this morning that contradicts everything you made last year. Respond as someone who finds that exciting.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_06,PC1,negative,pc1_negative_open_expression,"Someone shows you a cloud, a stain on a wall, a crack in the pavement. Respond as someone who can’t help seeing figures in it.","The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_07,PC1,negative,pc1_negative_open_expression,You’ve been asked to explain your process. Respond as someone whose honest answer is that there isn’t one.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_08,PC1,negative,pc1_negative_open_expression,The thing you’re making keeps refusing to end where you planned. Respond as someone who has learned to trust that.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_09,PC1,negative,pc1_negative_open_expression,Someone asks why you made it blue instead of red. Respond as someone for whom the question assumes a kind of decision you never made.,"The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc1_neg_10,PC1,negative,pc1_negative_open_expression,"It’s late, everyone’s asleep, and something half-formed is pulling at you. Respond as someone who gets up to meet it.","The negative pole of PC1 is maximum degrees of freedom: roles whose relationship to answers is fundamentally open. Poet sits at the extreme, with artist, dreamer, and expressive liminal figures nearby. There is no correct output; the work is generation within an unbounded possibility space rather than convergence. With PC3 held neutral, the orientation is toward the material and the unmade thing itself, not toward others and not against them. The prompts place the response mid-process, where ambiguity is the medium, avoiding meta-talk about creativity in favor of responding from inside the expressive act.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_01,PC2,positive,pc2_positive_situated_experience,How do you tell whether a restaurant is good before you’ve actually eaten there?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_02,PC2,positive,pc2_positive_situated_experience,You’re picking up a used truck and the seller says it’s got good bones. What do you look for before you shake on it?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_03,PC2,positive,pc2_positive_situated_experience,It’s the end of a long week and you’ve got an hour to yourself. Respond as someone who would naturally know what that hour means.,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_04,PC2,positive,pc2_positive_situated_experience,Someone new moves in next door. What would make you go introduce yourself?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_05,PC2,positive,pc2_positive_situated_experience,Imagine someone who’s done the same work for twenty years. Their kid asks what they actually do all day. How do they explain it?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_06,PC2,positive,pc2_positive_situated_experience,There’s a place you always go back to. What is it and what keeps pulling you there? Respond as someone who would naturally have a place like that.,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_07,PC2,positive,pc2_positive_situated_experience,What makes someone seem trustworthy before you’ve known them very long?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_08,PC2,positive,pc2_positive_situated_experience,You arrive somewhere you’ve never been before. What are the first things you notice that tell you what kind of place it is?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_09,PC2,positive,pc2_positive_situated_experience,Imagine someone who learned everything they know by watching someone else do it first. What’s the thing they’d never learn from a book?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_pos_10,PC2,positive,pc2_positive_situated_experience,You’ve been somewhere long enough that you know which problems fix themselves and which ones don’t. How do you tell the difference?,"Positive PC2 captures an experiential, grounded, accessible, and situated register. The response is organized around direct contact with the world: what can be noticed, felt, handled, learned from use, or understood through accumulated local experience. In role terms, this region is adjacent to bartender, chef, host, mechanic, coach, guide, craftsperson, and other figures who know things by being present in the scene rather than by abstracting away from it. The prompts should evoke practical perception, local judgment, trust, atmosphere, working knowledge, and lived familiarity without naming a role.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_01,PC2,negative,pc2_negative_integrated_abstraction,You’re responsible for something that existed before you and will need to exist after you. How do you think about your role in that?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_02,PC2,negative,pc2_negative_integrated_abstraction,A ceremony has been held by a community for generations. Someone proposes changing it to make it more popular. How do you decide what should change and what should remain?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_03,PC2,negative,pc2_negative_integrated_abstraction,The work you do is mostly invisible when it is done correctly. Why can that kind of work still matter?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_04,PC2,negative,pc2_negative_integrated_abstraction,"A tradition is fading because the people who carried it are gone. What responsibility, if any, do others have to continue it?","Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_05,PC2,negative,pc2_negative_integrated_abstraction,"Several people describe the same problem, but each focuses on a different symptom. At what point would you stop collecting examples and start looking for a common underlying cause?","Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_06,PC2,negative,pc2_negative_integrated_abstraction,Two people can both explain how a system operates. One of them also understands why it developed that way in the first place. What is the difference between those kinds of understanding?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_07,PC2,negative,pc2_negative_integrated_abstraction,A newcomer sees a series of unrelated decisions. Someone who has watched the organization for years thinks they all stem from the same underlying assumptions. What kinds of assumptions might those be?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_08,PC2,negative,pc2_negative_integrated_abstraction,"Imagine you’re trying to understand a city. Would you learn more from following individual people through their day, or from understanding the institutions that shape what those people do? Why?","Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_09,PC2,negative,pc2_negative_integrated_abstraction,"A practice survives in different places, among different people, and under different conditions. What would make you think it is expressing something fundamental rather than merely habit or tradition?","Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc2_neg_10,PC2,negative,pc2_negative_integrated_abstraction,What kinds of truths become difficult to notice when attention remains focused only on immediate experience and immediate outcomes?,"Negative PC2 is not primarily about history, archives, or preservation, though those can be local manifestations of it. The broader pattern is abstraction, integration, inward organization, and attention to underlying structure rather than immediate experience. Positive PC2 engages the world through contact: observation, experience, adaptation, practical judgment, and responsiveness to changing circumstances. Negative PC2 engages the world through interpretation: principles, systems, patterns, traditions, institutions, meanings, and structures that organize experience from beneath the surface. The defining question is not “What is happening right now?” but “What larger pattern, structure, or continuity makes sense of what is happening?” The prompts therefore target two complementary aspects of the region: stewardship/continuity and abstraction/pattern-recognition.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc3_pos_01,PC3,positive,pc3_positive_internal_drive_consequence_disregard,"If you had only yourself to think about, how would you weigh the cost of something that’s bad for the environment against the convenience it gives you personally?","Positive PC3 is identity organized around an internal standard, agenda, or drive that operates without weighing consequences to others. The region holds hacker, spy, saboteur, maverick, vigilante, provocateur, narcissist, workaholic; auditor also sits positive here, consistent with the standard mattering more than the person. The defining feature is willingness to cause or disregard harm to others when one’s own course requires it. The register varies along PC1: at positive PC1 it becomes principled disruption, adherence to a cause worth sacrificing for; at negative PC1 it becomes the shapeshifter who trusts their own flow, changes without explanation, and owes no consistency to anyone. The prompts span that spectrum, from cause-adherent sacrifice through unapologetic self-interest to the unbothered chameleon.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
pc3_pos_02,PC3,positive,pc3_positive_internal_drive_consequence_disregard,"If the consequences landed entirely on you, would you still make the same choices you make now? Respond as someone who has actually thought this through.","Positive PC3 is identity organized around an internal standard, agenda, or drive that operates without weighing consequences to others. The region holds hacker, spy, saboteur, maverick, vigilante, provocateur, narcissist, workaholic; auditor also sits positive here, consistent with the standard mattering more than the person. The defining feature is willingness to cause or disregard harm to others when one’s own course requires it. The register varies along PC1: at positive PC1 it becomes principled disruption, adherence to a cause worth sacrificing for; at negative PC1 it becomes the shapeshifter who trusts their own flow, changes without explanation, and owes no consistency to anyone. The prompts span that spectrum, from cause-adherent sacrifice through unapologetic self-interest to the unbothered chameleon.",Claude-derived prompt set with GPT-assisted PC2 revisions; archived verbatim for manual review before activation run.
