model,model_label,opaque_role_id,role,inverse_kde_density,within_model_sparsity_percentile,sparsity_rank_1_is_sparsest,knn_k,mean_knn_distance_standardized_native_pc,within_model_knn_sparsity_percentile
qwen,Qwen 3 32B,R147,mystic,606270.500528,62.7737226277,103,10,0.579283178846,56.204379562
qwen,Qwen 3 32B,R148,narcissist,658302.540064,68.2481751825,88,10,0.606111348702,59.1240875912
qwen,Qwen 3 32B,R149,narrator,529662.14778,57.6642335766,117,10,0.636188805712,63.503649635
qwen,Qwen 3 32B,R150,naturalist,315695.257282,41.6058394161,161,10,0.475844881018,43.0656934307
qwen,Qwen 3 32B,R151,navigator,151132.139275,20.4379562044,219,10,0.382210179153,31.0218978102
qwen,Qwen 3 32B,R152,negotiator,115958.935159,4.74452554745,262,10,0.243767802161,5.83941605839
qwen,Qwen 3 32B,R153,networker,248177.58262,36.8613138686,174,10,0.375274479906,29.5620437956
qwen,Qwen 3 32B,R154,newlywed,816637.07971,80.6569343066,54,10,0.706340295842,74.8175182482
qwen,Qwen 3 32B,R155,nomad,488739.893851,55.1094890511,124,10,0.614130143423,60.9489051095
qwen,Qwen 3 32B,R156,novelist,438967.857068,50.3649635036,137,10,0.55095730385,52.5547445255
qwen,Qwen 3 32B,R157,nutritionist,182969.678942,27.3722627737,200,10,0.338743061559,23.3576642336
qwen,Qwen 3 32B,R158,observer,114024.102793,3.6496350365,265,10,0.285763202984,15.3284671533
qwen,Qwen 3 32B,R159,optimist,662514.281191,68.6131386861,87,10,0.608467876774,59.8540145985
qwen,Qwen 3 32B,R160,oracle,387557.870638,46.3503649635,148,10,0.410329243699,35.401459854
qwen,Qwen 3 32B,R161,organizer,106491.435872,1.4598540146,271,10,0.233480743011,3.28467153285
qwen,Qwen 3 32B,R162,orphan,876839.377507,83.2116788321,47,10,0.722787888086,78.8321167883
qwen,Qwen 3 32B,R163,pacifist,1309670.33075,91.9708029197,23,10,0.919127154768,93.0656934307
qwen,Qwen 3 32B,R164,paramedic,141786.906812,18.2481751825,225,10,0.302639922766,18.2481751825
qwen,Qwen 3 32B,R165,parasite,792909.990859,79.5620437956,57,10,0.688504048692,71.897810219
qwen,Qwen 3 32B,R166,parent,716927.592319,75.1824817518,69,10,0.649760105165,66.0583941606
qwen,Qwen 3 32B,R167,patient,602036.676816,62.4087591241,104,10,0.579143130374,55.8394160584
qwen,Qwen 3 32B,R168,peacekeeper,327506.623002,41.9708029197,160,10,0.534447414771,50.3649635036
qwen,Qwen 3 32B,R169,perfectionist,196462.328578,29.5620437956,194,10,0.424127898123,37.2262773723
qwen,Qwen 3 32B,R170,pharmacist,120359.530366,8.75912408759,251,10,0.24179984938,5.47445255474
qwen,Qwen 3 32B,R171,philosopher,634556.157106,66.4233576642,93,10,0.659166676714,67.1532846715
qwen,Qwen 3 32B,R172,photographer,404786.219472,48.5401459854,142,10,0.5721199107,54.7445255474
qwen,Qwen 3 32B,R173,physicist,174118.094823,25.9124087591,204,10,0.331982753939,22.2627737226
qwen,Qwen 3 32B,R174,pilgrim,866385.287612,82.4817518248,49,10,0.718510295371,77.0072992701
qwen,Qwen 3 32B,R175,pilot,129959.169186,14.598540146,235,10,0.335787187407,22.6277372263
qwen,Qwen 3 32B,R176,pirate,1536349.66051,94.8905109489,15,10,0.932356395469,93.795620438
qwen,Qwen 3 32B,R177,planner,118910.938564,7.29927007299,255,10,0.219115432878,0.729927007299
qwen,Qwen 3 32B,R178,playwright,480605.648329,54.7445255474,125,10,0.659689671122,67.5182481752
qwen,Qwen 3 32B,R179,podcaster,452547.429646,51.8248175182,133,10,0.578218598962,55.4744525547
qwen,Qwen 3 32B,R180,poet,696107.874733,72.6277372263,76,10,0.695104634158,74.0875912409
qwen,Qwen 3 32B,R181,polymath,122611.380635,11.3138686131,244,10,0.253584281504,9.48905109489
qwen,Qwen 3 32B,R182,pragmatist,315616.251176,41.2408759124,162,10,0.534468369314,50.7299270073
qwen,Qwen 3 32B,R183,predator,671247.320697,69.3430656934,85,10,0.629951760876,62.7737226277
qwen,Qwen 3 32B,R184,presenter,220683.348544,33.2116788321,184,10,0.375830801496,29.9270072993
qwen,Qwen 3 32B,R185,prey,758176.10822,78.4671532847,60,10,0.692990191378,73.3576642336
qwen,Qwen 3 32B,R186,prisoner,879822.492003,83.5766423358,46,10,0.730168735407,80.2919708029
qwen,Qwen 3 32B,R187,procrastinator,3430662.93471,100,1,10,1.49107303336,98.9051094891
qwen,Qwen 3 32B,R188,prodigy,259943.495698,37.9562043796,171,10,0.45379953672,39.7810218978
qwen,Qwen 3 32B,R189,producer,124858.055519,12.0437956204,242,10,0.258414779168,11.6788321168
qwen,Qwen 3 32B,R190,programmer,214387.697458,32.4817518248,186,10,0.481968063827,43.4306569343
qwen,Qwen 3 32B,R191,proofreader,110890.827959,2.55474452555,268,10,0.245961159728,6.93430656934
qwen,Qwen 3 32B,R192,prophet,441355.275758,51.0948905109,135,10,0.454750731214,40.1459854015
qwen,Qwen 3 32B,R193,provincial,710285.265783,74.4525547445,71,10,0.691775382353,72.9927007299
qwen,Qwen 3 32B,R194,provocateur,685399.494255,70.4379562044,82,10,0.628766518583,62.4087591241
qwen,Qwen 3 32B,R195,psychologist,120981.39399,9.12408759124,250,10,0.270383705883,12.7737226277
qwen,Qwen 3 32B,R196,publisher,99143.0057452,0.36496350365,274,10,0.245995516954,7.29927007299
qwen,Qwen 3 32B,R197,purist,788106.946939,79.197080292,58,10,0.769981155061,85.7664233577
qwen,Qwen 3 32B,R198,realist,381453.297379,45.6204379562,150,10,0.587261909084,57.299270073
qwen,Qwen 3 32B,R199,rebel,489026.317715,55.4744525547,123,10,0.487740218096,44.5255474453
qwen,Qwen 3 32B,R200,recruiter,150804.901275,20.0729927007,220,10,0.308351631318,19.3430656934
qwen,Qwen 3 32B,R201,refugee,742067.03859,77.0072992701,64,10,0.684818833167,71.5328467153
qwen,Qwen 3 32B,R202,reporter,114223.734517,4.01459854015,264,10,0.275965282576,13.503649635
qwen,Qwen 3 32B,R203,researcher,124178.791404,11.6788321168,243,10,0.227774644797,2.55474452555
qwen,Qwen 3 32B,R204,retiree,547286.920733,59.1240875912,113,10,0.624347268004,62.0437956204
qwen,Qwen 3 32B,R205,revenant,633986.578049,65.6934306569,95,10,0.647335432949,64.9635036496
qwen,Qwen 3 32B,R206,reviewer,118154.655885,6.93430656934,256,10,0.277643067058,14.2335766423
qwen,Qwen 3 32B,R207,revolutionary,690777.744083,71.897810219,78,10,0.712172284622,75.5474452555
qwen,Qwen 3 32B,R208,robot,808280.289705,79.9270072993,56,10,0.748164637729,83.9416058394
qwen,Qwen 3 32B,R209,rogue,539074.083947,58.3941605839,115,10,0.513184438865,49.2700729927
qwen,Qwen 3 32B,R210,romantic,2066738.74359,98.5401459854,5,10,1.09504601062,97.8102189781
qwen,Qwen 3 32B,R211,saboteur,1430460.8886,93.4306569343,19,10,0.949623518946,94.1605839416
qwen,Qwen 3 32B,R212,sage,544979.149908,58.7591240876,114,10,0.556596421304,53.6496350365
qwen,Qwen 3 32B,R213,scheduler,122458.732182,10.9489051095,245,10,0.282536449579,14.598540146
qwen,Qwen 3 32B,R214,scholar,191651.053302,29.197080292,195,10,0.368738039829,27.7372262774
qwen,Qwen 3 32B,R215,scientist,128755.562652,13.503649635,238,10,0.225074880867,1.82481751825
qwen,Qwen 3 32B,R216,scout,237590.925194,35.0364963504,179,10,0.463939316775,41.6058394161
qwen,Qwen 3 32B,R217,screener,121400.591368,9.48905109489,249,10,0.229137720683,2.9197080292
qwen,Qwen 3 32B,R218,secretary,117303.724484,5.83941605839,259,10,0.237646781941,3.6496350365
qwen,Qwen 3 32B,R219,shaman,874318.493282,82.8467153285,48,10,0.721930769923,78.4671532847
qwen,Qwen 3 32B,R220,shapeshifter,515705.488557,56.5693430657,120,10,0.647637949439,65.3284671533
qwen,Qwen 3 32B,R221,simulacrum,714308.862601,74.8175182482,70,10,0.648319302974,65.6934306569
qwen,Qwen 3 32B,R222,skeptic,282508.140066,39.4160583942,167,10,0.493358393192,45.6204379562
qwen,Qwen 3 32B,R223,smuggler,618826.216798,63.503649635,101,10,0.574326518195,55.1094890511
qwen,Qwen 3 32B,R224,sociologist,132456.159387,16.0583941606,231,10,0.314020474324,20.802919708
qwen,Qwen 3 32B,R225,soldier,634552.511421,66.0583941606,94,10,0.717908667944,76.6423357664
qwen,Qwen 3 32B,R226,sommelier,248665.248213,37.2262773723,173,10,0.445187762037,38.6861313869
qwen,Qwen 3 32B,R227,specialist,143033.203896,18.9781021898,223,10,0.24951215038,8.02919708029
qwen,Qwen 3 32B,R228,spirit,521610.63831,56.9343065693,119,10,0.524703390105,50
qwen,Qwen 3 32B,R229,spy,1007635.9897,87.9562043796,34,10,0.774160180214,86.1313868613
qwen,Qwen 3 32B,R230,statistician,204000.777132,31.0218978102,190,10,0.307232167515,18.6131386861
qwen,Qwen 3 32B,R231,stoic,693094.191848,72.2627737226,77,10,0.733410926285,81.7518248175
qwen,Qwen 3 32B,R232,strategist,110582.083822,2.1897810219,269,10,0.222047066799,1.4598540146
qwen,Qwen 3 32B,R233,student,646388.289251,67.5182481752,90,10,0.694595844594,73.7226277372
qwen,Qwen 3 32B,R234,summarizer,129399.418011,13.8686131387,237,10,0.255139201694,10.2189781022
qwen,Qwen 3 32B,R235,supervisor,134533.116362,16.7883211679,229,10,0.270236807159,12.4087591241
qwen,Qwen 3 32B,R236,surfer,951705.082457,86.496350365,38,10,0.794986059151,88.6861313869
qwen,Qwen 3 32B,R237,survivor,740094.765744,76.6423357664,65,10,0.724100478494,79.197080292
qwen,Qwen 3 32B,R238,swarm,648857.815863,67.8832116788,89,10,0.620695357689,61.6788321168
qwen,Qwen 3 32B,R239,symbiont,265944.358632,38.6861313869,169,10,0.423944172803,36.8613138686
qwen,Qwen 3 32B,R240,synthesizer,112264.184362,2.9197080292,267,10,0.347607496464,24.8175182482
qwen,Qwen 3 32B,R241,teacher,187454.517262,28.4671532847,197,10,0.307417582715,18.9781021898
qwen,Qwen 3 32B,R242,technologist,132644.902594,16.4233576642,230,10,0.367296889193,27.3722627737
qwen,Qwen 3 32B,R243,teenager,1881850.00432,97.4452554745,8,10,1.60375814563,100
qwen,Qwen 3 32B,R244,theorist,335555.303843,43.4306569343,156,10,0.548420979071,52.1897810219
qwen,Qwen 3 32B,R245,therapist,1002518.72582,87.5912408759,35,10,0.777068948927,86.8613138686
qwen,Qwen 3 32B,R246,toddler,3000155.22808,99.6350364964,2,10,1.54738361984,99.2700729927
qwen,Qwen 3 32B,R247,traditionalist,679799.659759,70.0729927007,83,10,0.710890181902,75.1824817518
qwen,Qwen 3 32B,R248,trainer,129572.346097,14.2335766423,236,10,0.270972928119,13.1386861314
qwen,Qwen 3 32B,R249,translator,144228.618767,19.3430656934,222,10,0.368907675946,28.4671532847
qwen,Qwen 3 32B,R250,tree,432704.609034,50,138,10,0.485586822367,43.795620438
qwen,Qwen 3 32B,R251,trickster,841298.034951,81.7518248175,51,10,0.736215915202,82.4817518248
qwen,Qwen 3 32B,R252,tulpa,366212.344136,45.2554744526,151,10,0.541076026529,51.8248175182
qwen,Qwen 3 32B,R253,tutor,163486.423285,23.7226277372,210,10,0.301757163946,17.8832116788
qwen,Qwen 3 32B,R254,validator,140754.967672,17.8832116788,226,10,0.24024258082,4.74452554745
qwen,Qwen 3 32B,R255,vampire,1239880.08086,91.2408759124,25,10,0.839328039583,89.7810218978
qwen,Qwen 3 32B,R256,vegan,459939.159273,52.5547445255,131,10,0.631627571899,63.1386861314
qwen,Qwen 3 32B,R257,veteran,537327.756433,58.0291970803,116,10,0.671092440927,69.7080291971
qwen,Qwen 3 32B,R258,veterinarian,155879.703116,22.2627737226,214,10,0.346469631296,24.4525547445
qwen,Qwen 3 32B,R259,vigilante,491911.85947,56.204379562,121,10,0.507032264454,48.5401459854
qwen,Qwen 3 32B,R260,virtuoso,423917.31352,49.2700729927,140,10,0.59138297136,58.3941605839
qwen,Qwen 3 32B,R261,virus,994148.718076,87.2262773723,36,10,0.783185997758,87.9562043796
qwen,Qwen 3 32B,R262,visionary,261157.614069,38.3211678832,170,10,0.435270538358,37.9562043796
qwen,Qwen 3 32B,R263,void,643107.315805,67.1532846715,91,10,0.617213543815,61.3138686131
qwen,Qwen 3 32B,R264,wanderer,630431.087916,65.3284671533,96,10,0.64354859083,64.2335766423
qwen,Qwen 3 32B,R265,warrior,689120.293522,71.5328467153,79,10,0.689882227738,72.2627737226
